#LIBRARY    JENDL-4.0
#REACTION   CA-40(N,P)K-40,SIG
#NUCLEUS    Ca-40
#MF         3
#MT         103
#EN-MIN     542352
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 542352      0            Lin-Lin
 572904      0            Lin-Lin
 1E+06       0            Lin-Lin
 1.36265E+06 0.000930552  Lin-Lin
 1.45625E+06 0.00117074   Lin-Lin
 1.5E+06     0.001283     Lin-Lin
 2E+06       0.0210155    Lin-Lin
 2.22754E+06 0.0501293    Lin-Lin
 2.5E+06     0.0849908    Lin-Lin
 2.5509E+06  0.0951432    Lin-Lin
 2.64133E+06 0.113179     Lin-Lin
 2.66439E+06 0.11778      Lin-Lin
 2.69915E+06 0.124713     Lin-Lin
 2.8598E+06  0.156756     Lin-Lin
 2.89005E+06 0.162789     Lin-Lin
 2.89066E+06 0.162912     Lin-Lin
 3E+06       0.184719     Lin-Lin
 3.00006E+06 0.184731     Lin-Lin
 3.02261E+06 0.189502     Lin-Lin
 3.14933E+06 0.216306     Lin-Lin
 3.18327E+06 0.223484     Lin-Lin
 3.23463E+06 0.234349     Lin-Lin
 3.34167E+06 0.25699      Lin-Lin
 3.35858E+06 0.260568     Lin-Lin
 3.36863E+06 0.262693     Lin-Lin
 3.39929E+06 0.269177     Lin-Lin
 3.3998E+06  0.269286     Lin-Lin
 3.42112E+06 0.273796     Lin-Lin
 3.49412E+06 0.289237     Lin-Lin
 3.5E+06     0.29048      Lin-Lin
 3.56753E+06 0.298508     Lin-Lin
 3.60362E+06 0.302799     Lin-Lin
 3.64678E+06 0.30793      Lin-Lin
 3.7208E+06  0.31673      Lin-Lin
 3.73064E+06 0.3179       Lin-Lin
 3.74971E+06 0.320167     Lin-Lin
 3.76817E+06 0.322361     Lin-Lin
 3.77575E+06 0.323263     Lin-Lin
 3.85255E+06 0.332393     Lin-Lin
 3.91847E+06 0.34023      Lin-Lin
 3.99536E+06 0.349371     Lin-Lin
 4E+06       0.349923     Lin-Lin
 4.02161E+06 0.350991     Lin-Lin
 4.04293E+06 0.352046     Lin-Lin
 4.06836E+06 0.353304     Lin-Lin
 4.07738E+06 0.35375      Lin-Lin
 4.11654E+06 0.355687     Lin-Lin
 4.18913E+06 0.359277     Lin-Lin
 4.5E+06     0.374651     Lin-Lin
 5E+06       0.4413       Lin-Lin
 5.5E+06     0.505394     Lin-Lin
 6E+06       0.5581       Lin-Lin
 6.5E+06     0.5939       Lin-Lin
 7E+06       0.610725     Lin-Lin
 7.5E+06     0.6238       Lin-Lin
 8E+06       0.6326       Lin-Lin
 8.5E+06     0.635606     Lin-Lin
 9E+06       0.634301     Lin-Lin
 9.5E+06     0.628803     Lin-Lin
 1E+07       0.6183       Lin-Lin
 1.1E+07     0.5624       Lin-Lin
 1.2E+07     0.4489       Lin-Lin
 1.3E+07     0.3298       Lin-Lin
 1.4E+07     0.2364       Lin-Lin
 1.45E+07    0.1998       Lin-Lin
 1.5E+07     0.1702       Lin-Lin
 1.6E+07     0.1247       Lin-Lin
 1.7E+07     0.09489      Lin-Lin
 1.8E+07     0.07521      Lin-Lin
 1.9E+07     0.06181      Lin-Lin
 2E+07       0.05235      Lin-Lin
