#LIBRARY    ENDF/B-VIII.0
#REACTION   AL-27(N,G)AL-28,SIG
#NUCLEUS    Al-27
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       11.7428      Lin-Lin
 1.10304E-05 11.1809      Lin-Lin
 1.21669E-05 10.6459      Lin-Lin
 1.34206E-05 10.1365      Lin-Lin
 1.48034E-05 9.65147      Lin-Lin
 1.63286E-05 9.18963      Lin-Lin
 1.80111E-05 8.7499       Lin-Lin
 1.98669E-05 8.33121      Lin-Lin
 2.19139E-05 7.93256      Lin-Lin
 2.41719E-05 7.55298      Lin-Lin
 2.66625E-05 7.19156      Lin-Lin
 2.94097E-05 6.84744      Lin-Lin
 3.244E-05   6.51978      Lin-Lin
 3.57825E-05 6.2078       Lin-Lin
 3.94694E-05 5.91076      Lin-Lin
 4.35362E-05 5.62792      Lin-Lin
 4.80221E-05 5.35862      Lin-Lin
 5.29701E-05 5.1022       Lin-Lin
 5.8428E-05  4.85806      Lin-Lin
 6.44482E-05 4.6256       Lin-Lin
 7.10888E-05 4.40426      Lin-Lin
 7.84136E-05 4.19351      Lin-Lin
 8.64931E-05 3.99285      Lin-Lin
 9.54051E-05 3.80179      Lin-Lin
 0.000105235 3.61987      Lin-Lin
 0.000116078 3.44665      Lin-Lin
 0.000128039 3.28173      Lin-Lin
 0.000141232 3.12469      Lin-Lin
 0.000155784 2.97518      Lin-Lin
 0.000171835 2.83281      Lin-Lin
 0.00018954  2.69726      Lin-Lin
 0.00020907  2.56819      Lin-Lin
 0.000230612 2.4453       Lin-Lin
 0.000254374 2.32829      Lin-Lin
 0.000280584 2.21688      Lin-Lin
 0.000309494 2.1108       Lin-Lin
 0.000341383 2.0098       Lin-Lin
 0.000376558 1.91363      Lin-Lin
 0.000415358 1.82206      Lin-Lin
 0.000458155 1.73487      Lin-Lin
 0.000505362 1.65186      Lin-Lin
 0.000557433 1.57281      Lin-Lin
 0.000614869 1.49755      Lin-Lin
 0.000678223 1.42589      Lin-Lin
 0.000748105 1.35766      Lin-Lin
 0.000825188 1.2927       Lin-Lin
 0.000910213 1.23084      Lin-Lin
 0.001004    1.17194      Lin-Lin
 0.00110745  1.11587      Lin-Lin
 0.00122155  1.06247      Lin-Lin
 0.00134742  1.01163      Lin-Lin
 0.00148625  0.963223     Lin-Lin
 0.00163939  0.917132     Lin-Lin
 0.00180831  0.873246     Lin-Lin
 0.00199463  0.83146      Lin-Lin
 0.00220016  0.791674     Lin-Lin
 0.00242685  0.753792     Lin-Lin
 0.00267691  0.717722     Lin-Lin
 0.00295273  0.683379     Lin-Lin
 0.00325697  0.650678     Lin-Lin
 0.00359256  0.619543     Lin-Lin
 0.00396272  0.589897     Lin-Lin
 0.00437103  0.56167      Lin-Lin
 0.00482141  0.534793     Lin-Lin
 0.00531819  0.509203     Lin-Lin
 0.00586616  0.484837     Lin-Lin
 0.00647059  0.461637     Lin-Lin
 0.0071373   0.439547     Lin-Lin
 0.00787271  0.418515     Lin-Lin
 0.00868389  0.398488     Lin-Lin
 0.00957865  0.37942      Lin-Lin
 0.0105656   0.361264     Lin-Lin
 0.0116543   0.343977     Lin-Lin
 0.0128551   0.327518     Lin-Lin
 0.0141796   0.311846     Lin-Lin
 0.0156406   0.296924     Lin-Lin
 0.0172522   0.282716     Lin-Lin
 0.0190298   0.269188     Lin-Lin
 0.0209906   0.256307     Lin-Lin
 0.0231534   0.244044     Lin-Lin
 0.0252419   0.233732     Lin-Lin
 0.0253      0.233463     Lin-Lin
 0.0279068   0.222296     Lin-Lin
 0.0307823   0.211664     Lin-Lin
 0.033954    0.201543     Lin-Lin
 0.0374525   0.191908     Lin-Lin
 0.0413115   0.182736     Lin-Lin
 0.0455681   0.174002     Lin-Lin
 0.0502633   0.165686     Lin-Lin
 0.0554423   0.157766     Lin-Lin
 0.0611549   0.150221     Lin-Lin
 0.0674561   0.14303      Lin-Lin
 0.0744066   0.13618      Lin-Lin
 0.0820732   0.129659     Lin-Lin
 0.0905297   0.123455     Lin-Lin
 0.0998577   0.117554     Lin-Lin
 0.110147    0.111937     Lin-Lin
 0.121496    0.106583     Lin-Lin
 0.134014    0.101478     Lin-Lin
 0.147823    0.0966148    Lin-Lin
 0.163054    0.0919854    Lin-Lin
 0.179855    0.087579     Lin-Lin
 0.198386    0.0833866    Lin-Lin
 0.218827    0.079402     Lin-Lin
 0.241375    0.0756111    Lin-Lin
 0.266245    0.0719932    Lin-Lin
 0.293678    0.0685432    Lin-Lin
 0.323938    0.0652587    Lin-Lin
 0.357316    0.0621322    Lin-Lin
 0.394132    0.0591586    Lin-Lin
 0.434743    0.0563379    Lin-Lin
 0.48292     0.0534582    Lin-Lin
 0.532679    0.0508954    Lin-Lin
 0.587564    0.0484555    Lin-Lin
 0.648105    0.0461332    Lin-Lin
 0.714884    0.0439227    Lin-Lin
 0.788543    0.0418205    Lin-Lin
 0.869792    0.0398319    Lin-Lin
 0.959413    0.0379237    Lin-Lin
 1.05827     0.0361047    Lin-Lin
 1.16731     0.0343734    Lin-Lin
 1.28758     0.0327255    Lin-Lin
 1.42025     0.0311569    Lin-Lin
 1.56659     0.0296637    Lin-Lin
 1.72801     0.0282426    Lin-Lin
 1.90606     0.0269005    Lin-Lin
 2.10245     0.0256098    Lin-Lin
 2.31908     0.0243806    Lin-Lin
 2.55803     0.0232109    Lin-Lin
 2.82161     0.022098     Lin-Lin
 3.11233     0.0210381    Lin-Lin
 3.43302     0.0200293    Lin-Lin
 3.76022     0.0191458    Lin-Lin
 4.11881     0.0182899    Lin-Lin
 4.51138     0.017473     Lin-Lin
 4.97622     0.0166328    Lin-Lin
 5.48895     0.0158341    Lin-Lin
 6.05452     0.0150738    Lin-Lin
 6.67836     0.0143502    Lin-Lin
 7.31523     0.0137127    Lin-Lin
 8.06897     0.0130543    Lin-Lin
 8.83803     0.012471     Lin-Lin
 9.68086     0.0119136    Lin-Lin
 10.6036     0.0113795    Lin-Lin
 11.6961     0.0108316    Lin-Lin
 12.9012     0.0103096    Lin-Lin
 14.2305     0.00981355   Lin-Lin
 16.0306     0.00924419   Lin-Lin
 17.6823     0.00879952   Lin-Lin
 19.2329     0.00843423   Lin-Lin
 20.9195     0.00808365   Lin-Lin
 23.0749     0.00769109   Lin-Lin
 25.4525     0.00731974   Lin-Lin
 28.075      0.00696536   Lin-Lin
 31.6247     0.00655741   Lin-Lin
 35.1293     0.00621825   Lin-Lin
 38.2098     0.0059583    Lin-Lin
 41.5605     0.00570889   Lin-Lin
 45.5217     0.00544878   Lin-Lin
 50.2121     0.00518323   Lin-Lin
 55.3858     0.0049291    Lin-Lin
 59.8236     0.00474119   Lin-Lin
 64.6138     0.00455595   Lin-Lin
 70.2799     0.00436265   Lin-Lin
 76.4429     0.00417757   Lin-Lin
 82.5679     0.00401428   Lin-Lin
 89.8084     0.00384289   Lin-Lin
 99.062      0.00365136   Lin-Lin
 108.504     0.00348154   Lin-Lin
 117.198     0.00334541   Lin-Lin
 128.368     0.00318872   Lin-Lin
 140.609     0.00303922   Lin-Lin
 152.94      0.00290687   Lin-Lin
 165.186     0.00279012   Lin-Lin
 178.422     0.00267751   Lin-Lin
 195.427     0.00254897   Lin-Lin
 214.064     0.00242725   Lin-Lin
 232.835     0.00231946   Lin-Lin
 256.826     0.00219867   Lin-Lin
 279.348     0.0020993    Lin-Lin
 303.844     0.00200417   Lin-Lin
 328.174     0.00192024   Lin-Lin
 354.469     0.00183936   Lin-Lin
 382.852     0.00176133   Lin-Lin
 422.3       0.00166619   Lin-Lin
 459.332     0.00158797   Lin-Lin
 503.136     0.00150729   Lin-Lin
 562.807     0.00141306   Lin-Lin
 607.477     0.00135179   Lin-Lin
 660.748     0.0012866    Lin-Lin
 718.69      0.00122485   Lin-Lin
 781.713     0.00116573   Lin-Lin
 856.26      0.0011045    Lin-Lin
 931.347     0.0010507    Lin-Lin
 1004.38     0.00100451   Lin-Lin
 1084.86     0.000959537  Lin-Lin
 1159.91     0.000922057  Lin-Lin
 1252.79     0.000880794  Lin-Lin
 1366.67     0.000836693  Lin-Lin
 1484.16     0.000797092  Lin-Lin
 1611.78     0.000759932  Lin-Lin
 1728.73     0.000730399  Lin-Lin
 1827.9      0.000707567  Lin-Lin
 1960.53     0.000680353  Lin-Lin
 2122.46     0.000651553  Lin-Lin
 2308.58     0.000623746  Lin-Lin
 2495.89     0.000599695  Lin-Lin
 2696.88     0.000578355  Lin-Lin
 2895.55     0.000560738  Lin-Lin
 3118.79     0.000545151  Lin-Lin
 3314.17     0.000534889  Lin-Lin
 3529.91     0.00052698   Lin-Lin
 3732.9      0.000523448  Lin-Lin
 3772.85     0.00052326   Lin-Lin
 3941.99     0.000524771  Lin-Lin
 4092.23     0.000529369  Lin-Lin
 4232.62     0.000537524  Lin-Lin
 4333.74     0.000546394  Lin-Lin
 4438.41     0.000558797  Lin-Lin
 4529.03     0.000573071  Lin-Lin
 4606.9      0.000588529  Lin-Lin
 4676.11     0.000605571  Lin-Lin
 4759.63     0.000631215  Lin-Lin
 4814.54     0.000651992  Lin-Lin
 4866.45     0.000674925  Lin-Lin
 4918.36     0.000702093  Lin-Lin
 4970.27     0.000734369  Lin-Lin
 5004.88     0.000759298  Lin-Lin
 5039.49     0.000787477  Lin-Lin
 5074.1      0.000819458  Lin-Lin
 5108.7      0.000855918  Lin-Lin
 5143.31     0.000897692  Lin-Lin
 5177.92     0.000945819  Lin-Lin
 5203.87     0.000986972  Lin-Lin
 5229.83     0.00103287   Lin-Lin
 5255.79     0.00108483   Lin-Lin
 5281.74     0.00114326   Lin-Lin
 5307.7      0.00121006   Lin-Lin
 5325        0.00125963   Lin-Lin
 5342.3      0.00131394   Lin-Lin
 5359.61     0.0013736    Lin-Lin
 5376.91     0.00143933   Lin-Lin
 5394.22     0.00151197   Lin-Lin
 5411.52     0.00159251   Lin-Lin
 5420.17     0.0016356    Lin-Lin
 5437.48     0.00173018   Lin-Lin
 5454.78     0.00183602   Lin-Lin
 5474.25     0.0019704    Lin-Lin
 5487.22     0.00207091   Lin-Lin
 5500.2      0.00218145   Lin-Lin
 5513.18     0.00230327   Lin-Lin
 5526.16     0.00243794   Lin-Lin
 5539.14     0.00258733   Lin-Lin
 5552.11     0.00275365   Lin-Lin
 5565.09     0.00293953   Lin-Lin
 5578.07     0.00314818   Lin-Lin
 5587.8      0.00332191   Lin-Lin
 5597.54     0.0035125    Lin-Lin
 5607.27     0.00372218   Lin-Lin
 5617        0.00395361   Lin-Lin
 5626.74     0.0042099    Lin-Lin
 5636.47     0.00449477   Lin-Lin
 5646.2      0.00481263   Lin-Lin
 5655.94     0.00516875   Lin-Lin
 5662.42     0.00543029   Lin-Lin
 5672.16     0.00586293   Lin-Lin
 5678.65     0.00618326   Lin-Lin
 5685.14     0.00653341   Lin-Lin
 5691.62     0.00691614   Lin-Lin
 5698.11     0.0073356    Lin-Lin
 5704.6      0.00779663   Lin-Lin
 5711.09     0.0083049    Lin-Lin
 5717.58     0.00886707   Lin-Lin
 5724.07     0.00949103   Lin-Lin
 5730.56     0.0101862    Lin-Lin
 5735.42     0.0107609    Lin-Lin
 5740.29     0.0113875    Lin-Lin
 5745.16     0.0120723    Lin-Lin
 5750.02     0.0128229    Lin-Lin
 5754.89     0.0136479    Lin-Lin
 5759.76     0.0145574    Lin-Lin
 5764.62     0.0155634    Lin-Lin
 5769.17     0.0166017    Lin-Lin
 5773.55     0.0177069    Lin-Lin
 5777.93     0.0189284    Lin-Lin
 5782.31     0.0202816    Lin-Lin
 5786.69     0.0217856    Lin-Lin
 5790.96     0.0234246    Lin-Lin
 5795.01     0.0251648    Lin-Lin
 5799.07     0.0271091    Lin-Lin
 5801.77     0.0285335    Lin-Lin
 5804.48     0.0300738    Lin-Lin
 5807.18     0.0317423    Lin-Lin
 5809.88     0.0335522    Lin-Lin
 5813.4      0.0361466    Lin-Lin
 5816.64     0.038824     Lin-Lin
 5819.89     0.0418157    Lin-Lin
 5822.05     0.044008     Lin-Lin
 5824.21     0.0463784    Lin-Lin
 5826.38     0.0489465    Lin-Lin
 5828.54     0.0517347    Lin-Lin
 5830.49     0.0544537    Lin-Lin
 5832.43     0.0573934    Lin-Lin
 5834.38     0.0605783    Lin-Lin
