#LIBRARY    JENDL-5
#REACTION   AR-40(N,G)AR-41,SIG
#NUCLEUS    Ar-40
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       33.1982      Lin-Lin
 1.10304E-05 31.6097      Lin-Lin
 1.21669E-05 30.0971      Lin-Lin
 1.34206E-05 28.6569      Lin-Lin
 1.48034E-05 27.2857      Lin-Lin
 1.63286E-05 25.98        Lin-Lin
 1.80111E-05 24.7369      Lin-Lin
 1.98669E-05 23.5532      Lin-Lin
 2.19139E-05 22.4261      Lin-Lin
 2.41719E-05 21.353       Lin-Lin
 2.66625E-05 20.3313      Lin-Lin
 2.94097E-05 19.3584      Lin-Lin
 3.244E-05   18.4321      Lin-Lin
 3.57825E-05 17.5501      Lin-Lin
 3.94694E-05 16.7103      Lin-Lin
 4.35362E-05 15.9107      Lin-Lin
 4.80221E-05 15.1494      Lin-Lin
 5.29701E-05 14.4245      Lin-Lin
 5.8428E-05  13.7342      Lin-Lin
 6.44482E-05 13.077       Lin-Lin
 7.10888E-05 12.4513      Lin-Lin
 7.84136E-05 11.8555      Lin-Lin
 8.64931E-05 11.2882      Lin-Lin
 9.54051E-05 10.748       Lin-Lin
 0.000105235 10.2337      Lin-Lin
 0.000116078 9.74404      Lin-Lin
 0.000128039 9.27778      Lin-Lin
 0.000141232 8.83383      Lin-Lin
 0.000155784 8.41112      Lin-Lin
 0.000171835 8.00864      Lin-Lin
 0.00018954  7.62542      Lin-Lin
 0.00020907  7.26054      Lin-Lin
 0.000230612 6.91311      Lin-Lin
 0.000254374 6.58232      Lin-Lin
 0.000280584 6.26735      Lin-Lin
 0.000309494 5.96745      Lin-Lin
 0.000341383 5.6819       Lin-Lin
 0.000376558 5.41002      Lin-Lin
 0.000415358 5.15114      Lin-Lin
 0.000458155 4.90465      Lin-Lin
 0.000505362 4.66996      Lin-Lin
 0.000557433 4.4465       Lin-Lin
 0.000614869 4.23373      Lin-Lin
 0.000678223 4.03114      Lin-Lin
 0.000748105 3.83825      Lin-Lin
 0.000825188 3.65458      Lin-Lin
 0.000910213 3.47971      Lin-Lin
 0.001004    3.3132       Lin-Lin
 0.00110745  3.15466      Lin-Lin
 0.00122155  3.00371      Lin-Lin
 0.00134742  2.85998      Lin-Lin
 0.00148625  2.72312      Lin-Lin
 0.00163939  2.59282      Lin-Lin
 0.00180831  2.46875      Lin-Lin
 0.00199463  2.35062      Lin-Lin
 0.00220016  2.23814      Lin-Lin
 0.00242685  2.13104      Lin-Lin
 0.00267691  2.02906      Lin-Lin
 0.00295273  1.93197      Lin-Lin
 0.00325697  1.83952      Lin-Lin
 0.00359256  1.7515       Lin-Lin
 0.00396272  1.66769      Lin-Lin
 0.00437103  1.58789      Lin-Lin
 0.00482141  1.5119       Lin-Lin
 0.00531819  1.43956      Lin-Lin
 0.00586616  1.37067      Lin-Lin
 0.00647059  1.30508      Lin-Lin
 0.0071373   1.24263      Lin-Lin
 0.00787271  1.18317      Lin-Lin
 0.00868389  1.12655      Lin-Lin
 0.00957865  1.07264      Lin-Lin
 0.0105656   1.02131      Lin-Lin
 0.0116543   0.972441     Lin-Lin
 0.0128551   0.925907     Lin-Lin
 0.0141796   0.8816       Lin-Lin
 0.0156406   0.839415     Lin-Lin
 0.0172522   0.79925      Lin-Lin
 0.0190298   0.761009     Lin-Lin
 0.0209906   0.724602     Lin-Lin
 0.0231534   0.689939     Lin-Lin
 0.0252419   0.660791     Lin-Lin
 0.0253      0.660031     Lin-Lin
 0.0279068   0.628459     Lin-Lin
 0.0307823   0.598394     Lin-Lin
 0.033954    0.569763     Lin-Lin
 0.0374525   0.542499     Lin-Lin
 0.0413115   0.516539     Lin-Lin
 0.0455681   0.491818     Lin-Lin
 0.0502633   0.46828      Lin-Lin
 0.0554423   0.445868     Lin-Lin
 0.0611549   0.424528     Lin-Lin
 0.0674561   0.404209     Lin-Lin
 0.0744066   0.384862     Lin-Lin
 0.0820732   0.366441     Lin-Lin
 0.0905297   0.348901     Lin-Lin
 0.0998577   0.3322       Lin-Lin
 0.110147    0.316297     Lin-Lin
 0.121496    0.301156     Lin-Lin
 0.134014    0.286738     Lin-Lin
 0.147823    0.27301      Lin-Lin
 0.163054    0.259939     Lin-Lin
 0.179855    0.247492     Lin-Lin
 0.198386    0.235641     Lin-Lin
 0.218827    0.224357     Lin-Lin
 0.241375    0.213612     Lin-Lin
 0.266245    0.20338      Lin-Lin
 0.293678    0.193638     Lin-Lin
 0.323938    0.184362     Lin-Lin
 0.357316    0.175529     Lin-Lin
 0.394132    0.167118     Lin-Lin
 0.434743    0.159108     Lin-Lin
 0.479537    0.151482     Lin-Lin
 0.528947    0.144219     Lin-Lin
 0.583448    0.137304     Lin-Lin
 0.643565    0.130719     Lin-Lin
 0.709876    0.124448     Lin-Lin
 0.78302     0.118476     Lin-Lin
 0.8637      0.112789     Lin-Lin
 0.952693    0.107374     Lin-Lin
 1.05086     0.102217     Lin-Lin
 1.15913     0.0973053    Lin-Lin
 1.27857     0.0926278    Lin-Lin
 1.4103      0.0881732    Lin-Lin
 1.55562     0.0839305    Lin-Lin
 1.7159      0.0798897    Lin-Lin
 1.89271     0.0760411    Lin-Lin
 2.08772     0.0723753    Lin-Lin
 2.30284     0.0688835    Lin-Lin
 2.54012     0.0655574    Lin-Lin
 2.80184     0.062389     Lin-Lin
 3.09053     0.0593705    Lin-Lin
 3.40897     0.0564949    Lin-Lin
 3.76022     0.0537551    Lin-Lin
 4.14767     0.0511446    Lin-Lin
 4.57503     0.0486572    Lin-Lin
 5.04642     0.0462869    Lin-Lin
 5.56639     0.0440281    Lin-Lin
 6.13994     0.0418753    Lin-Lin
 6.77258     0.0398234    Lin-Lin
 7.4704      0.0378674    Lin-Lin
 8.24013     0.0360026    Lin-Lin
 9.08917     0.0342244    Lin-Lin
 10.0257     0.0325286    Lin-Lin
 11.0587     0.0309111    Lin-Lin
 12.1982     0.0293679    Lin-Lin
 13.455      0.0278956    Lin-Lin
 14.8414     0.0264905    Lin-Lin
 16.3706     0.0251494    Lin-Lin
 18.0574     0.0238692    Lin-Lin
 19.918      0.0226469    Lin-Lin
 21.9702     0.0214797    Lin-Lin
 24.234      0.0203648    Lin-Lin
 26.731      0.0192998    Lin-Lin
 29.4853     0.0182821    Lin-Lin
 32.2971     0.017376     Lin-Lin
 35.6249     0.0164427    Lin-Lin
 39.0203     0.0156118    Lin-Lin
 42.7415     0.0148144    Lin-Lin
 46.8152     0.0140498    Lin-Lin
 51.2797     0.0133154    Lin-Lin
 56.1672     0.0126104    Lin-Lin
 61.5235     0.0119327    Lin-Lin
 67.3873     0.0112818    Lin-Lin
 73.8137     0.0106559    Lin-Lin
 80.8489     0.0100547    Lin-Lin
 87.9387     0.00951944   Lin-Lin
