#LIBRARY    JENDL-4.0
#REACTION   B-10(N,G)B-11,SIG
#NUCLEUS    B-10
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       25.1497      Lin-Lin
 1.10304E-05 23.9463      Lin-Lin
 1.21669E-05 22.8004      Lin-Lin
 1.34205E-05 21.7094      Lin-Lin
 1.48034E-05 20.6706      Lin-Lin
 1.63287E-05 19.6815      Lin-Lin
 1.80111E-05 18.7397      Lin-Lin
 1.98669E-05 17.843       Lin-Lin
 2.19139E-05 16.9892      Lin-Lin
 2.41719E-05 16.1763      Lin-Lin
 2.66625E-05 15.4022      Lin-Lin
 2.94097E-05 14.6652      Lin-Lin
 3.244E-05   13.9635      Lin-Lin
 3.57825E-05 13.2953      Lin-Lin
 3.94694E-05 12.6591      Lin-Lin
 4.35362E-05 12.0534      Lin-Lin
 4.80221E-05 11.4766      Lin-Lin
 5.29701E-05 10.9274      Lin-Lin
 5.8428E-05  10.4045      Lin-Lin
 6.44483E-05 9.90667      Lin-Lin
 7.10888E-05 9.43263      Lin-Lin
 7.84136E-05 8.98127      Lin-Lin
 8.64931E-05 8.55151      Lin-Lin
 9.54051E-05 8.14231      Lin-Lin
 0.000105235 7.7527       Lin-Lin
 0.000116078 7.38172      Lin-Lin
 0.000128039 7.0285       Lin-Lin
 0.000141232 6.69218      Lin-Lin
 0.000155784 6.37195      Lin-Lin
 0.000171835 6.06705      Lin-Lin
 0.00018954  5.77674      Lin-Lin
 0.00020907  5.50031      Lin-Lin
 0.000230612 5.23712      Lin-Lin
 0.000254374 4.98652      Lin-Lin
 0.000280583 4.74791      Lin-Lin
 0.000309494 4.52072      Lin-Lin
 0.000341383 4.3044       Lin-Lin
 0.000376558 4.09843      Lin-Lin
 0.000415358 3.90231      Lin-Lin
 0.000458155 3.71559      Lin-Lin
 0.000505362 3.53779      Lin-Lin
 0.000557433 3.36851      Lin-Lin
 0.000614869 3.20732      Lin-Lin
 0.000678223 3.05385      Lin-Lin
 0.000748105 2.90772      Lin-Lin
 0.000825188 2.76858      Lin-Lin
 0.000910213 2.6361       Lin-Lin
 0.001004    2.50996      Lin-Lin
 0.00110745  2.38986      Lin-Lin
 0.00122156  2.2755       Lin-Lin
 0.00134742  2.16662      Lin-Lin
 0.00148625  2.06294      Lin-Lin
 0.00163939  1.96423      Lin-Lin
 0.00180831  1.87024      Lin-Lin
 0.00199463  1.78075      Lin-Lin
 0.00220016  1.69554      Lin-Lin
 0.00242685  1.6144       Lin-Lin
 0.00267691  1.53715      Lin-Lin
 0.00295273  1.4636       Lin-Lin
 0.00325697  1.39356      Lin-Lin
 0.00359256  1.32688      Lin-Lin
 0.00396272  1.26339      Lin-Lin
 0.00437103  1.20293      Lin-Lin
 0.00482141  1.14537      Lin-Lin
 0.00531819  1.09057      Lin-Lin
 0.00586616  1.03838      Lin-Lin
 0.00647059  0.988693     Lin-Lin
 0.0071373   0.941383     Lin-Lin
 0.00787271  0.896337     Lin-Lin
 0.00868389  0.853447     Lin-Lin
 0.00957865  0.812609     Lin-Lin
 0.0105656   0.773725     Lin-Lin
 0.0116543   0.736701     Lin-Lin
 0.0128551   0.70145      Lin-Lin
 0.0141796   0.667885     Lin-Lin
 0.0156406   0.635926     Lin-Lin
 0.0172522   0.605496     Lin-Lin
 0.0190298   0.576523     Lin-Lin
 0.0209906   0.548935     Lin-Lin
 0.0231534   0.522668     Lin-Lin
 0.0252419   0.500579     Lin-Lin
 0.0253      0.500004     Lin-Lin
 0.0279068   0.476078     Lin-Lin
 0.0307823   0.453297     Lin-Lin
 0.033954    0.431607     Lin-Lin
