#LIBRARY    JENDL-4.0
#REACTION   B-10(N,A)LI-7,SIG
#NUCLEUS    B-10
#MF         3
#MT         107
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       193004       Lin-Lin
 1.10304E-05 183768       Lin-Lin
 1.21669E-05 174975       Lin-Lin
 1.34205E-05 166602       Lin-Lin
 1.48034E-05 158630       Lin-Lin
 1.63287E-05 151040       Lin-Lin
 1.80111E-05 143812       Lin-Lin
 1.98669E-05 136931       Lin-Lin
 2.19139E-05 130378       Lin-Lin
 2.41719E-05 124140       Lin-Lin
 2.66625E-05 118200       Lin-Lin
 2.94097E-05 112544       Lin-Lin
 3.244E-05   107158       Lin-Lin
 3.57825E-05 102031       Lin-Lin
 3.94694E-05 97148.4      Lin-Lin
 4.35362E-05 92499.8      Lin-Lin
 4.80221E-05 88073.6      Lin-Lin
 5.29701E-05 83859.2      Lin-Lin
 5.8428E-05  79846.4      Lin-Lin
 6.44483E-05 76025.7      Lin-Lin
 7.10888E-05 72387.8      Lin-Lin
 7.84136E-05 68924        Lin-Lin
 8.64931E-05 65625.9      Lin-Lin
 9.54051E-05 62485.7      Lin-Lin
 0.000105235 59495.7      Lin-Lin
 0.000116078 56648.7      Lin-Lin
 0.000128039 53938        Lin-Lin
 0.000141232 51357.1      Lin-Lin
 0.000155784 48899.6      Lin-Lin
 0.000171835 46559.7      Lin-Lin
 0.00018954  44331.8      Lin-Lin
 0.00020907  42210.4      Lin-Lin
 0.000230612 40190.6      Lin-Lin
 0.000254374 38267.5      Lin-Lin
 0.000280583 36436.3      Lin-Lin
 0.000309494 34692.8      Lin-Lin
 0.000341383 33032.7      Lin-Lin
 0.000376558 31452.1      Lin-Lin
 0.000415358 29947.1      Lin-Lin
 0.000458155 28514.1      Lin-Lin
 0.000505362 27149.7      Lin-Lin
 0.000557433 25850.5      Lin-Lin
 0.000614869 24613.5      Lin-Lin
 0.000678223 23435.8      Lin-Lin
 0.000748105 22314.3      Lin-Lin
 0.000825188 21246.6      Lin-Lin
 0.000910213 20229.9      Lin-Lin
 0.001004    19261.9      Lin-Lin
 0.00110745  18340.2      Lin-Lin
 0.00122156  17462.6      Lin-Lin
 0.00134742  16627        Lin-Lin
 0.00148625  15831.3      Lin-Lin
 0.00163939  15073.8      Lin-Lin
 0.00180831  14352.5      Lin-Lin
 0.00199463  13665.7      Lin-Lin
 0.00220016  13011.8      Lin-Lin
 0.00242685  12389.2      Lin-Lin
 0.00267691  11796.3      Lin-Lin
 0.00295273  11231.9      Lin-Lin
 0.00325697  10694.4      Lin-Lin
 0.00359256  10182.6      Lin-Lin
 0.00396272  9695.39      Lin-Lin
 0.00437103  9231.45      Lin-Lin
 0.00482141  8789.71      Lin-Lin
 0.00531819  8369.11      Lin-Lin
 0.00586616  7968.64      Lin-Lin
 0.00647059  7587.32      Lin-Lin
 0.0071373   7224.26      Lin-Lin
 0.00787271  6878.56      Lin-Lin
 0.00868389  6549.41      Lin-Lin
 0.00957865  6236.01      Lin-Lin
 0.0105656   5937.6       Lin-Lin
 0.0116543   5653.48      Lin-Lin
 0.0128551   5382.94      Lin-Lin
 0.0141796   5125.36      Lin-Lin
 0.0156406   4880.1       Lin-Lin
 0.0172522   4646.57      Lin-Lin
 0.0190298   4424.22      Lin-Lin
 0.0209906   4212.5       Lin-Lin
 0.0231534   4010.92      Lin-Lin
 0.0252419   3841.39      Lin-Lin
 0.0253      3836.98      Lin-Lin
 0.0279068   3653.36      Lin-Lin
 0.0307823   3478.53      Lin-Lin
 0.033954    3312.06      Lin-Lin
 0.0374525   3153.55      Lin-Lin
 0.0413115   3002.64      Lin-Lin
 0.0455681   2858.94      Lin-Lin
 0.0502633   2722.12      Lin-Lin
 0.0554423   2591.85      Lin-Lin
 0.0611549   2467.83      Lin-Lin
 0.0674561   2349.75      Lin-Lin
 0.0744066   2237.34      Lin-Lin
 0.0820732   2130.33      Lin-Lin
 0.0905297   2028.47      Lin-Lin
 0.0998577   1931.5       Lin-Lin
 0.110147    1839.15      Lin-Lin
 0.121496    1751.18      Lin-Lin
 0.134014    1667.36      Lin-Lin
 0.147823    1587.48      Lin-Lin
 0.163054    1511.39      Lin-Lin
 0.179855    1438.92      Lin-Lin
 0.198386    1369.95      Lin-Lin
 0.218827    1304.3       Lin-Lin
 0.241375    1241.81      Lin-Lin
 0.266245    1182.32      Lin-Lin
 0.293678    1125.66      Lin-Lin
 0.323938    1071.67      Lin-Lin
 0.357316    1020.26      Lin-Lin
 0.394132    971.346      Lin-Lin
 0.434743    924.815      Lin-Lin
 0.479537    880.509      Lin-Lin
 0.528947    838.324      Lin-Lin
 0.583448    798.177      Lin-Lin
 0.643565    759.881      Lin-Lin
 0.709876    723.399      Lin-Lin
 0.78302     688.723      Lin-Lin
 0.8637      655.738      Lin-Lin
 0.952693    624.337      Lin-Lin
 1.05086     594.394      Lin-Lin
 1.15913     565.967      Lin-Lin
 1.28758     536.907      Lin-Lin
 1.42025     511.11       Lin-Lin
 1.56659     486.625      Lin-Lin
 1.72801     463.306      Lin-Lin
 1.90606     441.155      Lin-Lin
 2.10245     419.948      Lin-Lin
 2.33533     398.504      Lin-Lin
 2.59412     378.028      Lin-Lin
 2.86141     359.866      Lin-Lin
 3.15624     342.632      Lin-Lin
 3.48145     326.203      Lin-Lin
 3.84017     310.64       Lin-Lin
 4.20618     296.7        Lin-Lin
 4.6723      281.562      Lin-Lin
 4.70503     280.642      Lin-Lin
 5.22643     266.156      Lin-Lin
 5.26304     265.275      Lin-Lin
 5.72456     254.278      Lin-Lin
 5.76495     253.437      Lin-Lin
 6.31441     242.104      Lin-Lin
 6.35895     241.302      Lin-Lin
 6.96502     230.492      Lin-Lin
 7.01416     229.733      Lin-Lin
 7.68268     219.518      Lin-Lin
 7.73687     218.78       Lin-Lin
 8.41533     209.625      Lin-Lin
 8.47428     208.947      Lin-Lin
 9.47932     197.532      Lin-Lin
 10.6036     186.718      Lin-Lin
 11.6148     178.419      Lin-Lin
 12.7218     170.473      Lin-Lin
 13.935      162.861      Lin-Lin
 15.1569     156.206      Lin-Lin
 16.6016     149.149      Lin-Lin
 18.5705     141.048      Lin-Lin
 20.9195     132.854      Lin-Lin
 23.0749     126.506      Lin-Lin
 25.2742     120.875      Lin-Lin
 27.4905     115.884      Lin-Lin
 29.6932     111.514      Lin-Lin
 32.9822     105.756      Lin-Lin
 36.1275     101.104      Lin-Lin
 38.7489     97.6005      Lin-Lin
 42.7415     92.8878      Lin-Lin
 46.4895     89.0812      Lin-Lin
 50.5663     85.4067      Lin-Lin
 55.0005     81.8797      Lin-Lin
 59.4045     78.7984      Lin-Lin
 65.5254     74.9866      Lin-Lin
 71.7742     71.6831      Lin-Lin
 76.4429     69.4462      Lin-Lin
 84.3193     66.0961      Lin-Lin
 91.7134     63.3868      Lin-Lin
 99.062      60.9819      Lin-Lin
 106.994     58.6545      Lin-Lin
 115.567     56.4208      Lin-Lin
 128.368     53.4867      Lin-Lin
 138.653     51.4768      Lin-Lin
 149.756     49.4916      Lin-Lin
 166.351     46.9239      Lin-Lin
 180.939     44.9858      Lin-Lin
 195.427     43.2636      Lin-Lin
 212.564     41.462       Lin-Lin
 231.204     39.7469      Lin-Lin
 256.826     37.6788      Lin-Lin
 275.461     36.3891      Lin-Lin
 299.617     34.8646      Lin-Lin
 332.803     33.0565      Lin-Lin
 359.47      31.8         Lin-Lin
 390.992     30.4772      Lin-Lin
 425.279     29.208       Lin-Lin
 459.332     28.0949      Lin-Lin
 462.572     28.0013      Lin-Lin
 510.234     26.6362      Lin-Lin
 513.808     26.5473      Lin-Lin
 547.257     25.723       Lin-Lin
 551.09      25.6371      Lin-Lin
 599.416     24.5611      Lin-Lin
 665.842     23.2867      Lin-Lin
 719.158     22.4021      Lin-Lin
 776.78      21.5444      Lin-Lin
 856.818     20.5013      Lin-Lin
 938.481     19.5825      Lin-Lin
 1020.78     18.7667      Lin-Lin
 1110.29     17.9753      Lin-Lin
 1199.25     17.2839      Lin-Lin
 1233.33     17.047       Lin-Lin
 1313.56     16.4947      Lin-Lin
 1350.88     16.2693      Lin-Lin
 1428.74     15.8031      Lin-Lin
 1490.07     15.4754      Lin-Lin
 1553.51     15.1399      Lin-Lin
 1666.79     14.6142      Lin-Lin
 1713.58     14.3991      Lin-Lin
 1800.35     14.0476      Lin-Lin
 1861.63     13.8011      Lin-Lin
 1953.62     13.4752      Lin-Lin
 2039.16     13.1745      Lin-Lin
 2124.94     12.9068      Lin-Lin
 2217.98     12.6188      Lin-Lin
 2295.09     12.407       Lin-Lin
