#LIBRARY    ENDF/B-VIII.0
#REACTION   C-12(N,G)C-13,SIG
#NUCLEUS    C-12
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       0.19418      Lin-Lin
 1.10304E-05 0.184888     Lin-Lin
 1.21669E-05 0.176041     Lin-Lin
 1.34206E-05 0.167617     Lin-Lin
 1.48034E-05 0.159597     Lin-Lin
 1.63286E-05 0.15196      Lin-Lin
 1.80111E-05 0.144689     Lin-Lin
 1.98669E-05 0.137765     Lin-Lin
 2.19139E-05 0.131173     Lin-Lin
 2.41719E-05 0.124896     Lin-Lin
 2.66625E-05 0.11892      Lin-Lin
 2.94097E-05 0.113229     Lin-Lin
 3.244E-05   0.107811     Lin-Lin
 3.57825E-05 0.102652     Lin-Lin
 3.94694E-05 0.0977403    Lin-Lin
 4.35362E-05 0.0930634    Lin-Lin
 4.80221E-05 0.0886102    Lin-Lin
 5.29701E-05 0.0843701    Lin-Lin
 5.8428E-05  0.0803329    Lin-Lin
 6.44482E-05 0.0764889    Lin-Lin
 7.10888E-05 0.0728289    Lin-Lin
 7.84136E-05 0.069344     Lin-Lin
 8.64931E-05 0.0660258    Lin-Lin
 9.54051E-05 0.0628664    Lin-Lin
 0.000105235 0.0598582    Lin-Lin
 0.000116078 0.0569939    Lin-Lin
 0.000128039 0.0542667    Lin-Lin
 0.000141232 0.05167      Lin-Lin
 0.000155784 0.0491975    Lin-Lin
 0.000171835 0.0468434    Lin-Lin
 0.00018954  0.0446019    Lin-Lin
 0.00020907  0.0424677    Lin-Lin
 0.000230612 0.0404355    Lin-Lin
 0.000254374 0.0385007    Lin-Lin
 0.000280584 0.0366584    Lin-Lin
 0.000309494 0.0349042    Lin-Lin
 0.000341383 0.033234     Lin-Lin
 0.000376558 0.0316437    Lin-Lin
 0.000415358 0.0301296    Lin-Lin
 0.000458155 0.0286878    Lin-Lin
 0.000505362 0.0273151    Lin-Lin
 0.000557433 0.026008     Lin-Lin
 0.000614869 0.0247635    Lin-Lin
 0.000678223 0.0235786    Lin-Lin
 0.000748105 0.0224503    Lin-Lin
 0.000825188 0.021376     Lin-Lin
 0.000910213 0.0203532    Lin-Lin
 0.001004    0.0193793    Lin-Lin
 0.00110745  0.0184519    Lin-Lin
 0.00122155  0.017569     Lin-Lin
 0.00134742  0.0167283    Lin-Lin
 0.00148625  0.0159278    Lin-Lin
 0.00163939  0.0151657    Lin-Lin
 0.00180831  0.01444      Lin-Lin
 0.00199463  0.013749     Lin-Lin
 0.00220016  0.0130911    Lin-Lin
 0.00242685  0.0124647    Lin-Lin
 0.00267691  0.0118682    Lin-Lin
 0.00295273  0.0113003    Lin-Lin
 0.00325697  0.0107596    Lin-Lin
 0.00359256  0.0102447    Lin-Lin
 0.00396272  0.0097545    Lin-Lin
 0.00437103  0.00928774   Lin-Lin
 0.00482141  0.0088433    Lin-Lin
 0.00531819  0.00842014   Lin-Lin
 0.00586616  0.00801722   Lin-Lin
 0.00647059  0.00763359   Lin-Lin
 0.0071373   0.00726831   Lin-Lin
 0.00787271  0.00692051   Lin-Lin
 0.00868389  0.00658935   Lin-Lin
 0.00957865  0.00627404   Lin-Lin
 0.0105656   0.00597382   Lin-Lin
 0.0116543   0.00568797   Lin-Lin
 0.0128551   0.00541579   Lin-Lin
 0.0141796   0.00515663   Lin-Lin
 0.0156406   0.00490988   Lin-Lin
 0.0172522   0.00467494   Lin-Lin
 0.0190298   0.00445124   Lin-Lin
 0.0209906   0.00423824   Lin-Lin
 0.0231534   0.00403544   Lin-Lin
 0.0252419   0.00386489   Lin-Lin
 0.0253      0.00386045   Lin-Lin
 0.0279068   0.00367573   Lin-Lin
 0.0307823   0.00349984   Lin-Lin
 0.033954    0.00333238   Lin-Lin
 0.0374525   0.00317293   Lin-Lin
 0.0413115   0.00302111   Lin-Lin
 0.0455681   0.00287656   Lin-Lin
 0.0502633   0.00273893   Lin-Lin
 0.0554423   0.00260791   Lin-Lin
 0.0611549   0.00248318   Lin-Lin
 0.0674561   0.00236446   Lin-Lin
 0.0744066   0.00225144   Lin-Lin
 0.0820732   0.00214385   Lin-Lin
 0.0905297   0.0020414    Lin-Lin
 0.0998577   0.00194383   Lin-Lin
 0.110147    0.00185088   Lin-Lin
 0.121496    0.00176235   Lin-Lin
 0.134014    0.00167805   Lin-Lin
 0.147823    0.00159777   Lin-Lin
 0.163054    0.00152133   Lin-Lin
 0.179855    0.00144854   Lin-Lin
 0.198386    0.00137922   Lin-Lin
 0.218827    0.0013132    Lin-Lin
 0.241375    0.00125036   Lin-Lin
 0.266245    0.00119056   Lin-Lin
 0.293678    0.0011336    Lin-Lin
 0.323938    0.00107934   Lin-Lin
 0.357316    0.00102771   Lin-Lin
 0.394132    0.000978549  Lin-Lin
 0.434743    0.000931692  Lin-Lin
 0.479537    0.000887078  Lin-Lin
 0.528947    0.000844683  Lin-Lin
 0.583448    0.000804289  Lin-Lin
 0.643565    0.000765753  Lin-Lin
 0.709876    0.000729129  Lin-Lin
 0.78302     0.00069423   Lin-Lin
 0.8637      0.00066101   Lin-Lin
 0.952693    0.000629417  Lin-Lin
 1.05086     0.000599305  Lin-Lin
 1.15913     0.00057059   Lin-Lin
 1.27857     0.000543301  Lin-Lin
 1.42025     0.000515608  Lin-Lin
 1.56659     0.000490856  Lin-Lin
 1.72801     0.000467404  Lin-Lin
 1.90606     0.000445081  Lin-Lin
 2.10245     0.000423791  Lin-Lin
 2.31908     0.000403477  Lin-Lin
 2.55803     0.000384161  Lin-Lin
 2.84137     0.000364637  Lin-Lin
 3.13414     0.000347097  Lin-Lin
 3.45707     0.000330529  Lin-Lin
 3.81327     0.00031474   Lin-Lin
 4.20618     0.000299689  Lin-Lin
 4.63957     0.000285316  Lin-Lin
 5.11762     0.000271646  Lin-Lin
 5.64492     0.000258779  Lin-Lin
 6.18325     0.000247177  Lin-Lin
 6.77258     0.000236175  Lin-Lin
 7.5231      0.000224124  Lin-Lin
 8.29826     0.000213353  Lin-Lin
 9.28242     0.000201764  Lin-Lin
 10.2389     0.000192146  Lin-Lin
 11.2938     0.000182991  Lin-Lin
 12.4575     0.000174253  Lin-Lin
 13.6448     0.000166606  Lin-Lin
 15.0508     0.000158641  Lin-Lin
 16.6016     0.000151069  Lin-Lin
 18.5705     0.000142902  Lin-Lin
 20.4839     0.000136122  Lin-Lin
 22.4374     0.000130088  Lin-Lin
 24.5759     0.000124317  Lin-Lin
 26.9195     0.00011882   Lin-Lin
 30.1122     0.000112383  Lin-Lin
 33.2148     0.000107017  Lin-Lin
 37.1541     0.000101229  Lin-Lin
 40.9823     9.64312E-05  Lin-Lin
 44.8884     9.21593E-05  Lin-Lin
 48.8247     8.83795E-05  Lin-Lin
 53.4808     8.4454E-05   Lin-Lin
 59.8236     7.98843E-05  Lin-Lin
 65.9876     7.60799E-05  Lin-Lin
 73.8137     7.19529E-05  Lin-Lin
 81.9895     6.82962E-05  Lin-Lin
 90.4375     6.50559E-05  Lin-Lin
 100.46      6.17382E-05  Lin-Lin
 111.587     5.87636E-05  Lin-Lin
 122.228     5.62878E-05  Lin-Lin
 134.822     5.37408E-05  Lin-Lin
 149.756     5.11385E-05  Lin-Lin
 165.186     4.88218E-05  Lin-Lin
 186.08      4.61559E-05  Lin-Lin
 203.816     4.42189E-05  Lin-Lin
 223.252     4.2357E-05   Lin-Lin
 242.83      4.07074E-05  Lin-Lin
 265.974     3.89833E-05  Lin-Lin
 299.617     3.68608E-05  Lin-Lin
 330.488     3.51907E-05  Lin-Lin
 372.274     3.32701E-05  Lin-Lin
 407.775     3.18731E-05  Lin-Lin
 446.64      3.05317E-05  Lin-Lin
 485.807     2.93425E-05  Lin-Lin
 532.136     2.80984E-05  Lin-Lin
 599.416     2.65699E-05  Lin-Lin
 656.579     2.54504E-05  Lin-Lin
 734.448     2.41333E-05  Lin-Lin
 821.553     2.28945E-05  Lin-Lin
 918.988     2.17099E-05  Lin-Lin
 1006.58     2.08079E-05  Lin-Lin
 1118.12     1.9948E-05   Lin-Lin
 1233.33     1.91721E-05  Lin-Lin
 1428.74     1.80671E-05  Lin-Lin
 1587.07     1.73178E-05  Lin-Lin
 1738.34     1.66992E-05  Lin-Lin
 1864.47     1.62318E-05  Lin-Lin
 2013.86     1.57383E-05  Lin-Lin
 2284.49     1.51427E-05  Lin-Lin
 2683.78     1.44079E-05  Lin-Lin
 3087.38     1.38041E-05  Lin-Lin
 3576.73     1.31905E-05  Lin-Lin
