#LIBRARY    FENDL-3.0
#REACTION   CA-40(N,G)CA-41,SIG
#NUCLEUS    Ca-40
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       20.4881      Lin-Lin
 1.10304E-05 19.5077      Lin-Lin
 1.21669E-05 18.5743      Lin-Lin
 1.34206E-05 17.6855      Lin-Lin
 1.48034E-05 16.8392      Lin-Lin
 1.63286E-05 16.0334      Lin-Lin
 1.80111E-05 15.2662      Lin-Lin
 1.98669E-05 14.5357      Lin-Lin
 2.19139E-05 13.8402      Lin-Lin
 2.41719E-05 13.1779      Lin-Lin
 2.66625E-05 12.5473      Lin-Lin
 2.94097E-05 11.9469      Lin-Lin
 3.244E-05   11.3753      Lin-Lin
 3.57825E-05 10.8309      Lin-Lin
 3.94694E-05 10.3127      Lin-Lin
 4.35362E-05 9.8192       Lin-Lin
 4.80221E-05 9.34935      Lin-Lin
 5.29701E-05 8.90197      Lin-Lin
 5.8428E-05  8.476        Lin-Lin
 6.44482E-05 8.07042      Lin-Lin
 7.10888E-05 7.68424      Lin-Lin
 7.84136E-05 7.31655      Lin-Lin
 8.64931E-05 6.96644      Lin-Lin
 9.54051E-05 6.63309      Lin-Lin
 0.000105235 6.31569      Lin-Lin
 0.000116078 6.01348      Lin-Lin
 0.000128039 5.72573      Lin-Lin
 0.000141232 5.45175      Lin-Lin
 0.000155784 5.19088      Lin-Lin
 0.000171835 4.94249      Lin-Lin
 0.00018954  4.70599      Lin-Lin
 0.00020907  4.4808       Lin-Lin
 0.000230612 4.26639      Lin-Lin
 0.000254374 4.06224      Lin-Lin
 0.000280584 3.86786      Lin-Lin
 0.000309494 3.68278      Lin-Lin
 0.000341383 3.50655      Lin-Lin
 0.000376558 3.33876      Lin-Lin
 0.000415358 3.179        Lin-Lin
 0.000458155 3.02688      Lin-Lin
 0.000505362 2.88204      Lin-Lin
 0.000557433 2.74413      Lin-Lin
 0.000614869 2.61283      Lin-Lin
 0.000678223 2.4878       Lin-Lin
 0.000748105 2.36876      Lin-Lin
 0.000825188 2.25541      Lin-Lin
 0.000910213 2.14749      Lin-Lin
 0.001004    2.04473      Lin-Lin
 0.00110745  1.94688      Lin-Lin
 0.00122155  1.85372      Lin-Lin
 0.00134742  1.76502      Lin-Lin
 0.00148625  1.68056      Lin-Lin
 0.00163939  1.60015      Lin-Lin
 0.00180831  1.52358      Lin-Lin
 0.00199463  1.45067      Lin-Lin
 0.00220016  1.38126      Lin-Lin
 0.00242685  1.31516      Lin-Lin
 0.00267691  1.25223      Lin-Lin
 0.00295273  1.19231      Lin-Lin
 0.00325697  1.13526      Lin-Lin
 0.00359256  1.08094      Lin-Lin
 0.00396272  1.02921      Lin-Lin
 0.00437103  0.979963     Lin-Lin
 0.00482141  0.933071     Lin-Lin
 0.00531819  0.888423     Lin-Lin
 0.00586616  0.845911     Lin-Lin
 0.00647059  0.805433     Lin-Lin
 0.0071373   0.766893     Lin-Lin
 0.00787271  0.730196     Lin-Lin
 0.00868389  0.695256     Lin-Lin
 0.00957865  0.661987     Lin-Lin
 0.0105656   0.630311     Lin-Lin
 0.0116543   0.60015      Lin-Lin
 0.0128551   0.571434     Lin-Lin
 0.0141796   0.544092     Lin-Lin
 0.0156406   0.518062     Lin-Lin
 0.0172522   0.493281     Lin-Lin
 0.0190298   0.469691     Lin-Lin
 0.0209906   0.447235     Lin-Lin
 0.0231534   0.425859     Lin-Lin
 0.0252419   0.407882     Lin-Lin
 0.0253      0.407414     Lin-Lin
 0.0279068   0.387938     Lin-Lin
 0.0307823   0.369386     Lin-Lin
 0.033954    0.351716     Lin-Lin
 0.0374525   0.334892     Lin-Lin
 0.0413115   0.31888      Lin-Lin
 0.0455681   0.303636     Lin-Lin
 0.0502633   0.289115     Lin-Lin
 0.0554423   0.275277     Lin-Lin
 0.0611549   0.262091     Lin-Lin
 0.0674561   0.249534     Lin-Lin
 0.0744066   0.237584     Lin-Lin
 0.0820732   0.226216     Lin-Lin
 0.0905297   0.215408     Lin-Lin
 0.0998577   0.205117     Lin-Lin
 0.110147    0.195303     Lin-Lin
 0.121496    0.185947     Lin-Lin
 0.134014    0.177037     Lin-Lin
 0.147823    0.168556     Lin-Lin
 0.163054    0.160492     Lin-Lin
 0.179855    0.152834     Lin-Lin
 0.198386    0.145537     Lin-Lin
 0.218827    0.138566     Lin-Lin
 0.241375    0.131924     Lin-Lin
 0.266245    0.125602     Lin-Lin
 0.293678    0.119585     Lin-Lin
 0.323938    0.113857     Lin-Lin
 0.357316    0.108416     Lin-Lin
 0.394132    0.103252     Lin-Lin
 0.434743    0.0983085    Lin-Lin
 0.479537    0.093596     Lin-Lin
 0.528947    0.0891107    Lin-Lin
 0.583448    0.0848415    Lin-Lin
 0.643565    0.0807777    Lin-Lin
 0.709876    0.0769216    Lin-Lin
 0.788543    0.0730015    Lin-Lin
 0.869792    0.069501     Lin-Lin
 0.959413    0.0661693    Lin-Lin
 1.05827     0.0629986    Lin-Lin
 1.16731     0.0599803    Lin-Lin
 1.28758     0.0571071    Lin-Lin
 1.42025     0.0543721    Lin-Lin
 1.56659     0.051777     Lin-Lin
 1.75239     0.048962     Lin-Lin
 1.93295     0.0466167    Lin-Lin
 2.13211     0.0443826    Lin-Lin
 2.3518      0.0422549    Lin-Lin
 2.59412     0.0402315    Lin-Lin
 2.86141     0.0383044    Lin-Lin
 3.13414     0.0366056    Lin-Lin
 3.48145     0.0347345    Lin-Lin
 3.84017     0.0330724    Lin-Lin
 4.20618     0.0315989    Lin-Lin
 4.63957     0.0300813    Lin-Lin
 5.11762     0.0286423    Lin-Lin
 5.64492     0.0272689    Lin-Lin
 6.22656     0.0259661    Lin-Lin
 6.91657     0.0246391    Lin-Lin
 7.62924     0.0234614    Lin-Lin
 8.35638     0.0224167    Lin-Lin
 9.15329     0.0214143    Lin-Lin
 10.0964     0.0203886    Lin-Lin
 11.1367     0.0194099    Lin-Lin
 12.2842     0.0184809    Lin-Lin
 13.8374     0.0174164    Lin-Lin
 15.1569     0.0166406    Lin-Lin
 16.4861     0.015955     Lin-Lin
 17.9318     0.0152975    Lin-Lin
 19.6409     0.0146124    Lin-Lin
 21.6646     0.0139138    Lin-Lin
 23.8968     0.013246     Lin-Lin
 25.9924     0.012708     Lin-Lin
 27.8784     0.0122665    Lin-Lin
 30.3231     0.0117595    Lin-Lin
 32.9822     0.0112745    Lin-Lin
 35.8744     0.0108093    Lin-Lin
 39.2956     0.0103239    Lin-Lin
 43.3445     0.00983012   Lin-Lin
 47.8105     0.00935767   Lin-Lin
 52.0031     0.00897695   Lin-Lin
 55.7765     0.00866465   Lin-Lin
 60.6676     0.00830591   Lin-Lin
 65.9876     0.00796262   Lin-Lin
 71.2714     0.00766022   Lin-Lin
 77.5213     0.00734273   Lin-Lin
 85.5089     0.00698909   Lin-Lin
 93.6634     0.00667491   Lin-Lin
 101.163     0.00642475   Lin-Lin
 110.811     0.00613596   Lin-Lin
 120.528     0.00588103   Lin-Lin
 131.097     0.00563721   Lin-Lin
 142.593     0.0054034    Lin-Lin
 155.097     0.00517838   Lin-Lin
 171.078     0.00492777   Lin-Lin
 187.384     0.00470505   Lin-Lin
 202.398     0.00452765   Lin-Lin
 220.147     0.00433762   Lin-Lin
 241.129     0.00414203   Lin-Lin
 262.274     0.00396898   Lin-Lin
 285.273     0.00380296   Lin-Lin
 310.289     0.00364313   Lin-Lin
 342.26      0.00346509   Lin-Lin
 374.9       0.00330663   Lin-Lin
 404.919     0.00318062   Lin-Lin
 440.427     0.00304542   Lin-Lin
 482.428     0.00290611   Lin-Lin
 524.687     0.00278296   Lin-Lin
 570.698     0.00266462   Lin-Lin
 620.744     0.00255062   Lin-Lin
 682.984     0.00242669   Lin-Lin
 748.079     0.00231355   Lin-Lin
 807.198     0.00222426   Lin-Lin
 881.695     0.00212282   Lin-Lin
 965.777     0.00202307   Lin-Lin
 1049.35     0.00193579   Lin-Lin
 1133.37     0.00185776   Lin-Lin
 1224.19     0.00178247   Lin-Lin
 1328.2      0.00170543   Lin-Lin
 1454.79     0.00162327   Lin-Lin
 1591.91     0.00154518   Lin-Lin
 1763.36     0.00146069   Lin-Lin
 1931.53     0.00138859   Lin-Lin
 2098.67     0.00132546   Lin-Lin
 2266.72     0.00126904   Lin-Lin
 2431.19     0.00121965   Lin-Lin
 2599.56     0.00117418   Lin-Lin
 2719.17     0.00114791   Lin-Lin
 2770.32     0.00114217   Lin-Lin
 2796.76     0.00114489   Lin-Lin
 2810.83     0.00115096   Lin-Lin
 2821.35     0.00116034   Lin-Lin
