#LIBRARY    JENDL-4.0
#REACTION   CD-113(N,G)CD-114,SIG
#NUCLEUS    Cd-113
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       770952       Lin-Lin
 1.10304E-05 734069       Lin-Lin
 1.21669E-05 698951       Lin-Lin
 1.34205E-05 665514       Lin-Lin
 1.48034E-05 633678       Lin-Lin
 1.63287E-05 603365       Lin-Lin
 1.80111E-05 574503       Lin-Lin
 1.98669E-05 547023       Lin-Lin
 2.19139E-05 520858       Lin-Lin
 2.41719E-05 495946       Lin-Lin
 2.66625E-05 472227       Lin-Lin
 2.94097E-05 449643       Lin-Lin
 3.244E-05   428140       Lin-Lin
 3.57825E-05 407667       Lin-Lin
 3.94694E-05 388174       Lin-Lin
 4.35362E-05 369615       Lin-Lin
 4.80221E-05 351945       Lin-Lin
 5.29701E-05 335121       Lin-Lin
 5.8428E-05  319103       Lin-Lin
 6.44483E-05 303852       Lin-Lin
 7.10888E-05 289332       Lin-Lin
 7.84136E-05 275508       Lin-Lin
 8.64931E-05 262346       Lin-Lin
 9.54051E-05 249815       Lin-Lin
 0.000105235 237885       Lin-Lin
 0.000116078 226527       Lin-Lin
 0.000128039 215714       Lin-Lin
 0.000141232 205419       Lin-Lin
 0.000155784 195619       Lin-Lin
 0.000171835 186289       Lin-Lin
 0.00018954  177406       Lin-Lin
 0.00020907  168951       Lin-Lin
 0.000230612 160902       Lin-Lin
 0.000254374 153240       Lin-Lin
 0.000280583 145946       Lin-Lin
 0.000309494 139003       Lin-Lin
 0.000341383 132395       Lin-Lin
 0.000376558 126105       Lin-Lin
 0.000415358 120118       Lin-Lin
 0.000458155 114420       Lin-Lin
 0.000505362 108997       Lin-Lin
 0.000557433 103837       Lin-Lin
 0.000614869 98926.3      Lin-Lin
 0.000678223 94253.5      Lin-Lin
 0.000748105 89807.5      Lin-Lin
 0.000825188 85577.5      Lin-Lin
 0.000910213 81553.4      Lin-Lin
 0.001004    77725.5      Lin-Lin
 0.00110745  74084.7      Lin-Lin
 0.00122156  70622.2      Lin-Lin
 0.00134742  67329.6      Lin-Lin
 0.00148625  64199.2      Lin-Lin
 0.00163939  61223.4      Lin-Lin
 0.00180831  58395.1      Lin-Lin
 0.00199463  55707.5      Lin-Lin
 0.00220016  53154.2      Lin-Lin
 0.00242685  50729.1      Lin-Lin
 0.00269579  48266        Lin-Lin
 0.00299439  45937.8      Lin-Lin
 0.00332622  43736.2      Lin-Lin
 0.00369464  41657.1      Lin-Lin
 0.00410407  39693.1      Lin-Lin
 0.00455865  37840.7      Lin-Lin
 0.00506384  36093.4      Lin-Lin
 0.00562472  34448.4      Lin-Lin
 0.00624804  32899.8      Lin-Lin
 0.0069401   31445.3      Lin-Lin
 0.00770918  30079.9      Lin-Lin
 0.00856308  28801.4      Lin-Lin
 0.00951202  27605.5      Lin-Lin
 0.0105656   26490.6      Lin-Lin
 0.0117365   25453.7      Lin-Lin
 0.0130364   24494.2      Lin-Lin
 0.0145825   23553.6      Lin-Lin
 0.016312    22697.2      Lin-Lin
 0.0182466   21924.5      Lin-Lin
 0.0204106   21236.5      Lin-Lin
 0.0228313   20635.9      Lin-Lin
 0.0252419   20175        Lin-Lin
 0.0253      20165.4      Lin-Lin
 0.0283005   19742.4      Lin-Lin
 0.031657    19420.1      Lin-Lin
 0.0354114   19208.1      Lin-Lin
 0.0396112   19120.2      Lin-Lin
 0.04017     19118.9      Lin-Lin
 0.0447729   19189        Lin-Lin
 0.0497346   19410.2      Lin-Lin
 0.0548591   19779.8      Lin-Lin
 0.0605116   20342.1      Lin-Lin
 0.066279    21078.1      Lin-Lin
 0.0720911   21986.7      Lin-Lin
 0.0778674   23061.9      Lin-Lin
 0.0835175   24289.7      Lin-Lin
 0.08895     25646.2      Lin-Lin
 0.0940769   27096.5      Lin-Lin
 0.0994994   28823.3      Lin-Lin
 0.104502    30604.3      Lin-Lin
 0.109751    32677.2      Lin-Lin
 0.11527     35089.3      Lin-Lin
 0.12106     37876.5      Lin-Lin
 0.127147    41071.4      Lin-Lin
 0.135418    45752.4      Lin-Lin
 0.147292    52628.9      Lin-Lin
 0.152546    55417.1      Lin-Lin
 0.156881    57438.3      Lin-Lin
 0.161339    59143.9      Lin-Lin
 0.164761    60134        Lin-Lin
 0.168264    60814.6      Lin-Lin
 0.171833    61128.3      Lin-Lin
 0.172984    61143.8      Lin-Lin
 0.176591    60915.8      Lin-Lin
 0.179727    60377.2      Lin-Lin
 0.183549    59307.7      Lin-Lin
 0.187442    57785.7      Lin-Lin
 0.191427    55831.8      Lin-Lin
 0.195488    53502.5      Lin-Lin
 0.201043    49913.3      Lin-Lin
 0.217151    38623.1      Lin-Lin
 0.223322    34519.7      Lin-Lin
 0.228059    31578.6      Lin-Lin
 0.232908    28784.5      Lin-Lin
 0.237848    26173.4      Lin-Lin
 0.241204    24535.4      Lin-Lin
 0.244607    22983.2      Lin-Lin
 0.248058    21517.1      Lin-Lin
 0.251557    20136.1      Lin-Lin
 0.255106    18838.4      Lin-Lin
 0.258705    17621.4      Lin-Lin
 0.262355    16481.9      Lin-Lin
 0.266057    15416.5      Lin-Lin
 0.26981     14421.5      Lin-Lin
 0.273617    13493.2      Lin-Lin
 0.277477    12627.5      Lin-Lin
 0.281392    11820.8      Lin-Lin
 0.285362    11069.2      Lin-Lin
 0.289388    10369.2      Lin-Lin
 0.29347     9717.3       Lin-Lin
 0.297611    9110.2       Lin-Lin
 0.301809    8544.77      Lin-Lin
 0.306067    8018.06      Lin-Lin
 0.310385    7527.32      Lin-Lin
 0.314764    7069.96      Lin-Lin
 0.319205    6643.57      Lin-Lin
 0.323709    6245.91      Lin-Lin
 0.328276    5874.89      Lin-Lin
 0.332907    5528.59      Lin-Lin
 0.337604    5205.2       Lin-Lin
 0.342367    4903.07      Lin-Lin
 0.347197    4620.67      Lin-Lin
 0.352095    4356.58      Lin-Lin
 0.357063    4109.49      Lin-Lin
 0.3621      3878.18      Lin-Lin
 0.367209    3661.54      Lin-Lin
 0.372389    3458.54      Lin-Lin
 0.377643    3268.21      Lin-Lin
 0.382971    3089.69      Lin-Lin
 0.388374    2922.15      Lin-Lin
 0.393853    2764.85      Lin-Lin
 0.39941     2617.08      Lin-Lin
 0.405045    2478.21      Lin-Lin
 0.410759    2347.62      Lin-Lin
 0.416554    2224.75      Lin-Lin
 0.425411    2053.62      Lin-Lin
 0.434435    1897.54      Lin-Lin
 0.443672    1754.37      Lin-Lin
 0.453083    1623.52      Lin-Lin
 0.462716    1503.24      Lin-Lin
 0.472531    1393.09      Lin-Lin
 0.482578    1291.67      Lin-Lin
 0.492814    1198.63      Lin-Lin
 0.503292    1112.85      Lin-Lin
 0.513968    1034.08      Lin-Lin
 0.524896    961.327      Lin-Lin
 0.53603     894.344      Lin-Lin
 0.547427    832.301      Lin-Lin
 0.559039    775.073      Lin-Lin
 0.570925    722.026      Lin-Lin
 0.583035    673.058      Lin-Lin
 0.595431    627.615      Lin-Lin
 0.608062    585.614      Lin-Lin
 0.62099     546.585      Lin-Lin
 0.634162    510.466      Lin-Lin
 0.647646    476.862      Lin-Lin
 0.661383    445.726      Lin-Lin
 0.675446    416.726      Lin-Lin
 0.689773    389.825      Lin-Lin
 0.704439    364.742      Lin-Lin
 0.719381    341.45       Lin-Lin
 0.734677    319.711      Lin-Lin
 0.75026     299.504      Lin-Lin
 0.766212    280.625      Lin-Lin
 0.782465    263.061      Lin-Lin
 0.799102    246.637      Lin-Lin
 0.816052    231.343      Lin-Lin
 0.833403    217.029      Lin-Lin
 0.85108     203.69       Lin-Lin
 0.869176    191.195      Lin-Lin
 0.887613    179.544      Lin-Lin
 0.906485    168.626      Lin-Lin
 0.925713    158.443      Lin-Lin
 0.945395    148.892      Lin-Lin
 0.965449    139.963      Lin-Lin
 0.985976    131.567      Lin-Lin
 1.00689     123.719      Lin-Lin
 1.0283      116.355      Lin-Lin
 1.05011     109.472      Lin-Lin
 1.07244     103.009      Lin-Lin
 1.09519     96.972       Lin-Lin
 1.11847     91.2915      Lin-Lin
 1.1422      85.9621      Lin-Lin
 1.16648     80.9438      Lin-Lin
 1.19122     76.2428      Lin-Lin
