#LIBRARY    JENDL-4.0/HE
#REACTION   CL-35(N,G)CL-36,SIG
#NUCLEUS    Cl-35
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 1E-05       2194.04      Lin-Lin
 1.10304E-05 2089.05      Lin-Lin
 1.21669E-05 1989.09      Lin-Lin
 1.34206E-05 1893.91      Lin-Lin
 1.48034E-05 1803.28      Lin-Lin
 1.63286E-05 1716.99      Lin-Lin
 1.80111E-05 1634.83      Lin-Lin
 1.98669E-05 1556.61      Lin-Lin
 2.19139E-05 1482.12      Lin-Lin
 2.41719E-05 1411.2       Lin-Lin
 2.66625E-05 1343.67      Lin-Lin
 2.94097E-05 1279.38      Lin-Lin
 3.244E-05   1218.16      Lin-Lin
 3.57825E-05 1159.87      Lin-Lin
 3.94694E-05 1104.37      Lin-Lin
 4.35362E-05 1051.52      Lin-Lin
 4.80221E-05 1001.21      Lin-Lin
 5.29701E-05 953.296      Lin-Lin
 5.8428E-05  907.68       Lin-Lin
 6.44482E-05 864.247      Lin-Lin
 7.10888E-05 822.892      Lin-Lin
 7.84136E-05 783.516      Lin-Lin
 8.64931E-05 746.024      Lin-Lin
 9.54051E-05 710.326      Lin-Lin
 0.000105235 676.336      Lin-Lin
 0.000116078 643.972      Lin-Lin
 0.000128039 613.158      Lin-Lin
 0.000141232 583.817      Lin-Lin
 0.000155784 555.881      Lin-Lin
 0.000171835 529.282      Lin-Lin
 0.00018954  503.955      Lin-Lin
 0.00020907  479.84       Lin-Lin
 0.000230612 456.879      Lin-Lin
 0.000254374 435.017      Lin-Lin
 0.000280584 414.201      Lin-Lin
 0.000309494 394.381      Lin-Lin
 0.000341383 375.509      Lin-Lin
 0.000376558 357.54       Lin-Lin
 0.000415358 340.432      Lin-Lin
 0.000458155 324.141      Lin-Lin
 0.000505362 308.631      Lin-Lin
 0.000557433 293.862      Lin-Lin
 0.000614869 279.8        Lin-Lin
 0.000678223 266.411      Lin-Lin
 0.000748105 253.663      Lin-Lin
 0.000825188 241.525      Lin-Lin
 0.000910213 229.967      Lin-Lin
 0.001004    218.963      Lin-Lin
 0.00110745  208.485      Lin-Lin
 0.00122155  198.508      Lin-Lin
 0.00134742  189.009      Lin-Lin
