#LIBRARY    JENDL-4.0/HE
#REACTION   CR-52(N,G)CR-53,SIG
#NUCLEUS    Cr-52
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 1E-05       43.0548      Lin-Lin
 1.10304E-05 40.9946      Lin-Lin
 1.21669E-05 39.033       Lin-Lin
 1.34206E-05 37.1652      Lin-Lin
 1.48034E-05 35.3868      Lin-Lin
 1.63286E-05 33.6935      Lin-Lin
 1.80111E-05 32.0812      Lin-Lin
 1.98669E-05 30.5461      Lin-Lin
 2.19139E-05 29.0844      Lin-Lin
 2.41719E-05 27.6927      Lin-Lin
 2.66625E-05 26.3676      Lin-Lin
 2.94097E-05 25.1059      Lin-Lin
 3.244E-05   23.9045      Lin-Lin
 3.57825E-05 22.7606      Lin-Lin
 3.94694E-05 21.6715      Lin-Lin
 4.35362E-05 20.6345      Lin-Lin
 4.80221E-05 19.6471      Lin-Lin
 5.29701E-05 18.707       Lin-Lin
 5.8428E-05  17.8118      Lin-Lin
 6.44482E-05 16.9595      Lin-Lin
 7.10888E-05 16.1479      Lin-Lin
 7.84136E-05 15.3752      Lin-Lin
 8.64931E-05 14.6395      Lin-Lin
 9.54051E-05 13.939       Lin-Lin
 0.000105235 13.2719      Lin-Lin
 0.000116078 12.6369      Lin-Lin
 0.000128039 12.0321      Lin-Lin
 0.000141232 11.4564      Lin-Lin
 0.000155784 10.9082      Lin-Lin
 0.000171835 10.3862      Lin-Lin
 0.00018954  9.88915      Lin-Lin
 0.00020907  9.41592      Lin-Lin
 0.000230612 8.96533      Lin-Lin
 0.000254374 8.53631      Lin-Lin
 0.000280584 8.12781      Lin-Lin
 0.000309494 7.73886      Lin-Lin
 0.000341383 7.36852      Lin-Lin
 0.000376558 7.01589      Lin-Lin
 0.000415358 6.68015      Lin-Lin
 0.000458155 6.36046      Lin-Lin
 0.000505362 6.05608      Lin-Lin
 0.000557433 5.76625      Lin-Lin
 0.000614869 5.4903       Lin-Lin
 0.000678223 5.22755      Lin-Lin
 0.000748105 4.97738      Lin-Lin
 0.000825188 4.73917      Lin-Lin
 0.000910213 4.51236      Lin-Lin
 0.001004    4.29641      Lin-Lin
 0.00110745  4.09079      Lin-Lin
 0.00122155  3.89501      Lin-Lin
 0.00134742  3.7086       Lin-Lin
 0.00148625  3.53111      Lin-Lin
 0.00163939  3.36212      Lin-Lin
 0.00180831  3.20121      Lin-Lin
 0.00199463  3.048        Lin-Lin
 0.00220016  2.90213      Lin-Lin
 0.00242685  2.76324      Lin-Lin
 0.00267691  2.63099      Lin-Lin
 0.00295273  2.50507      Lin-Lin
 0.00325697  2.38518      Lin-Lin
 0.00359256  2.27103      Lin-Lin
 0.00396272  2.16234      Lin-Lin
 0.00437103  2.05886      Lin-Lin
 0.00482141  1.96032      Lin-Lin
 0.00531819  1.86651      Lin-Lin
 0.00586616  1.77718      Lin-Lin
 0.00647059  1.69213      Lin-Lin
 0.0071373   1.61114      Lin-Lin
 0.00787271  1.53404      Lin-Lin
 0.00868389  1.46062      Lin-Lin
 0.00957865  1.39072      Lin-Lin
 0.0105656   1.32417      Lin-Lin
 0.0116543   1.2608       Lin-Lin
 0.0128551   1.20047      Lin-Lin
 0.0141796   1.14304      Lin-Lin
 0.0156406   1.08836      Lin-Lin
 0.0172522   1.03632      Lin-Lin
 0.0190298   0.98678      Lin-Lin
 0.0209906   0.939636     Lin-Lin
 0.0231534   0.894775     Lin-Lin
 0.0252419   0.857074     Lin-Lin
 0.0253      0.856093     Lin-Lin
 0.0279068   0.815281     Lin-Lin
 0.0307823   0.776437     Lin-Lin
 0.033954    0.739457     Lin-Lin
 0.0374525   0.704245     Lin-Lin
 0.0413115   0.670725     Lin-Lin
 0.0455681   0.638825     Lin-Lin
 0.0502633   0.608463     Lin-Lin
 0.0554423   0.57954      Lin-Lin
 0.0611549   0.551967     Lin-Lin
 0.0674561   0.525688     Lin-Lin
 0.0744066   0.500659     Lin-Lin
 0.0820732   0.476833     Lin-Lin
 0.0905297   0.454173     Lin-Lin
 0.0998577   0.432612     Lin-Lin
 0.110147    0.412044     Lin-Lin
 0.121496    0.392423     Lin-Lin
 0.134014    0.373733     Lin-Lin
 0.147823    0.355939     Lin-Lin
 0.163054    0.338997     Lin-Lin
 0.179855    0.322901     Lin-Lin
 0.199786    0.306518     Lin-Lin
 0.220371    0.291928     Lin-Lin
 0.243077    0.278023     Lin-Lin
 0.268123    0.26478      Lin-Lin
 0.29575     0.252177     Lin-Lin
 0.326223    0.240169     Lin-Lin
 0.359836    0.228742     Lin-Lin
 0.396913    0.217917     Lin-Lin
 0.440876    0.206832     Lin-Lin
 0.486303    0.196983     Lin-Lin
 0.53641     0.187598     Lin-Lin
 0.59168     0.178671     Lin-Lin
 0.652645    0.170164     Lin-Lin
 0.719891    0.162073     Lin-Lin
 0.799668    0.153874     Lin-Lin
 0.882063    0.146541     Lin-Lin
 0.972949    0.139564     Lin-Lin
 1.0732      0.132912     Lin-Lin
 1.19207     0.12615      Lin-Lin
 1.32417     0.119724     Lin-Lin
 1.46061     0.114026     Lin-Lin
 1.61111     0.108614     Lin-Lin
 1.80218     0.102743     Lin-Lin
 1.98787     0.097857     Lin-Lin
 2.17734     0.0935219    Lin-Lin
 2.41863     0.088755     Lin-Lin
 2.68652     0.0842369    Lin-Lin
 2.96333     0.0802309    Lin-Lin
 3.24593     0.076695     Lin-Lin
 3.60546     0.0727973    Lin-Lin
 3.97696     0.0693374    Lin-Lin
 4.35622     0.0662607    Lin-Lin
 4.83872     0.0628819    Lin-Lin
 5.37494     0.0596788    Lin-Lin
 5.92876     0.056843     Lin-Lin
 6.49383     0.0543405    Lin-Lin
 7.16294     0.051754     Lin-Lin
 7.84603     0.0494658    Lin-Lin
 8.53406     0.047436     Lin-Lin
 9.41338     0.0451742    Lin-Lin
 10.456      0.0428761    Lin-Lin
 11.5334     0.040829     Lin-Lin
 12.7218     0.0388875    Lin-Lin
 14.2305     0.036787     Lin-Lin
 15.5876     0.0351604    Lin-Lin
 16.9545     0.0337172    Lin-Lin
 18.5705     0.032226     Lin-Lin
 20.3414     0.0307912    Lin-Lin
 22.4374     0.0293255    Lin-Lin
 24.9226     0.0278299    Lin-Lin
 28.2717     0.0261394    Lin-Lin
 31.1847     0.0248984    Lin-Lin
 33.9194     0.0238747    Lin-Lin
 36.8938     0.0228971    Lin-Lin
 40.1291     0.0219548    Lin-Lin
 44.2639     0.0209059    Lin-Lin
 48.8247     0.0199055    Lin-Lin
 53.1062     0.019099     Lin-Lin
 57.3614     0.018374     Lin-Lin
 62.3915     0.0176184    Lin-Lin
 67.8627     0.0168919    Lin-Lin
 73.8137     0.0161979    Lin-Lin
 79.7241     0.0155846    Lin-Lin
 87.9387     0.0148359    Lin-Lin
 96.3249     0.0141724    Lin-Lin
 104.772     0.0135952    Lin-Lin
 113.959     0.0130308    Lin-Lin
 124.821     0.0124495    Lin-Lin
 135.767     0.011933     Lin-Lin
 147.672     0.0114397    Lin-Lin
 159.505     0.0110032    Lin-Lin
 175.939     0.0104708    Lin-Lin
 192.708     0.00999872   Lin-Lin
 209.607     0.00958803   Lin-Lin
 227.988     0.0091862    Lin-Lin
 249.73      0.00877183   Lin-Lin
 269.726     0.00843344   Lin-Lin
 293.379     0.00808095   Lin-Lin
 316.532     0.00777323   Lin-Lin
 349.147     0.00739098   Lin-Lin
 381.754     0.00706041   Lin-Lin
 414.174     0.00677238   Lin-Lin
 453.671     0.0064606    Lin-Lin
 498.424     0.00615432   Lin-Lin
 539.958     0.00590285   Lin-Lin
 587.307     0.00565055   Lin-Lin
 634.335     0.00542719   Lin-Lin
 697.938     0.00516044   Lin-Lin
 759.141     0.00493749   Lin-Lin
 824.871     0.00472634   Lin-Lin
 907.356     0.0044936    Lin-Lin
 993.885     0.00428267   Lin-Lin
 1071.77     0.00411524   Lin-Lin
 1157.65     0.00395527   Lin-Lin
 1241.65     0.00381961   Lin-Lin
 1324.14     0.00371447   Lin-Lin
 1375.95     0.00367028   Lin-Lin
 1408.62     0.00365849   Lin-Lin
 1439.31     0.00366415   Lin-Lin
 1458.04     0.0036835    Lin-Lin
 1476.62     0.00371971   Lin-Lin
 1489.6      0.00376182   Lin-Lin
 1499.59     0.00380759   Lin-Lin
 1512.31     0.00388944   Lin-Lin
 1524.28     0.00400245   Lin-Lin
 1531        0.0040887    Lin-Lin
 1536.25     0.00417133   Lin-Lin
 1541.51     0.00427089   Lin-Lin
 1546.38     0.00438298   Lin-Lin
 1551.24     0.00451923   Lin-Lin
 1556.11     0.00468544   Lin-Lin
 1559.76     0.00483677   Lin-Lin
 1563.66     0.00502877   Lin-Lin
 1566.34     0.00518456   Lin-Lin
 1569.02     0.00536314   Lin-Lin
 1571.7      0.0055701    Lin-Lin
 1574.03     0.00577665   Lin-Lin
 1576.36     0.00601346   Lin-Lin
 1578.7      0.00628757   Lin-Lin
 1581.03     0.00660638   Lin-Lin
 1582.76     0.00687716   Lin-Lin
 1584.48     0.00718304   Lin-Lin
 1586.21     0.00753099   Lin-Lin
 1587.94     0.00792757   Lin-Lin
 1589.67     0.00838257   Lin-Lin
 1591.37     0.00890095   Lin-Lin
 1592.5      0.00928926   Lin-Lin
 1593.62     0.00971923   Lin-Lin
