#LIBRARY    JENDL/HE-2007
#REACTION   CR-53(N,G)CR-54,SIG
#NUCLEUS    Cr-53
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 1E-05       884.749      Lin-Lin
 1.1024E-05  842.656      Lin-Lin
 1.21504E-05 802.646      Lin-Lin
 1.33946E-05 764.461      Lin-Lin
 1.47633E-05 728.162      Lin-Lin
 1.6275E-05  693.521      Lin-Lin
 1.79381E-05 660.59       Lin-Lin
 1.97749E-05 629.163      Lin-Lin
 2.17956E-05 599.289      Lin-Lin
 2.40274E-05 570.777      Lin-Lin
 2.64826E-05 543.676      Lin-Lin
 2.91943E-05 517.811      Lin-Lin
 3.21775E-05 493.224      Lin-Lin
 3.54723E-05 469.759      Lin-Lin
 3.9097E-05  447.454      Lin-Lin
 4.31005E-05 426.166      Lin-Lin
 4.75046E-05 405.931      Lin-Lin
 5.2369E-05  386.619      Lin-Lin
 5.77202E-05 368.261      Lin-Lin
 6.36306E-05 350.741      Lin-Lin
 7.01326E-05 334.087      Lin-Lin
 7.73139E-05 318.193      Lin-Lin
 8.52142E-05 303.085      Lin-Lin
 9.39398E-05 288.666      Lin-Lin
 0.000103539 274.959      Lin-Lin
 0.000114141 261.878      Lin-Lin
 0.000125804 249.443      Lin-Lin
 0.000138686 237.577      Lin-Lin
 0.000152858 226.296      Lin-Lin
 0.00016851  215.53       Lin-Lin
 0.000185729 205.296      Lin-Lin
 0.000204747 195.529      Lin-Lin
 0.000225669 186.245      Lin-Lin
 0.000248777 177.384      Lin-Lin
 0.000274198 168.962      Lin-Lin
 0.000302275 160.923      Lin-Lin
 0.000333162 153.282      Lin-Lin
 0.000367277 145.99       Lin-Lin
 0.000404807 139.058      Lin-Lin
 0.000446258 132.442      Lin-Lin
 0.000491858 126.154      Lin-Lin
 0.000542223 120.152      Lin-Lin
 0.000597629 114.447      Lin-Lin
 0.000658824 109.002      Lin-Lin
 0.000726145 103.826      Lin-Lin
 0.000800501 98.887       Lin-Lin
 0.000882299 94.1916      Lin-Lin
 0.000972643 89.7105      Lin-Lin
 0.00107203  85.4508      Lin-Lin
 0.0011818   81.3855      Lin-Lin
 0.00130256  77.5211      Lin-Lin
 0.00143594  73.8331      Lin-Lin
 0.00158267  70.3273      Lin-Lin
 0.00174474  66.9815      Lin-Lin
 0.00192302  63.8011      Lin-Lin
 0.00211993  60.7657      Lin-Lin
 0.00233655  57.8804      Lin-Lin
 0.00257581  55.1268      Lin-Lin
 0.00283901  52.5092      Lin-Lin
 0.00312972  50.0111      Lin-Lin
 0.00344953  47.6365      Lin-Lin
 0.00380275  45.3702      Lin-Lin
 0.00419133  43.2159      Lin-Lin
 0.00462051  41.1599      Lin-Lin
 0.00509265  39.2055      Lin-Lin
 0.00561412  37.3403      Lin-Lin
 0.00618779  35.5673      Lin-Lin
 0.0068214   33.8752      Lin-Lin
 0.00751843  32.2667      Lin-Lin
 0.0082883   30.7316      Lin-Lin
 0.00913523  29.2725      Lin-Lin
 0.0100706   27.8799      Lin-Lin
 0.0110997   26.5562      Lin-Lin
 0.0122363   25.293       Lin-Lin
 0.0134866   24.0923      Lin-Lin
 0.0148676   22.9467      Lin-Lin
 0.0163868   21.8579      Lin-Lin
 0.0180648   20.8189      Lin-Lin
 0.0199107   19.8313      Lin-Lin
 0.0219495   18.8887      Lin-Lin
 0.0241924   17.9926      Lin-Lin
 0.0250875   17.669       Lin-Lin
 0.0253      17.5947      Lin-Lin
 0.0278906   16.7584      Lin-Lin
 0.0307406   15.9632      Lin-Lin
 0.0338884   15.2039      Lin-Lin
 0.0373512   14.4815      Lin-Lin
 0.0411758   13.7919      Lin-Lin
 0.0453833   13.1368      Lin-Lin
