#LIBRARY    JENDL-4.0/HE
#REACTION   F-19(N,G)F-20,SIG
#NUCLEUS    F-19
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       0.481358     Lin-Lin
 1.10304E-05 0.458324     Lin-Lin
 1.21669E-05 0.436393     Lin-Lin
 1.34206E-05 0.415511     Lin-Lin
 1.48034E-05 0.395629     Lin-Lin
 1.63286E-05 0.376698     Lin-Lin
 1.80111E-05 0.358672     Lin-Lin
 1.98669E-05 0.34151      Lin-Lin
 2.19139E-05 0.325168     Lin-Lin
 2.41719E-05 0.309608     Lin-Lin
 2.66625E-05 0.294793     Lin-Lin
 2.94097E-05 0.280687     Lin-Lin
 3.244E-05   0.267256     Lin-Lin
 3.57825E-05 0.254468     Lin-Lin
 3.94694E-05 0.242291     Lin-Lin
 4.35362E-05 0.230697     Lin-Lin
 4.80221E-05 0.219658     Lin-Lin
 5.29701E-05 0.209147     Lin-Lin
 5.8428E-05  0.19914      Lin-Lin
 6.44482E-05 0.189611     Lin-Lin
 7.10888E-05 0.180537     Lin-Lin
 7.84136E-05 0.171899     Lin-Lin
 8.64931E-05 0.163673     Lin-Lin
 9.54051E-05 0.155841     Lin-Lin
 0.000105235 0.148384     Lin-Lin
 0.000116078 0.141284     Lin-Lin
 0.000128039 0.134523     Lin-Lin
 0.000141232 0.128086     Lin-Lin
 0.000155784 0.121957     Lin-Lin
 0.000171835 0.116121     Lin-Lin
 0.00018954  0.110565     Lin-Lin
 0.00020907  0.105274     Lin-Lin
 0.000230612 0.100237     Lin-Lin
 0.000254374 0.0954404    Lin-Lin
 0.000280584 0.0908735    Lin-Lin
 0.000309494 0.0865251    Lin-Lin
 0.000341383 0.0823848    Lin-Lin
 0.000376558 0.0784426    Lin-Lin
 0.000415358 0.074689     Lin-Lin
 0.000458155 0.0711151    Lin-Lin
 0.000505362 0.0677122    Lin-Lin
 0.000557433 0.0644721    Lin-Lin
 0.000614869 0.0613871    Lin-Lin
 0.000678223 0.0584496    Lin-Lin
 0.000748105 0.0556528    Lin-Lin
 0.000825188 0.0529897    Lin-Lin
 0.000910213 0.0504541    Lin-Lin
 0.001004    0.0480399    Lin-Lin
 0.00110745  0.0457411    Lin-Lin
 0.00122155  0.0435524    Lin-Lin
 0.00134742  0.0414683    Lin-Lin
 0.00148625  0.039484     Lin-Lin
 0.00163939  0.0375947    Lin-Lin
 0.00180831  0.0357958    Lin-Lin
 0.00199463  0.0340829    Lin-Lin
 0.00220016  0.032452     Lin-Lin
 0.00242685  0.0308991    Lin-Lin
 0.00267691  0.0294206    Lin-Lin
 0.00295273  0.0280128    Lin-Lin
 0.00325697  0.0266724    Lin-Lin
 0.00359256  0.0253961    Lin-Lin
 0.00396272  0.0241808    Lin-Lin
 0.00437103  0.0230238    Lin-Lin
 0.00482141  0.0219221    Lin-Lin
 0.00531819  0.0208731    Lin-Lin
 0.00586616  0.0198743    Lin-Lin
 0.00647059  0.0189233    Lin-Lin
 0.0071373   0.0180178    Lin-Lin
 0.00787271  0.0171556    Lin-Lin
 0.00868389  0.0163347    Lin-Lin
 0.00957865  0.0155531    Lin-Lin
 0.0105656   0.0148089    Lin-Lin
 0.0116543   0.0141002    Lin-Lin
 0.0128551   0.0134255    Lin-Lin
 0.0141796   0.0127831    Lin-Lin
 0.0156406   0.0121714    Lin-Lin
 0.0172522   0.011589     Lin-Lin
 0.0190298   0.0110345    Lin-Lin
 0.0209906   0.0105065    Lin-Lin
 0.0231534   0.0100037    Lin-Lin
 0.0252419   0.00958098   Lin-Lin
 0.0253      0.00956997   Lin-Lin
 0.0279068   0.00911205   Lin-Lin
 0.0307823   0.00867607   Lin-Lin
 0.033954    0.00826097   Lin-Lin
 0.0374525   0.00786578   Lin-Lin
 0.0413115   0.00748957   Lin-Lin
 0.0455681   0.00713145   Lin-Lin
 0.0502633   0.00679056   Lin-Lin
 0.0554423   0.00646606   Lin-Lin
 0.0611549   0.00615711   Lin-Lin
 0.0674561   0.00586286   Lin-Lin
 0.0744066   0.00558252   Lin-Lin
 0.0820732   0.00531538   Lin-Lin
 0.0905297   0.0050609    Lin-Lin
 0.0998577   0.00481855   Lin-Lin
 0.110147    0.0045879    Lin-Lin
 0.121496    0.00436848   Lin-Lin
 0.134014    0.0041597    Lin-Lin
 0.147823    0.00396085   Lin-Lin
 0.163054    0.0037713    Lin-Lin
 0.179855    0.00359067   Lin-Lin
 0.198386    0.00341866   Lin-Lin
 0.218827    0.00325494   Lin-Lin
 0.241375    0.00309923   Lin-Lin
 0.266245    0.00295122   Lin-Lin
 0.293678    0.00281027   Lin-Lin
 0.323938    0.00267577   Lin-Lin
 0.357316    0.00254758   Lin-Lin
 0.394132    0.00242553   Lin-Lin
 0.434743    0.00230938   Lin-Lin
 0.479537    0.00219896   Lin-Lin
 0.528947    0.00209416   Lin-Lin
 0.587564    0.00198708   Lin-Lin
 0.648105    0.00189186   Lin-Lin
 0.714884    0.00180121   Lin-Lin
 0.788543    0.00171494   Lin-Lin
 0.869792    0.00163282   Lin-Lin
 0.959413    0.00155478   Lin-Lin
 1.05827     0.00148087   Lin-Lin
 1.16731     0.00140996   Lin-Lin
 1.28758     0.0013424    Lin-Lin
 1.42025     0.00127809   Lin-Lin
 1.56659     0.00121689   Lin-Lin
 1.72801     0.00115864   Lin-Lin
 1.90606     0.00110318   Lin-Lin
 2.10245     0.00105043   Lin-Lin
 2.33533     0.000997079  Lin-Lin
 2.57595     0.000949316  Lin-Lin
