#LIBRARY    JENDL-4.0
#REACTION   FE-56(N,G)FE-57,SIG
#NUCLEUS    Fe-56
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       130.3        Lin-Lin
 1.1024E-05  124.101      Lin-Lin
 1.21504E-05 118.209      Lin-Lin
 1.33946E-05 112.585      Lin-Lin
 1.47633E-05 107.239      Lin-Lin
 1.6275E-05  102.137      Lin-Lin
 1.79381E-05 97.2875      Lin-Lin
 1.97749E-05 92.6591      Lin-Lin
 2.17956E-05 88.2594      Lin-Lin
 2.40274E-05 84.0605      Lin-Lin
 2.64826E-05 80.0691      Lin-Lin
 2.91943E-05 76.2599      Lin-Lin
 3.21775E-05 72.6389      Lin-Lin
 3.54723E-05 69.1832      Lin-Lin
 3.9097E-05  65.8981      Lin-Lin
 4.31005E-05 62.763       Lin-Lin
 4.75046E-05 59.7829      Lin-Lin
 5.2369E-05  56.9388      Lin-Lin
 5.77202E-05 54.2352      Lin-Lin
 6.36306E-05 51.655       Lin-Lin
 7.01326E-05 49.2023      Lin-Lin
 7.73139E-05 46.8615      Lin-Lin
 8.52142E-05 44.6364      Lin-Lin
 9.39398E-05 42.5129      Lin-Lin
 0.000103539 40.4942      Lin-Lin
 0.000114141 38.5677      Lin-Lin
 0.000125804 36.7365      Lin-Lin
 0.000138686 34.9888      Lin-Lin
 0.000152858 33.3274      Lin-Lin
 0.00016851  31.7419      Lin-Lin
 0.000185729 30.2347      Lin-Lin
 0.000204747 28.7963      Lin-Lin
 0.000225669 27.429       Lin-Lin
 0.000248777 26.124       Lin-Lin
 0.000274198 24.8836      Lin-Lin
 0.000302275 23.6998      Lin-Lin
 0.000333162 22.5745      Lin-Lin
 0.000367277 21.5005      Lin-Lin
 0.000404807 20.4796      Lin-Lin
 0.000446258 19.5053      Lin-Lin
 0.000491858 18.5791      Lin-Lin
 0.000542223 17.6952      Lin-Lin
 0.000597629 16.855       Lin-Lin
 0.000658824 16.0531      Lin-Lin
 0.000726145 15.2909      Lin-Lin
 0.000800501 14.5634      Lin-Lin
 0.000882299 13.8719      Lin-Lin
 0.000972643 13.212       Lin-Lin
 0.00107203  12.5846      Lin-Lin
 0.0011818   11.9859      Lin-Lin
 0.00130256  11.4168      Lin-Lin
 0.00143594  10.8737      Lin-Lin
 0.00158267  10.3574      Lin-Lin
 0.00174474  9.86461      Lin-Lin
 0.00192302  9.39621      Lin-Lin
 0.00211993  8.94919      Lin-Lin
 0.00233655  8.52426      Lin-Lin
 0.00257581  8.11872      Lin-Lin
 0.00283901  7.73322      Lin-Lin
 0.00312972  7.36532      Lin-Lin
 0.00344953  7.01559      Lin-Lin
 0.00380275  6.68183      Lin-Lin
 0.00419133  6.36455      Lin-Lin
 0.00462051  6.06176      Lin-Lin
 0.00509265  5.77393      Lin-Lin
 0.00561412  5.49924      Lin-Lin
 0.00618779  5.23812      Lin-Lin
 0.0068214   4.98892      Lin-Lin
 0.00751843  4.75203      Lin-Lin
 0.0082883   4.52595      Lin-Lin
 0.00913523  4.31105      Lin-Lin
 0.0100706   4.10596      Lin-Lin
 0.0110997   3.91102      Lin-Lin
 0.0122363   3.72499      Lin-Lin
 0.0134866   3.54818      Lin-Lin
 0.0148676   3.37947      Lin-Lin
 0.0163868   3.21914      Lin-Lin
 0.0180648   3.06613      Lin-Lin
 0.0199107   2.92067      Lin-Lin
 0.0219495   2.7818       Lin-Lin
 0.0241924   2.64975      Lin-Lin
 0.0250875   2.60205      Lin-Lin
 0.0253      2.5911       Lin-Lin
 0.0278906   2.46783      Lin-Lin
 0.0307406   2.35072      Lin-Lin
 0.0338884   2.23897      Lin-Lin
 0.0373512   2.13277      Lin-Lin
 0.0411758   2.03138      Lin-Lin
 0.0453833   1.93491      Lin-Lin
 0.0500305   1.84276      Lin-Lin
 0.0551428   1.75515      Lin-Lin
 0.0607892   1.67159      Lin-Lin
 0.0670009   1.59228      Lin-Lin
 0.0738616   1.51668      Lin-Lin
 0.081409    1.44475      Lin-Lin
 0.089745    1.37596      Lin-Lin
 0.0989155   1.31052      Lin-Lin
 0.109044    1.24807      Lin-Lin
 0.120187    1.18873      Lin-Lin
 0.132493    1.13213      Lin-Lin
 0.146032    1.07846      Lin-Lin
 0.160985    1.02731      Lin-Lin
 0.177435    0.978514     Lin-Lin
 0.195604    0.931872     Lin-Lin
 0.215592    0.887547     Lin-Lin
 0.237668    0.845257     Lin-Lin
 0.261954    0.805069     Lin-Lin
 0.288777    0.766753     Lin-Lin
 0.318285    0.730507     Lin-Lin
 0.350877    0.695759     Lin-Lin
 0.38673     0.662647     Lin-Lin
 0.42633     0.631056     Lin-Lin
 0.469894    0.601035     Lin-Lin
 0.51801     0.572392     Lin-Lin
 0.570942    0.545202     Lin-Lin
 0.629405    0.519438     Lin-Lin
 0.69372     0.4947       Lin-Lin
 0.764755    0.471092     Lin-Lin
 0.8429      0.448659     Lin-Lin
 0.929211    0.427262     Lin-Lin
 1.02416     0.406924     Lin-Lin
 1.12903     0.387536     Lin-Lin
 1.26196     0.366656     Lin-Lin
 1.39091     0.349172     Lin-Lin
 1.53333     0.332487     Lin-Lin
 1.69001     0.316647     Lin-Lin
 1.86307     0.301534     Lin-Lin
 2.05344     0.287151     Lin-Lin
 2.26371     0.273439     Lin-Lin
 2.49502     0.260408     Lin-Lin
 2.78877     0.246304     Lin-Lin
 3.07433     0.234522     Lin-Lin
 3.38848     0.223346     Lin-Lin
 3.73545     0.212648     Lin-Lin
 4.11715     0.202476     Lin-Lin
 4.53873     0.192771     Lin-Lin
 5.00252     0.183556     Lin-Lin
 5.59148     0.17356      Lin-Lin
 6.16403     0.16524      Lin-Lin
 6.7939      0.157337     Lin-Lin
 7.38538     0.150827     Lin-Lin
 8.14161     0.143538     Lin-Lin
 8.97356     0.136642     Lin-Lin
 9.89242     0.130051     Lin-Lin
 11.0571     0.12291      Lin-Lin
 12.3589     0.116158     Lin-Lin
 13.4348     0.11132      Lin-Lin
 14.6045     0.106676     Lin-Lin
 15.876      0.102205     Lin-Lin
 17.4982     0.0972283    Lin-Lin
 19.29       0.0924643    Lin-Lin
 20.9694     0.0886341    Lin-Lin
 22.4779     0.0854698    Lin-Lin
 24.7795     0.0812754    Lin-Lin
 26.9369     0.0778258    Lin-Lin
 29.282      0.074512     Lin-Lin
 31.8313     0.0713175    Lin-Lin
 35.0839     0.0677668    Lin-Lin
 38.1384     0.064837     Lin-Lin
 40.8899     0.0625066    Lin-Lin
 45.0681     0.0593542    Lin-Lin
 48.9918     0.0567558    Lin-Lin
 53.257      0.0542659    Lin-Lin
 57.8936     0.0518737    Lin-Lin
 62.0703     0.0499419    Lin-Lin
 67.4742     0.0477054    Lin-Lin
 74.369      0.0452101    Lin-Lin
 80.7273     0.0431824    Lin-Lin
 90.2316     0.0405779    Lin-Lin
 98.0872     0.0386929    Lin-Lin
 106.627     0.0368837    Lin-Lin
 115.91      0.0351427    Lin-Lin
 124.272     0.0337351    Lin-Lin
 132.793     0.0324354    Lin-Lin
 144.354     0.0308467    Lin-Lin
 156.921     0.0293276    Lin-Lin
 171.891     0.0277254    Lin-Lin
