#LIBRARY    JENDL-4.0
#REACTION   GD-157(N,G)GD-158,SIG
#NUCLEUS    Gd-157
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       9.7162E+06   Lin-Lin
 1.10304E-05 9.25142E+06  Lin-Lin
 1.21669E-05 8.80888E+06  Lin-Lin
 1.34205E-05 8.38753E+06  Lin-Lin
 1.48034E-05 7.98635E+06  Lin-Lin
 1.63287E-05 7.60437E+06  Lin-Lin
 1.80111E-05 7.24069E+06  Lin-Lin
 1.98669E-05 6.89441E+06  Lin-Lin
 2.19139E-05 6.56471E+06  Lin-Lin
 2.41719E-05 6.2508E+06   Lin-Lin
 2.66625E-05 5.95192E+06  Lin-Lin
 2.94097E-05 5.66736E+06  Lin-Lin
 3.244E-05   5.39642E+06  Lin-Lin
 3.57825E-05 5.13846E+06  Lin-Lin
 3.94694E-05 4.89286E+06  Lin-Lin
 4.35362E-05 4.65903E+06  Lin-Lin
 4.80221E-05 4.4364E+06   Lin-Lin
 5.29701E-05 4.22443E+06  Lin-Lin
 5.8428E-05  4.02263E+06  Lin-Lin
 6.44483E-05 3.8305E+06   Lin-Lin
 7.10888E-05 3.64758E+06  Lin-Lin
 7.84136E-05 3.47343E+06  Lin-Lin
 8.64931E-05 3.30764E+06  Lin-Lin
 9.54051E-05 3.1498E+06   Lin-Lin
 0.000105235 2.99954E+06  Lin-Lin
 0.000116078 2.85649E+06  Lin-Lin
 0.000128039 2.72031E+06  Lin-Lin
 0.000141232 2.59067E+06  Lin-Lin
 0.000155784 2.46726E+06  Lin-Lin
 0.000171835 2.34978E+06  Lin-Lin
 0.00018954  2.23796E+06  Lin-Lin
 0.00020907  2.13152E+06  Lin-Lin
 0.000230612 2.03021E+06  Lin-Lin
 0.000254374 1.93378E+06  Lin-Lin
 0.000280583 1.84201E+06  Lin-Lin
 0.000309494 1.75466E+06  Lin-Lin
 0.000341383 1.67154E+06  Lin-Lin
 0.000376558 1.59244E+06  Lin-Lin
 0.000415358 1.51717E+06  Lin-Lin
 0.000458155 1.44555E+06  Lin-Lin
 0.000505362 1.37741E+06  Lin-Lin
 0.000557433 1.31259E+06  Lin-Lin
 0.000614869 1.25093E+06  Lin-Lin
 0.000678223 1.19228E+06  Lin-Lin
 0.000748105 1.1365E+06   Lin-Lin
 0.000825188 1.08347E+06  Lin-Lin
 0.000910213 1.03304E+06  Lin-Lin
 0.001004    985099       Lin-Lin
 0.00110745  939532       Lin-Lin
 0.00122156  896226       Lin-Lin
 0.00134742  855074       Lin-Lin
 0.00148625  815975       Lin-Lin
 0.00165096  776243       Lin-Lin
 0.00183382  738660       Lin-Lin
 0.00203704  703083       Lin-Lin
 0.00226267  669445       Lin-Lin
 0.00251342  637618       Lin-Lin
 0.00279181  607544       Lin-Lin
 0.0031012   579114       Lin-Lin
 0.00344469  552278       Lin-Lin
 0.00382643  526943       Lin-Lin
 0.00425026  503071       Lin-Lin
 0.00472126  480582       Lin-Lin
 0.0052442   459441       Lin-Lin
 0.00582536  439566       Lin-Lin
 0.00647059  420904       Lin-Lin
 0.00718765  403359       Lin-Lin
 0.0080401   385800       Lin-Lin
 0.00899364  369352       Lin-Lin
 0.0100603   353947       Lin-Lin
 0.0112534   339523       Lin-Lin
 0.0126762   325178       Lin-Lin
 0.0142796   311699       Lin-Lin
 0.0161985   298211       Lin-Lin
 0.0183753   285346       Lin-Lin
 0.0211387   271473       Lin-Lin
 0.0252419   253509       Lin-Lin
 0.0253      253266       Lin-Lin
 0.0312166   229518       Lin-Lin
 0.0387884   201280       Lin-Lin
 0.0488745   165468       Lin-Lin
 0.0554423   142988       Lin-Lin
 0.0598846   128770       Lin-Lin
 0.0637799   117238       Lin-Lin
 0.0674561   107196       Lin-Lin
 0.0708479   98639.7      Lin-Lin
 0.0744066   90339.2      Lin-Lin
 0.0781478   82238.9      Lin-Lin
 0.0820732   74278.6      Lin-Lin
 0.0861999   66434        Lin-Lin
 0.0892703   60975.1      Lin-Lin
 0.0924546   55707        Lin-Lin
 0.0950817   51707.1      Lin-Lin
 0.0977835   47962.1      Lin-Lin
 0.0998577   45355.9      Lin-Lin
 0.101981    42927.2      Lin-Lin
 0.104144    40682.5      Lin-Lin
 0.106358    38593.8      Lin-Lin
 0.109381    36021.2      Lin-Lin
 0.112489    33638.3      Lin-Lin
 0.115685    31408.4      Lin-Lin
 0.118972    29312.2      Lin-Lin
 0.122353    27340.3      Lin-Lin
 0.12583     25486.7      Lin-Lin
 0.129405    23746.3      Lin-Lin
 0.133082    22114.2      Lin-Lin
 0.136864    20585.2      Lin-Lin
 0.140753    19154.3      Lin-Lin
 0.144752    17816.5      Lin-Lin
 0.148866    16566.8      Lin-Lin
 0.153096    15400.3      Lin-Lin
 0.157446    14312.2      Lin-Lin
 0.16192     13297.9      Lin-Lin
 0.166521    12353        Lin-Lin
 0.171253    11473.2      Lin-Lin
 0.176119    10654.5      Lin-Lin
 0.181123    9892.87      Lin-Lin
 0.18627     9184.68      Lin-Lin
 0.191563    8526.41      Lin-Lin
 0.197006    7914.72      Lin-Lin
 0.202604    7346.48      Lin-Lin
 0.208362    6818.74      Lin-Lin
 0.214282    6328.71      Lin-Lin
 0.220371    5873.79      Lin-Lin
 0.226633    5451.53      Lin-Lin
 0.233073    5059.66      Lin-Lin
 0.239696    4696.08      Lin-Lin
 0.246507    4358.8       Lin-Lin
 0.253511    4045.9       Lin-Lin
 0.260715    3755.51      Lin-Lin
 0.268123    3486.03      Lin-Lin
 0.275742    3236.07      Lin-Lin
 0.283578    3004.26      Lin-Lin
 0.291636    2789.17      Lin-Lin
 0.299923    2589.58      Lin-Lin
 0.308445    2404.41      Lin-Lin
 0.31721     2232.62      Lin-Lin
 0.326223    2073.26      Lin-Lin
 0.335493    1925.42      Lin-Lin
 0.345026    1788.25      Lin-Lin
 0.35483     1661.01      Lin-Lin
 0.364913    1543.02      Lin-Lin
 0.375282    1433.66      Lin-Lin
 0.385946    1332.17      Lin-Lin
 0.396913    1237.85      Lin-Lin
 0.408191    1150.23      Lin-Lin
 0.41979     1068.9       Lin-Lin
 0.431719    993.413      Lin-Lin
 0.443986    923.34       Lin-Lin
 0.456602    858.291      Lin-Lin
 0.469577    797.901      Lin-Lin
 0.48292     741.833      Lin-Lin
 0.496642    689.772      Lin-Lin
 0.510755    641.43       Lin-Lin
 0.525268    596.536      Lin-Lin
 0.540194    554.842      Lin-Lin
 0.555544    516.116      Lin-Lin
 0.57133     480.145      Lin-Lin
 0.587564    446.731      Lin-Lin
 0.60426     415.689      Lin-Lin
 0.62143     386.848      Lin-Lin
 0.639089    360.052      Lin-Lin
 0.657249    335.153      Lin-Lin
 0.675925    312.016      Lin-Lin
 0.695131    290.515      Lin-Lin
 0.714884    270.54       Lin-Lin
 0.735197    251.993      Lin-Lin
 0.756088    234.758      Lin-Lin
 0.777573    218.716      Lin-Lin
 0.799668    203.768      Lin-Lin
 0.822391    189.893      Lin-Lin
 0.84576     177.004      Lin-Lin
 0.869792    165.031      Lin-Lin
 0.894508    153.93       Lin-Lin
 0.919926    143.601      Lin-Lin
 0.946066    133.973      Lin-Lin
 0.972949    125.022      Lin-Lin
 1.0006      116.704      Lin-Lin
 1.02903     108.973      Lin-Lin
 1.05827     101.79       Lin-Lin
 1.08834     95.1175      Lin-Lin
 1.11926     88.9197      Lin-Lin
 1.15107     83.1649      Lin-Lin
 1.18378     77.8232      Lin-Lin
 1.21741     72.8671      Lin-Lin
 1.25201     68.2715      Lin-Lin
 1.28758     64.0131      Lin-Lin
 1.32417     60.0707      Lin-Lin
 1.3618      56.4285      Lin-Lin
 1.40049     53.0716      Lin-Lin
 1.44029     49.9661      Lin-Lin
 1.48122     47.1037      Lin-Lin
 1.52331     44.4875      Lin-Lin
 1.56659     42.1005      Lin-Lin
 1.61111     39.9341      Lin-Lin
 1.65689     37.9831      Lin-Lin
 1.70397     36.2457      Lin-Lin
 1.75239     34.7232      Lin-Lin
 1.80218     33.4218      Lin-Lin
 1.84041     32.5989      Lin-Lin
 1.87954     31.9135      Lin-Lin
 1.91941     31.3803      Lin-Lin
 1.96022     31.0126      Lin-Lin
 2.0018      30.8329      Lin-Lin
 2.01688     30.8201      Lin-Lin
 2.05976     30.9512      Lin-Lin
 2.08882     31.1909      Lin-Lin
 2.11829     31.5703      Lin-Lin
 2.14818     32.1161      Lin-Lin
 2.17849     32.8602      Lin-Lin
 2.20922     33.8402      Lin-Lin
 2.23254     34.7593      Lin-Lin
 2.25608     35.8651      Lin-Lin
 2.27995     37.1975      Lin-Lin
 2.30405     38.7932      Lin-Lin
 2.32837     40.7036      Lin-Lin
 2.34474     42.1876      Lin-Lin
 2.36122     43.8702      Lin-Lin
 2.37782     45.784       Lin-Lin
 2.39453     47.9672      Lin-Lin
 2.41137     50.4652      Lin-Lin
 2.42832     53.3345      Lin-Lin
 2.44112     55.7738      Lin-Lin
 2.45392     58.4826      Lin-Lin
 2.4669      61.5436      Lin-Lin
 2.47989     64.9674      Lin-Lin
 2.49293     68.8287      Lin-Lin
 2.5061      73.2234      Lin-Lin
 2.51926     78.2015      Lin-Lin
 2.5281      81.9214      Lin-Lin
 2.537       86.0172      Lin-Lin
 2.5459      90.5078      Lin-Lin
 2.5548      95.4448      Lin-Lin
 2.56377     100.928      Lin-Lin
 2.57279     107.042      Lin-Lin
 2.58182     113.836      Lin-Lin
 2.59085     121.411      Lin-Lin
 2.59866     128.693      Lin-Lin
 2.60526     135.439      Lin-Lin
 2.61186     142.799      Lin-Lin
 2.61846     150.848      Lin-Lin
 2.62451     158.91       Lin-Lin
 2.63276     171.1        Lin-Lin
 2.63827     180.093      Lin-Lin
 2.64377     189.87       Lin-Lin
 2.64927     200.52       Lin-Lin
 2.65478     212.147      Lin-Lin
 2.66028     224.866      Lin-Lin
 2.66579     238.812      Lin-Lin
 2.67129     254.136      Lin-Lin
 2.67679     271.01       Lin-Lin
 2.6823      289.63       Lin-Lin
 2.6878      310.216      Lin-Lin
 2.69331     333.018      Lin-Lin
 2.69881     358.312      Lin-Lin
 2.70431     386.403      Lin-Lin
 2.70844     409.503      Lin-Lin
 2.71257     434.509      Lin-Lin
