#LIBRARY    JENDL-4.0
#REACTION   H-1(N,G)H-2,SIG
#NUCLEUS    H-1
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       16.7004      Lin-Lin
 1.1024E-05  15.9059      Lin-Lin
 1.21504E-05 15.1507      Lin-Lin
 1.33946E-05 14.4299      Lin-Lin
 1.47633E-05 13.7447      Lin-Lin
 1.6275E-05  13.0908      Lin-Lin
 1.79381E-05 12.4692      Lin-Lin
 1.97749E-05 11.876       Lin-Lin
 2.17956E-05 11.3121      Lin-Lin
 2.40274E-05 10.7739      Lin-Lin
 2.64826E-05 10.2624      Lin-Lin
 2.91943E-05 9.77414      Lin-Lin
 3.21775E-05 9.31005      Lin-Lin
 3.54723E-05 8.86713      Lin-Lin
 3.9097E-05  8.44609      Lin-Lin
 4.31005E-05 8.04427      Lin-Lin
 4.75046E-05 7.66231      Lin-Lin
 5.2369E-05  7.29778      Lin-Lin
 5.77202E-05 6.95126      Lin-Lin
 6.36306E-05 6.62056      Lin-Lin
 7.01326E-05 6.3062       Lin-Lin
 7.73139E-05 6.00619      Lin-Lin
 8.52142E-05 5.721        Lin-Lin
 9.39398E-05 5.44883      Lin-Lin
 0.000103539 5.1901       Lin-Lin
 0.000114141 4.94319      Lin-Lin
 0.000125804 4.70847      Lin-Lin
 0.000138686 4.48447      Lin-Lin
 0.000152858 4.27153      Lin-Lin
 0.00016851  4.06832      Lin-Lin
 0.000185729 3.87514      Lin-Lin
 0.000204747 3.69079      Lin-Lin
 0.000225669 3.51554      Lin-Lin
 0.000248777 3.34829      Lin-Lin
 0.000274198 3.1893       Lin-Lin
 0.000302275 3.03757      Lin-Lin
 0.000333162 2.89334      Lin-Lin
 0.000367277 2.75569      Lin-Lin
 0.000404807 2.62485      Lin-Lin
 0.000446258 2.49997      Lin-Lin
 0.000491858 2.38127      Lin-Lin
 0.000542223 2.26798      Lin-Lin
 0.000597629 2.16029      Lin-Lin
 0.000658824 2.05752      Lin-Lin
 0.000726145 1.95982      Lin-Lin
 0.000800501 1.86658      Lin-Lin
 0.000882299 1.77795      Lin-Lin
 0.000972643 1.77337      Lin-Lin
 0.00107203  1.65296      Lin-Lin
 0.0011818   1.56623      Lin-Lin
