#LIBRARY    JENDL-4.0
#REACTION   HE-3(N,G)HE-4,SIG
#NUCLEUS    He-3
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       0.00271679   Lin-Lin
 1.1024E-05  0.00258753   Lin-Lin
 1.21504E-05 0.00246468   Lin-Lin
 1.33946E-05 0.00234742   Lin-Lin
 1.47633E-05 0.00223596   Lin-Lin
 1.6275E-05  0.00212959   Lin-Lin
 1.79381E-05 0.00202847   Lin-Lin
 1.97749E-05 0.00193196   Lin-Lin
 2.17956E-05 0.00184023   Lin-Lin
 2.40274E-05 0.00175268   Lin-Lin
 2.64826E-05 0.00166946   Lin-Lin
 2.91943E-05 0.00159004   Lin-Lin
 3.21775E-05 0.00151454   Lin-Lin
 3.54723E-05 0.00144248   Lin-Lin
 3.9097E-05  0.00137399   Lin-Lin
 4.31005E-05 0.00130862   Lin-Lin
 4.75046E-05 0.00124649   Lin-Lin
 5.2369E-05  0.00118718   Lin-Lin
 5.77202E-05 0.00113082   Lin-Lin
 6.36306E-05 0.00107702   Lin-Lin
 7.01326E-05 0.00102588   Lin-Lin
 7.73139E-05 0.000977073  Lin-Lin
 8.52142E-05 0.000930679  Lin-Lin
 9.39398E-05 0.000886403  Lin-Lin
 0.000103539 0.000844314  Lin-Lin
 0.000114141 0.000804146  Lin-Lin
 0.000125804 0.000765964  Lin-Lin
 0.000138686 0.000729524  Lin-Lin
 0.000152858 0.000694884  Lin-Lin
 0.00016851  0.000661825  Lin-Lin
 0.000185729 0.0006304    Lin-Lin
 0.000204747 0.000600409  Lin-Lin
 0.000225669 0.0005719    Lin-Lin
 0.000248777 0.000544692  Lin-Lin
 0.000274198 0.000518829  Lin-Lin
 0.000302275 0.000494146  Lin-Lin
 0.000333162 0.000470683  Lin-Lin
 0.000367277 0.000448291  Lin-Lin
 0.000404807 0.000427005  Lin-Lin
 0.000446258 0.000406691  Lin-Lin
 0.000491858 0.00038738   Lin-Lin
 0.000542223 0.000368951  Lin-Lin
 0.000597629 0.000351432  Lin-Lin
 0.000658824 0.000334713  Lin-Lin
 0.000726145 0.00031882   Lin-Lin
 0.000800501 0.000303653  Lin-Lin
 0.000882299 0.000289235  Lin-Lin
 0.000972643 0.000275475  Lin-Lin
 0.00107203  0.000262395  Lin-Lin
 0.0011818   0.000249912  Lin-Lin
 0.00130256  0.000238046  Lin-Lin
 0.00143594  0.000226721  Lin-Lin
 0.00158267  0.000215956  Lin-Lin
 0.00174474  0.000205682  Lin-Lin
 0.00192302  0.000195916  Lin-Lin
 0.00211993  0.000186596  Lin-Lin
 0.00233655  0.000177736  Lin-Lin
 0.00257581  0.000169281  Lin-Lin
 0.00283901  0.000161243  Lin-Lin
 0.00312972  0.000153573  Lin-Lin
 0.00344953  0.000146281  Lin-Lin
 0.00380275  0.000139322  Lin-Lin
 0.00419133  0.000132707  Lin-Lin
 0.00462051  0.000126394  Lin-Lin
 0.00509265  0.000120393  Lin-Lin
 0.00561412  0.000114666  Lin-Lin
 0.00618779  0.000109222  Lin-Lin
 0.0068214   0.000104026  Lin-Lin
 0.00751843  9.90875E-05  Lin-Lin
 0.0082883   9.4374E-05   Lin-Lin
 0.00913523  8.98936E-05  Lin-Lin
 0.0100706   8.56176E-05  Lin-Lin
 0.0110997   8.1553E-05   Lin-Lin
 0.0122363   7.76739E-05  Lin-Lin
 0.0134866   7.39866E-05  Lin-Lin
 0.0148676   7.04676E-05  Lin-Lin
 0.0163868   6.71225E-05  Lin-Lin
 0.0180648   6.39301E-05  Lin-Lin
 0.0199107   6.08956E-05  Lin-Lin
 0.0219495   5.79995E-05  Lin-Lin
 0.0241924   5.52467E-05  Lin-Lin
 0.0250875   5.42526E-05  Lin-Lin
 0.0253      5.40244E-05  Lin-Lin
 0.0278906   5.14554E-05  Lin-Lin
 0.0307406   4.90134E-05  Lin-Lin
 0.0338884   4.6683E-05   Lin-Lin
 0.0373512   4.44678E-05  Lin-Lin
 0.0411758   4.23538E-05  Lin-Lin
 0.0453833   4.03443E-05  Lin-Lin
 0.0500305   3.84267E-05  Lin-Lin
 0.0551428   3.66041E-05  Lin-Lin
 0.0607892   3.48648E-05  Lin-Lin
 0.0670009   3.32118E-05  Lin-Lin
 0.0738616   3.16345E-05  Lin-Lin
 0.081409    3.01354E-05  Lin-Lin
 0.089745    2.87052E-05  Lin-Lin
 0.0989155   2.7346E-05   Lin-Lin
 0.109044    2.60493E-05  Lin-Lin
 0.120187    2.4817E-05   Lin-Lin
 0.132493    2.36413E-05  Lin-Lin
 0.146032    2.25238E-05  Lin-Lin
 0.160985    2.14575E-05  Lin-Lin
 0.177435    2.04439E-05  Lin-Lin
 0.195604    1.94766E-05  Lin-Lin
 0.215592    1.8557E-05   Lin-Lin
 0.237668    1.76792E-05  Lin-Lin
 0.261954    1.68449E-05  Lin-Lin
 0.288777    1.60486E-05  Lin-Lin
 0.318285    1.52918E-05  Lin-Lin
 0.350877    1.45694E-05  Lin-Lin
 0.38673     1.38826E-05  Lin-Lin
 0.42633     1.32268E-05  Lin-Lin
 0.469894    1.26029E-05  Lin-Lin
 0.51801     1.20071E-05  Lin-Lin
 0.570942    1.14405E-05  Lin-Lin
 0.629405    1.08992E-05  Lin-Lin
 0.69372     1.03844E-05  Lin-Lin
 0.764755    9.89318E-06  Lin-Lin
 0.8429      9.42666E-06  Lin-Lin
 0.929211    8.98281E-06  Lin-Lin
 1.02416     8.56348E-06  Lin-Lin
 1.12903     8.16597E-06  Lin-Lin
 1.2444      7.78938E-06  Lin-Lin
 1.37182     7.43003E-06  Lin-Lin
