#LIBRARY    JENDL-4.0
#REACTION   K-39(N,G)K-40,SIG
#NUCLEUS    K-39
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       105.52       Lin-Lin
 1.10304E-05 100.471      Lin-Lin
 1.21669E-05 95.663       Lin-Lin
 1.34206E-05 91.0854      Lin-Lin
 1.48034E-05 86.7269      Lin-Lin
 1.63286E-05 82.577       Lin-Lin
 1.80111E-05 78.6256      Lin-Lin
 1.98669E-05 74.8633      Lin-Lin
 2.19139E-05 71.281       Lin-Lin
 2.41719E-05 67.8702      Lin-Lin
 2.66625E-05 64.6225      Lin-Lin
 2.94097E-05 61.5303      Lin-Lin
 3.244E-05   58.586       Lin-Lin
 3.57825E-05 55.7826      Lin-Lin
 3.94694E-05 53.1133      Lin-Lin
 4.35362E-05 50.5718      Lin-Lin
 4.80221E-05 48.1519      Lin-Lin
 5.29701E-05 45.8478      Lin-Lin
 5.8428E-05  43.6539      Lin-Lin
 6.44482E-05 41.5651      Lin-Lin
 7.10888E-05 39.5761      Lin-Lin
 7.84136E-05 37.6824      Lin-Lin
 8.64931E-05 35.8793      Lin-Lin
 9.54051E-05 34.1624      Lin-Lin
 0.000105235 32.5277      Lin-Lin
 0.000116078 30.9712      Lin-Lin
 0.000128039 29.4892      Lin-Lin
 0.000141232 28.0781      Lin-Lin
 0.000155784 26.7346      Lin-Lin
 0.000171835 25.4553      Lin-Lin
 0.00018954  24.2372      Lin-Lin
 0.00020907  23.0775      Lin-Lin
 0.000230612 21.9732      Lin-Lin
 0.000254374 20.9218      Lin-Lin
 0.000280584 19.9206      Lin-Lin
 0.000309494 18.9674      Lin-Lin
 0.000341383 18.0598      Lin-Lin
 0.000376558 17.1956      Lin-Lin
 0.000415358 16.3728      Lin-Lin
 0.000458155 15.5893      Lin-Lin
 0.000505362 14.8434      Lin-Lin
 0.000557433 14.1331      Lin-Lin
 0.000614869 13.4568      Lin-Lin
 0.000678223 12.8129      Lin-Lin
 0.000748105 12.1998      Lin-Lin
 0.000825188 11.616       Lin-Lin
 0.000910213 11.0602      Lin-Lin
 0.001004    10.5309      Lin-Lin
 0.00110745  10.027       Lin-Lin
 0.00122155  9.54723      Lin-Lin
 0.00134742  9.09039      Lin-Lin
 0.00148625  8.6554       Lin-Lin
 0.00163939  8.24123      Lin-Lin
 0.00180831  7.84688      Lin-Lin
 0.00199463  7.4714       Lin-Lin
 0.00220016  7.11389      Lin-Lin
 0.00242685  6.77348      Lin-Lin
