#LIBRARY    JENDL-4.0
#REACTION   LI-6(N,T)HE-4,SIG
#NUCLEUS    Li-6
#MF         3
#MT         105
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       47298.8      Lin-Lin
 1.10304E-05 45035.5      Lin-Lin
 1.21669E-05 42880.5      Lin-Lin
 1.34205E-05 40828.7      Lin-Lin
 1.48034E-05 38875        Lin-Lin
 1.63287E-05 37014.8      Lin-Lin
 1.80111E-05 35243.6      Lin-Lin
 1.98669E-05 33557.1      Lin-Lin
 2.19139E-05 31951.4      Lin-Lin
 2.41719E-05 30422.5      Lin-Lin
 2.66625E-05 28966.8      Lin-Lin
 2.94097E-05 27580.7      Lin-Lin
 3.244E-05   26260.9      Lin-Lin
 3.57825E-05 25004.3      Lin-Lin
 3.94694E-05 23807.8      Lin-Lin
 4.35362E-05 22668.6      Lin-Lin
 4.80221E-05 21583.9      Lin-Lin
 5.29701E-05 20551.1      Lin-Lin
 5.8428E-05  19567.7      Lin-Lin
 6.44483E-05 18631.4      Lin-Lin
 7.10888E-05 17739.8      Lin-Lin
 7.84136E-05 16891        Lin-Lin
 8.64931E-05 16082.7      Lin-Lin
 9.54051E-05 15313.1      Lin-Lin
 0.000105235 14580.4      Lin-Lin
 0.000116078 13882.7      Lin-Lin
 0.000128039 13218.4      Lin-Lin
 0.000141232 12585.9      Lin-Lin
 0.000155784 11983.7      Lin-Lin
 0.000171835 11410.2      Lin-Lin
 0.00018954  10864.2      Lin-Lin
 0.00020907  10344.4      Lin-Lin
 0.000230612 9849.38      Lin-Lin
 0.000254374 9378.08      Lin-Lin
 0.000280583 8929.33      Lin-Lin
 0.000309494 8502.06      Lin-Lin
 0.000341383 8095.23      Lin-Lin
 0.000376558 7707.86      Lin-Lin
 0.000415358 7339.03      Lin-Lin
 0.000458155 6987.85      Lin-Lin
 0.000505362 6653.48      Lin-Lin
 0.000557433 6335.1       Lin-Lin
 0.000614869 6031.96      Lin-Lin
 0.000678223 5743.33      Lin-Lin
 0.000748105 5468.5       Lin-Lin
 0.000825188 5206.83      Lin-Lin
 0.000910213 4957.68      Lin-Lin
 0.001004    4720.45      Lin-Lin
 0.00110745  4494.57      Lin-Lin
 0.00122156  4279.5       Lin-Lin
 0.00134742  4074.72      Lin-Lin
 0.00148625  3879.74      Lin-Lin
 0.00163939  3694.09      Lin-Lin
 0.00180831  3517.33      Lin-Lin
 0.00199463  3349.02      Lin-Lin
 0.00220016  3188.77      Lin-Lin
 0.00242685  3036.18      Lin-Lin
 0.00267691  2890.9       Lin-Lin
 0.00295273  2752.56      Lin-Lin
 0.00325697  2620.85      Lin-Lin
 0.00359256  2495.44      Lin-Lin
 0.00396272  2376.03      Lin-Lin
 0.00437103  2262.33      Lin-Lin
 0.00482141  2154.08      Lin-Lin
 0.00531819  2051         Lin-Lin
 0.00586616  1952.86      Lin-Lin
 0.00647059  1859.41      Lin-Lin
 0.0071373   1770.44      Lin-Lin
 0.00787271  1685.72      Lin-Lin
 0.00868389  1605.05      Lin-Lin
 0.00957865  1528.25      Lin-Lin
 0.0105656   1455.12      Lin-Lin
 0.0116543   1385.49      Lin-Lin
 0.0128551   1319.19      Lin-Lin
 0.0141796   1256.07      Lin-Lin
 0.0156406   1195.96      Lin-Lin
 0.0172522   1138.73      Lin-Lin
 0.0190298   1084.24      Lin-Lin
 0.0209906   1032.36      Lin-Lin
 0.0231534   982.961      Lin-Lin
 0.0252419   941.418      Lin-Lin
 0.0253      940.336      Lin-Lin
 0.0279068   895.339      Lin-Lin
 0.0307823   852.496      Lin-Lin
 0.033954    811.702      Lin-Lin
 0.0374525   772.861      Lin-Lin
 0.0413115   735.878      Lin-Lin
 0.0455681   700.665      Lin-Lin
 0.0502633   667.136      Lin-Lin
 0.0554423   635.213      Lin-Lin
 0.0611549   604.816      Lin-Lin
 0.0674561   575.875      Lin-Lin
 0.0744066   548.318      Lin-Lin
 0.0820732   522.08       Lin-Lin
 0.0905297   497.099      Lin-Lin
 0.0998577   473.313      Lin-Lin
 0.110147    450.669      Lin-Lin
 0.121496    429.112      Lin-Lin
 0.134014    408.592      Lin-Lin
 0.147823    389.06       Lin-Lin
 0.163054    370.469      Lin-Lin
 0.179855    352.77       Lin-Lin
 0.198386    335.916      Lin-Lin
 0.218827    319.862      Lin-Lin
 0.241375    304.57       Lin-Lin
 0.266245    290.002      Lin-Lin
 0.293678    276.126      Lin-Lin
 0.323938    262.907      Lin-Lin
 0.357316    250.319      Lin-Lin
 0.394132    238.338      Lin-Lin
 0.434743    226.936      Lin-Lin
 0.479537    216.081      Lin-Lin
 0.528947    205.746      Lin-Lin
 0.583448    195.903      Lin-Lin
 0.643565    186.522      Lin-Lin
 0.709876    177.59       Lin-Lin
 0.78302     169.092      Lin-Lin
 0.8637      160.998      Lin-Lin
 0.952693    153.292      Lin-Lin
 1.05086     145.965      Lin-Lin
 1.15913     138.99       Lin-Lin
 1.27857     132.336      Lin-Lin
 1.4103      126.005      Lin-Lin
 1.55562     119.97       Lin-Lin
 1.7159      114.213      Lin-Lin
 1.89271     108.745      Lin-Lin
 2.08772     103.542      Lin-Lin
 2.30284     98.5963      Lin-Lin
 2.54012     93.8702      Lin-Lin
 2.80184     89.3876      Lin-Lin
 3.11233     84.8145      Lin-Lin
 3.43302     80.7372      Lin-Lin
 3.78675     76.8763      Lin-Lin
 4.17692     73.1961      Lin-Lin
 4.6073      69.7033      Lin-Lin
 5.11762     66.123       Lin-Lin
 5.64492     62.9743      Lin-Lin
 6.22656     59.9637      Lin-Lin
 6.86813     57.0745      Lin-Lin
 7.5758      54.3495      Lin-Lin
 8.41533     51.5678      Lin-Lin
 9.28242     49.0956      Lin-Lin
 10.2389     46.748       Lin-Lin
 11.2147     44.678       Lin-Lin
 12.4575     42.3817      Lin-Lin
 13.6448     40.4979      Lin-Lin
 15.0508     38.5591      Lin-Lin
 16.7187     36.5739      Lin-Lin
 18.3121     34.9518      Lin-Lin
 20.0585     33.3953      Lin-Lin
 21.9702     31.9058      Lin-Lin
 24.0654     30.4965      Lin-Lin
 26.1757     29.2223      Lin-Lin
 29.6932     27.4413      Lin-Lin
 33.2148     25.9417      Lin-Lin
 36.3806     24.793       Lin-Lin
 39.5708     23.7719      Lin-Lin
 43.0409     22.7914      Lin-Lin
 46.4895     21.9333      Lin-Lin
 51.6389     20.8014      Lin-Lin
 56.9596     19.8166      Lin-Lin
 61.0925     19.1348      Lin-Lin
 66.9186     18.2733      Lin-Lin
 72.7868     17.5252      Lin-Lin
 78.615      16.8633      Lin-Lin
 86.1121     16.1081      Lin-Lin
 94.3195     15.3925      Lin-Lin
 102.59      14.7591      Lin-Lin
 111.587     14.1495      Lin-Lin
 120.528     13.6167      Lin-Lin
 132.015     13.0079      Lin-Lin
 143.592     12.4739      Lin-Lin
 156.184     11.9597      Lin-Lin
 171.078     11.4252      Lin-Lin
 187.384     10.9175      Lin-Lin
 203.816     10.4677      Lin-Lin
 223.252     10.0011      Lin-Lin
 241.129     9.62483      Lin-Lin
 264.124     9.19423      Lin-Lin
 287.285     8.81677      Lin-Lin
 312.478     8.45334      Lin-Lin
 342.26      8.07574      Lin-Lin
 374.9       7.71672      Lin-Lin
 407.775     7.39874      Lin-Lin
 446.64      7.06913      Lin-Lin
 482.428     6.80299      Lin-Lin
 528.408     6.49878      Lin-Lin
 570.747     6.25302      Lin-Lin
 625.145     5.9751       Lin-Lin
 684.762     5.70806      Lin-Lin
 750.027     5.45442      Lin-Lin
 815.798     5.23007      Lin-Lin
 893.596     4.99594      Lin-Lin
 978.765     4.77423      Lin-Lin
 1064.59     4.57763      Lin-Lin
 1149.9      4.40502      Lin-Lin
 1277.26     4.1789       Lin-Lin
 1369.94     4.03731      Lin-Lin
 1490.07     3.86981      Lin-Lin
 1666.79     3.65916      Lin-Lin
 1800.35     3.52166      Lin-Lin
 1944.5      3.38843      Lin-Lin
 2129.94     3.23774      Lin-Lin
 2332.95     3.09451      Lin-Lin
 2571.79     2.94789      Lin-Lin
 2812.64     2.81957      Lin-Lin
 3037.86     2.71323      Lin-Lin
 3374.5      2.5752       Lin-Lin
 3643.51     2.47954      Lin-Lin
 3923.08     2.39033      Lin-Lin
 4289.16     2.28654      Lin-Lin
 4696.41     2.18651      Lin-Lin
 5070.54     2.10504      Lin-Lin
 5554.09     2.01262      Lin-Lin
 6083.45     1.92422      Lin-Lin
 6616.92     1.84666      Lin-Lin
 7147.1      1.77848      Lin-Lin
 7828.3      1.70063      Lin-Lin
 8665.69     1.61832      Lin-Lin
 9294.47     1.56504      Lin-Lin
 10141.1     1.49983      Lin-Lin
 11108.2     1.43678      Lin-Lin
 12332.3     1.36706      Lin-Lin
 13510       1.30929      Lin-Lin
 14902.1     1.24973      Lin-Lin
 16606       1.18715      Lin-Lin
 18062.2     1.1411       Lin-Lin
 19784.6     1.09242      Lin-Lin
 22445.9     1.03301      Lin-Lin
 24919.3     0.986355     Lin-Lin
 27874.7     0.938478     Lin-Lin
 30319.1     0.904453     Lin-Lin
 33153.1     0.872454     Lin-Lin
 36416       0.839439     Lin-Lin
 40282.2     0.805649     Lin-Lin
 45672.2     0.769491     Lin-Lin
 50352.7     0.742421     Lin-Lin
 58955.5     0.706406     Lin-Lin
 61275.7     0.699105     Lin-Lin
 70490.6     0.675586     Lin-Lin
 80564.3     0.661481     Lin-Lin
 90000       0.65716      Lin-Lin
 100000      0.661892     Lin-Lin
 110000      0.676935     Lin-Lin
 120000      0.704204     Lin-Lin
 130000      0.742709     Lin-Lin
 140000      0.795826     Lin-Lin
 150000      0.896864     Lin-Lin
 160000      1.01474      Lin-Lin
 165000      1.08844      Lin-Lin
 170000      1.17394      Lin-Lin
 174831      1.26964      Lin-Lin
 179799      1.38289      Lin-Lin
 184908      1.51677      Lin-Lin
 190000      1.66986      Lin-Lin
 195000      1.84036      Lin-Lin
 200000      2.03066      Lin-Lin
 205000      2.23865      Lin-Lin
 219000      2.85953      Lin-Lin
 223000      3.02092      Lin-Lin
 226000      3.1278       Lin-Lin
 229000      3.21818      Lin-Lin
 232000      3.28887      Lin-Lin
 235000      3.33706      Lin-Lin
 238500      3.3627       Lin-Lin
 239000      3.36392      Lin-Lin
 242372      3.3538       Lin-Lin
 245000      3.32534      Lin-Lin
 248000      3.26706      Lin-Lin
 251000      3.18619      Lin-Lin
 254000      3.0872       Lin-Lin
 258000      2.93452      Lin-Lin
 273000      2.30056      Lin-Lin
 279000      2.06825      Lin-Lin
 284475      1.87818      Lin-Lin
 290000      1.70717      Lin-Lin
 295000      1.57136      Lin-Lin
 300000      1.45138      Lin-Lin
 310000      1.25249      Lin-Lin
 320000      1.09757      Lin-Lin
 330000      0.975832     Lin-Lin
 340000      0.879028     Lin-Lin
 349661      0.802734     Lin-Lin
 360000      0.735765     Lin-Lin
 370000      0.68269      Lin-Lin
 380000      0.638406     Lin-Lin
 390000      0.601063     Lin-Lin
 400000      0.56927      Lin-Lin
 410000      0.541959     Lin-Lin
 420000      0.518297     Lin-Lin
 430000      0.497656     Lin-Lin
 440000      0.479515     Lin-Lin
 453174      0.45893      Lin-Lin
 463245      0.445046     Lin-Lin
 476631      0.428814     Lin-Lin
 493456      0.411341     Lin-Lin
 503527      0.402303     Lin-Lin
 523668      0.386294     Lin-Lin
 543809      0.372795     Lin-Lin
 563950      0.361268     Lin-Lin
 594162      0.346792     Lin-Lin
 624374      0.334987     Lin-Lin
 654585      0.325219     Lin-Lin
 694867      0.314478     Lin-Lin
 734918      0.305774     Lin-Lin
 785502      0.296752     Lin-Lin
 845925      0.288058     Lin-Lin
 932980      0.278172     Lin-Lin
 1.02126E+06 0.270089     Lin-Lin
 1.19936E+06 0.256273     Lin-Lin
 1.54262E+06 0.231138     Lin-Lin
 1.76064E+06 0.213721     Lin-Lin
 1.8E+06     0.210454     Lin-Lin
 2.2329E+06  0.206206     Lin-Lin
 2.71369E+06 0.167568     Lin-Lin
 2.971E+06   0.147291     Lin-Lin
 3.34E+06    0.124271     Lin-Lin
 3.5246E+06  0.116691     Lin-Lin
 3.73526E+06 0.112163     Lin-Lin
 4.2627E+06  0.102939     Lin-Lin
 5.37E+06    0.0756134    Lin-Lin
 5.6467E+06  0.0701155    Lin-Lin
 5.9234E+06  0.0661783    Lin-Lin
 6.82059E+06 0.0564576    Lin-Lin
 7.528E+06   0.0492082    Lin-Lin
 8.3303E+06  0.0425694    Lin-Lin
 9.1326E+06  0.0385723    Lin-Lin
 1.1371E+07  0.0332601    Lin-Lin
 1.3609E+07  0.0289639    Lin-Lin
 1.5848E+07  0.0236979    Lin-Lin
 1.6967E+07  0.0200803    Lin-Lin
 1.82E+07    0.0186094    Lin-Lin
 2E+07       0.0177649    Lin-Lin
