#LIBRARY    JENDL/HE-2007
#REACTION   MN-55(N,G)MN-56,SIG
#NUCLEUS    Mn-55
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 1E-05       674.59       Lin-Lin
 1.10304E-05 642.31       Lin-Lin
 1.21669E-05 611.575      Lin-Lin
 1.34206E-05 582.311      Lin-Lin
 1.48034E-05 554.447      Lin-Lin
 1.63286E-05 527.916      Lin-Lin
 1.80111E-05 502.655      Lin-Lin
 1.98669E-05 478.602      Lin-Lin
 2.19139E-05 455.701      Lin-Lin
 2.41719E-05 433.895      Lin-Lin
 2.66625E-05 413.133      Lin-Lin
 2.94097E-05 393.364      Lin-Lin
 3.244E-05   374.541      Lin-Lin
 3.57825E-05 356.619      Lin-Lin
 3.94694E-05 339.554      Lin-Lin
 4.35362E-05 323.306      Lin-Lin
 4.80221E-05 307.836      Lin-Lin
 5.29701E-05 293.106      Lin-Lin
 5.8428E-05  279.08       Lin-Lin
 6.44482E-05 265.726      Lin-Lin
 7.10888E-05 253.011      Lin-Lin
 7.84136E-05 240.904      Lin-Lin
 8.64931E-05 229.377      Lin-Lin
 9.54051E-05 218.401      Lin-Lin
 0.000105235 207.95       Lin-Lin
 0.000116078 198          Lin-Lin
 0.000128039 188.525      Lin-Lin
 0.000141232 179.504      Lin-Lin
 0.000155784 170.915      Lin-Lin
 0.000171835 162.736      Lin-Lin
 0.00018954  154.949      Lin-Lin
 0.00020907  147.535      Lin-Lin
 0.000230612 140.475      Lin-Lin
 0.000254374 133.753      Lin-Lin
 0.000280584 127.353      Lin-Lin
 0.000309494 121.259      Lin-Lin
 0.000341383 115.457      Lin-Lin
 0.000376558 109.932      Lin-Lin
 0.000415358 104.672      Lin-Lin
 0.000458155 99.663       Lin-Lin
 0.000505362 94.8941      Lin-Lin
 0.000557433 90.3533      Lin-Lin
 0.000614869 86.0299      Lin-Lin
 0.000678223 81.9133      Lin-Lin
 0.000748105 77.9937      Lin-Lin
 0.000825188 74.2616      Lin-Lin
 0.000910213 70.7081      Lin-Lin
 0.001004    67.3247      Lin-Lin
 0.00110745  64.1032      Lin-Lin
 0.00122155  61.0358      Lin-Lin
 0.00134742  58.1152      Lin-Lin
 0.00148625  55.3343      Lin-Lin
 0.00163939  52.6866      Lin-Lin
 0.00180831  50.1655      Lin-Lin
 0.00199463  47.765       Lin-Lin
 0.00220016  45.4795      Lin-Lin
 0.00242685  43.3033      Lin-Lin
 0.00267691  41.2312      Lin-Lin
 0.00295273  39.2583      Lin-Lin
 0.00325697  37.3797      Lin-Lin
 0.00359256  35.5911      Lin-Lin
 0.00396272  33.8881      Lin-Lin
