#LIBRARY    ENDF/B-VIII.b4
#REACTION   B-11(N,P)BE-11,SIG
#NUCLEUS    B-11
#MF         3
#MT         103
#EN-MIN     1.17062e+07
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1.17062E+07 0            Lin-Lin
 1.18E+07    4.26194E-09  Lin-Lin
 1.18016E+07 4.61053E-09  Lin-Lin
 1.18031E+07 4.98457E-09  Lin-Lin
 1.18061E+07 5.81905E-09  Lin-Lin
 1.18091E+07 6.77683E-09  Lin-Lin
 1.18121E+07 7.87348E-09  Lin-Lin
 1.1815E+07  9.12618E-09  Lin-Lin
 1.18179E+07 1.05538E-08  Lin-Lin
 1.18207E+07 1.21771E-08  Lin-Lin
 1.18235E+07 1.40187E-08  Lin-Lin
 1.18262E+07 1.61033E-08  Lin-Lin
 1.18289E+07 1.84579E-08  Lin-Lin
 1.18316E+07 2.11117E-08  Lin-Lin
 1.18342E+07 2.40964E-08  Lin-Lin
 1.18368E+07 2.74463E-08  Lin-Lin
 1.18393E+07 3.11984E-08  Lin-Lin
 1.18418E+07 3.53925E-08  Lin-Lin
 1.18442E+07 4.00714E-08  Lin-Lin
 1.18467E+07 4.5281E-08   Lin-Lin
 1.1849E+07  5.10701E-08  Lin-Lin
 1.18514E+07 5.74913E-08  Lin-Lin
 1.18537E+07 6.46001E-08  Lin-Lin
 1.1856E+07  7.24558E-08  Lin-Lin
 1.18582E+07 8.11213E-08  Lin-Lin
 1.18604E+07 9.06629E-08  Lin-Lin
 1.18626E+07 1.01151E-07  Lin-Lin
 1.18647E+07 1.12659E-07  Lin-Lin
 1.18668E+07 1.25266E-07  Lin-Lin
 1.18689E+07 1.39053E-07  Lin-Lin
 1.18709E+07 1.54105E-07  Lin-Lin
 1.18729E+07 1.70513E-07  Lin-Lin
 1.18749E+07 1.8837E-07   Lin-Lin
 1.18768E+07 2.07773E-07  Lin-Lin
 1.18788E+07 2.28824E-07  Lin-Lin
 1.18806E+07 2.51628E-07  Lin-Lin
 1.18825E+07 2.76295E-07  Lin-Lin
 1.18843E+07 3.02936E-07  Lin-Lin
 1.18861E+07 3.31669E-07  Lin-Lin
 1.18879E+07 3.62614E-07  Lin-Lin
 1.18896E+07 3.95893E-07  Lin-Lin
 1.18914E+07 4.31634E-07  Lin-Lin
 1.1893E+07  4.69967E-07  Lin-Lin
 1.18947E+07 5.11024E-07  Lin-Lin
 1.18964E+07 5.54941E-07  Lin-Lin
 1.1898E+07  6.01856E-07  Lin-Lin
 1.18996E+07 6.51911E-07  Lin-Lin
 1.19011E+07 7.05248E-07  Lin-Lin
 1.19042E+07 8.23343E-07  Lin-Lin
 1.19072E+07 9.56575E-07  Lin-Lin
 1.19101E+07 1.10617E-06  Lin-Lin
 1.19129E+07 1.27336E-06  Lin-Lin
 1.19156E+07 1.45939E-06  Lin-Lin
 1.19182E+07 1.66549E-06  Lin-Lin
 1.19208E+07 1.89286E-06  Lin-Lin
 1.19232E+07 2.14269E-06  Lin-Lin
 1.19256E+07 2.41611E-06  Lin-Lin
 1.19279E+07 2.71421E-06  Lin-Lin
 1.19302E+07 3.03803E-06  Lin-Lin
 1.19324E+07 3.38853E-06  Lin-Lin
 1.19345E+07 3.76659E-06  Lin-Lin
 1.19365E+07 4.17302E-06  Lin-Lin
 1.19385E+07 4.60852E-06  Lin-Lin
 1.19404E+07 5.0737E-06   Lin-Lin
 1.19423E+07 5.56908E-06  Lin-Lin
 1.19441E+07 6.09506E-06  Lin-Lin
 1.19458E+07 6.65192E-06  Lin-Lin
 1.19475E+07 7.23986E-06  Lin-Lin
 1.19491E+07 7.85893E-06  Lin-Lin
 1.19507E+07 8.5091E-06   Lin-Lin
 1.19538E+07 9.92581E-06  Lin-Lin
 1.19567E+07 1.14675E-05  Lin-Lin
 1.19594E+07 1.31296E-05  Lin-Lin
 1.19619E+07 1.4906E-05   Lin-Lin
 1.19643E+07 1.6789E-05   Lin-Lin
 1.19665E+07 1.87699E-05  Lin-Lin
 1.19686E+07 2.08387E-05  Lin-Lin
 1.19706E+07 2.29848E-05  Lin-Lin
 1.19724E+07 2.51971E-05  Lin-Lin
 1.19741E+07 2.74642E-05  Lin-Lin
 1.19757E+07 2.97744E-05  Lin-Lin
 1.19788E+07 3.46428E-05  Lin-Lin
 1.19814E+07 3.95513E-05  Lin-Lin
 1.19838E+07 4.44136E-05  Lin-Lin
 1.19858E+07 4.9156E-05   Lin-Lin
 1.19876E+07 5.37192E-05  Lin-Lin
 1.19891E+07 5.80582E-05  Lin-Lin
 1.19918E+07 6.65116E-05  Lin-Lin
 1.19939E+07 7.36501E-05  Lin-Lin
 1.19969E+07 8.58196E-05  Lin-Lin
 1.2E+07     1E-04        Lin-Lin
 1.20124E+07 0.000108272  Lin-Lin
 1.20357E+07 0.000125671  Lin-Lin
 1.20561E+07 0.000143174  Lin-Lin
 1.2074E+07  0.000160478  Lin-Lin
 1.20897E+07 0.000177326  Lin-Lin
 1.21034E+07 0.000193512  Lin-Lin
 1.21275E+07 0.000225475  Lin-Lin
 1.21456E+07 0.000252866  Lin-Lin
 1.21592E+07 0.000275572  Lin-Lin
 1.21796E+07 0.00031351   Lin-Lin
 1.22E+07    0.000356671  Lin-Lin
 1.22248E+07 0.000404039  Lin-Lin
 1.22466E+07 0.000450619  Lin-Lin
 1.22657E+07 0.000495762  Lin-Lin
 1.22824E+07 0.000538956  Lin-Lin
 1.23117E+07 0.000623798  Lin-Lin
 1.23337E+07 0.000696085  Lin-Lin
 1.23502E+07 0.000755745  Lin-Lin
 1.23751E+07 0.00085496   Lin-Lin
 1.24E+07    0.000967199  Lin-Lin
 1.24248E+07 0.00105936   Lin-Lin
 1.24466E+07 0.00114717   Lin-Lin
 1.24848E+07 0.00131872   Lin-Lin
 1.25135E+07 0.00146402   Lin-Lin
 1.2535E+07  0.00158341   Lin-Lin
 1.25675E+07 0.00178099   Lin-Lin
 1.26E+07    0.00200322   Lin-Lin
 1.26497E+07 0.00224918   Lin-Lin
 1.26871E+07 0.00245326   Lin-Lin
 1.27434E+07 0.00279464   Lin-Lin
 1.28E+07    0.00318352   Lin-Lin
 1.28996E+07 0.0035236    Lin-Lin
 1.3E+07     0.0039       Lin-Lin
 1.32E+07    0.00422784   Lin-Lin
 1.36E+07    0.00498283   Lin-Lin
 1.38E+07    0.00530323   Lin-Lin
 1.4E+07     0.0055       Lin-Lin
 1.42E+07    0.00562819   Lin-Lin
 1.44E+07    0.00576862   Lin-Lin
 1.46E+07    0.00589482   Lin-Lin
 1.48E+07    0.00598036   Lin-Lin
 1.5E+07     0.006        Lin-Lin
 1.52E+07    0.00596811   Lin-Lin
 1.54E+07    0.00591325   Lin-Lin
 1.56E+07    0.00583405   Lin-Lin
 1.58E+07    0.0057297    Lin-Lin
 1.6E+07     0.0056       Lin-Lin
 1.66E+07    0.005152     Lin-Lin
 1.72E+07    0.00467015   Lin-Lin
 1.88E+07    0.00332577   Lin-Lin
 1.92E+07    0.0030006    Lin-Lin
 1.96E+07    0.00269083   Lin-Lin
 2E+07       0.00240001   Lin-Lin
