#LIBRARY    JENDL/HE-2007
#REACTION   C-12(N,P)B-12,SIG
#NUCLEUS    C-12
#MF         3
#MT         103
#EN-MIN     1.3645e+07
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 1.3645E+07  0            Lin-Lin
 1.50473E+07 0.000647784  Lin-Lin
 1.50721E+07 0.000717661  Lin-Lin
 1.50969E+07 0.000808816  Lin-Lin
 1.51217E+07 0.000920047  Lin-Lin
 1.51465E+07 0.00105017   Lin-Lin
 1.51962E+07 0.00136233   Lin-Lin
 1.52458E+07 0.00173582   Lin-Lin
 1.5345E+07  0.00262866   Lin-Lin
 1.54442E+07 0.003653     Lin-Lin
 1.56427E+07 0.00579186   Lin-Lin
 1.57419E+07 0.00675453   Lin-Lin
 1.58412E+07 0.00754492   Lin-Lin
 1.60269E+07 0.00875758   Lin-Lin
 1.62127E+07 0.00987279   Lin-Lin
 1.63985E+07 0.0109194    Lin-Lin
 1.65843E+07 0.0119264    Lin-Lin
 1.67448E+07 0.0123966    Lin-Lin
 1.69052E+07 0.012511     Lin-Lin
 1.70657E+07 0.0129083    Lin-Lin
 1.71459E+07 0.0134124    Lin-Lin
 1.72261E+07 0.0142268    Lin-Lin
 1.73781E+07 0.0158462    Lin-Lin
 1.75301E+07 0.0169834    Lin-Lin
 1.78342E+07 0.0181296    Lin-Lin
 1.81382E+07 0.0183031    Lin-Lin
 1.84422E+07 0.0181417    Lin-Lin
 1.86871E+07 0.0178253    Lin-Lin
 1.8932E+07  0.0171866    Lin-Lin
 1.91769E+07 0.0164113    Lin-Lin
 1.94219E+07 0.0156848    Lin-Lin
 1.97132E+07 0.0146808    Lin-Lin
 2E+07       0.0133326    Lin-Lin
 2E+07       0            Lin-Lin
