#LIBRARY    JENDL-4.0/HE
#REACTION   CL-35(N,P)S-35,SIG
#NUCLEUS    Cl-35
#MF         3
#MT         103
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       24.6075      Lin-Lin
 1.10304E-05 23.43        Lin-Lin
 1.21669E-05 22.3089      Lin-Lin
 1.34206E-05 21.2414      Lin-Lin
 1.48034E-05 20.225       Lin-Lin
 1.63286E-05 19.2572      Lin-Lin
 1.80111E-05 18.3357      Lin-Lin
 1.98669E-05 17.4583      Lin-Lin
 2.19139E-05 16.6229      Lin-Lin
 2.41719E-05 15.8275      Lin-Lin
 2.66625E-05 15.0702      Lin-Lin
 2.94097E-05 14.349       Lin-Lin
 3.244E-05   13.6624      Lin-Lin
 3.57825E-05 13.0087      Lin-Lin
 3.94694E-05 12.3862      Lin-Lin
 4.35362E-05 11.7935      Lin-Lin
 4.80221E-05 11.2292      Lin-Lin
 5.29701E-05 10.6918      Lin-Lin
 5.8428E-05  10.1802      Lin-Lin
 6.44482E-05 9.69309      Lin-Lin
 7.10888E-05 9.22926      Lin-Lin
 7.84136E-05 8.78763      Lin-Lin
 8.64931E-05 8.36714      Lin-Lin
 9.54051E-05 7.96676      Lin-Lin
 0.000105235 7.58554      Lin-Lin
 0.000116078 7.22257      Lin-Lin
 0.000128039 6.87696      Lin-Lin
 0.000141232 6.54789      Lin-Lin
 0.000155784 6.23456      Lin-Lin
 0.000171835 5.93623      Lin-Lin
 0.00018954  5.65218      Lin-Lin
 0.00020907  5.38171      Lin-Lin
 0.000230612 5.12419      Lin-Lin
 0.000254374 4.87899      Lin-Lin
 0.000280584 4.64553      Lin-Lin
 0.000309494 4.42323      Lin-Lin
 0.000341383 4.21158      Lin-Lin
 0.000376558 4.01005      Lin-Lin
 0.000415358 3.81816      Lin-Lin
 0.000458155 3.63545      Lin-Lin
 0.000505362 3.46149      Lin-Lin
 0.000557433 3.29585      Lin-Lin
 0.000614869 3.13814      Lin-Lin
 0.000678223 2.98798      Lin-Lin
 0.000748105 2.84499      Lin-Lin
 0.000825188 2.70886      Lin-Lin
 0.000910213 2.57923      Lin-Lin
 0.001004    2.45581      Lin-Lin
 0.00110745  2.33829      Lin-Lin
 0.00122155  2.2264       Lin-Lin
 0.00134742  2.11986      Lin-Lin
 0.00148625  2.01842      Lin-Lin
 0.00163939  1.92183      Lin-Lin
 0.00180831  1.82986      Lin-Lin
 0.00199463  1.7423       Lin-Lin
 0.00220016  1.65892      Lin-Lin
 0.00242685  1.57953      Lin-Lin
 0.00267691  1.50395      Lin-Lin
 0.00295273  1.43198      Lin-Lin
 0.00325697  1.36345      Lin-Lin
 0.00359256  1.2982       Lin-Lin
 0.00396272  1.23607      Lin-Lin
 0.00437103  1.17692      Lin-Lin
 0.00482141  1.12059      Lin-Lin
 0.00531819  1.06696      Lin-Lin
 0.00586616  1.0159       Lin-Lin
 0.00647059  0.967277     Lin-Lin
 0.0071373   0.920982     Lin-Lin
 0.00787271  0.876902     Lin-Lin
 0.00868389  0.834931     Lin-Lin
 0.00957865  0.794967     Lin-Lin
 0.0105656   0.756915     Lin-Lin
 0.0116543   0.720684     Lin-Lin
 0.0128551   0.686187     Lin-Lin
 0.0141796   0.65334      Lin-Lin
 0.0156406   0.622068     Lin-Lin
 0.0172522   0.592297     Lin-Lin
 0.0190298   0.563961     Lin-Lin
 0.0209906   0.537003     Lin-Lin
 0.0231534   0.51137      Lin-Lin
 0.0252419   0.489858     Lin-Lin
 0.0253      0.489299     Lin-Lin
 0.0279068   0.466064     Lin-Lin
 0.0307823   0.444015     Lin-Lin
 0.033954    0.423071     Lin-Lin
 0.0377167   0.401725     Lin-Lin
 0.0418943   0.38136      Lin-Lin
 0.046537    0.36184      Lin-Lin
 0.051332    0.344391     Lin-Lin
 0.0566211   0.327741     Lin-Lin
 0.0624551   0.311959     Lin-Lin
 0.0688903   0.297083     Lin-Lin
 0.0759886   0.283052     Lin-Lin
 0.0844053   0.268705     Lin-Lin
 0.0937589   0.254836     Lin-Lin
 0.10342     0.242432     Lin-Lin
 0.114076    0.23065      Lin-Lin
 0.12583     0.219454     Lin-Lin
 0.138795    0.208824     Lin-Lin
 0.153096    0.198758     Lin-Lin
 0.167687    0.189977     Lin-Lin
 0.18627     0.180441     Lin-Lin
 0.208362    0.170513     Lin-Lin
 0.228221    0.162751     Lin-Lin
 0.251736    0.15485      Lin-Lin
 0.277674    0.147307     Lin-Lin
 0.304154    0.140719     Lin-Lin
 0.333143    0.134622     Lin-Lin
 0.388649    0.124589     Lin-Lin
 0.422731    0.119217     Lin-Lin
 0.469577    0.113064     Lin-Lin
 0.514332    0.107833     Lin-Lin
 0.567328    0.102603     Lin-Lin
 0.617077    0.0983568    Lin-Lin
 0.7         0.0925769    Lin-Lin
 0.788543    0.0867907    Lin-Lin
 0.84576     0.0837331    Lin-Lin
 0.979764    0.0775555    Lin-Lin
 1.05827     0.074552     Lin-Lin
 1.17549     0.070572     Lin-Lin
 1.26078     0.0682296    Lin-Lin
 1.55562     0.0610193    Lin-Lin
 1.64528     0.0592603    Lin-Lin
 1.94649     0.0541686    Lin-Lin
 2.08772     0.052235     Lin-Lin
 2.3518      0.048962     Lin-Lin
 2.55803     0.0470128    Lin-Lin
 3.11233     0.0420703    Lin-Lin
 3.29172     0.0408496    Lin-Lin
 3.89435     0.0371342    Lin-Lin
 4.26552     0.0353503    Lin-Lin
 4.6723      0.0334964    Lin-Lin
 5.08202     0.0320889    Lin-Lin
 6.22656     0.028339     Lin-Lin
 6.67836     0.0272584    Lin-Lin
 7.79107     0.0247326    Lin-Lin
 9.28242     0.0221613    Lin-Lin
 9.74868     0.0215493    Lin-Lin
