#LIBRARY    JENDL-4.0
#REACTION   HE-3(N,P)H-3,SIG
#NUCLEUS    He-3
#MF         3
#MT         103
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       268024       Lin-Lin
 1.1024E-05  255272       Lin-Lin
 1.21504E-05 243152       Lin-Lin
 1.33946E-05 231584       Lin-Lin
 1.47633E-05 220588       Lin-Lin
 1.6275E-05  210094       Lin-Lin
 1.79381E-05 200118       Lin-Lin
 1.97749E-05 190597       Lin-Lin
 2.17956E-05 181547       Lin-Lin
 2.40274E-05 172910       Lin-Lin
 2.64826E-05 164700       Lin-Lin
 2.91943E-05 156864       Lin-Lin
 3.21775E-05 149416       Lin-Lin
 3.54723E-05 142308       Lin-Lin
 3.9097E-05  135551       Lin-Lin
 4.31005E-05 129102       Lin-Lin
 4.75046E-05 122972       Lin-Lin
 5.2369E-05  117121       Lin-Lin
 5.77202E-05 111560       Lin-Lin
 6.36306E-05 106253       Lin-Lin
 7.01326E-05 101208       Lin-Lin
 7.73139E-05 96392.7      Lin-Lin
 8.52142E-05 91815.7      Lin-Lin
 9.39398E-05 87447.7      Lin-Lin
 0.000103539 83295.4      Lin-Lin
 0.000114141 79332.7      Lin-Lin
 0.000125804 75565.8      Lin-Lin
 0.000138686 71970.8      Lin-Lin
 0.000152858 68553.4      Lin-Lin
 0.00016851  65292        Lin-Lin
 0.000185729 62191.8      Lin-Lin
 0.000204747 59233        Lin-Lin
 0.000225669 56420.5      Lin-Lin
 0.000248777 53736.3      Lin-Lin
 0.000274198 51184.8      Lin-Lin
 0.000302275 48749.6      Lin-Lin
 0.000333162 46434.9      Lin-Lin
 0.000367277 44225.8      Lin-Lin
 0.000404807 42125.8      Lin-Lin
 0.000446258 40121.7      Lin-Lin
 0.000491858 38216.6      Lin-Lin
 0.000542223 36398.4      Lin-Lin
 0.000597629 34670.2      Lin-Lin
 0.000658824 33020.7      Lin-Lin
 0.000726145 31452.8      Lin-Lin
 0.000800501 29956.4      Lin-Lin
 0.000882299 28534        Lin-Lin
 0.000972643 27176.5      Lin-Lin
 0.00107203  25886.1      Lin-Lin
 0.0011818   24654.6      Lin-Lin
 0.00130256  23483.9      Lin-Lin
 0.00143594  22366.6      Lin-Lin
 0.00158267  21304.6      Lin-Lin
 0.00174474  20291        Lin-Lin
 0.00192302  19327.5      Lin-Lin
 0.00211993  18408        Lin-Lin
 0.00233655  17533.9      Lin-Lin
 0.00257581  16699.7      Lin-Lin
 0.00283901  15906.8      Lin-Lin
 0.00312972  15150        Lin-Lin
 0.00344953  14430.6      Lin-Lin
 0.00380275  13744        Lin-Lin
 0.00419133  13091.4      Lin-Lin
 0.00462051  12468.6      Lin-Lin
 0.00509265  11876.5      Lin-Lin
 0.00561412  11311.4      Lin-Lin
 0.00618779  10774.3      Lin-Lin
 0.0068214   10261.7      Lin-Lin
 0.00751843  9774.39      Lin-Lin
 0.0082883   9309.34      Lin-Lin
 0.00913523  8867.27      Lin-Lin
 0.0100706   8445.37      Lin-Lin
 0.0110997   8044.32      Lin-Lin
 0.0122363   7661.57      Lin-Lin
 0.0134866   7297.73      Lin-Lin
 0.0148676   6950.49      Lin-Lin
 0.0163868   6620.42      Lin-Lin
 0.0180648   6305.4       Lin-Lin
 0.0199107   6005.96      Lin-Lin
 0.0219495   5720.17      Lin-Lin
 0.0241924   5448.51      Lin-Lin
 0.0250875   5350.41      Lin-Lin
 0.0253      5327.89      Lin-Lin
 0.0278906   5074.36      Lin-Lin
