#LIBRARY    JENDL/HE-2007
#REACTION   N-14(N,P)C-14,SIG
#NUCLEUS    N-14
#MF         3
#MT         103
#EN-MIN     1e-05
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 1E-05       92.0501      Lin-Lin
 1.1024E-05  87.6708      Lin-Lin
 1.21504E-05 83.5081      Lin-Lin
 1.33946E-05 79.5352      Lin-Lin
 1.47633E-05 75.7587      Lin-Lin
 1.6275E-05  72.1546      Lin-Lin
 1.79381E-05 68.7284      Lin-Lin
 1.97749E-05 65.4587      Lin-Lin
 2.17956E-05 62.3506      Lin-Lin
 2.40274E-05 59.3842      Lin-Lin
 2.64826E-05 56.5646      Lin-Lin
 2.91943E-05 53.8735      Lin-Lin
 3.21775E-05 51.3155      Lin-Lin
 3.54723E-05 48.8742      Lin-Lin
 3.9097E-05  46.5535      Lin-Lin
 4.31005E-05 44.3387      Lin-Lin
 4.75046E-05 42.2334      Lin-Lin
 5.2369E-05  40.2242      Lin-Lin
 5.77202E-05 38.3143      Lin-Lin
 6.36306E-05 36.4915      Lin-Lin
 7.01326E-05 34.7588      Lin-Lin
 7.73139E-05 33.1052      Lin-Lin
 8.52142E-05 31.5332      Lin-Lin
 9.39398E-05 30.0331      Lin-Lin
 0.000103539 28.607       Lin-Lin
 0.000114141 27.246       Lin-Lin
 0.000125804 25.9523      Lin-Lin
 0.000138686 24.7177      Lin-Lin
 0.000152858 23.544       Lin-Lin
 0.00016851  22.4239      Lin-Lin
 0.000185729 21.3592      Lin-Lin
 0.000204747 20.343       Lin-Lin
 0.000225669 19.3771      Lin-Lin
 0.000248777 18.4552      Lin-Lin
 0.000274198 17.5789      Lin-Lin
 0.000302275 16.7426      Lin-Lin
 0.000333162 15.9476      Lin-Lin
 0.000367277 15.1889      Lin-Lin
 0.000404807 14.4677      Lin-Lin
 0.000446258 13.7794      Lin-Lin
 0.000491858 13.1252      Lin-Lin
 0.000542223 12.5007      Lin-Lin
 0.000597629 11.9072      Lin-Lin
 0.000658824 11.3407      Lin-Lin
 0.000726145 10.8022      Lin-Lin
 0.000800501 10.2883      Lin-Lin
 0.000882299 9.79979      Lin-Lin
 0.000972643 9.33357      Lin-Lin
 0.00107203  8.89039      Lin-Lin
 0.0011818   8.46743      Lin-Lin
 0.00130256  8.06538      Lin-Lin
 0.00143594  7.68167      Lin-Lin
 0.00158267  7.31693      Lin-Lin
 0.00174474  6.96883      Lin-Lin
 0.00192302  6.63793      Lin-Lin
 0.00211993  6.32213      Lin-Lin
 0.00233655  6.02194      Lin-Lin
 0.00257581  5.73545      Lin-Lin
 0.00283901  5.46312      Lin-Lin
 0.00312972  5.20321      Lin-Lin
 0.00344953  4.95615      Lin-Lin
 0.00380275  4.72037      Lin-Lin
 0.00419133  4.49623      Lin-Lin
 0.00462051  4.28233      Lin-Lin
 0.00509265  4.07899      Lin-Lin
 0.00561412  3.88493      Lin-Lin
 0.00618779  3.70047      Lin-Lin
 0.0068214   3.52442      Lin-Lin
 0.00751843  3.35707      Lin-Lin
 0.0082883   3.19736      Lin-Lin
 0.00913523  3.04554      Lin-Lin
 0.0100706   2.90065      Lin-Lin
 0.0110997   2.76292      Lin-Lin
 0.0122363   2.63148      Lin-Lin
 0.0134866   2.50653      Lin-Lin
 0.0148676   2.38728      Lin-Lin
 0.0163868   2.27393      Lin-Lin
 0.0180648   2.16575      Lin-Lin
 0.0199107   2.06291      Lin-Lin
 0.0219495   1.96477      Lin-Lin
 0.0241924   1.87148      Lin-Lin
 0.0250875   1.83779      Lin-Lin
 0.0253      1.83005      Lin-Lin
 0.0278906   1.74299      Lin-Lin
 0.0307406   1.66023      Lin-Lin
 0.0338884   1.58125      Lin-Lin
 0.0373512   1.50617      Lin-Lin
