#LIBRARY    JENDL-4.0/HE
#REACTION   NA-23(N,P)NE-23,SIG
#NUCLEUS    Na-23
#MF         3
#MT         103
#EN-MIN     3.7496e+06
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 3.7496E+06  0            Lin-Lin
 4E+06       1.28579E-06  Lin-Lin
 4.96503E+06 0.00177225   Lin-Lin
 5.50552E+06 0.00879855   Lin-Lin
 5.82981E+06 0.0175814    Lin-Lin
 5.93791E+06 0.0395386    Lin-Lin
 6.046E+06   0.01319      Lin-Lin
 6.10005E+06 0.0272426    Lin-Lin
 6.2622E+06  0.0562261    Lin-Lin
 6.42434E+06 0.0351472    Lin-Lin
 6.58649E+06 0.0246077    Lin-Lin
 6.69459E+06 0.0210946    Lin-Lin
 6.80268E+06 0.0412952    Lin-Lin
 6.91078E+06 0.0272426    Lin-Lin
 7.01888E+06 0.037782     Lin-Lin
 7.12697E+06 0.0421735    Lin-Lin
 7.23507E+06 0.0535912    Lin-Lin
 7.45126E+06 0.037782     Lin-Lin
 7.72151E+06 0.0588609    Lin-Lin
 7.88365E+06 0.0500781    Lin-Lin
 8.0458E+06  0.0535912    Lin-Lin
 8.15389E+06 0.0597392    Lin-Lin
 8.26199E+06 0.0544695    Lin-Lin
 8.42414E+06 0.0509563    Lin-Lin
 8.53223E+06 0.0421735    Lin-Lin
 8.64033E+06 0.0518346    Lin-Lin
 8.74843E+06 0.0579826    Lin-Lin
 8.85652E+06 0.0676438    Lin-Lin
 8.96462E+06 0.0650089    Lin-Lin
 9.12677E+06 0.0500781    Lin-Lin
 9.23486E+06 0.0404169    Lin-Lin
 9.45106E+06 0.0588609    Lin-Lin
 9.6132E+06  0.0834529    Lin-Lin
 9.8294E+06  0.0500781    Lin-Lin
 9.99154E+06 0.0781832    Lin-Lin
 1.00996E+07 0.121219     Lin-Lin
 1.02077E+07 0.104532     Lin-Lin
 1.03158E+07 0.0834529    Lin-Lin
 1.0532E+07  0.0816964    Lin-Lin
 1.1E+07     0.075449     Lin-Lin
 1.2E+07     0.065472     Lin-Lin
 1.3E+07     0.052416     Lin-Lin
 1.4E+07     0.039665     Lin-Lin
 1.45E+07    0.03505      Lin-Lin
 1.5E+07     0.031104     Lin-Lin
 1.6E+07     0.024078     Lin-Lin
 1.7E+07     0.019691     Lin-Lin
 1.8E+07     0.016513     Lin-Lin
 1.9E+07     0.014001     Lin-Lin
 2E+07       0.012097     Lin-Lin
 2E+07       0            Lin-Lin
