#LIBRARY    ENDF/B-VII.1
#REACTION   O-16(N,T)N-14,SIG
#NUCLEUS    O-16
#MF         3
#MT         105
#EN-MIN     1.53921e+07
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1.53921E+07 0            Lin-Lin
 1.6E+07     4.77236E-08  Lin-Lin
 1.61E+07    7.81016E-08  Lin-Lin
 1.62E+07    1.32156E-07  Lin-Lin
 1.63E+07    2.06096E-07  Lin-Lin
 1.64E+07    2.96129E-07  Lin-Lin
 1.65E+07    3.98466E-07  Lin-Lin
 1.66E+07    5.50098E-07  Lin-Lin
 1.67E+07    8.08608E-07  Lin-Lin
 1.68E+07    1.2011E-06   Lin-Lin
 1.69E+07    1.75466E-06  Lin-Lin
 1.7E+07     2.4964E-06   Lin-Lin
 1.71E+07    3.37067E-06  Lin-Lin
 1.72E+07    4.29426E-06  Lin-Lin
 1.73E+07    5.25294E-06  Lin-Lin
 1.75E+07    7.21861E-06  Lin-Lin
 1.76E+07    8.23155E-06  Lin-Lin
 1.78507E+07 1.08584E-05  Lin-Lin
 1.79E+07    1.13701E-05  Lin-Lin
 1.8E+07     1.23501E-05  Lin-Lin
 1.81E+07    1.32026E-05  Lin-Lin
 1.82E+07    1.39268E-05  Lin-Lin
 1.83E+07    1.57859E-05  Lin-Lin
 1.84E+07    3.84545E-05  Lin-Lin
 1.85E+07    0.00038983   Lin-Lin
 1.86E+07    0.00332025   Lin-Lin
 1.87E+07    0.00198141   Lin-Lin
 1.88E+07    0.000624383  Lin-Lin
 1.89E+07    0.000166451  Lin-Lin
 1.9E+07     6.84465E-05  Lin-Lin
 1.91E+07    6.4595E-05   Lin-Lin
 1.92E+07    0.000113742  Lin-Lin
 1.93E+07    0.000303215  Lin-Lin
 1.94E+07    0.000879328  Lin-Lin
 1.95E+07    0.00362678   Lin-Lin
 1.95891E+07 0.00433675   Lin-Lin
 1.96E+07    0.0042725    Lin-Lin
 1.97E+07    0.00343431   Lin-Lin
 1.98E+07    0.00257231   Lin-Lin
 1.99E+07    0.002072     Lin-Lin
 2E+07       0.0018845    Lin-Lin
 2.01E+07    0.00221308   Lin-Lin
 2.035E+07   0.00442878   Lin-Lin
 2.05E+07    0.00205334   Lin-Lin
 2.06171E+07 0.00208153   Lin-Lin
 2.065E+07   0.002569     Lin-Lin
 2.082E+07   0.00449304   Lin-Lin
 2.095E+07   0.00632189   Lin-Lin
 2.1E+07     0.00599417   Lin-Lin
 2.125E+07   0.00419322   Lin-Lin
 2.14424E+07 0.00833118   Lin-Lin
 2.15E+07    0.00963786   Lin-Lin
 2.155E+07   0.0102115    Lin-Lin
 2.15942E+07 0.0100313    Lin-Lin
 2.185E+07   0.0089466    Lin-Lin
 2.19868E+07 0.00833148   Lin-Lin
 2.2E+07     0.00827276   Lin-Lin
 2.215E+07   0.00823214   Lin-Lin
 2.22448E+07 0.00853666   Lin-Lin
 2.245E+07   0.00921013   Lin-Lin
 2.25E+07    0.00937398   Lin-Lin
 2.275E+07   0.0101781    Lin-Lin
 2.28644E+07 0.0105268    Lin-Lin
 2.3E+07     0.0109081    Lin-Lin
 2.305E+07   0.0110459    Lin-Lin
 2.335E+07   0.012015     Lin-Lin
 2.35E+07    0.0125459    Lin-Lin
 2.365E+07   0.0130645    Lin-Lin
 2.395E+07   0.0139308    Lin-Lin
 2.4E+07     0.0140339    Lin-Lin
 2.425E+07   0.0144416    Lin-Lin
 2.45E+07    0.0146751    Lin-Lin
 2.455E+07   0.0147096    Lin-Lin
 2.485E+07   0.0148806    Lin-Lin
 2.5E+07     0.0149833    Lin-Lin
 2.515E+07   0.0151226    Lin-Lin
 2.545E+07   0.0153708    Lin-Lin
 2.55E+07    0.0154121    Lin-Lin
 2.575E+07   0.015605     Lin-Lin
 2.6E+07     0.0157651    Lin-Lin
 2.605E+07   0.0157982    Lin-Lin
 2.635E+07   0.0159846    Lin-Lin
 2.65E+07    0.0160686    Lin-Lin
 2.665E+07   0.0161299    Lin-Lin
 2.695E+07   0.0162628    Lin-Lin
 2.7E+07     0.0162879    Lin-Lin
 2.725E+07   0.0163985    Lin-Lin
 2.755E+07   0.0165388    Lin-Lin
 2.785E+07   0.0165078    Lin-Lin
 2.8E+07     0.0163793    Lin-Lin
 2.815E+07   0.0161673    Lin-Lin
 2.845E+07   0.0156685    Lin-Lin
 2.85E+07    0.0155837    Lin-Lin
 2.875E+07   0.0152357    Lin-Lin
 2.9E+07     0.0150958    Lin-Lin
 2.905E+07   0.0151039    Lin-Lin
 2.935E+07   0.0153493    Lin-Lin
 2.95E+07    0.0155562    Lin-Lin
 2.965E+07   0.0157796    Lin-Lin
 2.995E+07   0.0163664    Lin-Lin
 3E+07       0.0164872    Lin-Lin
 3E+07       0            Lin-Lin
