#LIBRARY    ENDF/B-VIII.b4
#REACTION   B-10(N,A)LI-7,SIG
#NUCLEUS    B-10
#MF         3
#MT         107
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       193369       Lin-Lin
 1.10304E-05 184116       Lin-Lin
 1.21669E-05 175306       Lin-Lin
 1.34206E-05 166917       Lin-Lin
 1.48034E-05 158930       Lin-Lin
 1.63286E-05 151325       Lin-Lin
 1.80111E-05 144084       Lin-Lin
 1.98669E-05 137190       Lin-Lin
 2.19139E-05 130625       Lin-Lin
 2.41719E-05 124374       Lin-Lin
 2.66625E-05 118423       Lin-Lin
 2.94097E-05 112756       Lin-Lin
 3.244E-05   107361       Lin-Lin
 3.57825E-05 102224       Lin-Lin
 3.94694E-05 97332.1      Lin-Lin
 4.35362E-05 92674.6      Lin-Lin
 4.80221E-05 88240.1      Lin-Lin
 5.29701E-05 84017.7      Lin-Lin
 5.8428E-05  79997.4      Lin-Lin
 6.44482E-05 76169.4      Lin-Lin
 7.10888E-05 72524.7      Lin-Lin
 7.84136E-05 69054.3      Lin-Lin
 8.64931E-05 65750        Lin-Lin
 9.54051E-05 62603.8      Lin-Lin
 0.000105235 59608.1      Lin-Lin
 0.000116078 56755.8      Lin-Lin
 0.000128039 54040        Lin-Lin
 0.000141232 51454.2      Lin-Lin
 0.000155784 48992        Lin-Lin
 0.000171835 46647.7      Lin-Lin
 0.00018954  44415.6      Lin-Lin
 0.00020907  42290.2      Lin-Lin
 0.000230612 40266.6      Lin-Lin
 0.000254374 38339.8      Lin-Lin
 0.000280584 36505.2      Lin-Lin
 0.000309494 34758.4      Lin-Lin
 0.000341383 33095.2      Lin-Lin
 0.000376558 31511.5      Lin-Lin
 0.000415358 30003.7      Lin-Lin
 0.000458155 28568        Lin-Lin
 0.000505362 27201        Lin-Lin
 0.000557433 25899.4      Lin-Lin
 0.000614869 24660.1      Lin-Lin
 0.000678223 23480.1      Lin-Lin
 0.000748105 22356.5      Lin-Lin
 0.000825188 21286.7      Lin-Lin
 0.000910213 20268.1      Lin-Lin
 0.001004    19298.3      Lin-Lin
 0.00110745  18374.8      Lin-Lin
 0.00122155  17495.6      Lin-Lin
