#LIBRARY    ENDF/B-VIII.b4
#REACTION   B-11(N,A)LI-8,SIG
#NUCLEUS    B-11
#MF         3
#MT         107
#EN-MIN     7.2385e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 7.2385E+06  0            Lin-Lin
 7.3E+06     1.12483E-11  Lin-Lin
 7.3031E+06  1.26649E-11  Lin-Lin
 7.30611E+06 1.42071E-11  Lin-Lin
 7.30903E+06 1.588E-11    Lin-Lin
 7.31186E+06 1.76883E-11  Lin-Lin
 7.31459E+06 1.96361E-11  Lin-Lin
 7.31725E+06 2.17274E-11  Lin-Lin
 7.31982E+06 2.39656E-11  Lin-Lin
 7.32231E+06 2.63534E-11  Lin-Lin
 7.32473E+06 2.88932E-11  Lin-Lin
 7.32707E+06 3.15869E-11  Lin-Lin
 7.32934E+06 3.44356E-11  Lin-Lin
 7.33153E+06 3.74401E-11  Lin-Lin
 7.33366E+06 4.06005E-11  Lin-Lin
 7.33573E+06 4.39163E-11  Lin-Lin
 7.33973E+06 5.11309E-11  Lin-Lin
 7.34348E+06 5.89674E-11  Lin-Lin
 7.347E+06   6.74016E-11  Lin-Lin
 7.3503E+06  7.64012E-11  Lin-Lin
 7.3534E+06  8.59267E-11  Lin-Lin
 7.3563E+06  9.59327E-11  Lin-Lin
 7.35903E+06 1.06369E-10  Lin-Lin
 7.36158E+06 1.17182E-10  Lin-Lin
 7.36398E+06 1.28315E-10  Lin-Lin
 7.36622E+06 1.39712E-10  Lin-Lin
 7.36833E+06 1.51313E-10  Lin-Lin
 7.37228E+06 1.75726E-10  Lin-Lin
 7.37574E+06 2.00297E-10  Lin-Lin
 7.37877E+06 2.24599E-10  Lin-Lin
 7.38142E+06 2.48271E-10  Lin-Lin
 7.38374E+06 2.71021E-10  Lin-Lin
 7.3878E+06  3.15965E-10  Lin-Lin
 7.39085E+06 3.54499E-10  Lin-Lin
 7.39314E+06 3.86454E-10  Lin-Lin
 7.39657E+06 4.39867E-10  Lin-Lin
 7.4E+06     5.00663E-10  Lin-Lin
 7.4031E+06  5.58923E-10  Lin-Lin
 7.40611E+06 6.21819E-10  Lin-Lin
 7.40903E+06 6.89492E-10  Lin-Lin
 7.41186E+06 7.62065E-10  Lin-Lin
 7.41459E+06 8.39648E-10  Lin-Lin
 7.41725E+06 9.2233E-10   Lin-Lin
 7.41982E+06 1.01018E-09  Lin-Lin
 7.42231E+06 1.10327E-09  Lin-Lin
 7.42473E+06 1.20161E-09  Lin-Lin
 7.42707E+06 1.30523E-09  Lin-Lin
 7.42934E+06 1.41413E-09  Lin-Lin
 7.43154E+06 1.52828E-09  Lin-Lin
 7.4358E+06  1.77634E-09  Lin-Lin
 7.43979E+06 2.04533E-09  Lin-Lin
 7.44354E+06 2.3344E-09   Lin-Lin
 7.44706E+06 2.6424E-09   Lin-Lin
 7.45036E+06 2.96796E-09  Lin-Lin
 7.45345E+06 3.30951E-09  Lin-Lin
 7.45635E+06 3.66533E-09  Lin-Lin
 7.45907E+06 4.03357E-09  Lin-Lin
 7.46162E+06 4.41233E-09  Lin-Lin
 7.46402E+06 4.79966E-09  Lin-Lin
 7.46626E+06 5.19361E-09  Lin-Lin
 7.47047E+06 6.02149E-09  Lin-Lin
 7.47415E+06 6.85345E-09  Lin-Lin
 7.47738E+06 7.67519E-09  Lin-Lin
 7.4802E+06  8.47464E-09  Lin-Lin
 7.48268E+06 9.24218E-09  Lin-Lin
 7.487E+06   1.07564E-08  Lin-Lin
 7.49025E+06 1.20528E-08  Lin-Lin
 7.49269E+06 1.31266E-08  Lin-Lin
 7.49634E+06 1.49193E-08  Lin-Lin
 7.5031E+06  1.87067E-08  Lin-Lin
 7.50611E+06 2.05738E-08  Lin-Lin
 7.50903E+06 2.256E-08    Lin-Lin
 7.51186E+06 2.46669E-08  Lin-Lin
 7.5146E+06  2.68954E-08  Lin-Lin
 7.51725E+06 2.92461E-08  Lin-Lin
 7.51982E+06 3.17191E-08  Lin-Lin
 7.52232E+06 3.4314E-08   Lin-Lin
 7.52715E+06 3.99612E-08  Lin-Lin
 7.53168E+06 4.60967E-08  Lin-Lin
 7.53593E+06 5.27017E-08  Lin-Lin
 7.53992E+06 5.97509E-08  Lin-Lin
 7.54366E+06 6.72136E-08  Lin-Lin
 7.54717E+06 7.50542E-08  Lin-Lin
 7.55046E+06 8.32335E-08  Lin-Lin
 7.55355E+06 9.17093E-08  Lin-Lin
 7.55644E+06 1.00438E-07  Lin-Lin
 7.55916E+06 1.09373E-07  Lin-Lin
 7.5617E+06  1.18472E-07  Lin-Lin
 7.56648E+06 1.3762E-07   Lin-Lin
 7.57066E+06 1.56896E-07  Lin-Lin
 7.57432E+06 1.75966E-07  Lin-Lin
 7.57753E+06 1.94544E-07  Lin-Lin
 7.58033E+06 2.12402E-07  Lin-Lin
 7.58524E+06 2.47688E-07  Lin-Lin
 7.58893E+06 2.77949E-07  Lin-Lin
 7.5917E+06  3.03047E-07  Lin-Lin
 7.59585E+06 3.45006E-07  Lin-Lin
 7.6E+06     3.92775E-07  Lin-Lin
 7.6031E+06  4.26881E-07  Lin-Lin
 7.60611E+06 4.62742E-07  Lin-Lin
 7.60903E+06 5.00354E-07  Lin-Lin
 7.61468E+06 5.82145E-07  Lin-Lin
 7.61999E+06 6.70928E-07  Lin-Lin
 7.62496E+06 7.66422E-07  Lin-Lin
 7.62963E+06 8.68257E-07  Lin-Lin
 7.63401E+06 9.75982E-07  Lin-Lin
 7.63812E+06 1.08908E-06  Lin-Lin
 7.64197E+06 1.20699E-06  Lin-Lin
