#LIBRARY    JENDL/HE-2007
#REACTION   C-12(N,A)BE-9,SIG
#NUCLEUS    C-12
#MF         3
#MT         107
#EN-MIN     6.18075e+06
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 6.18075E+06 0            Lin-Lin
 7.26547E+06 0.000723848  Lin-Lin
 7.44282E+06 0.0263969    Lin-Lin
 7.60671E+06 0.0490079    Lin-Lin
 7.61858E+06 0.0497746    Lin-Lin
 7.64234E+06 0.0540868    Lin-Lin
 7.66609E+06 0.0616234    Lin-Lin
 7.68984E+06 0.0718078    Lin-Lin
 7.73734E+06 0.097813     Lin-Lin
 7.78485E+06 0.127491     Lin-Lin
 7.83235E+06 0.156227     Lin-Lin
 7.87985E+06 0.179411     Lin-Lin
 7.92736E+06 0.192428     Lin-Lin
 7.95111E+06 0.193683     Lin-Lin
 7.97486E+06 0.190666     Lin-Lin
 8.1142E+06  0.154381     Lin-Lin
 8.25355E+06 0.116521     Lin-Lin
 8.32322E+06 0.100887     Lin-Lin
 8.39289E+06 0.0895222    Lin-Lin
 8.46256E+06 0.083982     Lin-Lin
 8.49739E+06 0.0838815    Lin-Lin
 8.53224E+06 0.0858204    Lin-Lin
 8.65258E+06 0.0952695    Lin-Lin
 8.77292E+06 0.106945     Lin-Lin
 8.83309E+06 0.115592     Lin-Lin
 8.89326E+06 0.127166     Lin-Lin
 8.95343E+06 0.142456     Lin-Lin
 9.0136E+06  0.162254     Lin-Lin
 9.05794E+06 0.181944     Lin-Lin
 9.10228E+06 0.206397     Lin-Lin
 9.19095E+06 0.259115     Lin-Lin
 9.23528E+06 0.28215      Lin-Lin
 9.27962E+06 0.299489     Lin-Lin
 9.32396E+06 0.308509     Lin-Lin
 9.3683E+06  0.306598     Lin-Lin
 9.4443E+06  0.287966     Lin-Lin
 9.52031E+06 0.262479     Lin-Lin
 9.67232E+06 0.203729     Lin-Lin
 9.70398E+06 0.194244     Lin-Lin
 9.73566E+06 0.189072     Lin-Lin
 9.79899E+06 0.187552     Lin-Lin
 9.86233E+06 0.190918     Lin-Lin
 9.92567E+06 0.190921     Lin-Lin
 1.00333E+07 0.179104     Lin-Lin
 1.02487E+07 0.144604     Lin-Lin
 1.03564E+07 0.131834     Lin-Lin
 1.05654E+07 0.114033     Lin-Lin
 1.07744E+07 0.0972632    Lin-Lin
 1.09834E+07 0.0852352    Lin-Lin
 1.10879E+07 0.0821595    Lin-Lin
 1.11924E+07 0.081661     Lin-Lin
 1.16168E+07 0.0893349    Lin-Lin
 1.20412E+07 0.0990522    Lin-Lin
 1.22533E+07 0.102038     Lin-Lin
 1.24655E+07 0.102368     Lin-Lin
 1.26777E+07 0.0989861    Lin-Lin
 1.28899E+07 0.0908368    Lin-Lin
 1.31274E+07 0.0809565    Lin-Lin
 1.33649E+07 0.0750945    Lin-Lin
 1.36024E+07 0.0723675    Lin-Lin
 1.384E+07   0.0718915    Lin-Lin
 1.4315E+07  0.0741572    Lin-Lin
 1.479E+07   0.0748209    Lin-Lin
 1.54329E+07 0.068388     Lin-Lin
 1.60758E+07 0.0574503    Lin-Lin
 1.73615E+07 0.0317201    Lin-Lin
 1.7683E+07  0.0262454    Lin-Lin
 1.80044E+07 0.0217576    Lin-Lin
 1.83259E+07 0.0185585    Lin-Lin
 1.84866E+07 0.0175366    Lin-Lin
 1.86473E+07 0.0169501    Lin-Lin
 1.8808E+07  0.0168366    Lin-Lin
 1.89687E+07 0.0172341    Lin-Lin
 1.91295E+07 0.0181801    Lin-Lin
 1.92902E+07 0.0197125    Lin-Lin
 1.94509E+07 0.0218689    Lin-Lin
 1.96116E+07 0.0246871    Lin-Lin
 1.97723E+07 0.0282048    Lin-Lin
 2E+07       0.0324598    Lin-Lin
 2E+07       0            Lin-Lin
