#LIBRARY    FENDL-3.0
#REACTION   CA-40(N,A)AR-37,SIG
#NUCLEUS    Ca-40
#MF         3
#MT         107
#EN-MIN     300000
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 300000      0            Lin-Lin
 400000      4.216E-07    Lin-Lin
 480940      1.93389E-06  Lin-Lin
 500000      2.29E-06     Lin-Lin
 600000      5.999E-06    Lin-Lin
 700000      1.304E-05    Lin-Lin
 761343      2.05362E-05  Lin-Lin
 800000      2.526E-05    Lin-Lin
 900000      4.741E-05    Lin-Lin
 1E+06       8.534E-05    Lin-Lin
 1.07455E+06 0.000227837  Lin-Lin
 1.45922E+06 0.000963065  Lin-Lin
 1.47337E+06 0.000990107  Lin-Lin
 1.5E+06     0.001041     Lin-Lin
 1.56441E+06 0.00173251   Lin-Lin
 1.81498E+06 0.00442248   Lin-Lin
 1.82411E+06 0.00452043   Lin-Lin
 1.9008E+06  0.00534371   Lin-Lin
 2E+06       0.00640872   Lin-Lin
 2.00793E+06 0.00669437   Lin-Lin
 2.24394E+06 0.0151927    Lin-Lin
 2.28813E+06 0.0167838    Lin-Lin
 2.33078E+06 0.0183196    Lin-Lin
 2.5E+06     0.0244129    Lin-Lin
 2.50466E+06 0.0247761    Lin-Lin
 2.59929E+06 0.0321491    Lin-Lin
 2.63487E+06 0.034921     Lin-Lin
 2.71525E+06 0.0411836    Lin-Lin
 2.76354E+06 0.044946     Lin-Lin
 2.89641E+06 0.0552986    Lin-Lin
 2.94869E+06 0.0593725    Lin-Lin
 2.95915E+06 0.0601873    Lin-Lin
 3E+06       0.06337      Lin-Lin
 3.0708E+06  0.0714738    Lin-Lin
 3.1275E+06  0.0779633    Lin-Lin
 3.21792E+06 0.0883137    Lin-Lin
 3.3144E+06  0.0993564    Lin-Lin
 3.3269E+06  0.100788     Lin-Lin
 3.3836E+06  0.107278     Lin-Lin
 3.42615E+06 0.112148     Lin-Lin
 3.43835E+06 0.113544     Lin-Lin
 3.46716E+06 0.116842     Lin-Lin
 3.5E+06     0.120601     Lin-Lin
 3.55246E+06 0.125875     Lin-Lin
 4E+06       0.170872     Lin-Lin
 4.5E+06     0.195649     Lin-Lin
 5E+06       0.217519     Lin-Lin
 5.5E+06     0.224081     Lin-Lin
 6E+06       0.228386     Lin-Lin
 6.5E+06     0.2361       Lin-Lin
 7E+06       0.2445       Lin-Lin
 7.5E+06     0.254        Lin-Lin
 8E+06       0.2618       Lin-Lin
 8.5E+06     0.2623       Lin-Lin
 9E+06       0.256        Lin-Lin
 9.5E+06     0.2459       Lin-Lin
 1E+07       0.2342       Lin-Lin
 1.1E+07     0.212        Lin-Lin
 1.2E+07     0.1945       Lin-Lin
 1.3E+07     0.1766       Lin-Lin
 1.4E+07     0.1504       Lin-Lin
 1.45E+07    0.1358       Lin-Lin
 1.5E+07     0.1202       Lin-Lin
 1.6E+07     0.09204      Lin-Lin
 1.7E+07     0.06872      Lin-Lin
 1.8E+07     0.05081      Lin-Lin
 1.9E+07     0.03727      Lin-Lin
 2E+07       0.02742      Lin-Lin
 2E+07       0            Lin-Lin
