#LIBRARY    JENDL-4.0/HE
#REACTION   CL-35(N,A)P-32,SIG
#NUCLEUS    Cl-35
#MF         3
#MT         107
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       0.00402399   Lin-Lin
 1.10304E-05 0.00383144   Lin-Lin
 1.21669E-05 0.0036481    Lin-Lin
 1.34206E-05 0.00347354   Lin-Lin
 1.48034E-05 0.00330733   Lin-Lin
 1.63286E-05 0.00314907   Lin-Lin
 1.80111E-05 0.00299838   Lin-Lin
 1.98669E-05 0.00285491   Lin-Lin
 2.19139E-05 0.0027183    Lin-Lin
 2.41719E-05 0.00258822   Lin-Lin
 2.66625E-05 0.00246437   Lin-Lin
 2.94097E-05 0.00234645   Lin-Lin
 3.244E-05   0.00223417   Lin-Lin
 3.57825E-05 0.00212727   Lin-Lin
 3.94694E-05 0.00202547   Lin-Lin
 4.35362E-05 0.00192855   Lin-Lin
 4.80221E-05 0.00183627   Lin-Lin
 5.29701E-05 0.0017484    Lin-Lin
 5.8428E-05  0.00166474   Lin-Lin
 6.44482E-05 0.00158508   Lin-Lin
 7.10888E-05 0.00150923   Lin-Lin
 7.84136E-05 0.00143702   Lin-Lin
 8.64931E-05 0.00136825   Lin-Lin
 9.54051E-05 0.00130278   Lin-Lin
 0.000105235 0.00124044   Lin-Lin
 0.000116078 0.00118109   Lin-Lin
 0.000128039 0.00112457   Lin-Lin
 0.000141232 0.00107076   Lin-Lin
 0.000155784 0.00101952   Lin-Lin
 0.000171835 0.000970736  Lin-Lin
 0.00018954  0.000924285  Lin-Lin
 0.00020907  0.000880057  Lin-Lin
 0.000230612 0.000837946  Lin-Lin
 0.000254374 0.000797849  Lin-Lin
 0.000280584 0.000759672  Lin-Lin
 0.000309494 0.000723321  Lin-Lin
 0.000341383 0.000688709  Lin-Lin
 0.000376558 0.000655754  Lin-Lin
 0.000415358 0.000624375  Lin-Lin
 0.000458155 0.000594498  Lin-Lin
 0.000505362 0.000566051  Lin-Lin
 0.000557433 0.000538965  Lin-Lin
 0.000614869 0.000513175  Lin-Lin
 0.000678223 0.000488619  Lin-Lin
 0.000748105 0.000465238  Lin-Lin
 0.000825188 0.000442976  Lin-Lin
 0.000910213 0.000421779  Lin-Lin
 0.001004    0.000401597  Lin-Lin
 0.00110745  0.00038238   Lin-Lin
 0.00122155  0.000364082  Lin-Lin
 0.00134742  0.000346661  Lin-Lin
 0.00148625  0.000330073  Lin-Lin
 0.00163939  0.000314278  Lin-Lin
 0.00180831  0.00029924   Lin-Lin
 0.00199463  0.000284921  Lin-Lin
 0.00220016  0.000271287  Lin-Lin
 0.00242685  0.000258306  Lin-Lin
 0.00267691  0.000245946  Lin-Lin
 0.00295273  0.000234177  Lin-Lin
 0.00325697  0.000222971  Lin-Lin
 0.00359256  0.000212302  Lin-Lin
 0.00396272  0.000202143  Lin-Lin
 0.00437103  0.00019247   Lin-Lin
 0.00482141  0.00018326   Lin-Lin
 0.00531819  0.000174491  Lin-Lin
 0.00586616  0.000166142  Lin-Lin
 0.00647059  0.000158191  Lin-Lin
 0.0071373   0.000150622  Lin-Lin
 0.00787271  0.000143414  Lin-Lin
 0.00868389  0.000136552  Lin-Lin
 0.00957865  0.000130018  Lin-Lin
 0.0105656   0.000123796  Lin-Lin
 0.0116543   0.000117872  Lin-Lin
 0.0128551   0.000112232  Lin-Lin
 0.0141796   0.000106862  Lin-Lin
 0.0156406   0.000101749  Lin-Lin
 0.0172522   9.68806E-05  Lin-Lin
 0.0190298   9.22461E-05  Lin-Lin
 0.0209906   8.78343E-05  Lin-Lin
 0.0231534   8.3635E-05   Lin-Lin
 0.0252419   8.0105E-05   Lin-Lin
 0.0253      8.00131E-05  Lin-Lin
 0.0279068   7.6191E-05   Lin-Lin
 0.0307823   7.25521E-05  Lin-Lin
 0.033954    6.90861E-05  Lin-Lin
 0.0374525   6.57836E-05  Lin-Lin
 0.0413115   6.26367E-05  Lin-Lin
 0.0455681   5.96392E-05  Lin-Lin
 0.0502633   5.67855E-05  Lin-Lin
 0.0554423   5.40689E-05  Lin-Lin
 0.0611549   5.14828E-05  Lin-Lin
 0.0674561   4.90203E-05  Lin-Lin
 0.0744066   4.66748E-05  Lin-Lin
