#LIBRARY    JENDL-4.0/HE
#REACTION   CR-52(N,A)TI-49,SIG
#NUCLEUS    Cr-52
#MF         3
#MT         107
#EN-MIN     1.23526e+06
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1.23526E+06 0            Lin-Lin
 2.64387E+06 1.49587E-10  Lin-Lin
 2.88971E+06 1.76933E-10  Lin-Lin
 2.9922E+06  1.89026E-10  Lin-Lin
 3.03149E+06 1.99493E-10  Lin-Lin
 3.48164E+06 3.90484E-10  Lin-Lin
 3.5E+06     4.45218E-10  Lin-Lin
 3.53968E+06 6.02276E-10  Lin-Lin
 3.68615E+06 1.94712E-09  Lin-Lin
 3.81222E+06 5.40712E-09  Lin-Lin
 3.84496E+06 6.91123E-09  Lin-Lin
 4E+06       2.19702E-08  Lin-Lin
 4.02518E+06 2.6394E-08   Lin-Lin
 4.09349E+06 4.23631E-08  Lin-Lin
 4.11764E+06 4.99166E-08  Lin-Lin
 4.17962E+06 7.52979E-08  Lin-Lin
 4.5E+06     4.80953E-07  Lin-Lin
 4.55681E+06 6.6131E-07   Lin-Lin
 4.65161E+06 1.03417E-06  Lin-Lin
 4.70054E+06 1.26554E-06  Lin-Lin
 4.71718E+06 1.37204E-06  Lin-Lin
 4.79331E+06 1.98683E-06  Lin-Lin
 4.82186E+06 2.26517E-06  Lin-Lin
 4.84257E+06 2.48016E-06  Lin-Lin
 4.89332E+06 3.12844E-06  Lin-Lin
 4.90922E+06 3.35975E-06  Lin-Lin
 4.93532E+06 3.77485E-06  Lin-Lin
 5E+06       5.01931E-06  Lin-Lin
 5.5E+06     3.18077E-05  Lin-Lin
 6E+06       0.000137206  Lin-Lin
 6.5E+06     0.00044246   Lin-Lin
 7E+06       0.00112875   Lin-Lin
 7.5E+06     0.0023453    Lin-Lin
 8E+06       0.00407122   Lin-Lin
 8.5E+06     0.00628573   Lin-Lin
 9E+06       0.00884014   Lin-Lin
 9.5E+06     0.0118836    Lin-Lin
 1E+07       0.0152306    Lin-Lin
 1.05E+07    0.0184906    Lin-Lin
 1.1E+07     0.0215445    Lin-Lin
 1.15E+07    0.0244996    Lin-Lin
 1.2E+07     0.0275242    Lin-Lin
 1.25E+07    0.0308563    Lin-Lin
 1.3E+07     0.034608     Lin-Lin
 1.35E+07    0.0388122    Lin-Lin
 1.4E+07     0.0434937    Lin-Lin
 1.45E+07    0.0485036    Lin-Lin
 1.5E+07     0.0537365    Lin-Lin
 1.55E+07    0.0588125    Lin-Lin
 1.6E+07     0.0627443    Lin-Lin
 1.65E+07    0.0656479    Lin-Lin
 1.7E+07     0.0665022    Lin-Lin
 1.75E+07    0.0651544    Lin-Lin
 1.8E+07     0.0618565    Lin-Lin
 1.85E+07    0.0571042    Lin-Lin
 1.9E+07     0.0511734    Lin-Lin
 1.95E+07    0.0447324    Lin-Lin
 2E+07       0.0384528    Lin-Lin
 2E+07       0            Lin-Lin
