#LIBRARY    JENDL-4.0/HE
#REACTION   CR-53(N,A)TI-50,SIG
#NUCLEUS    Cr-53
#MF         3
#MT         107
#E,eV        Sig,b        Interpolation
 225000      0            Lin-Lin
 225000      6.03375E-11  Lin-Lin
 250000      7.64834E-11  Lin-Lin
 275000      9.72817E-11  Lin-Lin
 285670      1.08151E-10  Lin-Lin
 295145      1.18429E-10  Lin-Lin
 300000      1.23929E-10  Lin-Lin
 308028      1.35429E-10  Lin-Lin
 315583      1.46917E-10  Lin-Lin
 325074      1.62298E-10  Lin-Lin
 333612      1.77072E-10  Lin-Lin
 341267      1.91098E-10  Lin-Lin
 351348      2.10738E-10  Lin-Lin
 362192      2.334E-10    Lin-Lin
 371295      2.53703E-10  Lin-Lin
 381302      2.7742E-10   Lin-Lin
 390539      3.00655E-10  Lin-Lin
 400000      3.25837E-10  Lin-Lin
 408278      3.553E-10    Lin-Lin
 416024      3.84673E-10  Lin-Lin
 425696      4.2391E-10   Lin-Lin
 434344      4.61512E-10  Lin-Lin
 445471      5.1358E-10   Lin-Lin
 455002      5.61648E-10  Lin-Lin
 465857      6.20491E-10  Lin-Lin
 477322      6.87636E-10  Lin-Lin
 485301      7.37537E-10  Lin-Lin
 495052      8.02221E-10  Lin-Lin
 500000      8.3666E-10   Lin-Lin
 508787      9.10962E-10  Lin-Lin
 516602      9.8137E-10   Lin-Lin
 526603      1.07771E-09  Lin-Lin
 535122      1.16557E-09  Lin-Lin
 544772      1.27187E-09  Lin-Lin
 555303      1.39655E-09  Lin-Lin
 564956      1.51918E-09  Lin-Lin
 574776      1.65257E-09  Lin-Lin
 600000      1.76137E-09  Lin-Lin
 611673      1.94277E-09  Lin-Lin
 622074      2.11675E-09  Lin-Lin
 631319      2.28172E-09  Lin-Lin
 643143      2.50759E-09  Lin-Lin
 653210      2.71374E-09  Lin-Lin
 664606      2.96332E-09  Lin-Lin
 673283      3.16545E-09  Lin-Lin
 686511      3.4948E-09   Lin-Lin
 700000      3.85841E-09  Lin-Lin
 711411      4.24417E-09  Lin-Lin
 721924      4.62742E-09  Lin-Lin
 731251      4.99105E-09  Lin-Lin
 743397      5.49987E-09  Lin-Lin
 750247      5.80535E-09  Lin-Lin
 762388      6.38134E-09  Lin-Lin
 775113      7.03524E-09  Lin-Lin
 783911      7.51909E-09  Lin-Lin
 794601      8.14384E-09  Lin-Lin
 800000      8.47542E-09  Lin-Lin
 811865      9.31801E-09  Lin-Lin
 822392      1.01237E-08  Lin-Lin
 831715      1.08856E-08  Lin-Lin
 843591      1.1926E-08   Lin-Lin
 853661      1.28727E-08  Lin-Lin
 865017      1.40158E-08  Lin-Lin
 877352      1.53533E-08  Lin-Lin
 888604      1.66659E-08  Lin-Lin
 900000      1.80907E-08  Lin-Lin
 909219      1.94032E-08  Lin-Lin
 920100      2.10562E-08  Lin-Lin
 929728      2.26176E-08  Lin-Lin
 942230      2.47922E-08  Lin-Lin
 955463      2.72861E-08  Lin-Lin
 966408      2.95076E-08  Lin-Lin
 978274      3.2089E-08   Lin-Lin
 989077      3.46048E-08  Lin-Lin
 1E+06       3.73178E-08  Lin-Lin
 1.01264E+06 4.08057E-08  Lin-Lin
 1.02544E+06 4.46197E-08  Lin-Lin
 1.04245E+06 4.90182E-08  Lin-Lin
 1.05655E+06 5.29301E-08  Lin-Lin
 1.07187E+06 5.74684E-08  Lin-Lin
 1.08584E+06 6.18847E-08  Lin-Lin
 1.1E+06     6.66404E-08  Lin-Lin
 1.11203E+06 7.20326E-08  Lin-Lin
 1.12735E+06 7.94388E-08  Lin-Lin
 1.14033E+06 8.62196E-08  Lin-Lin
 1.15496E+06 9.44543E-08  Lin-Lin
 1.17025E+06 1.03771E-07  Lin-Lin
 1.18079E+06 1.10645E-07  Lin-Lin
 1.19356E+06 1.19497E-07  Lin-Lin
 1.2E+06     1.24185E-07  Lin-Lin
 1.21207E+06 1.33875E-07  Lin-Lin
 1.22742E+06 1.47143E-07  Lin-Lin
 1.24041E+06 1.59254E-07  Lin-Lin
 1.25505E+06 1.73918E-07  Lin-Lin
 1.27032E+06 1.90456E-07  Lin-Lin
 1.2872E+06  2.10296E-07  Lin-Lin
 1.3E+06     2.2652E-07   Lin-Lin
 1.32913E+06 2.66577E-07  Lin-Lin
 1.34185E+06 2.85093E-07  Lin-Lin
 1.35616E+06 3.0723E-07   Lin-Lin
 1.37165E+06 3.3286E-07   Lin-Lin
 1.39049E+06 3.66453E-07  Lin-Lin
 1.4E+06     3.84501E-07  Lin-Lin
 1.41618E+06 4.20355E-07  Lin-Lin
