#LIBRARY    ENDF/B-VII.1
#REACTION   GD-157(N,A)SM-154,SIG
#NUCLEUS    Gd-157
#MF         3
#MT         107
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       0.0180266    Lin-Lin
 1.10304E-05 0.0171643    Lin-Lin
 1.21669E-05 0.0163434    Lin-Lin
 1.34206E-05 0.0155617    Lin-Lin
 1.48034E-05 0.0148174    Lin-Lin
 1.63286E-05 0.0141088    Lin-Lin
 1.80111E-05 0.0134341    Lin-Lin
 1.98669E-05 0.0127918    Lin-Lin
 2.19139E-05 0.0121801    Lin-Lin
 2.41719E-05 0.0115978    Lin-Lin
 2.66625E-05 0.0110434    Lin-Lin
 2.94097E-05 0.0105155    Lin-Lin
 3.244E-05   0.0100129    Lin-Lin
 3.57825E-05 0.0095344    Lin-Lin
 3.94694E-05 0.00907881   Lin-Lin
 4.35362E-05 0.00864506   Lin-Lin
 4.80221E-05 0.0082321    Lin-Lin
 5.29701E-05 0.00783893   Lin-Lin
 5.8428E-05  0.00746462   Lin-Lin
 6.44482E-05 0.00710826   Lin-Lin
 7.10888E-05 0.00676899   Lin-Lin
 7.84136E-05 0.006446     Lin-Lin
 8.64931E-05 0.00613852   Lin-Lin
 9.54051E-05 0.00584579   Lin-Lin
 0.000105235 0.00556713   Lin-Lin
 0.000116078 0.00530186   Lin-Lin
 0.000128039 0.00504933   Lin-Lin
 0.000141232 0.00480895   Lin-Lin
 0.000155784 0.00458014   Lin-Lin
 0.000171835 0.00436234   Lin-Lin
 0.00018954  0.00415504   Lin-Lin
 0.00020907  0.00395773   Lin-Lin
 0.000230612 0.00376994   Lin-Lin
 0.000254374 0.00359122   Lin-Lin
 0.000280584 0.00342114   Lin-Lin
 0.000309494 0.00325928   Lin-Lin
 0.000341383 0.00310527   Lin-Lin
 0.000376558 0.00295873   Lin-Lin
 0.000415358 0.0028193    Lin-Lin
 0.000458155 0.00268665   Lin-Lin
 0.000505362 0.00256046   Lin-Lin
 0.000557433 0.00244042   Lin-Lin
 0.000614869 0.00232624   Lin-Lin
 0.000678223 0.00221764   Lin-Lin
 0.000748105 0.00211436   Lin-Lin
 0.000825188 0.00201613   Lin-Lin
 0.000910213 0.00192273   Lin-Lin
 0.001004    0.00183391   Lin-Lin
 0.00110745  0.00174945   Lin-Lin
 0.00123017  0.00166355   Lin-Lin
 0.00136643  0.00158222   Lin-Lin
 0.00151785  0.00150516   Lin-Lin
 0.00168598  0.00143226   Lin-Lin
 0.00187281  0.00136325   Lin-Lin
 0.00208025  0.00129805   Lin-Lin
 0.00231078  0.00123644   Lin-Lin
 0.00256673  0.00117834   Lin-Lin
 0.00285117  0.00112354   Lin-Lin
 0.00316698  0.00107193   Lin-Lin
 0.00351794  0.00102328   Lin-Lin
 0.00390759  0.000977498  Lin-Lin
 0.00434062  0.000934397  Lin-Lin
 0.00482141  0.000893913  Lin-Lin
 0.00535571  0.000855909  Lin-Lin
 0.00594892  0.000820301  Lin-Lin
 0.00665446  0.000784753  Lin-Lin
 0.00744367  0.000751514  Lin-Lin
 0.00832648  0.000720377  Lin-Lin
 0.00931399  0.000691167  Lin-Lin
 0.0104921   0.000662031  Lin-Lin
 0.0118187   0.000634567  Lin-Lin
 0.0134069   0.000606876  Lin-Lin
 0.0153158   0.000578723  Lin-Lin
 0.0174956   0.000551249  Lin-Lin
 0.0202686   0.000521049  Lin-Lin
 0.0238113   0.000487121  Lin-Lin
 0.0252419   0.00047429   Lin-Lin
 0.0253      0.000473776  Lin-Lin
 0.0321036   0.000415953  Lin-Lin
 0.0396112   0.000355071  Lin-Lin
 0.0455681   0.000309287  Lin-Lin
 0.0499137   0.000277958  Lin-Lin
 0.0539104   0.000251255  Lin-Lin
 0.05823     0.000224275  Lin-Lin
 0.0611549   0.000207294  Lin-Lin
 0.0637799   0.000193254  Lin-Lin
 0.0669869   0.000177615  Lin-Lin
 0.0708479   0.000160327  Lin-Lin
 0.0744066   0.000145468  Lin-Lin
 0.0770606   0.000135246  Lin-Lin
 0.0792503   0.00012754   Lin-Lin
 0.0815023   0.00012034   Lin-Lin
 0.0844053   0.000111983  Lin-Lin
 0.0880284   0.000102509  Lin-Lin
 0.0924546   9.17191E-05  Lin-Lin
 0.0957477   8.42653E-05  Lin-Lin
 0.0984684   7.8668E-05   Lin-Lin
 0.100562    7.4779E-05   Lin-Lin
 0.102695    7.11896E-05  Lin-Lin
 0.105613    6.67923E-05  Lin-Lin
 0.109381    6.1692E-05   Lin-Lin
 0.114875    5.47822E-05  Lin-Lin
 0.118972    4.99145E-05  Lin-Lin
 0.122353    4.6218E-05   Lin-Lin
 0.124948    4.36653E-05  Lin-Lin
 0.127605    4.13415E-05  Lin-Lin
 0.130312    3.92554E-05  Lin-Lin
 0.133082    3.73525E-05  Lin-Lin
 0.137823    3.44222E-05  Lin-Lin
 0.145766    2.98462E-05  Lin-Lin
 0.150966    2.70111E-05  Lin-Lin
 0.154168    2.5403E-05   Lin-Lin
 0.157446    2.39216E-05  Lin-Lin
 0.160786    2.26064E-05  Lin-Lin
 0.164204    2.14474E-05  Lin-Lin
 0.167687    2.04118E-05  Lin-Lin
 0.173669    1.88135E-05  Lin-Lin
 0.18627     1.56417E-05  Lin-Lin
 0.191563    1.43852E-05  Lin-Lin
 0.195626    1.35051E-05  Lin-Lin
 0.198386    1.29669E-05  Lin-Lin
 0.201185    1.2476E-05   Lin-Lin
 0.204024    1.20324E-05  Lin-Lin
 0.208362    1.14408E-05  Lin-Lin
 0.214282    1.07367E-05  Lin-Lin
 0.233073    8.68256E-06  Lin-Lin
 0.241375    7.81644E-06  Lin-Lin
 0.246507    7.33051E-06  Lin-Lin
 0.249985    7.03653E-06  Lin-Lin
 0.253511    6.77159E-06  Lin-Lin
 0.257088    6.53533E-06  Lin-Lin
 0.262541    6.22389E-06  Lin-Lin
 0.270002    5.84987E-06  Lin-Lin
 0.297822    4.53931E-06  Lin-Lin
 0.306284    4.16163E-06  Lin-Lin
 0.310606    3.98546E-06  Lin-Lin
 0.314988    3.82449E-06  Lin-Lin
 0.319432    3.68163E-06  Lin-Lin
 0.323938    3.55633E-06  Lin-Lin
 0.330826    3.39247E-06  Lin-Lin
 0.345026    3.09638E-06  Lin-Lin
 0.380577    2.37998E-06  Lin-Lin
 0.388649    2.22855E-06  Lin-Lin
 0.394132    2.13603E-06  Lin-Lin
 0.399693    2.05389E-06  Lin-Lin
 0.405332    1.98286E-06  Lin-Lin
 0.41105     1.92106E-06  Lin-Lin
 0.422731    1.81185E-06  Lin-Lin
 0.479537    1.31643E-06  Lin-Lin
 0.489733    1.23286E-06  Lin-Lin
 0.496642    1.18205E-06  Lin-Lin
 0.503649    1.13755E-06  Lin-Lin
 0.510755    1.09973E-06  Lin-Lin
 0.521589    1.05204E-06  Lin-Lin
 0.575332    8.46097E-07  Lin-Lin
 0.608493    7.2069E-07   Lin-Lin
 0.62143     6.75486E-07  Lin-Lin
 0.630198    6.49122E-07  Lin-Lin
 0.639089    6.26913E-07  Lin-Lin
 0.648105    6.0829E-07   Lin-Lin
 0.666521    5.75914E-07  Lin-Lin
 0.766755    4.08599E-07  Lin-Lin
 0.78302     3.83361E-07  Lin-Lin
 0.794067    3.6876E-07   Lin-Lin
 0.805269    3.56745E-07  Lin-Lin
 0.81663     3.46816E-07  Lin-Lin
 0.8637      3.11729E-07  Lin-Lin
 0.972949    2.31795E-07  Lin-Lin
 0.986675    2.22527E-07  Lin-Lin
 1.0006      2.14469E-07  Lin-Lin
 1.01471     2.08017E-07  Lin-Lin
 1.03624     2.00333E-07  Lin-Lin
 1.22594     1.39515E-07  Lin-Lin
 1.24762     1.33184E-07  Lin-Lin
 1.26078     1.30002E-07  Lin-Lin
 1.27857     1.26659E-07  Lin-Lin
 1.3149      1.21533E-07  Lin-Lin
 1.5448      9.11836E-08  Lin-Lin
 1.56659     8.86278E-08  Lin-Lin
 1.58123     8.73345E-08  Lin-Lin
 1.59607     8.65213E-08  Lin-Lin
 1.60725     8.62122E-08  Lin-Lin
 1.62993     8.60494E-08  Lin-Lin
 1.92832     8.695E-08    Lin-Lin
 1.94532     8.73234E-08  Lin-Lin
 1.95553     8.80048E-08  Lin-Lin
 1.96242     8.88811E-08  Lin-Lin
 1.96932     9.02792E-08  Lin-Lin
 1.97449     9.17821E-08  Lin-Lin
 1.97967     9.37627E-08  Lin-Lin
 1.98486     9.63061E-08  Lin-Lin
 1.99011     9.94942E-08  Lin-Lin
 1.99536     1.03343E-07  Lin-Lin
 2.0006      1.07862E-07  Lin-Lin
 2.00585     1.13035E-07  Lin-Lin
 2.01109     1.18816E-07  Lin-Lin
 2.01819     1.27487E-07  Lin-Lin
 2.02528     1.3696E-07   Lin-Lin
 2.03592     1.52238E-07  Lin-Lin
 2.05385     1.79514E-07  Lin-Lin
 2.45551     8.06812E-07  Lin-Lin
 2.47277     8.31297E-07  Lin-Lin
 2.48902     8.49952E-07  Lin-Lin
 2.50046     8.58634E-07  Lin-Lin
 2.513       8.62598E-07  Lin-Lin
 2.51521     8.62649E-07  Lin-Lin
 2.52518     8.60522E-07  Lin-Lin
 2.53847     8.5235E-07   Lin-Lin
 2.55631     8.34656E-07  Lin-Lin
 2.58327     8.01482E-07  Lin-Lin
 3.09123     1.40516E-07  Lin-Lin
 3.11024     1.16474E-07  Lin-Lin
 3.12117     1.0329E-07   Lin-Lin
 3.12937     9.39412E-08  Lin-Lin
 3.13757     8.52309E-08  Lin-Lin
 3.14304     7.98588E-08  Lin-Lin
 3.14785     7.54586E-08  Lin-Lin
 3.15266     7.13915E-08  Lin-Lin
 3.15747     6.76759E-08  Lin-Lin
 3.16228     6.43225E-08  Lin-Lin
 3.16786     6.08924E-08  Lin-Lin
 3.17343     5.79438E-08  Lin-Lin
 3.17901     5.54539E-08  Lin-Lin
 3.18459     5.3388E-08   Lin-Lin
 3.19016     5.17025E-08  Lin-Lin
 3.19574     5.03484E-08  Lin-Lin
 3.20132     4.92744E-08  Lin-Lin
 3.20689     4.84301E-08  Lin-Lin
 3.21538     4.7483E-08   Lin-Lin
 3.22386     4.6821E-08   Lin-Lin
 3.23517     4.62026E-08  Lin-Lin
 3.25214     4.55379E-08  Lin-Lin
 3.91556     2.46191E-08  Lin-Lin
 3.94308     2.38102E-08  Lin-Lin
 3.9708      2.31248E-08  Lin-Lin
 3.99173     2.27417E-08  Lin-Lin
 4.01267     2.24761E-08  Lin-Lin
 4.05513     2.2154E-08   Lin-Lin
 4.95106     1.72406E-08  Lin-Lin
 5.02091     1.69261E-08  Lin-Lin
 5.09174     1.67401E-08  Lin-Lin
 6.28247     1.42762E-08  Lin-Lin
 6.41605     1.41119E-08  Lin-Lin
 7.91648     1.27109E-08  Lin-Lin
 8.14143     1.26217E-08  Lin-Lin
 9.9056      1.21089E-08  Lin-Lin
 9.97499     1.21361E-08  Lin-Lin
 10.0176     1.2209E-08   Lin-Lin
 10.0705     1.23654E-08  Lin-Lin
 12.3821     2.13701E-08  Lin-Lin
 12.4365     2.16304E-08  Lin-Lin
 12.4582     2.18001E-08  Lin-Lin
 12.48       2.20774E-08  Lin-Lin
 12.4963     2.2411E-08   Lin-Lin
 12.5126     2.29125E-08  Lin-Lin
 12.5237     2.33798E-08  Lin-Lin
 12.5347     2.39766E-08  Lin-Lin
 12.5457     2.47251E-08  Lin-Lin
 12.5568     2.56465E-08  Lin-Lin
 12.5678     2.67592E-08  Lin-Lin
 12.5788     2.80771E-08  Lin-Lin
 12.5899     2.96088E-08  Lin-Lin
 12.6009     3.13569E-08  Lin-Lin
 12.6119     3.33174E-08  Lin-Lin
 12.623      3.54804E-08  Lin-Lin
 12.634      3.78308E-08  Lin-Lin
 12.6505     4.16655E-08  Lin-Lin
 12.6671     4.58057E-08  Lin-Lin
 12.6892     5.16732E-08  Lin-Lin
 12.7227     6.10511E-08  Lin-Lin
 12.8795     1.06317E-07  Lin-Lin
 15.7047     9.23869E-07  Lin-Lin
 15.7768     9.42696E-07  Lin-Lin
 15.8249     9.51891E-07  Lin-Lin
 15.8769     9.56753E-07  Lin-Lin
 15.9048     9.57146E-07  Lin-Lin
 15.9607     9.54676E-07  Lin-Lin
 19.9711     5.84851E-07  Lin-Lin
 24.9453     8.65721E-08  Lin-Lin
 25.011      8.03779E-08  Lin-Lin
 25.0547     7.66881E-08  Lin-Lin
 25.0875     7.43033E-08  Lin-Lin
 25.1204     7.23253E-08  Lin-Lin
 25.1532     7.07776E-08  Lin-Lin
 25.1863     6.96208E-08  Lin-Lin
 25.2307     6.85751E-08  Lin-Lin
 25.2972     6.76406E-08  Lin-Lin
 26.4294     5.76447E-08  Lin-Lin
 31.3774     1.42987E-08  Lin-Lin
 31.4459     1.377E-08    Lin-Lin
 31.4869     1.35411E-08  Lin-Lin
 31.5124     1.34642E-08  Lin-Lin
 31.5251     1.34515E-08  Lin-Lin
 31.5464     1.3477E-08   Lin-Lin
 31.5718     1.35978E-08  Lin-Lin
 31.5973     1.38324E-08  Lin-Lin
 31.6143     1.40577E-08  Lin-Lin
 31.6367     1.4443E-08   Lin-Lin
 31.6576     1.48913E-08  Lin-Lin
 31.6785     1.54213E-08  Lin-Lin
 31.7064     1.62422E-08  Lin-Lin
 31.7343     1.71725E-08  Lin-Lin
 31.7761     1.8718E-08   Lin-Lin
 31.8319     2.09428E-08  Lin-Lin
 32.1255     3.31889E-08  Lin-Lin
 39.629      3.46984E-07  Lin-Lin
 39.7501     3.50988E-07  Lin-Lin
 39.8458     3.52507E-07  Lin-Lin
 39.8809     3.52626E-07  Lin-Lin
 40.0213     3.5152E-07   Lin-Lin
 49.9894     2.04239E-07  Lin-Lin
 50.3408     1.99761E-07  Lin-Lin
 62.8086     5.72302E-08  Lin-Lin
 62.9522     5.57648E-08  Lin-Lin
 63.0479     5.50745E-08  Lin-Lin
 63.1235     5.47984E-08  Lin-Lin
 63.1653     5.47561E-08  Lin-Lin
 63.2626     5.49101E-08  Lin-Lin
 63.5408     5.61608E-08  Lin-Lin
 79.2278     1.34682E-07  Lin-Lin
 79.4367     1.36322E-07  Lin-Lin
 79.6455     1.38931E-07  Lin-Lin
 99.6966     4.43158E-07  Lin-Lin
 100         4.46159E-07  Lin-Lin
 100.088     4.46268E-07  Lin-Lin
 100.529     4.43503E-07  Lin-Lin
 125.788     2.37001E-07  Lin-Lin
 126.009     2.35712E-07  Lin-Lin
 158.249     1.19145E-07  Lin-Lin
 158.489     1.18597E-07  Lin-Lin
 158.769     1.18459E-07  Lin-Lin
