#LIBRARY    JENDL-4.0
#REACTION   K-39(N,A)CL-36,SIG
#NUCLEUS    K-39
#MF         3
#MT         107
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       0.101475     Lin-Lin
 1.10304E-05 0.0966412    Lin-Lin
 1.21669E-05 0.0920396    Lin-Lin
 1.34206E-05 0.0876593    Lin-Lin
 1.48034E-05 0.0834898    Lin-Lin
 1.63286E-05 0.0795211    Lin-Lin
 1.80111E-05 0.0757435    Lin-Lin
 1.98669E-05 0.0721481    Lin-Lin
 2.19139E-05 0.0687262    Lin-Lin
 2.41719E-05 0.0654695    Lin-Lin
 2.66625E-05 0.0623702    Lin-Lin
 2.94097E-05 0.0594209    Lin-Lin
 3.244E-05   0.0566144    Lin-Lin
 3.57825E-05 0.0539439    Lin-Lin
 3.94694E-05 0.0514032    Lin-Lin
 4.35362E-05 0.048986     Lin-Lin
 4.80221E-05 0.0466864    Lin-Lin
 5.29701E-05 0.0444991    Lin-Lin
 5.8428E-05  0.0424186    Lin-Lin
 6.44482E-05 0.04044      Lin-Lin
 7.10888E-05 0.0385585    Lin-Lin
 7.84136E-05 0.0367696    Lin-Lin
 8.64931E-05 0.0350688    Lin-Lin
 9.54051E-05 0.0334521    Lin-Lin
 0.000105235 0.0319156    Lin-Lin
 0.000116078 0.0304556    Lin-Lin
 0.000128942 0.0289716    Lin-Lin
 0.000143224 0.0275679    Lin-Lin
 0.000159096 0.026239     Lin-Lin
 0.000176718 0.0249825    Lin-Lin
 0.000196301 0.0237937    Lin-Lin
 0.000218044 0.0226701    Lin-Lin
 0.000242208 0.0216076    Lin-Lin
 0.000269035 0.0206042    Lin-Lin
 0.000298849 0.0196558    Lin-Lin
 0.000331951 0.0187605    Lin-Lin
 0.000368737 0.0179149    Lin-Lin
 0.000409579 0.0171171    Lin-Lin
 0.000454968 0.016364     Lin-Lin
 0.000505362 0.0156538    Lin-Lin
 0.000561365 0.0149836    Lin-Lin
 0.000623544 0.0143518    Lin-Lin
 0.000697495 0.0137173    Lin-Lin
 0.000780217 0.0131212    Lin-Lin
 0.00087275  0.0125611    Lin-Lin
 0.000976257 0.0120347    Lin-Lin
 0.00109204  0.0115396    Lin-Lin
 0.00122155  0.0110738    Lin-Lin
 0.00137607  0.0106083    Lin-Lin
 0.00155005  0.0101713    Lin-Lin
 0.00174612  0.00976      Lin-Lin
 0.00196689  0.00937262   Lin-Lin
 0.0022312   0.00898603   Lin-Lin
 0.00253102  0.00862164   Lin-Lin
 0.00287114  0.00827743   Lin-Lin
 0.00325697  0.00795161   Lin-Lin
 0.0037207   0.00762581   Lin-Lin
 0.00425026  0.00731715   Lin-Lin
