#LIBRARY    JENDL/HE-2007
#REACTION   N-14(N,A)B-11,SIG
#NUCLEUS    N-14
#MF         3
#MT         107
#EN-MIN     1.3e+06
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 1.3E+06     0            Lin-Lin
 1.3366E+06  0.008333     Lin-Lin
 1.3482E+06  0.026        Lin-Lin
 1.3598E+06  0.03         Lin-Lin
 1.3714E+06  0.02         Lin-Lin
 1.3853E+06  0.01         Lin-Lin
 1.4074E+06  0.02733      Lin-Lin
 1.4642E+06  0.008333     Lin-Lin
 1.5222E+06  0.005        Lin-Lin
 1.5803E+06  0.007667     Lin-Lin
 1.6383E+06  0.011        Lin-Lin
 1.6963E+06  0.01667      Lin-Lin
 1.7544E+06  0.05167      Lin-Lin
 1.7834E+06  0.1907       Lin-Lin
 1.7892E+06  0.205        Lin-Lin
 1.8043E+06  0.1667       Lin-Lin
 1.8356E+06  0.085        Lin-Lin
 1.8704E+06  0.05         Lin-Lin
 1.9284E+06  0.03667      Lin-Lin
 1.9865E+06  0.03667      Lin-Lin
 2.0155E+06  0.02333      Lin-Lin
 2.0561E+06  0.04         Lin-Lin
 2.1025E+06  0.04         Lin-Lin
 2.1605E+06  0.05833      Lin-Lin
 2.207E+06   0.1333       Lin-Lin
 2.2244E+06  0.1667       Lin-Lin
 2.2418E+06  0.134        Lin-Lin
 2.2766E+06  0.09167      Lin-Lin
 2.3056E+06  0.065        Lin-Lin
 2.3346E+06  0.05667      Lin-Lin
 2.381E+06   0.064        Lin-Lin
 2.4217E+06  0.05733      Lin-Lin
 2.4913E+06  0.09233      Lin-Lin
 2.5145E+06  0.1          Lin-Lin
 2.5377E+06  0.08667      Lin-Lin
 2.5667E+06  0.07667      Lin-Lin
 2.6015E+06  0.079        Lin-Lin
 2.6712E+06  0.1143       Lin-Lin
 2.6828E+06  0.13         Lin-Lin
 2.7002E+06  0.1333       Lin-Lin
 2.7408E+06  0.1167       Lin-Lin
 2.764E+06   0.104        Lin-Lin
 2.7988E+06  0.1217       Lin-Lin
 2.8221E+06  0.15         Lin-Lin
 2.9265E+06  0.18         Lin-Lin
 2.9613E+06  0.2183       Lin-Lin
 3.0193E+06  0.2393       Lin-Lin
 3.0484E+06  0.26         Lin-Lin
 3.0774E+06  0.2667       Lin-Lin
 3.1006E+06  0.2583       Lin-Lin
 3.1238E+06  0.2433       Lin-Lin
 3.1528E+06  0.24         Lin-Lin
 3.1934E+06  0.2567       Lin-Lin
 3.2108E+06  0.28         Lin-Lin
 3.2515E+06  0.3167       Lin-Lin
 3.2805E+06  0.3333       Lin-Lin
 3.3211E+06  0.3117       Lin-Lin
 3.3443E+06  0.2933       Lin-Lin
 3.4023E+06  0.3133       Lin-Lin
 3.4836E+06  0.35         Lin-Lin
 3.5416E+06  0.3967       Lin-Lin
 3.5648E+06  0.406        Lin-Lin
 3.588E+06   0.385        Lin-Lin
 3.6112E+06  0.3067       Lin-Lin
 3.646E+06   0.2767       Lin-Lin
 3.6983E+06  0.2667       Lin-Lin
 3.7853E+06  0.2867       Lin-Lin
 3.9826E+06  0.3633       Lin-Lin
 4E+06       0.376021     Lin-Lin
 4.0328E+06  0.401595     Lin-Lin
 4.0502E+06  0.409141     Lin-Lin
 4.0792E+06  0.393151     Lin-Lin
 4.1371E+06  0.359967     Lin-Lin
 4.195E+06   0.34037      Lin-Lin
 4.3108E+06  0.33337      Lin-Lin
 4.3687E+06  0.314        Lin-Lin
 4.4035E+06  0.30403      Lin-Lin
 4.4382E+06  0.30163      Lin-Lin
 4.4846E+06  0.3167       Lin-Lin
 4.5656E+06  0.36603      Lin-Lin
 4.583E+06   0.375        Lin-Lin
 4.612E+06   0.36333      Lin-Lin
 4.6583E+06  0.31         Lin-Lin
 4.7741E+06  0.2167       Lin-Lin
 4.8089E+06  0.21003      Lin-Lin
 4.8552E+06  0.21833      Lin-Lin
 4.9247E+06  0.2517       Lin-Lin
 4.9826E+06  0.28503      Lin-Lin
 5.0174E+06  0.29233      Lin-Lin
 5.0637E+06  0.26997      Lin-Lin
 5.1216E+06  0.2267       Lin-Lin
 5.1795E+06  0.19333      Lin-Lin
 5.2375E+06  0.13667      Lin-Lin
 5.2954E+06  0.12167      Lin-Lin
 5.3533E+06  0.11333      Lin-Lin
 5.4112E+06  0.11667      Lin-Lin
 5.4691E+06  0.13666      Lin-Lin
 5.527E+06   0.1633       Lin-Lin
 5.556E+06   0.16837      Lin-Lin
 5.5849E+06  0.16337      Lin-Lin
 5.6429E+06  0.141        Lin-Lin
 5.6776E+06  0.13067      Lin-Lin
 5.7239E+06  0.13         Lin-Lin
 5.8166E+06  0.15337      Lin-Lin
 5.8514E+06  0.1633       Lin-Lin
 5.9093E+06  0.17163      Lin-Lin
 5.944E+06   0.1733       Lin-Lin
 5.9903E+06  0.15897      Lin-Lin
 6.0483E+06  0.16167      Lin-Lin
 6.1641E+06  0.2133       Lin-Lin
 6.222E+06   0.22497      Lin-Lin
 6.2683E+06  0.2033       Lin-Lin
 6.3378E+06  0.14334      Lin-Lin
 6.3868E+06  0.11167      Lin-Lin
 6.5E+06     0.126295     Lin-Lin
 6.5029E+06  0.126902     Lin-Lin
 6.5803E+06  0.123084     Lin-Lin
 6.7737E+06  0.121896     Lin-Lin
 6.8897E+06  0.124506     Lin-Lin
 7E+06       0.151383     Lin-Lin
 7.0832E+06  0.167496     Lin-Lin
 7.1605E+06  0.179815     Lin-Lin
 7.2959E+06  0.177207     Lin-Lin
 7.47E+06    0.17743      Lin-Lin
 7.7408E+06  0.146894     Lin-Lin
 7.8569E+06  0.177377     Lin-Lin
 7.8956E+06  0.193528     Lin-Lin
 7.9729E+06  0.189187     Lin-Lin
 8E+06       0.182764     Lin-Lin
 8.089E+06   0.15989      Lin-Lin
 8.2824E+06  0.138824     Lin-Lin
 8.4371E+06  0.131031     Lin-Lin
 8.9014E+06  0.140684     Lin-Lin
 9E+06       0.144217     Lin-Lin
 9.4816E+06  0.159068     Lin-Lin
 9.8685E+06  0.166012     Lin-Lin
 1E+07       0.165534     Lin-Lin
 1.0255E+07  0.162055     Lin-Lin
 1.0642E+07  0.15179      Lin-Lin
 1.1029E+07  0.139855     Lin-Lin
 1.1416E+07  0.12459      Lin-Lin
 1.1803E+07  0.116655     Lin-Lin
 1.2383E+07  0.099082     Lin-Lin
 1.2963E+07  0.091852     Lin-Lin
 1.3E+07     0.091667     Lin-Lin
 1.3737E+07  0.0694028    Lin-Lin
 1.4E+07     0.0600996    Lin-Lin
 1.5E+07     0.0495357    Lin-Lin
 1.6E+07     0.0341391    Lin-Lin
 1.6058E+07  0.0337265    Lin-Lin
 1.7E+07     0.0270253    Lin-Lin
 1.8E+07     0.0221764    Lin-Lin
 1.9E+07     0.017787     Lin-Lin
 2E+07       0.0152463    Lin-Lin
 2E+07       0            Lin-Lin
