#LIBRARY    JENDL-4.0
#REACTION   O-16(N,A)C-13,SIG
#NUCLEUS    O-16
#MF         3
#MT         107
#EN-MIN     2.35521e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 2.35521E+06 0            Lin-Lin
 2.4E+06     1.8278E-37   Lin-Lin
 2.5E+06     7.0933E-19   Lin-Lin
 2.6E+06     1.6574E-13   Lin-Lin
 2.64953E+06 4.512E-12    Lin-Lin
 2.67464E+06 2.3542E-11   Lin-Lin
 2.68729E+06 5.3774E-11   Lin-Lin
 2.69364E+06 8.1271E-11   Lin-Lin
 2.69682E+06 9.9913E-11   Lin-Lin
 2.69821E+06 1.0936E-10   Lin-Lin
 2.6994E+06  1.1816E-10   Lin-Lin
 2.7E+06     1.2283E-10   Lin-Lin
 2.70155E+06 1.3229E-10   Lin-Lin
 2.70305E+06 1.4216E-10   Lin-Lin
 2.7045E+06  1.5242E-10   Lin-Lin
 2.70592E+06 1.6306E-10   Lin-Lin
 2.70728E+06 1.7407E-10   Lin-Lin
 2.70925E+06 1.9123E-10   Lin-Lin
 2.71114E+06 2.0927E-10   Lin-Lin
 2.71293E+06 2.2794E-10   Lin-Lin
 2.71464E+06 2.474E-10    Lin-Lin
 2.71627E+06 2.6739E-10   Lin-Lin
 2.71784E+06 2.8807E-10   Lin-Lin
 2.71932E+06 3.0916E-10   Lin-Lin
 2.72074E+06 3.3082E-10   Lin-Lin
 2.72256E+06 3.6072E-10   Lin-Lin
 2.72427E+06 3.9121E-10   Lin-Lin
 2.72587E+06 4.2213E-10   Lin-Lin
 2.72737E+06 4.5333E-10   Lin-Lin
 2.72878E+06 4.8467E-10   Lin-Lin
 2.73074E+06 5.319E-10    Lin-Lin
 2.7325E+06  5.7823E-10   Lin-Lin
 2.73412E+06 6.2428E-10   Lin-Lin
 2.73511E+06 6.5423E-10   Lin-Lin
 2.73697E+06 7.143E-10    Lin-Lin
 2.73859E+06 7.7137E-10   Lin-Lin
 2.74002E+06 8.2503E-10   Lin-Lin
 2.74181E+06 8.9786E-10   Lin-Lin
 2.74331E+06 9.6374E-10   Lin-Lin
 2.74498E+06 1.04281E-09  Lin-Lin
 2.74623E+06 1.10634E-09  Lin-Lin
 2.74812E+06 1.20896E-09  Lin-Lin
 2.75E+06    1.3211E-09   Lin-Lin
 2.7523E+06  1.44974E-09  Lin-Lin
 2.75451E+06 1.58478E-09  Lin-Lin
 2.7566E+06  1.72448E-09  Lin-Lin
 2.75861E+06 1.86992E-09  Lin-Lin
 2.76051E+06 2.0192E-09   Lin-Lin
 2.76234E+06 2.17345E-09  Lin-Lin
 2.76408E+06 2.33063E-09  Lin-Lin
 2.76574E+06 2.49196E-09  Lin-Lin
 2.76787E+06 2.71448E-09  Lin-Lin
 2.76987E+06 2.94111E-09  Lin-Lin
 2.77174E+06 3.17072E-09  Lin-Lin
 2.7735E+06  3.40224E-09  Lin-Lin
 2.77515E+06 3.63463E-09  Lin-Lin
 2.77744E+06 3.98453E-09  Lin-Lin
