#LIBRARY    ENDF/B-VII.1
#REACTION   S-32(N,A)SI-29,SIG
#NUCLEUS    S-32
#MF         3
#MT         107
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       0.0708115    Lin-Lin
 1.10304E-05 0.0674519    Lin-Lin
 1.21669E-05 0.0642546    Lin-Lin
 1.34205E-05 0.0612118    Lin-Lin
 1.48034E-05 0.0583161    Lin-Lin
 1.63287E-05 0.0555607    Lin-Lin
 1.80111E-05 0.0529389    Lin-Lin
 1.98669E-05 0.0504444    Lin-Lin
 2.19139E-05 0.0480711    Lin-Lin
 2.41719E-05 0.0458135    Lin-Lin
 2.66625E-05 0.0436659    Lin-Lin
 2.94097E-05 0.0416234    Lin-Lin
 3.244E-05   0.0396809    Lin-Lin
 3.57825E-05 0.0378338    Lin-Lin
 3.94694E-05 0.0360776    Lin-Lin
 4.35362E-05 0.0344082    Lin-Lin
 4.80221E-05 0.0328214    Lin-Lin
 5.29701E-05 0.0313135    Lin-Lin
 5.8428E-05  0.0298808    Lin-Lin
 6.49029E-05 0.0284249    Lin-Lin
 7.20917E-05 0.0270481    Lin-Lin
 8.00808E-05 0.0257452    Lin-Lin
 8.89508E-05 0.0245137    Lin-Lin
 9.88082E-05 0.0233492    Lin-Lin
 0.000109752 0.0222494    Lin-Lin
 0.000121915 0.0212102    Lin-Lin
 0.000135419 0.0202298    Lin-Lin
 0.000150426 0.0193043    Lin-Lin
 0.000167087 0.0184322    Lin-Lin
 0.000185603 0.01761      Lin-Lin
 0.000206162 0.0168362    Lin-Lin
 0.000229008 0.0161079    Lin-Lin
 0.000254374 0.0154236    Lin-Lin
 0.000282563 0.0147806    Lin-Lin
 0.00031386  0.0141776    Lin-Lin
 0.000351084 0.0135761    Lin-Lin
 0.000392722 0.0130155    Lin-Lin
 0.000439298 0.012494     Lin-Lin
 0.000491399 0.0120096    Lin-Lin
 0.000549678 0.0115605    Lin-Lin
 0.000619206 0.0111197    Lin-Lin
 0.000697495 0.0107149    Lin-Lin
 0.000785721 0.0103436    Lin-Lin
 0.000891306 0.00998509   Lin-Lin
 0.00101108  0.00965995   Lin-Lin
 0.00115498  0.00935056   Lin-Lin
 0.00131943  0.00907323   Lin-Lin
 0.00151785  0.00881339   Lin-Lin
 0.00175835  0.00857289   Lin-Lin
 0.00205131  0.00835296   Lin-Lin
 0.00240997  0.00815431   Lin-Lin
 0.00287114  0.00797032   Lin-Lin
 0.00346899  0.00780373   Lin-Lin
 0.00425026  0.00765622   Lin-Lin
 0.00531819  0.0075245    Lin-Lin
 0.00684355  0.00740761   Lin-Lin
 0.00912053  0.00730585   Lin-Lin
 0.0126762   0.00722006   Lin-Lin
 0.0187651   0.00714865   Lin-Lin
 0.0252419   0.00711051   Lin-Lin
 0.0253      0.00711026   Lin-Lin
 0.0452511   0.00706164   Lin-Lin
 0.102695    0.00702716   Lin-Lin
 0.422731    0.0070066    Lin-Lin
 810.123     0.007        Lin-Lin
 815.798     0.007        Lin-Lin
 821.553     0.007        Lin-Lin
 833.143     0.007        Lin-Lin
 838.979     0.007        Lin-Lin
 844.898     0.007        Lin-Lin
 874.992     0.007        Lin-Lin
 881.164     0.007        Lin-Lin
 931.953     0.007        Lin-Lin
 958.435     0.007        Lin-Lin
 1057.19     0.007        Lin-Lin
 1064.59     0.007        Lin-Lin
 1072.1      0.007        Lin-Lin
 1133.9      0.007        Lin-Lin
 1166.12     0.007        Lin-Lin
 1199.25     0.007        Lin-Lin
 1216.17     0.007        Lin-Lin
 1224.69     0.007        Lin-Lin
 1233.33     0.007        Lin-Lin
 1259.49     0.007        Lin-Lin
 1268.38     0.007        Lin-Lin
 1277.26     0.007        Lin-Lin
 1286.27     0.007        Lin-Lin
 1341.48     0.007        Lin-Lin
 1438.82     0.007        Lin-Lin
 1500.58     0.007        Lin-Lin
 1511.09     0.007        Lin-Lin
 1521.75     0.007        Lin-Lin
 1598.19     0.007        Lin-Lin
 1609.47     0.007        Lin-Lin
 1666.79     0.007        Lin-Lin
 1678.55     0.007        Lin-Lin
 1762.86     0.007        Lin-Lin
 1775.3      0.007        Lin-Lin
 1944.5      0.007        Lin-Lin
 1958.22     0.007        Lin-Lin
 2467.41     0.007        Lin-Lin
 2484.82     0.007        Lin-Lin
 2519.88     0.007        Lin-Lin
 2683.78     0.007        Lin-Lin
 2702.72     0.007        Lin-Lin
 2760.05     0.007        Lin-Lin
 2779.52     0.007        Lin-Lin
 2798.99     0.007        Lin-Lin
 2818.73     0.007        Lin-Lin
 2838.47     0.007        Lin-Lin
 2858.5      0.007        Lin-Lin
 3002.08     0.007        Lin-Lin
 3023.26     0.007        Lin-Lin
 3109.16     0.007        Lin-Lin
 3130.94     0.007        Lin-Lin
 3153.03     0.007        Lin-Lin
 3175.11     0.007        Lin-Lin
 3197.51     0.007        Lin-Lin
 3265.34     0.007        Lin-Lin
 3288.37     0.007        Lin-Lin
 3453.54     0.007        Lin-Lin
 3477.91     0.007        Lin-Lin
 3652.6      0.007        Lin-Lin
 3678.37     0.007        Lin-Lin
 3809.39     0.007        Lin-Lin
 3836.26     0.007        Lin-Lin
 4231.53     0.007        Lin-Lin
 4351.78     0.007        Lin-Lin
 4444.08     0.007        Lin-Lin
 4475.43     0.007        Lin-Lin
 4506.78     0.007        Lin-Lin
 4538.57     0.007        Lin-Lin
 4766.55     0.007        Lin-Lin
 4800.17     0.007        Lin-Lin
 4867.89     0.007        Lin-Lin
 5006.21     0.007        Lin-Lin
 5964.2      0.007        Lin-Lin
 6006.28     0.007        Lin-Lin
 6133.68     0.007        Lin-Lin
 6176.95     0.007        Lin-Lin
 6909.53     0.007        Lin-Lin
 7155.64     0.007        Lin-Lin
 7206.11     0.007        Lin-Lin
 7621.46     0.007        Lin-Lin
 7892.93     0.007        Lin-Lin
 7948.61     0.007        Lin-Lin
 8706.2      0.007        Lin-Lin
 8767.61     0.007        Lin-Lin
 9016.75     0.007        Lin-Lin
 9143.96     0.007        Lin-Lin
 10156.8     0.007        Lin-Lin
 10228.4     0.007        Lin-Lin
 11203.3     0.007        Lin-Lin
 11282.3     0.007        Lin-Lin
 11602.9     0.007        Lin-Lin
 12016.2     0.007        Lin-Lin
 12101       0.007        Lin-Lin
 14216       0.007        Lin-Lin
 14316.3     0.007        Lin-Lin
 15247.6     0.007        Lin-Lin
 15355.1     0.007        Lin-Lin
 15791.4     0.007        Lin-Lin
 17296.5     0.007        Lin-Lin
 17418.5     0.007        Lin-Lin
 18166.2     0.007        Lin-Lin
 18551.6     0.007        Lin-Lin
 18682.4     0.007        Lin-Lin
 23051.4     0.007        Lin-Lin
 23706.4     0.007        Lin-Lin
 24380.1     0.007        Lin-Lin
 30292.2     0.007        Lin-Lin
