#LIBRARY    JENDL/HE-2007
#REACTION   H-1(N,XPi_0),SIG
#NUCLEUS    H-1
#MF         3
#MT         209
#EN-MIN     2.70061e+08
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 2.70061E+08 0            Lin-Lin
 2.75E+08    2.7684E-06   Lin-Lin
 2.76076E+08 3.36E-06     Lin-Lin
 2.77156E+08 4.07788E-06  Lin-Lin
 2.79328E+08 6.00579E-06  Lin-Lin
 2.8E+08     6.38371E-06  Lin-Lin
 2.81242E+08 6.8527E-06   Lin-Lin
 2.82489E+08 7.51225E-06  Lin-Lin
 2.85E+08    9.37123E-06  Lin-Lin
 2.87489E+08 1.1356E-05   Lin-Lin
 2.9E+08     1.39827E-05  Lin-Lin
 2.925E+08   1.69614E-05  Lin-Lin
 2.95E+08    2.03047E-05  Lin-Lin
 2.975E+08   2.42047E-05  Lin-Lin
 3E+08       2.85939E-05  Lin-Lin
 3.05E+08    3.90653E-05  Lin-Lin
 3.1E+08     5.16573E-05  Lin-Lin
 3.15E+08    6.62566E-05  Lin-Lin
 3.2E+08     8.27708E-05  Lin-Lin
 3.25E+08    0.000101093  Lin-Lin
 3.3E+08     0.000121142  Lin-Lin
 3.35E+08    0.000142831  Lin-Lin
 3.4E+08     0.000166075  Lin-Lin
 3.45E+08    0.000190782  Lin-Lin
 3.5E+08     0.000216865  Lin-Lin
 3.52491E+08 0.000229429  Lin-Lin
 3.57491E+08 0.000257175  Lin-Lin
 3.65E+08    0.000302033  Lin-Lin
 3.7E+08     0.000333299  Lin-Lin
 3.75E+08    0.000365629  Lin-Lin
 3.8E+08     0.000398921  Lin-Lin
 3.9E+08     0.000467998  Lin-Lin
 4E+08       0.000539787  Lin-Lin
 4.1E+08     0.000613965  Lin-Lin
 4.2E+08     0.000691757  Lin-Lin
 4.3E+08     0.000774771  Lin-Lin
 4.4E+08     0.000864613  Lin-Lin
 4.5E+08     0.000962834  Lin-Lin
 4.6E+08     0.00107077   Lin-Lin
 4.7E+08     0.00118824   Lin-Lin
 4.8E+08     0.00131487   Lin-Lin
 4.9E+08     0.00145009   Lin-Lin
 5E+08       0.00159347   Lin-Lin
 5.05E+08    0.00172448   Lin-Lin
 5.1E+08     0.00182004   Lin-Lin
 5.3E+08     0.00225665   Lin-Lin
 5.4E+08     0.00248417   Lin-Lin
 5.5E+08     0.00272372   Lin-Lin
 5.6E+08     0.00297718   Lin-Lin
 5.7E+08     0.0032423    Lin-Lin
 6E+08       0.00407028   Lin-Lin
 6.2E+08     0.00459022   Lin-Lin
 6.3E+08     0.00483581   Lin-Lin
 6.4E+08     0.00506702   Lin-Lin
 6.5E+08     0.00528018   Lin-Lin
 6.6E+08     0.00547354   Lin-Lin
 7E+08       0.00617011   Lin-Lin
 7.2E+08     0.00653772   Lin-Lin
 7.3E+08     0.00670906   Lin-Lin
 7.4E+08     0.00685521   Lin-Lin
 7.5E+08     0.00696297   Lin-Lin
 7.6E+08     0.00702485   Lin-Lin
 7.7E+08     0.00705219   Lin-Lin
 7.9E+08     0.00706748   Lin-Lin
 8.1E+08     0.00710816   Lin-Lin
 8.5E+08     0.00729552   Lin-Lin
 8.7E+08     0.00733381   Lin-Lin
 8.8E+08     0.0073365    Lin-Lin
 9E+08       0.00733124   Lin-Lin
 9.6E+08     0.00735309   Lin-Lin
 9.9E+08     0.00734206   Lin-Lin
 1E+09       0.0073309    Lin-Lin
 1.10668E+09 0.00674421   Lin-Lin
 1.22474E+09 0.00630347   Lin-Lin
 1.5E+09     0.0056823    Lin-Lin
 2E+09       0.0075273    Lin-Lin
 3E+09       0.010725     Lin-Lin
