#LIBRARY    JENDL/HE-2007
#REACTION   H-1(N,X),SIG
#NUCLEUS    H-1
#MF         3
#MT         5
#EN-MIN     2.70061e+08
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 2.70061E+08 0            Lin-Lin
 2.75E+08    2.7684E-06   Lin-Lin
 2.75455E+08 3.00507E-06  Lin-Lin
 2.75874E+08 3.23999E-06  Lin-Lin
 2.7637E+08  3.54215E-06  Lin-Lin
 2.76821E+08 3.8406E-06   Lin-Lin
 2.77217E+08 4.12231E-06  Lin-Lin
 2.77725E+08 4.51431E-06  Lin-Lin
 2.78008E+08 4.74851E-06  Lin-Lin
 2.78505E+08 5.188E-06    Lin-Lin
 2.79018E+08 5.68386E-06  Lin-Lin
 2.79368E+08 6.04885E-06  Lin-Lin
 2.79789E+08 6.5179E-06   Lin-Lin
 2.8E+08     6.7659E-06   Lin-Lin
 2.8062E+08  7.3065E-06   Lin-Lin
 2.81164E+08 7.81484E-06  Lin-Lin
 2.81849E+08 8.50476E-06  Lin-Lin
 2.82424E+08 9.12879E-06  Lin-Lin
 2.83066E+08 9.87777E-06  Lin-Lin
 2.83755E+08 1.07486E-05  Lin-Lin
 2.84377E+08 1.15977E-05  Lin-Lin
 2.85E+08    1.2514E-05   Lin-Lin
 2.85892E+08 1.36847E-05  Lin-Lin
 2.86641E+08 1.47484E-05  Lin-Lin
 2.87477E+08 1.60305E-05  Lin-Lin
 2.88342E+08 1.74694E-05  Lin-Lin
 2.89288E+08 1.91869E-05  Lin-Lin
 2.9E+08     2.0585E-05   Lin-Lin
 2.90892E+08 2.2227E-05   Lin-Lin
 2.91641E+08 2.37016E-05  Lin-Lin
 2.92477E+08 2.54591E-05  Lin-Lin
 2.93376E+08 2.7487E-05   Lin-Lin
 2.94187E+08 2.94499E-05  Lin-Lin
 2.95E+08    3.1553E-05   Lin-Lin
 2.96164E+08 3.44659E-05  Lin-Lin
 2.97119E+08 3.70432E-05  Lin-Lin
 2.98145E+08 4.00188E-05  Lin-Lin
 2.99071E+08 4.29006E-05  Lin-Lin
 3E+08       4.599E-05    Lin-Lin
 3.01242E+08 5.00186E-05  Lin-Lin
 3.02529E+08 5.4543E-05   Lin-Lin
 3.03938E+08 5.99467E-05  Lin-Lin
 3.05E+08    6.4348E-05   Lin-Lin
 3.06242E+08 6.93058E-05  Lin-Lin
 3.07178E+08 7.32732E-05  Lin-Lin
 3.08586E+08 7.96543E-05  Lin-Lin
 3.1E+08     8.6591E-05   Lin-Lin
 3.1171E+08  9.4761E-05   Lin-Lin
 3.12881E+08 0.000100769  Lin-Lin
 3.14292E+08 0.000108484  Lin-Lin
 3.15E+08    0.00011256   Lin-Lin
 3.16243E+08 0.000119315  Lin-Lin
 3.18116E+08 0.000130215  Lin-Lin
 3.20621E+08 0.000145863  Lin-Lin
 3.22178E+08 0.000155685  Lin-Lin
 3.24057E+08 0.000168347  Lin-Lin
 3.25621E+08 0.000179223  Lin-Lin
 3.28116E+08 0.000196888  Lin-Lin
 3.32491E+08 0.000230087  Lin-Lin
 3.37491E+08 0.000270887  Lin-Lin
 3.42491E+08 0.000314555  Lin-Lin
 3.47491E+08 0.000360924  Lin-Lin
 3.52491E+08 0.000409844  Lin-Lin
 3.58743E+08 0.000474446  Lin-Lin
 3.63744E+08 0.00052853   Lin-Lin
 3.68744E+08 0.000584649  Lin-Lin
 3.75E+08    0.00065777   Lin-Lin
 3.82492E+08 0.00074809   Lin-Lin
 3.92492E+08 0.000874105  Lin-Lin
 4.04969E+08 0.00103684   Lin-Lin
 4.17477E+08 0.00120954   Lin-Lin
 4.27478E+08 0.00135687   Lin-Lin
 4.34971E+08 0.00147468   Lin-Lin
 4.42479E+08 0.0016004    Lin-Lin
 4.5E+08     0.001735     Lin-Lin
 4.57479E+08 0.00187899   Lin-Lin
 4.64973E+08 0.00203274   Lin-Lin
 4.74974E+08 0.00225266   Lin-Lin
 4.84974E+08 0.00248862   Lin-Lin
 4.94975E+08 0.0027397    Lin-Lin
 5.04975E+08 0.0030054    Lin-Lin
 5.14976E+08 0.00328652   Lin-Lin
 5.24976E+08 0.00358538   Lin-Lin
