#LIBRARY    JENDL/HE-2007
#REACTION   N-14(P,X),SIG
#NUCLEUS    N-14
#MF         3
#MT         5
#EN-MIN     2.4794e+06
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 2.4794E+06  0            Lin-Lin
 2.48679E+06 0.00159938   Lin-Lin
 2.50142E+06 0.00474814   Lin-Lin
 2.51567E+06 0.00779851   Lin-Lin
 2.5435E+06  0.0137086    Lin-Lin
 2.58234E+06 0.0218465    Lin-Lin
 2.61849E+06 0.0293135    Lin-Lin
 2.66339E+06 0.0384443    Lin-Lin
 2.72214E+06 0.0501622    Lin-Lin
 2.7891E+06  0.0632116    Lin-Lin
 2.87948E+06 0.0803391    Lin-Lin
 2.95928E+06 0.0950197    Lin-Lin
 3E+06       0.10236      Lin-Lin
 3.10984E+06 0.122681     Lin-Lin
 3.25374E+06 0.148242     Lin-Lin
 3.37927E+06 0.169634     Lin-Lin
 3.52478E+06 0.193458     Lin-Lin
 3.68765E+06 0.218984     Lin-Lin
 3.89305E+06 0.249615     Lin-Lin
 4E+06       0.26493      Lin-Lin
 4.22948E+06 0.295845     Lin-Lin
 4.4102E+06  0.321377     Lin-Lin
 4.69585E+06 0.363865     Lin-Lin
 5E+06       0.41197      Lin-Lin
 6E+06       0.50477      Lin-Lin
 7E+06       0.55404      Lin-Lin
 8.48528E+06 0.588237     Lin-Lin
 9E+06       0.59907      Lin-Lin
 1.14891E+07 0.618804     Lin-Lin
 1.2E+07     0.62243      Lin-Lin
 1.3E+07     0.61779      Lin-Lin
 1.4E+07     0.59517      Lin-Lin
 1.5E+07     0.57533      Lin-Lin
 1.64781E+07 0.550242     Lin-Lin
 1.8E+07     0.52815      Lin-Lin
 2E+07       0.50395      Lin-Lin
 2.29782E+07 0.484192     Lin-Lin
 2.6E+07     0.46726      Lin-Lin
 3E+07       0.44838      Lin-Lin
 3.29848E+07 0.428389     Lin-Lin
 3.6E+07     0.41075      Lin-Lin
 4E+07       0.39045      Lin-Lin
 4.4E+07     0.37296      Lin-Lin
 4.89898E+07 0.354188     Lin-Lin
 5.24404E+07 0.343342     Lin-Lin
 5.74456E+07 0.329607     Lin-Lin
 6E+07       0.32323      Lin-Lin
 6.74537E+07 0.308134     Lin-Lin
 7.48331E+07 0.29532      Lin-Lin
 8E+07       0.28737      Lin-Lin
 9E+07       0.276        Lin-Lin
 1E+08       0.26621      Lin-Lin
 1.14891E+08 0.256593     Lin-Lin
 1.2E+08     0.25365      Lin-Lin
 1.44914E+08 0.245661     Lin-Lin
 1.5E+08     0.24423      Lin-Lin
 2.5E+08     0.24444      Lin-Lin
 3.21763E+08 0.252296     Lin-Lin
 4.1833E+08  0.261116     Lin-Lin
 5E+08       0.26741      Lin-Lin
 6E+08       0.27247      Lin-Lin
 7E+08       0.27569      Lin-Lin
 8E+08       0.2777       Lin-Lin
 1E+09       0.2797       Lin-Lin
 1.5E+09     0.28078      Lin-Lin
 3E+09       0.28088      Lin-Lin
