#LIBRARY    JENDL-4.0
#REACTION   N-14(N,G)N-15,SIG
#NUCLEUS    N-14
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       3.77253      Lin-Lin
 1.1024E-05  3.59305      Lin-Lin
 1.21504E-05 3.42245      Lin-Lin
 1.33946E-05 3.25963      Lin-Lin
 1.47633E-05 3.10485      Lin-Lin
 1.6275E-05  2.95715      Lin-Lin
 1.79381E-05 2.81673      Lin-Lin
 1.97749E-05 2.68272      Lin-Lin
 2.17956E-05 2.55534      Lin-Lin
 2.40274E-05 2.43377      Lin-Lin
 2.64826E-05 2.31821      Lin-Lin
 2.91943E-05 2.20792      Lin-Lin
 3.21775E-05 2.10309      Lin-Lin
 3.54723E-05 2.00304      Lin-Lin
 3.9097E-05  1.90793      Lin-Lin
 4.31005E-05 1.81716      Lin-Lin
 4.75046E-05 1.73087      Lin-Lin
 5.2369E-05  1.64853      Lin-Lin
 5.77202E-05 1.57025      Lin-Lin
 6.36306E-05 1.49555      Lin-Lin
 7.01326E-05 1.42454      Lin-Lin
 7.73139E-05 1.35676      Lin-Lin
 8.52142E-05 1.29234      Lin-Lin
 9.39398E-05 1.23086      Lin-Lin
 0.000103539 1.17242      Lin-Lin
 0.000114141 1.11664      Lin-Lin
 0.000125804 1.06362      Lin-Lin
 0.000138686 1.01302      Lin-Lin
 0.000152858 0.964916     Lin-Lin
 0.00016851  0.91901      Lin-Lin
 0.000185729 0.875374     Lin-Lin
 0.000204747 0.833728     Lin-Lin
 0.000225669 0.794141     Lin-Lin
 0.000248777 0.756359     Lin-Lin
 0.000274198 0.720446     Lin-Lin
 0.000302275 0.686171     Lin-Lin
 0.000333162 0.65359      Lin-Lin
 0.000367277 0.622496     Lin-Lin
 0.000404807 0.592938     Lin-Lin
 0.000446258 0.564729     Lin-Lin
 0.000491858 0.537915     Lin-Lin
 0.000542223 0.512324     Lin-Lin
 0.000597629 0.487997     Lin-Lin
 0.000658824 0.464781     Lin-Lin
 0.000726145 0.442712     Lin-Lin
 0.000800501 0.42165      Lin-Lin
 0.000882299 0.401629     Lin-Lin
 0.000972643 0.382522     Lin-Lin
 0.00107203  0.364359     Lin-Lin
 0.0011818   0.347025     Lin-Lin
 0.00130256  0.330547     Lin-Lin
 0.00143594  0.314822     Lin-Lin
 0.00158267  0.299873     Lin-Lin
 0.00174474  0.285607     Lin-Lin
 0.00192302  0.272046     Lin-Lin
 0.00211993  0.259103     Lin-Lin
 0.00233655  0.2468       Lin-Lin
 0.00257581  0.235059     Lin-Lin
 0.00283901  0.223898     Lin-Lin
 0.00312972  0.213246     Lin-Lin
 0.00344953  0.203121     Lin-Lin
 0.00380275  0.193457     Lin-Lin
 0.00419133  0.184271     Lin-Lin
 0.00462051  0.175505     Lin-Lin
 0.00509265  0.167171     Lin-Lin
 0.00561412  0.159218     Lin-Lin
 0.00618779  0.151658     Lin-Lin
 0.0068214   0.144443     Lin-Lin
 0.00751843  0.137585     Lin-Lin
 0.0082883   0.131039     Lin-Lin
 0.00913523  0.124817     Lin-Lin
 0.0100706   0.118879     Lin-Lin
 0.0110997   0.113234     Lin-Lin
 0.0122363   0.107847     Lin-Lin
 0.0134866   0.102726     Lin-Lin
 0.0148676   0.0978393    Lin-Lin
 0.0163868   0.0931937    Lin-Lin
 0.0180648   0.08876      Lin-Lin
 0.0199107   0.0845454    Lin-Lin
 0.0219495   0.0805232    Lin-Lin
 0.0241924   0.0766997    Lin-Lin
 0.0250875   0.075319     Lin-Lin
 0.0253      0.075002     Lin-Lin
 0.0278906   0.0714338    Lin-Lin
 0.0307406   0.0680419    Lin-Lin
 0.0338884   0.0648049    Lin-Lin
 0.0373512   0.0617279    Lin-Lin
 0.0411758   0.0587914    Lin-Lin
 0.0453833   0.0560004    Lin-Lin
 0.0500305   0.0533372    Lin-Lin
 0.0551428   0.0508062    Lin-Lin
 0.0607892   0.0483914    Lin-Lin
 0.0670009   0.0460966    Lin-Lin
 0.0738616   0.0439067    Lin-Lin
 0.081409    0.0418246    Lin-Lin
 0.089745    0.0398369    Lin-Lin
 0.0989155   0.0379469    Lin-Lin
 0.109044    0.0361427    Lin-Lin
 0.120187    0.0344279    Lin-Lin
 0.132493    0.0327906    Lin-Lin
 0.146032    0.0312338    Lin-Lin
 0.160985    0.0297472    Lin-Lin
 0.177435    0.0283338    Lin-Lin
 0.195604    0.0269854    Lin-Lin
 0.215592    0.0257044    Lin-Lin
 0.237668    0.0244821    Lin-Lin
 0.261954    0.0233202    Lin-Lin
 0.288777    0.0222114    Lin-Lin
 0.318285    0.0211562    Lin-Lin
 0.350877    0.0201483    Lin-Lin
 0.38673     0.0191912    Lin-Lin
 0.42633     0.0182786    Lin-Lin
 0.469894    0.0174114    Lin-Lin
 0.51801     0.016583     Lin-Lin
 0.570942    0.0157966    Lin-Lin
 0.629405    0.0150451    Lin-Lin
 0.69372     0.014329     Lin-Lin
 0.764755    0.0136476    Lin-Lin
 0.8429      0.0129995    Lin-Lin
 0.929211    0.0123802    Lin-Lin
 1.02416     0.0117931    Lin-Lin
 1.12903     0.0112341    Lin-Lin
 1.2444      0.0107       Lin-Lin
 1.37182     0.0101912    Lin-Lin
 1.512       0.00970771   Lin-Lin
 1.66683     0.00924386   Lin-Lin
 1.83715     0.0088049    Lin-Lin
 2.02527     0.00838611   Lin-Lin
 2.23222     0.00798821   Lin-Lin
 2.49502     0.00755574   Lin-Lin
 2.71224     0.00724719   Lin-Lin
 2.98996     0.00690321   Lin-Lin
 3.29549     0.0065741    Lin-Lin
 3.63294     0.00626145   Lin-Lin
 4.00417     0.0059643    Lin-Lin
 4.41418     0.00568031   Lin-Lin
 4.93388     0.0053735    Lin-Lin
 5.36342     0.00515309   Lin-Lin
 5.99488     0.00487501   Lin-Lin
 6.70068     0.00460999   Lin-Lin
 7.38538     0.00439184   Lin-Lin
 8.14161     0.00418274   Lin-Lin
 8.97356     0.00398375   Lin-Lin
 10.1715     0.00374132   Lin-Lin
 11.0571     0.00359021   Lin-Lin
 12.0197     0.00344278   Lin-Lin
 13.2479     0.00327843   Lin-Lin
 14.4013     0.00314492   Lin-Lin
 15.6551     0.00301631   Lin-Lin
 17.018      0.00289282   Lin-Lin
 18.4996     0.00277511   Lin-Lin
 20.3939     0.00264212   Lin-Lin
 22.1695     0.00253569   Lin-Lin
 24.0995     0.00243146   Lin-Lin
 26.5621     0.00231525   Lin-Lin
 28.8746     0.00222114   Lin-Lin
 31.3885     0.00213029   Lin-Lin
 34.1212     0.00204306   Lin-Lin
 37.0918     0.00195998   Lin-Lin
 40.8899     0.00186594   Lin-Lin
 43.8314     0.00180313   Lin-Lin
 47.6473     0.00172878   Lin-Lin
 53.257      0.00163513   Lin-Lin
 57.8936     0.0015687    Lin-Lin
 62.0703     0.0015147    Lin-Lin
 68.4129     0.00144273   Lin-Lin
 75.4182     0.0013741    Lin-Lin
 84.2974     0.00129973   Lin-Lin
 91.6364     0.00124691   Lin-Lin
 98.2285     0.00120423   Lin-Lin
 106.78      0.00115495   Lin-Lin
 114.484     0.00111529   Lin-Lin
 127.963     0.00105481   Lin-Lin
 137.168     0.00101932   Lin-Lin
 149.11      0.000977266  Lin-Lin
 166.665     0.000924339  Lin-Lin
 181.175     0.000886789  Lin-Lin
 194.246     0.000856217  Lin-Lin
 211.157     0.000821149  Lin-Lin
 229.54      0.000787704  Lin-Lin
 256.565     0.00074495   Lin-Lin
 275.021     0.000719904  Lin-Lin
 298.965     0.000690222  Lin-Lin
 329.578     0.000657189  Lin-Lin
 356.707     0.00063184   Lin-Lin
 387.762     0.000605982  Lin-Lin
 421.521     0.000581162  Lin-Lin
 458.219     0.000557485  Lin-Lin
 509.927     0.000528382  Lin-Lin
 546.609     0.000510592  Lin-Lin
 598.178     0.000487966  Lin-Lin
 664.238     0.000462989  Lin-Lin
 712.022     0.000447196  Lin-Lin
 775.524     0.000428495  Lin-Lin
