#LIBRARY    JENDL-4.0
#REACTION   N-14(N,P)C-14,SIG
#NUCLEUS    N-14
#MF         3
#MT         103
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       97.0811      Lin-Lin
 1.1024E-05  92.4624      Lin-Lin
 1.21504E-05 88.0722      Lin-Lin
 1.33946E-05 83.8822      Lin-Lin
 1.47633E-05 79.8992      Lin-Lin
 1.6275E-05  76.0981      Lin-Lin
 1.79381E-05 72.4847      Lin-Lin
 1.97749E-05 69.0363      Lin-Lin
 2.17956E-05 65.7583      Lin-Lin
 2.40274E-05 62.6298      Lin-Lin
 2.64826E-05 59.6561      Lin-Lin
 2.91943E-05 56.8179      Lin-Lin
 3.21775E-05 54.1201      Lin-Lin
 3.54723E-05 51.5454      Lin-Lin
 3.9097E-05  49.0979      Lin-Lin
 4.31005E-05 46.762       Lin-Lin
 4.75046E-05 44.5417      Lin-Lin
 5.2369E-05  42.4226      Lin-Lin
 5.77202E-05 40.4083      Lin-Lin
 6.36306E-05 38.4859      Lin-Lin
 7.01326E-05 36.6585      Lin-Lin
 7.73139E-05 34.9145      Lin-Lin
 8.52142E-05 33.2567      Lin-Lin
 9.39398E-05 31.6745      Lin-Lin
 0.000103539 30.1705      Lin-Lin
 0.000114141 28.7352      Lin-Lin
 0.000125804 27.3707      Lin-Lin
 0.000138686 26.0686      Lin-Lin
 0.000152858 24.8308      Lin-Lin
 0.00016851  23.6495      Lin-Lin
 0.000185729 22.5265      Lin-Lin
 0.000204747 21.4549      Lin-Lin
 0.000225669 20.4361      Lin-Lin
 0.000248777 19.4639      Lin-Lin
 0.000274198 18.5397      Lin-Lin
 0.000302275 17.6577      Lin-Lin
 0.000333162 16.8192      Lin-Lin
 0.000367277 16.0191      Lin-Lin
 0.000404807 15.2585      Lin-Lin
 0.000446258 14.5325      Lin-Lin
 0.000491858 13.8425      Lin-Lin
 0.000542223 13.1839      Lin-Lin
 0.000597629 12.5579      Lin-Lin
 0.000658824 11.9605      Lin-Lin
 0.000726145 11.3926      Lin-Lin
 0.000800501 10.8506      Lin-Lin
 0.000882299 10.3354      Lin-Lin
 0.000972643 9.84368      Lin-Lin
 0.00107203  9.37627      Lin-Lin
 0.0011818   8.9302       Lin-Lin
 0.00130256  8.50617      Lin-Lin
 0.00143594  8.10149      Lin-Lin
 0.00158267  7.71681      Lin-Lin
 0.00174474  7.34969      Lin-Lin
 0.00192302  7.00071      Lin-Lin
 0.00211993  6.66765      Lin-Lin
 0.00233655  6.35105      Lin-Lin
 0.00257581  6.0489       Lin-Lin
 0.00283901  5.76169      Lin-Lin
 0.00312972  5.48758      Lin-Lin
 0.00344953  5.22701      Lin-Lin
 0.00380275  4.97834      Lin-Lin
 0.00419133  4.74195      Lin-Lin
 0.00462051  4.51636      Lin-Lin
 0.00509265  4.30191      Lin-Lin
 0.00561412  4.09724      Lin-Lin
 0.00618779  3.9027       Lin-Lin
 0.0068214   3.71703      Lin-Lin
 0.00751843  3.54053      Lin-Lin
 0.0082883   3.37209      Lin-Lin
 0.00913523  3.21198      Lin-Lin
 0.0100706   3.05917      Lin-Lin
 0.0110997   2.91391      Lin-Lin
 0.0122363   2.77528      Lin-Lin
 0.0134866   2.6435       Lin-Lin
 0.0148676   2.51774      Lin-Lin
 0.0163868   2.39819      Lin-Lin
 0.0180648   2.2841       Lin-Lin
 0.0199107   2.17564      Lin-Lin
 0.0219495   2.07213      Lin-Lin
 0.0241924   1.97374      Lin-Lin
 0.0250875   1.93821      Lin-Lin
 0.0253      1.93006      Lin-Lin
 0.0278906   1.83824      Lin-Lin
 0.0307406   1.75095      Lin-Lin
 0.0338884   1.66765      Lin-Lin
 0.0373512   1.58847      Lin-Lin
 0.0411758   1.51291      Lin-Lin
 0.0453833   1.44109      Lin-Lin
 0.0500305   1.37256      Lin-Lin
 0.0551428   1.30743      Lin-Lin
 0.0607892   1.24529      Lin-Lin
 0.0670009   1.18623      Lin-Lin
 0.0738616   1.12988      Lin-Lin
 0.081409    1.0763       Lin-Lin
 0.089745    1.02515      Lin-Lin
 0.0989155   0.976517     Lin-Lin
 0.109044    0.930091     Lin-Lin
 0.120187    0.885964     Lin-Lin
 0.132493    0.843832     Lin-Lin
 0.146032    0.803768     Lin-Lin
 0.160985    0.765514     Lin-Lin
 0.177435    0.729142     Lin-Lin
 0.195604    0.694444     Lin-Lin
 0.215592    0.66148      Lin-Lin
 0.237668    0.630026     Lin-Lin
 0.261954    0.600127     Lin-Lin
 0.288777    0.571592     Lin-Lin
 0.318285    0.544439     Lin-Lin
 0.350877    0.518503     Lin-Lin
 0.38673     0.493871     Lin-Lin
 0.42633     0.470388     Lin-Lin
 0.469894    0.448072     Lin-Lin
 0.51801     0.426754     Lin-Lin
 0.570942    0.406517     Lin-Lin
 0.629405    0.387178     Lin-Lin
 0.69372     0.368747     Lin-Lin
 0.764755    0.351199     Lin-Lin
 0.8429      0.334528     Lin-Lin
 0.929211    0.318643     Lin-Lin
 1.02416     0.303494     Lin-Lin
 1.12903     0.289082     Lin-Lin
 1.2444      0.275373     Lin-Lin
 1.37182     0.262216     Lin-Lin
 1.512       0.24977      Lin-Lin
 1.66683     0.237887     Lin-Lin
 1.83715     0.226614     Lin-Lin
 2.02527     0.215819     Lin-Lin
 2.23222     0.205595     Lin-Lin
 2.46079     0.195832     Lin-Lin
 2.71224     0.18648      Lin-Lin
 2.98996     0.177619     Lin-Lin
 3.29549     0.169185     Lin-Lin
 3.63294     0.161139     Lin-Lin
 4.06066     0.152409     Lin-Lin
 4.41418     0.146201     Lin-Lin
 4.86524     0.139267     Lin-Lin
 5.43804     0.131692     Lin-Lin
 5.99488     0.125445     Lin-Lin
 6.60746     0.119484     Lin-Lin
 7.28404     0.113793     Lin-Lin
 8.25488     0.106877     Lin-Lin
 8.97356     0.10256      Lin-Lin
 9.7548      0.0983525    Lin-Lin
 10.7537     0.0936463    Lin-Lin
 11.6899     0.0898328    Lin-Lin
 12.7076     0.0861596    Lin-Lin
 13.8139     0.0826321    Lin-Lin
 15.0166     0.0792715    Lin-Lin
 16.551      0.0754771    Lin-Lin
 17.992      0.0724366    Lin-Lin
 19.5584     0.0694616    Lin-Lin
 21.5611     0.0661344    Lin-Lin
 23.4382     0.0634458    Lin-Lin
 25.4787     0.0608512    Lin-Lin
 27.6969     0.0583593    Lin-Lin
 30.1082     0.0559872    Lin-Lin
 33.1848     0.0533043    Lin-Lin
 36.0739     0.0511593    Lin-Lin
 38.6764     0.0493839    Lin-Lin
 43.2299     0.046707     Lin-Lin
 46.9936     0.0448093    Lin-Lin
 51.0849     0.0429769    Lin-Lin
 55.5323     0.0412168    Lin-Lin
 59.5272     0.0398076    Lin-Lin
 66.5355     0.0376459    Lin-Lin
 71.3357     0.0363772    Lin-Lin
 77.5462     0.034878     Lin-Lin
 85.4702     0.0332124    Lin-Lin
 92.9113     0.0318635    Lin-Lin
 101         0.0305598    Lin-Lin
 109.793     0.0293082    Lin-Lin
 119.352     0.0281152    Lin-Lin
 131.573     0.0267681    Lin-Lin
 141.038     0.025866     Lin-Lin
 155.48      0.0246336    Lin-Lin
 171.368     0.0234562    Lin-Lin
 186.287     0.0225039    Lin-Lin
 202.505     0.0215832    Lin-Lin
 220.135     0.0206993    Lin-Lin
 239.301     0.019857     Lin-Lin
 263.804     0.018905     Lin-Lin
 282.782     0.0182683    Lin-Lin
 307.401     0.0175133    Lin-Lin
 343.592     0.0165662    Lin-Lin
 373.505     0.0158935    Lin-Lin
 406.023     0.0152433    Lin-Lin
 441.371     0.014619     Lin-Lin
 479.797     0.0140244    Lin-Lin
 528.431     0.0133578    Lin-Lin
 566.445     0.012908     Lin-Lin
 619.885     0.012336     Lin-Lin
 688.342     0.0117046    Lin-Lin
 743.724     0.0112625    Lin-Lin
 803.667     0.0108327    Lin-Lin
 885.788     0.0103203    Lin-Lin
 967.669     0.0098727    Lin-Lin
 1066.55     0.00940466   Lin-Lin
 1143.5      0.00908146   Lin-Lin
 1274.82     0.00860015   Lin-Lin
 1366.52     0.00831059   Lin-Lin
 1495.45     0.00794232   Lin-Lin
 1660.6      0.00753578   Lin-Lin
 1783.54     0.00727195   Lin-Lin
 1938.81     0.00697435   Lin-Lin
 2107.6      0.0066887    Lin-Lin
 2291.09     0.0064162    Lin-Lin
 2549.63     0.00608126   Lin-Lin
 2733.05     0.00587651   Lin-Lin
 2990.89     0.0056161    Lin-Lin
 3321.19     0.00532864   Lin-Lin
 3567.07     0.00514208   Lin-Lin
 3877.62     0.00493164   Lin-Lin
 4215.21     0.00472966   Lin-Lin
 4582.19     0.00453697   Lin-Lin
 5099.27     0.00430013   Lin-Lin
 5466.09     0.00415535   Lin-Lin
 5981.78     0.00397121   Lin-Lin
 6642.38     0.00376794   Lin-Lin
 7134.14     0.00363602   Lin-Lin
 7755.24     0.0034874    Lin-Lin
 8578.31     0.00331583   Lin-Lin
 9325.14     0.00318027   Lin-Lin
 10137       0.00305029   Lin-Lin
 11019.5     0.00292559   Lin-Lin
 12316.9     0.00276716   Lin-Lin
 13510       0.00264233   Lin-Lin
 14954.5     0.00251148   Lin-Lin
 16606       0.00238289   Lin-Lin
 17835.4     0.00229944   Lin-Lin
 19388.1     0.00220531   Lin-Lin
 21180.1     0.00210998   Lin-Lin
 22972.4     0.00202621   Lin-Lin
 25496.3     0.00192283   Lin-Lin
 27330.5     0.00185807   Lin-Lin
 29908.9     0.00177571   Lin-Lin
 33211.9     0.00168479   Lin-Lin
 35670.7     0.00162579   Lin-Lin
 38862.7     0.00155763   Lin-Lin
 42673.2     0.00148641   Lin-Lin
 46631.1     0.00142195   Lin-Lin
 51279.9     0.00135588   Lin-Lin
 55858.8     0.00129911   Lin-Lin
 60000       0.00125206   Lin-Lin
 81892.6     0.00122754   Lin-Lin
 101411      0.001212     Lin-Lin
 393185      0.001212     Lin-Lin
 395400      0.00121207   Lin-Lin
 412700      0.00129212   Lin-Lin
 421310      0.00139908   Lin-Lin
 430100      0.00151521   Lin-Lin
 436004      0.00167279   Lin-Lin
 440075      0.00178968   Lin-Lin
 446256      0.00198087   Lin-Lin
 447500      0.00202206   Lin-Lin
 449070      0.00217499   Lin-Lin
 450515      0.00232648   Lin-Lin
 452288      0.00252613   Lin-Lin
 453846      0.00271485   Lin-Lin
 455853      0.00297779   Lin-Lin
 456974      0.0031351    Lin-Lin
 458943      0.0034307    Lin-Lin
 460982      0.00376466   Lin-Lin
 462377      0.00401082   Lin-Lin
 464479      0.00441119   Lin-Lin
 464900      0.00449675   Lin-Lin
 466187      0.00488909   Lin-Lin
 467317      0.00526181   Lin-Lin
 468741      0.0057712    Lin-Lin
 469937      0.00623523   Lin-Lin
 471272      0.0067961    Lin-Lin
 472653      0.00742723   Lin-Lin
 473597      0.00789084   Lin-Lin
 475158      0.00872051   Lin-Lin
 475300      0.00881821   Lin-Lin
 475407      0.00898217   Lin-Lin
 475728      0.0095336    Lin-Lin
 476130      0.0102755    Lin-Lin
 476507      0.0110233    Lin-Lin
 476861      0.0117743    Lin-Lin
 477349      0.0128925    Lin-Lin
 477797      0.0140111    Lin-Lin
 478199      0.0150981    Lin-Lin
 478569      0.01617      Lin-Lin
 479021      0.0175846    Lin-Lin
 479417      0.0189228    Lin-Lin
 479764      0.0201779    Lin-Lin
 480210      0.0219116    Lin-Lin
 480676      0.0238795    Lin-Lin
 481056      0.025617     Lin-Lin
 481464      0.0276195    Lin-Lin
 481924      0.0300668    Lin-Lin
 482108      0.031103     Lin-Lin
 482200      0.0316785    Lin-Lin
 482361      0.0330917    Lin-Lin
 482522      0.0345771    Lin-Lin
 482832      0.0376558    Lin-Lin
 483119      0.0407614    Lin-Lin
 483407      0.0441208    Lin-Lin
 483669      0.0474169    Lin-Lin
 483930      0.0509597    Lin-Lin
 484253      0.0556883    Lin-Lin
 484561      0.0606014    Lin-Lin
 484840      0.0654398    Lin-Lin
 485120      0.0706605    Lin-Lin
 485366      0.0755953    Lin-Lin
 485612      0.0808771    Lin-Lin
 485944      0.0885744    Lin-Lin
 486242      0.0961029    Lin-Lin
 486541      0.104306     Lin-Lin
 486840      0.113187     Lin-Lin
 487116      0.122058     Lin-Lin
 487392      0.131621     Lin-Lin
 487723      0.144062     Lin-Lin
 487977      0.154441     Lin-Lin
 488230      0.165458     Lin-Lin
 488563      0.181176     Lin-Lin
 488813      0.193952     Lin-Lin
 489168      0.213332     Lin-Lin
 489231      0.215669     Lin-Lin
 490400      0.235251     Lin-Lin
 491220      0.249808     Lin-Lin
 492577      0.275837     Lin-Lin
 492669      0.277392     Lin-Lin
 492700      0.277443     Lin-Lin
 492773      0.27602      Lin-Lin
 493283      0.26068      Lin-Lin
 493866      0.243944     Lin-Lin
 494633      0.223708     Lin-Lin
 495156      0.210881     Lin-Lin
 496100      0.189311     Lin-Lin
 496577      0.171485     Lin-Lin
 496732      0.165922     Lin-Lin
 497128      0.152619     Lin-Lin
 497499      0.141112     Lin-Lin
 497847      0.131113     Lin-Lin
 498174      0.122384     Lin-Lin
 498480      0.114735     Lin-Lin
 498907      0.10488      Lin-Lin
 499290      0.0967485    Lin-Lin
 499642      0.0898465    Lin-Lin
 500060      0.0823046    Lin-Lin
 500439      0.076008     Lin-Lin
 500771      0.070898     Lin-Lin
 501197      0.064837     Lin-Lin
 501524      0.0605726    Lin-Lin
 501850      0.0565513    Lin-Lin
 502280      0.0516936    Lin-Lin
 502602      0.0483276    Lin-Lin
 502989      0.0445716    Lin-Lin
 503086      0.0437294    Lin-Lin
 503182      0.043205     Lin-Lin
 503958      0.0400386    Lin-Lin
 504763      0.0370071    Lin-Lin
 505519      0.0343739    Lin-Lin
 506229      0.0320756    Lin-Lin
 506896      0.0300615    Lin-Lin
 507815      0.0274933    Lin-Lin
 508660      0.0253296    Lin-Lin
 509420      0.023532     Lin-Lin
 510118      0.0219955    Lin-Lin
 510973      0.0202523    Lin-Lin
 511723      0.0188403    Lin-Lin
 512380      0.0176861    Lin-Lin
 513224      0.0163081    Lin-Lin
 514106      0.0149834    Lin-Lin
 514828      0.0139818    Lin-Lin
 515603      0.0129829    Lin-Lin
 516301      0.012145     Lin-Lin
 517000      0.0113688    Lin-Lin
 518289      0.0105727    Lin-Lin
 519914      0.00965854   Lin-Lin
 521279      0.00895441   Lin-Lin
 522802      0.00823059   Lin-Lin
 524378      0.00754524   Lin-Lin
 525455      0.00711098   Lin-Lin
 527076      0.00650668   Lin-Lin
 527400      0.00639458   Lin-Lin
 530952      0.00585302   Lin-Lin
 533388      0.00551226   Lin-Lin
 537063      0.00503865   Lin-Lin
 537800      0.00494862   Lin-Lin
 542538      0.00453153   Lin-Lin
 545793      0.00426776   Lin-Lin
 550712      0.00390117   Lin-Lin
 551700      0.00383333   Lin-Lin
 557926      0.0042029    Lin-Lin
 564152      0.00460454   Lin-Lin
 569100      0.00495022   Lin-Lin
 571246      0.00536009   Lin-Lin
 573131      0.00574851   Lin-Lin
 575511      0.00627725   Lin-Lin
 577510      0.00675697   Lin-Lin
 579744      0.00733452   Lin-Lin
 582058      0.00798186   Lin-Lin
 584592      0.00875331   Lin-Lin
 586500      0.00938736   Lin-Lin
 587573      0.0101618    Lin-Lin
 588580      0.0109527    Lin-Lin
 589526      0.0117499    Lin-Lin
 590414      0.0125502    Lin-Lin
 591640      0.013742     Lin-Lin
 592766      0.0149346    Lin-Lin
 593780      0.0160934    Lin-Lin
 594711      0.017236     Lin-Lin
 595852      0.0187438    Lin-Lin
 596852      0.0201707    Lin-Lin
 597728      0.0215084    Lin-Lin
 598855      0.0233561    Lin-Lin
 600034      0.0254541    Lin-Lin
 600998      0.0273065    Lin-Lin
 602033      0.0294417    Lin-Lin
 603277      0.0322242    Lin-Lin
 603900      0.0337069    Lin-Lin
 604967      0.036084     Lin-Lin
 606439      0.0396241    Lin-Lin
 607793      0.0431763    Lin-Lin
 609012      0.0466368    Lin-Lin
 610132      0.0500562    Lin-Lin
 611505      0.0545797    Lin-Lin
 612708      0.0588712    Lin-Lin
 613763      0.062903     Lin-Lin
 615093      0.0683683    Lin-Lin
 616208      0.0733056    Lin-Lin
 617452      0.0792256    Lin-Lin
 618788      0.0860991    Lin-Lin
 619993      0.0927934    Lin-Lin
 621200      0.100068     Lin-Lin
 622071      0.108339     Lin-Lin
 622834      0.116192     Lin-Lin
 623794      0.126882     Lin-Lin
 624600      0.136581     Lin-Lin
 625498      0.148259     Lin-Lin
 626425      0.161348     Lin-Lin
 627439      0.176945     Lin-Lin
 628200      0.189423     Lin-Lin
 630563      0.207017     Lin-Lin
 632180      0.219793     Lin-Lin
 635100      0.244517     Lin-Lin
 638015      0.227791     Lin-Lin
 640930      0.211909     Lin-Lin
 643667      0.198118     Lin-Lin
 646728      0.183814     Lin-Lin
 650024      0.169633     Lin-Lin
 653005      0.157807     Lin-Lin
 656000      0.146769     Lin-Lin
 658150      0.135526     Lin-Lin
 660037      0.126368     Lin-Lin
 662419      0.115723     Lin-Lin
 664418      0.107505     Lin-Lin
 666653      0.0990392    Lin-Lin
 668964      0.0910053    Lin-Lin
 670545      0.0859045    Lin-Lin
 672924      0.0787932    Lin-Lin
 673400      0.077453     Lin-Lin
 675539      0.0738052    Lin-Lin
 679297      0.0678622    Lin-Lin
 683196      0.0622334    Lin-Lin
 685866      0.0586656    Lin-Lin
 689892      0.0537009    Lin-Lin
 690700      0.0527536    Lin-Lin
 694957      0.0485042    Lin-Lin
 698703      0.0450688    Lin-Lin
 701998      0.0422633    Lin-Lin
 706164      0.0389812    Lin-Lin
 709670      0.0364308    Lin-Lin
 713595      0.0337867    Lin-Lin
 717824      0.0311662    Lin-Lin
 721652      0.0289819    Lin-Lin
 725500      0.0269534    Lin-Lin
 731616      0.0247246    Lin-Lin
 736775      0.0230035    Lin-Lin
 742563      0.0212274    Lin-Lin
 748579      0.0195393    Lin-Lin
 752709      0.0184659    Lin-Lin
 758947      0.0169676    Lin-Lin
 760200      0.016681     Lin-Lin
 764465      0.0158983    Lin-Lin
 771987      0.0146171    Lin-Lin
 779822      0.0134038    Lin-Lin
 785209      0.0126348    Lin-Lin
 793361      0.011565     Lin-Lin
 795000      0.0113605    Lin-Lin
 803536      0.0104884    Lin-Lin
 812436      0.00965928   Lin-Lin
 818560      0.00913188   Lin-Lin
 827835      0.00839539   Lin-Lin
 829700      0.00825467   Lin-Lin
 838266      0.0078675    Lin-Lin
 851282      0.00732133   Lin-Lin
 864500      0.00681331   Lin-Lin
 881679      0.00639097   Lin-Lin
 899200      0.0059971    Lin-Lin
 906256      0.00648422   Lin-Lin
 914956      0.00713468   Lin-Lin
 916600      0.0072609    Lin-Lin
 934000      0.00703799   Lin-Lin
 938135      0.00768975   Lin-Lin
 941902      0.00833709   Lin-Lin
 945211      0.00894811   Lin-Lin
 949474      0.00979823   Lin-Lin
 951856      0.0103062    Lin-Lin
 956040      0.0112593    Lin-Lin
 960373      0.0123345    Lin-Lin
 963339      0.0131258    Lin-Lin
 967805      0.0144112    Lin-Lin
 972558      0.0157754    Lin-Lin
 977433      0.0172693    Lin-Lin
 981532      0.0186277    Lin-Lin
 986117      0.0202668    Lin-Lin
 990867      0.0221082    Lin-Lin
 996076      0.0243083    Lin-Lin
 1E+06       0.026066     Lin-Lin
 1.00214E+06 0.0240854    Lin-Lin
 1.00427E+06 0.0222088    Lin-Lin
 1.00655E+06 0.0203815    Lin-Lin
 1.0086E+06  0.0188689    Lin-Lin
 1.01048E+06 0.0175803    Lin-Lin
 1.01279E+06 0.0161234    Lin-Lin
 1.01481E+06 0.0149478    Lin-Lin
 1.01659E+06 0.0139899    Lin-Lin
 1.01883E+06 0.0128717    Lin-Lin
 1.0207E+06  0.0120047    Lin-Lin
 1.0228E+06  0.0111078    Lin-Lin
 1.02437E+06 0.0104794    Lin-Lin
 1.02673E+06 0.00960298   Lin-Lin
 1.0291E+06  0.00879271   Lin-Lin
 1.03018E+06 0.00815647   Lin-Lin
 1.03119E+06 0.00759579   Lin-Lin
 1.03214E+06 0.00710539   Lin-Lin
 1.03345E+06 0.00648148   Lin-Lin
 1.03465E+06 0.00595714   Lin-Lin
 1.03574E+06 0.00552253   Lin-Lin
 1.03673E+06 0.0051518    Lin-Lin
 1.03795E+06 0.00473209   Lin-Lin
 1.03901E+06 0.00439301   Lin-Lin
 1.04035E+06 0.00400078   Lin-Lin
 1.04148E+06 0.00369951   Lin-Lin
 1.04273E+06 0.00339069   Lin-Lin
 1.04402E+06 0.0030991    Lin-Lin
 1.04491E+06 0.00291479   Lin-Lin
 1.04623E+06 0.00265889   Lin-Lin
 1.0465E+06  0.00261245   Lin-Lin
 1.04794E+06 0.00248786   Lin-Lin
 1.05047E+06 0.00228752   Lin-Lin
 1.05309E+06 0.00209775   Lin-Lin
 1.05488E+06 0.00197747   Lin-Lin
 1.05756E+06 0.00181006   Lin-Lin
 1.0581E+06  0.00177948   Lin-Lin
 1.06688E+06 0.001778     Lin-Lin
 1.0698E+06  0.00177915   Lin-Lin
 1.07305E+06 0.00192944   Lin-Lin
 1.0763E+06  0.00209179   Lin-Lin
 1.07934E+06 0.00225642   Lin-Lin
 1.08274E+06 0.00245506   Lin-Lin
 1.08626E+06 0.00267821   Lin-Lin
 1.08866E+06 0.00284188   Lin-Lin
 1.09228E+06 0.00310672   Lin-Lin
 1.093E+06   0.00316586   Lin-Lin
 1.09409E+06 0.00341197   Lin-Lin
 1.0951E+06  0.00366376   Lin-Lin
 1.09606E+06 0.00391677   Lin-Lin
 1.09738E+06 0.00429393   Lin-Lin
 1.09859E+06 0.00467174   Lin-Lin
 1.09968E+06 0.00503928   Lin-Lin
 1.10068E+06 0.005402     Lin-Lin
 1.1019E+06  0.00588116   Lin-Lin
 1.10297E+06 0.00633521   Lin-Lin
 1.10432E+06 0.00695636   Lin-Lin
 1.10545E+06 0.00752277   Lin-Lin
 1.10671E+06 0.00820809   Lin-Lin
 1.10801E+06 0.00897999   Lin-Lin
 1.1089E+06  0.00954753   Lin-Lin
 1.1105E+06  0.0106511    Lin-Lin
 1.11303E+06 0.0115963    Lin-Lin
 1.1163E+06  0.0129024    Lin-Lin
 1.12132E+06 0.0115658    Lin-Lin
 1.12299E+06 0.0111418    Lin-Lin
 1.12708E+06 0.0101834    Lin-Lin
 1.1279E+06  0.0099962    Lin-Lin
 1.12998E+06 0.00922775   Lin-Lin
 1.13172E+06 0.00862688   Lin-Lin
 1.13366E+06 0.00800374   Lin-Lin
 1.13574E+06 0.00738589   Lin-Lin
 1.13762E+06 0.0068707    Lin-Lin
 1.1395E+06  0.00639754   Lin-Lin
 1.14828E+06 0.006391     Lin-Lin
