#LIBRARY    JENDL-4.0/HE
#REACTION   NA-23(N,G)NA-24,SIG
#NUCLEUS    Na-23
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 1E-05       26.7269      Lin-Lin
 1.10304E-05 25.448       Lin-Lin
 1.21669E-05 24.2303      Lin-Lin
 1.34206E-05 23.0708      Lin-Lin
 1.48034E-05 21.9669      Lin-Lin
 1.63286E-05 20.9157      Lin-Lin
 1.80111E-05 19.9149      Lin-Lin
 1.98669E-05 18.962       Lin-Lin
 2.19139E-05 18.0546      Lin-Lin
 2.41719E-05 17.1907      Lin-Lin
 2.66625E-05 16.3681      Lin-Lin
 2.94097E-05 15.5849      Lin-Lin
 3.244E-05   14.8391      Lin-Lin
 3.57825E-05 14.129       Lin-Lin
 3.94694E-05 13.453       Lin-Lin
 4.35362E-05 12.8092      Lin-Lin
 4.80221E-05 12.1963      Lin-Lin
 5.29701E-05 11.6127      Lin-Lin
 5.8428E-05  11.057       Lin-Lin
 6.44482E-05 10.5279      Lin-Lin
 7.10888E-05 10.0242      Lin-Lin
 7.84136E-05 9.54449      Lin-Lin
 8.64931E-05 9.08778      Lin-Lin
 9.54051E-05 8.65292      Lin-Lin
 0.000105235 8.23887      Lin-Lin
 0.000116078 7.84463      Lin-Lin
 0.000128039 7.46926      Lin-Lin
 0.000141232 7.11185      Lin-Lin
 0.000155784 6.77154      Lin-Lin
 0.000171835 6.44752      Lin-Lin
 0.00018954  6.139        Lin-Lin
 0.00020907  5.84524      Lin-Lin
 0.000230612 5.56554      Lin-Lin
 0.000254374 5.29922      Lin-Lin
 0.000280584 5.04565      Lin-Lin
 0.000309494 4.80421      Lin-Lin
 0.000341383 4.57433      Lin-Lin
 0.000376558 4.35544      Lin-Lin
 0.000415358 4.14703      Lin-Lin
 0.000458155 3.94859      Lin-Lin
 0.000505362 3.75965      Lin-Lin
 0.000557433 3.57975      Lin-Lin
 0.000614869 3.40845      Lin-Lin
 0.000678223 3.24535      Lin-Lin
 0.000748105 3.09006      Lin-Lin
 0.000825188 2.9422       Lin-Lin
 0.000910213 2.80141      Lin-Lin
 0.001004    2.66736      Lin-Lin
 0.00110745  2.53973      Lin-Lin
 0.00122155  2.4182       Lin-Lin
 0.00134742  2.30249      Lin-Lin
 0.00148625  2.19231      Lin-Lin
 0.00163939  2.08741      Lin-Lin
 0.00180831  1.98752      Lin-Lin
 0.00199463  1.89242      Lin-Lin
 0.00220016  1.80186      Lin-Lin
 0.00242685  1.71564      Lin-Lin
 0.00267691  1.63355      Lin-Lin
 0.00295273  1.55538      Lin-Lin
 0.00325697  1.48096      Lin-Lin
 0.00359256  1.41009      Lin-Lin
 0.00396272  1.34262      Lin-Lin
 0.00437103  1.27837      Lin-Lin
 0.00482141  1.2172       Lin-Lin
 0.00531819  1.15896      Lin-Lin
 0.00586616  1.1035       Lin-Lin
 0.00647059  1.0507       Lin-Lin
 0.0071373   1.00042      Lin-Lin
 0.00787271  0.952552     Lin-Lin
 0.00868389  0.906972     Lin-Lin
 0.00957865  0.863573     Lin-Lin
 0.0105656   0.822251     Lin-Lin
 0.0116543   0.782906     Lin-Lin
 0.0128551   0.745444     Lin-Lin
 0.0141796   0.709774     Lin-Lin
 0.0156406   0.675812     Lin-Lin
 0.0172522   0.643474     Lin-Lin
 0.0190298   0.612684     Lin-Lin
 0.0209906   0.583368     Lin-Lin
 0.0231534   0.555455     Lin-Lin
 0.0252419   0.531982     Lin-Lin
 0.0253      0.531371     Lin-Lin
 0.0279068   0.505948     Lin-Lin
 0.0307823   0.481744     Lin-Lin
 0.033954    0.458702     Lin-Lin
 0.0374525   0.436766     Lin-Lin
 0.0413115   0.415883     Lin-Lin
 0.0455681   0.396002     Lin-Lin
 0.0502633   0.377074     Lin-Lin
 0.0554423   0.359052     Lin-Lin
 0.0611549   0.341891     Lin-Lin
 0.0674561   0.325547     Lin-Lin
 0.0744066   0.309977     Lin-Lin
 0.0820732   0.29514      Lin-Lin
 0.0905297   0.281007     Lin-Lin
 0.0998577   0.267552     Lin-Lin
 0.110147    0.25475      Lin-Lin
 0.121496    0.242572     Lin-Lin
 0.134014    0.230983     Lin-Lin
 0.147823    0.219939     Lin-Lin
 0.163054    0.20941      Lin-Lin
 0.179855    0.19938      Lin-Lin
 0.198386    0.189831     Lin-Lin
 0.218827    0.180744     Lin-Lin
 0.241375    0.172106     Lin-Lin
 0.266245    0.163894     Lin-Lin
 0.293678    0.156062     Lin-Lin
 0.323938    0.148589     Lin-Lin
 0.357316    0.141472     Lin-Lin
 0.394132    0.134698     Lin-Lin
 0.434743    0.128252     Lin-Lin
 0.479537    0.122133     Lin-Lin
 0.532679    0.115907     Lin-Lin
 0.587564    0.110358     Lin-Lin
 0.648105    0.105073     Lin-Lin
 0.714884    0.100043     Lin-Lin
 0.788543    0.0952549    Lin-Lin
 0.869792    0.0906985    Lin-Lin
 0.959413    0.0863826    Lin-Lin
 1.06568     0.0819797    Lin-Lin
 1.17549     0.078055     Lin-Lin
 1.2966      0.07432      Lin-Lin
 1.4302      0.0707653    Lin-Lin
 1.57757     0.0673821    Lin-Lin
 1.74011     0.064162     Lin-Lin
 1.91941     0.061097     Lin-Lin
 2.11718     0.0581952    Lin-Lin
 2.3518      0.0552285    Lin-Lin
 2.59412     0.052591     Lin-Lin
 2.86141     0.0500798    Lin-Lin
 3.15624     0.04769      Lin-Lin
 3.48145     0.0454164    Lin-Lin
 3.84017     0.0432523    Lin-Lin
 4.20618     0.0413474    Lin-Lin
 4.6723      0.0392461    Lin-Lin
 5.15372     0.0373799    Lin-Lin
 5.68474     0.0356009    Lin-Lin
 6.27048     0.0339075    Lin-Lin
 6.91657     0.0322993    Lin-Lin
 7.62924     0.0307678    Lin-Lin
 8.35638     0.0294176    Lin-Lin
 9.28242     0.0279324    Lin-Lin
 10.2389     0.0266148    Lin-Lin
 11.2147     0.0254468    Lin-Lin
 12.3703     0.0242432    Lin-Lin
 13.6448     0.0231054    Lin-Lin
 15.0508     0.0220189    Lin-Lin
 16.6016     0.0209892    Lin-Lin
 18.5705     0.0198772    Lin-Lin
 20.3414     0.0190158    Lin-Lin
 22.2802     0.0181946    Lin-Lin
 24.4049     0.0174077    Lin-Lin
 27.1081     0.0165481    Lin-Lin
 29.9012     0.0157845    Lin-Lin
 32.9822     0.015062     Lin-Lin
 36.8938     0.0142834    Lin-Lin
 40.6952     0.0136382    Lin-Lin
 44.2639     0.0131096    Lin-Lin
 48.1454     0.0126041    Lin-Lin
 53.1062     0.0120398    Lin-Lin
 58.5781     0.0115111    Lin-Lin
 64.6138     0.0110043    Lin-Lin
 71.7742     0.0104946    Lin-Lin
 78.0682     0.0101132    Lin-Lin
 85.5089     0.00971328   Lin-Lin
 93.6634     0.00933522   Lin-Lin
 101.877     0.00900392   Lin-Lin
 110.811     0.00868904   Lin-Lin
 122.228     0.00833926   Lin-Lin
 135.767     0.00799209   Lin-Lin
 148.714     0.00771168   Lin-Lin
 164.037     0.00742511   Lin-Lin
 179.671     0.00717797   Lin-Lin
 199.582     0.00691109   Lin-Lin
 221.689     0.00666767   Lin-Lin
 244.531     0.0064597    Lin-Lin
 267.85      0.00628299   Lin-Lin
 293.379     0.00612211   Lin-Lin
 328.174     0.00594759   Lin-Lin
 356.952     0.0058378    Lin-Lin
 388.253     0.00573658   Lin-Lin
 431.279     0.00563657   Lin-Lin
 475.716     0.00556796   Lin-Lin
 521.057     0.0055275    Lin-Lin
 566.926     0.00551004   Lin-Lin
 643.309     0.00553501   Lin-Lin
 709.594     0.00559696   Lin-Lin
 777.264     0.00570047   Lin-Lin
 850.899     0.00585277   Lin-Lin
 919.078     0.00603064   Lin-Lin
 992.671     0.00626706   Lin-Lin
 1057.29     0.00651394   Lin-Lin
 1122.4      0.00679993   Lin-Lin
 1187.09     0.00713176   Lin-Lin
 1246.78     0.00747731   Lin-Lin
 1305.09     0.00786477   Lin-Lin
 1361.11     0.00828122   Lin-Lin
 1419.54     0.00877398   Lin-Lin
 1459.87     0.00915212   Lin-Lin
 1501.36     0.00957809   Lin-Lin
 1544.02     0.01006      Lin-Lin
 1587.89     0.0106075    Lin-Lin
 1621.65     0.0110656    Lin-Lin
 1666.88     0.0117422    Lin-Lin
 1708.55     0.0124377    Lin-Lin
 1749.68     0.0132002    Lin-Lin
 1790.82     0.0140491    Lin-Lin
 1831.95     0.0149976    Lin-Lin
 1873.08     0.0160612    Lin-Lin
 1912.16     0.0171936    Lin-Lin
 1945.07     0.0182564    Lin-Lin
 1977.97     0.0194324    Lin-Lin
 2010.88     0.0207378    Lin-Lin
 2035.56     0.0218091    Lin-Lin
 2068.47     0.0233887    Lin-Lin
 2093.15     0.0246974    Lin-Lin
 2117.83     0.0261264    Lin-Lin
 2142.51     0.0276906    Lin-Lin
 2167.19     0.029407     Lin-Lin
 2191.87     0.0312953    Lin-Lin
 2216.55     0.0333785    Lin-Lin
 2241.23     0.0356832    Lin-Lin
 2265.91     0.0382405    Lin-Lin
 2290.59     0.0410869    Lin-Lin
 2315.27     0.0442652    Lin-Lin
 2339.95     0.047826     Lin-Lin
 2356.4      0.0504412    Lin-Lin
 2372.85     0.0532729    Lin-Lin
 2389.31     0.0563436    Lin-Lin
 2405.76     0.0596786    Lin-Lin
 2422.21     0.0633063    Lin-Lin
 2438.67     0.067258     Lin-Lin
 2453.06     0.0710103    Lin-Lin
 2471.57     0.0762785    Lin-Lin
 2490.08     0.0821079    Lin-Lin
 2508.59     0.0885644    Lin-Lin
 2527.1      0.0957199    Lin-Lin
 2545.61     0.103658     Lin-Lin
 2564.12     0.112469     Lin-Lin
 2582.63     0.122236     Lin-Lin
 2601.14     0.13304      Lin-Lin
 2619.65     0.144958     Lin-Lin
