#LIBRARY    JENDL-4.0/HE
#REACTION   NI-58(N,G)NI-59,SIG
#NUCLEUS    Ni-58
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 1E-05       232.378      Lin-Lin
 1.10304E-05 221.258      Lin-Lin
 1.21669E-05 210.671      Lin-Lin
 1.34206E-05 200.59       Lin-Lin
 1.48034E-05 190.992      Lin-Lin
 1.63286E-05 181.852      Lin-Lin
 1.80111E-05 173.151      Lin-Lin
 1.98669E-05 164.865      Lin-Lin
 2.19139E-05 156.976      Lin-Lin
 2.41719E-05 149.465      Lin-Lin
 2.66625E-05 142.313      Lin-Lin
 2.94097E-05 135.503      Lin-Lin
 3.244E-05   129.019      Lin-Lin
 3.57825E-05 122.845      Lin-Lin
 3.94694E-05 116.967      Lin-Lin
 4.35362E-05 111.37       Lin-Lin
 4.80221E-05 106.041      Lin-Lin
 5.29701E-05 100.967      Lin-Lin
 5.8428E-05  96.1355      Lin-Lin
 6.44482E-05 91.5353      Lin-Lin
 7.10888E-05 87.1553      Lin-Lin
 7.84136E-05 82.9848      Lin-Lin
 8.64931E-05 79.0139      Lin-Lin
 9.54051E-05 75.2331      Lin-Lin
 0.000105235 71.6331      Lin-Lin
 0.000116078 68.2054      Lin-Lin
 0.000128039 64.9417      Lin-Lin
 0.000141232 61.8342      Lin-Lin
 0.000155784 58.8754      Lin-Lin
 0.000171835 56.0581      Lin-Lin
 0.00018954  53.3757      Lin-Lin
 0.00020907  50.8216      Lin-Lin
 0.000230612 48.3898      Lin-Lin
 0.000254374 46.0743      Lin-Lin
 0.000280584 43.8696      Lin-Lin
 0.000309494 41.7704      Lin-Lin
 0.000341383 39.7716      Lin-Lin
 0.000376558 37.8685      Lin-Lin
 0.000415358 36.0565      Lin-Lin
 0.000458155 34.3311      Lin-Lin
 0.000505362 32.6884      Lin-Lin
 0.000557433 31.1242      Lin-Lin
 0.000614869 29.6349      Lin-Lin
 0.000678223 28.2168      Lin-Lin
 0.000748105 26.8666      Lin-Lin
 0.000825188 25.581       Lin-Lin
 0.000910213 24.357       Lin-Lin
 0.001004    23.1915      Lin-Lin
 0.00110745  22.0817      Lin-Lin
 0.00122155  21.0251      Lin-Lin
 0.00134742  20.019       Lin-Lin
 0.00148625  19.0611      Lin-Lin
 0.00163939  18.149       Lin-Lin
 0.00180831  17.2806      Lin-Lin
 0.00199463  16.4537      Lin-Lin
 0.00220016  15.6663      Lin-Lin
 0.00242685  14.9167      Lin-Lin
 0.00267691  14.2029      Lin-Lin
 0.00295273  13.5233      Lin-Lin
 0.00325697  12.8762      Lin-Lin
 0.00359256  12.2601      Lin-Lin
 0.00396272  11.6734      Lin-Lin
 0.00437103  11.1148      Lin-Lin
 0.00482141  10.583       Lin-Lin
 0.00531819  10.0766      Lin-Lin
 0.00586616  9.59438      Lin-Lin
 0.00647059  9.13528      Lin-Lin
 0.0071373   8.69815      Lin-Lin
 0.00787271  8.28194      Lin-Lin
 0.00868389  7.88566      Lin-Lin
 0.00957865  7.50835      Lin-Lin
 0.0105656   7.14912      Lin-Lin
 0.0116543   6.80712      Lin-Lin
 0.0128551   6.48155      Lin-Lin
 0.0141796   6.17164      Lin-Lin
 0.0156406   5.87661      Lin-Lin
 0.0172522   5.59572      Lin-Lin
 0.0190298   5.32823      Lin-Lin
 0.0209906   5.07347      Lin-Lin
 0.0231534   4.83085      Lin-Lin
 0.0252419   4.62683      Lin-Lin
 0.0253      4.62152      Lin-Lin
 0.0279068   4.40057      Lin-Lin
 0.0307823   4.19016      Lin-Lin
 0.033954    3.98966      Lin-Lin
 0.0374525   3.79861      Lin-Lin
 0.0413115   3.61663      Lin-Lin
 0.0455681   3.44337      Lin-Lin
 0.0502633   3.27849      Lin-Lin
 0.0554423   3.12166      Lin-Lin
 0.0611549   2.97249      Lin-Lin
 0.0674561   2.83044      Lin-Lin
 0.0744066   2.69498      Lin-Lin
 0.0820732   2.56588      Lin-Lin
 0.0905297   2.44295      Lin-Lin
 0.0998577   2.32594      Lin-Lin
 0.110147    2.21463      Lin-Lin
 0.121496    2.10889      Lin-Lin
 0.134014    2.00819      Lin-Lin
 0.147823    1.91203      Lin-Lin
 0.163054    1.8204       Lin-Lin
 0.179855    1.73318      Lin-Lin
 0.198386    1.65016      Lin-Lin
 0.218827    1.57115      Lin-Lin
 0.241375    1.49615      Lin-Lin
 0.268123    1.41978      Lin-Lin
 0.29575     1.35175      Lin-Lin
 0.326223    1.28696      Lin-Lin
 0.359836    1.22529      Lin-Lin
 0.396913    1.1666       Lin-Lin
 0.437809    1.11076      Lin-Lin
 0.48292     1.05796      Lin-Lin
 0.532679    1.00729      Lin-Lin
 0.587564    0.958992     Lin-Lin
 0.648105    0.913022     Lin-Lin
 0.714884    0.869269     Lin-Lin
 0.788543    0.827623     Lin-Lin
 0.869792    0.788006     Lin-Lin
 0.966133    0.748009     Lin-Lin
