#LIBRARY    ENDF/B-VIII.0
#REACTION   O-16(N,G)O-17,SIG
#NUCLEUS    O-16
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       0.00854195   Lin-Lin
 1.10304E-05 0.00813321   Lin-Lin
 1.21669E-05 0.00774403   Lin-Lin
 1.34206E-05 0.00737347   Lin-Lin
 1.48034E-05 0.00702064   Lin-Lin
 1.63286E-05 0.0066847    Lin-Lin
 1.80111E-05 0.00636483   Lin-Lin
 1.98669E-05 0.00606027   Lin-Lin
 2.19139E-05 0.00577028   Lin-Lin
 2.41719E-05 0.00549416   Lin-Lin
 2.66625E-05 0.00523126   Lin-Lin
 2.94097E-05 0.00498094   Lin-Lin
 3.244E-05   0.0047426    Lin-Lin
 3.57825E-05 0.00451566   Lin-Lin
 3.94694E-05 0.00429958   Lin-Lin
 4.35362E-05 0.00409385   Lin-Lin
 4.80221E-05 0.00389795   Lin-Lin
 5.29701E-05 0.00371143   Lin-Lin
 5.8428E-05  0.00353384   Lin-Lin
 6.44482E-05 0.00336474   Lin-Lin
 7.10888E-05 0.00320373   Lin-Lin
 7.84136E-05 0.00305043   Lin-Lin
 8.64931E-05 0.00290447   Lin-Lin
 9.54051E-05 0.00276549   Lin-Lin
 0.000105235 0.00263316   Lin-Lin
 0.000116078 0.00250716   Lin-Lin
 0.000128039 0.00238719   Lin-Lin
 0.000141232 0.00227296   Lin-Lin
 0.000155784 0.0021642    Lin-Lin
 0.000171835 0.00206064   Lin-Lin
 0.00018954  0.00196203   Lin-Lin
 0.00020907  0.00186815   Lin-Lin
 0.000230612 0.00177876   Lin-Lin
 0.000254374 0.00169364   Lin-Lin
 0.000280584 0.0016126    Lin-Lin
 0.000309494 0.00153543   Lin-Lin
 0.000341383 0.00146196   Lin-Lin
 0.000376558 0.00139201   Lin-Lin
 0.000415358 0.0013254    Lin-Lin
 0.000458155 0.00126198   Lin-Lin
 0.000505362 0.00120159   Lin-Lin
 0.000557433 0.00114409   Lin-Lin
 0.000614869 0.00108935   Lin-Lin
 0.000678223 0.00103722   Lin-Lin
 0.000748105 0.000987591  Lin-Lin
