#LIBRARY    JENDL/HE-2007
#REACTION   PB-207(N,G)PB-208,SIG
#NUCLEUS    Pb-207
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 1E-05       35.8127      Lin-Lin
 1.10304E-05 34.099       Lin-Lin
 1.21669E-05 32.4673      Lin-Lin
 1.34206E-05 30.9137      Lin-Lin
 1.48034E-05 29.4345      Lin-Lin
 1.63286E-05 28.026       Lin-Lin
 1.80111E-05 26.685       Lin-Lin
 1.98669E-05 25.4081      Lin-Lin
 2.19139E-05 24.1923      Lin-Lin
 2.41719E-05 23.0346      Lin-Lin
 2.66625E-05 21.9324      Lin-Lin
 2.94097E-05 20.8829      Lin-Lin
 3.244E-05   19.8837      Lin-Lin
 3.57825E-05 18.9322      Lin-Lin
 3.94694E-05 18.0263      Lin-Lin
 4.35362E-05 17.1637      Lin-Lin
 4.80221E-05 16.3424      Lin-Lin
 5.29701E-05 15.5604      Lin-Lin
 5.8428E-05  14.8158      Lin-Lin
 6.44482E-05 14.1069      Lin-Lin
 7.10888E-05 13.4319      Lin-Lin
 7.84136E-05 12.7891      Lin-Lin
 8.64931E-05 12.1772      Lin-Lin
 9.54051E-05 11.5945      Lin-Lin
 0.000105235 11.0397      Lin-Lin
 0.000116078 10.5114      Lin-Lin
 0.000128039 10.0084      Lin-Lin
 0.000141232 9.52952      Lin-Lin
 0.000155784 9.07352      Lin-Lin
 0.000171835 8.63935      Lin-Lin
 0.00018954  8.22595      Lin-Lin
 0.00020907  7.83233      Lin-Lin
 0.000230612 7.45754      Lin-Lin
 0.000254374 7.10069      Lin-Lin
 0.000280584 6.76092      Lin-Lin
 0.000309494 6.4374       Lin-Lin
 0.000341383 6.12937      Lin-Lin
 0.000376558 5.83607      Lin-Lin
 0.000415358 5.55681      Lin-Lin
 0.000458155 5.29091      Lin-Lin
 0.000505362 5.03774      Lin-Lin
 0.000557433 4.79668      Lin-Lin
 0.000614869 4.56715      Lin-Lin
 0.000678223 4.34861      Lin-Lin
 0.000748105 4.14052      Lin-Lin
 0.000825188 3.9424       Lin-Lin
 0.000910213 3.75375      Lin-Lin
 0.001004    3.57413      Lin-Lin
 0.00110745  3.4031       Lin-Lin
 0.00122155  3.24026      Lin-Lin
 0.00134742  3.08521      Lin-Lin
 0.00148625  2.93758      Lin-Lin
 0.00163939  2.79702      Lin-Lin
 0.00180831  2.66318      Lin-Lin
 0.00199463  2.53574      Lin-Lin
 0.00220016  2.41441      Lin-Lin
 0.00242685  2.29888      Lin-Lin
 0.00267691  2.18888      Lin-Lin
 0.00295273  2.08415      Lin-Lin
 0.00325697  1.98444      Lin-Lin
 0.00359256  1.88952      Lin-Lin
 0.00396272  1.79916      Lin-Lin
 0.00437103  1.71313      Lin-Lin
 0.00482141  1.63123      Lin-Lin
 0.00531819  1.55324      Lin-Lin
 0.00586616  1.47896      Lin-Lin
 0.00647059  1.40824      Lin-Lin
 0.0071373   1.34091      Lin-Lin
 0.00787271  1.2768       Lin-Lin
 0.00868389  1.21574      Lin-Lin
 0.00957865  1.15757      Lin-Lin
 0.0105656   1.10214      Lin-Lin
 0.0116543   1.04935      Lin-Lin
 0.0128551   0.999109     Lin-Lin
 0.0141796   0.951316     Lin-Lin
 0.0156406   0.905856     Lin-Lin
 0.0172522   0.862565     Lin-Lin
 0.0190298   0.821289     Lin-Lin
 0.0209906   0.781957     Lin-Lin
 0.0231534   0.744541     Lin-Lin
 0.0252419   0.713126     Lin-Lin
 0.0253      0.712308     Lin-Lin
 0.0279068   0.678266     Lin-Lin
 0.0307823   0.645784     Lin-Lin
 0.033954    0.614834     Lin-Lin
 0.0374525   0.585373     Lin-Lin
 0.0413115   0.55733      Lin-Lin
 0.0455681   0.530643     Lin-Lin
 0.0502633   0.505295     Lin-Lin
 0.0554423   0.481205     Lin-Lin
 0.0611549   0.458169     Lin-Lin
 0.0674561   0.436209     Lin-Lin
 0.0744066   0.415306     Lin-Lin
 0.0820732   0.395411     Lin-Lin
 0.0905297   0.376475     Lin-Lin
 0.0998577   0.358525     Lin-Lin
 0.110924    0.340228     Lin-Lin
 0.122353    0.323917     Lin-Lin
 0.13496     0.308391     Lin-Lin
 0.148866    0.293614     Lin-Lin
 0.164204    0.279548     Lin-Lin
 0.181123    0.266158     Lin-Lin
 0.199786    0.253413     Lin-Lin
 0.220371    0.241343     Lin-Lin
 0.24478     0.229008     Lin-Lin
 0.270002    0.218034     Lin-Lin
 0.297822    0.207585     Lin-Lin
 0.328508    0.197639     Lin-Lin
 0.362357    0.188174     Lin-Lin
 0.399693    0.179168     Lin-Lin
 0.447096    0.169456     Lin-Lin
 0.496642    0.16076      Lin-Lin
 0.551652    0.152534     Lin-Lin
 0.608493    0.145228     Lin-Lin
 0.67119     0.138264     Lin-Lin
 0.740347    0.131645     Lin-Lin
 0.81095     0.125827     Lin-Lin
 0.900773    0.119386     Lin-Lin
 0.993586    0.113671     Lin-Lin
 1.08834     0.108607     Lin-Lin
 1.19207     0.103764     Lin-Lin
 1.3149      0.0987802    Lin-Lin
 1.45038     0.0940577    Lin-Lin
 1.59982     0.0895533    Lin-Lin
 1.75239     0.0855755    Lin-Lin
 1.94649     0.0812081    Lin-Lin
 2.13211     0.0775931    Lin-Lin
 2.31908     0.074398     Lin-Lin
 2.54012     0.0710789    Lin-Lin
 2.82161     0.0674364    Lin-Lin
 3.11233     0.0641992    Lin-Lin
 3.43302     0.0611282    Lin-Lin
 3.84017     0.0578088    Lin-Lin
 4.20618     0.0552385    Lin-Lin
 4.6073      0.0527831    Lin-Lin
 5.01132     0.0506077    Lin-Lin
 5.52767     0.0481721    Lin-Lin
 6.09723     0.0458708    Lin-Lin
 6.72547     0.043676     Lin-Lin
 7.5758      0.0411487    Lin-Lin
 8.41533     0.0390536    Lin-Lin
 9.15329     0.0374459    Lin-Lin
 9.95595     0.0359039    Lin-Lin
 10.9049     0.0342959    Lin-Lin
 12.0285     0.0326595    Lin-Lin
 13.2678     0.0310939    Lin-Lin
 14.4313     0.0298324    Lin-Lin
 15.3708     0.0288955    Lin-Lin
 16.8358     0.0276096    Lin-Lin
 18.3121     0.0264726    Lin-Lin
 19.7794     0.0254705    Lin-Lin
 21.5139     0.024419     Lin-Lin
 23.7306     0.0232488    Lin-Lin
 25.9924     0.022209     Lin-Lin
 28.075      0.0213815    Lin-Lin
 30.537      0.0204953    Lin-Lin
 33.4475     0.0195836    Lin-Lin
 36.3806     0.0187774    Lin-Lin
 39.5708     0.0180045    Lin-Lin
 43.0409     0.0172608    Lin-Lin
 47.4757     0.0164335    Lin-Lin
 52.0031     0.0156975    Lin-Lin
 56.1672     0.0151131    Lin-Lin
 61.0925     0.0144864    Lin-Lin
 66.9186     0.0138413    Lin-Lin
 72.7868     0.0132711    Lin-Lin
 79.0842     0.0127312    Lin-Lin
 86.0192     0.012205     Lin-Lin
 94.8824     0.0116195    Lin-Lin
 103.926     0.0110989    Lin-Lin
 112.253     0.010685     Lin-Lin
 122.165     0.0102387    Lin-Lin
 133.815     0.00978225   Lin-Lin
 145.391     0.00938379   Lin-Lin
 158.14      0.0089968    Lin-Lin
 172.008     0.00862443   Lin-Lin
 189.25      0.00822033   Lin-Lin
 207.288     0.00785189   Lin-Lin
 223.664     0.00756171   Lin-Lin
 244.305     0.00723248   Lin-Lin
 267.603     0.00690933   Lin-Lin
 290.756     0.0066272    Lin-Lin
 316.253     0.00635321   Lin-Lin
 343.985     0.00608954   Lin-Lin
 378.473     0.00580333   Lin-Lin
 416.092     0.00553168   Lin-Lin
 450.436     0.00531874   Lin-Lin
 488.584     0.00510359   Lin-Lin
 535.177     0.00487465   Lin-Lin
 581.486     0.00467473   Lin-Lin
 632.477     0.00448057   Lin-Lin
 687.94      0.0042937    Lin-Lin
 760.396     0.00408148   Lin-Lin
 832.158     0.00389822   Lin-Lin
 900.846     0.00374726   Lin-Lin
 977.142     0.0035947    Lin-Lin
