#LIBRARY    JENDL-4.0
#REACTION   S-32(N,G)S-33,SIG
#NUCLEUS    S-32
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       26.5674      Lin-Lin
 1.10304E-05 25.2961      Lin-Lin
 1.21669E-05 24.0857      Lin-Lin
 1.34205E-05 22.9331      Lin-Lin
 1.48034E-05 21.8358      Lin-Lin
 1.63287E-05 20.7909      Lin-Lin
 1.80111E-05 19.796       Lin-Lin
 1.98669E-05 18.8488      Lin-Lin
 2.19139E-05 17.9468      Lin-Lin
 2.41719E-05 17.0881      Lin-Lin
 2.66625E-05 16.2704      Lin-Lin
 2.94097E-05 15.4918      Lin-Lin
 3.244E-05   14.7505      Lin-Lin
 3.57825E-05 14.0447      Lin-Lin
 3.94694E-05 13.3727      Lin-Lin
 4.35362E-05 12.7328      Lin-Lin
 4.80221E-05 12.1235      Lin-Lin
 5.29701E-05 11.5434      Lin-Lin
 5.8428E-05  10.991       Lin-Lin
 6.44483E-05 10.4651      Lin-Lin
 7.10888E-05 9.96432      Lin-Lin
 7.84136E-05 9.48752      Lin-Lin
 8.64931E-05 9.03354      Lin-Lin
 9.54051E-05 8.60127      Lin-Lin
 0.000105235 8.1897       Lin-Lin
 0.000116078 7.79781      Lin-Lin
 0.000128039 7.42468      Lin-Lin
 0.000141232 7.0694       Lin-Lin
 0.000155784 6.73112      Lin-Lin
 0.000171835 6.40903      Lin-Lin
 0.00018954  6.10236      Lin-Lin
 0.00020907  5.81035      Lin-Lin
 0.000230612 5.53232      Lin-Lin
 0.000254374 5.2676       Lin-Lin
 0.000280583 5.01554      Lin-Lin
 0.000309494 4.77554      Lin-Lin
 0.000341383 4.54703      Lin-Lin
 0.000376558 4.32945      Lin-Lin
 0.000415358 4.12228      Lin-Lin
 0.000458155 3.92502      Lin-Lin
 0.000505362 3.73721      Lin-Lin
 0.000557433 3.55838      Lin-Lin
 0.000614869 3.38811      Lin-Lin
 0.000678223 3.22598      Lin-Lin
 0.000748105 3.07162      Lin-Lin
 0.000825188 2.92464      Lin-Lin
 0.000910213 2.78469      Lin-Lin
 0.001004    2.65144      Lin-Lin
 0.00110745  2.52457      Lin-Lin
 0.00122156  2.40376      Lin-Lin
 0.00134742  2.28874      Lin-Lin
 0.00148625  2.17922      Lin-Lin
 0.00163939  2.07495      Lin-Lin
 0.00180831  1.97566      Lin-Lin
 0.00199463  1.88112      Lin-Lin
 0.00220016  1.79111      Lin-Lin
 0.00242685  1.7054       Lin-Lin
 0.00267691  1.6238       Lin-Lin
 0.00295273  1.5461       Lin-Lin
 0.00325697  1.47211      Lin-Lin
 0.00359256  1.40167      Lin-Lin
 0.00396272  1.3346       Lin-Lin
 0.00437103  1.27074      Lin-Lin
 0.00482141  1.20993      Lin-Lin
 0.00531819  1.15204      Lin-Lin
 0.00586616  1.09691      Lin-Lin
 0.00647059  1.04442      Lin-Lin
 0.0071373   0.994446     Lin-Lin
 0.00787271  0.94686      Lin-Lin
 0.00868389  0.901552     Lin-Lin
 0.00957865  0.858412     Lin-Lin
 0.0105656   0.817336     Lin-Lin
 0.0116543   0.778226     Lin-Lin
 0.0128551   0.740987     Lin-Lin
 0.0141796   0.70553      Lin-Lin
 0.0156406   0.671771     Lin-Lin
 0.0172522   0.639627     Lin-Lin
 0.0190298   0.609023     Lin-Lin
