#LIBRARY    ENDF/B-VIII.0
#REACTION   SI-28(N,G)SI-29,SIG
#NUCLEUS    Si-28
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       8.50723      Lin-Lin
 1.10304E-05 8.10015      Lin-Lin
 1.21669E-05 7.71255      Lin-Lin
 1.34206E-05 7.3435       Lin-Lin
 1.48034E-05 6.99211      Lin-Lin
 1.63286E-05 6.65753      Lin-Lin
 1.80111E-05 6.33896      Lin-Lin
 1.98669E-05 6.03564      Lin-Lin
 2.19139E-05 5.74683      Lin-Lin
 2.41719E-05 5.47184      Lin-Lin
 2.66625E-05 5.21         Lin-Lin
 2.94097E-05 4.9607       Lin-Lin
 3.244E-05   4.72333      Lin-Lin
 3.57825E-05 4.49731      Lin-Lin
 3.94694E-05 4.28211      Lin-Lin
 4.35362E-05 4.07721      Lin-Lin
 4.80221E-05 3.88211      Lin-Lin
 5.29701E-05 3.69635      Lin-Lin
 5.8428E-05  3.51947      Lin-Lin
 6.44482E-05 3.35106      Lin-Lin
 7.10888E-05 3.19071      Lin-Lin
 7.84136E-05 3.03803      Lin-Lin
 8.64931E-05 2.89266      Lin-Lin
 9.54051E-05 2.75425      Lin-Lin
 0.000105235 2.62245      Lin-Lin
 0.000116078 2.49697      Lin-Lin
 0.000128039 2.37748      Lin-Lin
 0.000141232 2.26372      Lin-Lin
 0.000155784 2.1554       Lin-Lin
 0.000171835 2.05226      Lin-Lin
 0.00018954  1.95406      Lin-Lin
 0.00020907  1.86055      Lin-Lin
 0.000230612 1.77153      Lin-Lin
 0.000254374 1.68676      Lin-Lin
 0.000280584 1.60604      Lin-Lin
 0.000309494 1.52919      Lin-Lin
 0.000341383 1.45602      Lin-Lin
 0.000376558 1.38635      Lin-Lin
 0.000415358 1.32001      Lin-Lin
 0.000458155 1.25685      Lin-Lin
 0.000505362 1.1967       Lin-Lin
 0.000557433 1.13944      Lin-Lin
 0.000614869 1.08492      Lin-Lin
 0.000678223 1.033        Lin-Lin
 0.000748105 0.983574     Lin-Lin
 0.000825188 0.936509     Lin-Lin
 0.000910213 0.891696     Lin-Lin
 0.001004    0.849028     Lin-Lin
 0.00110745  0.808401     Lin-Lin
 0.00122155  0.769718     Lin-Lin
 0.00134742  0.732887     Lin-Lin
 0.00148625  0.697817     Lin-Lin
 0.00163939  0.664426     Lin-Lin
 0.00180831  0.632633     Lin-Lin
 0.00199463  0.602361     Lin-Lin
 0.00220016  0.573537     Lin-Lin
 0.00242685  0.546093     Lin-Lin
 0.00267691  0.519962     Lin-Lin
 0.00295273  0.495081     Lin-Lin
 0.00325697  0.471391     Lin-Lin
 0.00359256  0.448835     Lin-Lin
 0.00396272  0.427358     Lin-Lin
 0.00437103  0.406908     Lin-Lin
