#LIBRARY    JENDL-4.0/HE
#REACTION   TI-48(N,G)TI-49,SIG
#NUCLEUS    Ti-48
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       418.793      Lin-Lin
 1.10304E-05 398.754      Lin-Lin
 1.21669E-05 379.673      Lin-Lin
 1.34206E-05 361.505      Lin-Lin
 1.48034E-05 344.207      Lin-Lin
 1.63286E-05 327.736      Lin-Lin
 1.80111E-05 312.054      Lin-Lin
 1.98669E-05 297.122      Lin-Lin
 2.19139E-05 282.904      Lin-Lin
 2.41719E-05 269.367      Lin-Lin
 2.66625E-05 256.478      Lin-Lin
 2.94097E-05 244.205      Lin-Lin
 3.244E-05   232.52       Lin-Lin
 3.57825E-05 221.393      Lin-Lin
 3.94694E-05 210.799      Lin-Lin
 4.35362E-05 200.712      Lin-Lin
 4.80221E-05 191.108      Lin-Lin
 5.29701E-05 181.963      Lin-Lin
 5.8428E-05  173.256      Lin-Lin
 6.44482E-05 164.966      Lin-Lin
 7.10888E-05 157.072      Lin-Lin
 7.84136E-05 149.556      Lin-Lin
 8.64931E-05 142.4        Lin-Lin
 9.54051E-05 135.586      Lin-Lin
 0.000105235 129.098      Lin-Lin
 0.000116078 122.92       Lin-Lin
 0.000128039 117.039      Lin-Lin
 0.000141232 111.438      Lin-Lin
 0.000155784 106.106      Lin-Lin
 0.000171835 101.028      Lin-Lin
 0.00018954  96.1941      Lin-Lin
 0.00020907  91.5912      Lin-Lin
 0.000230612 87.2084      Lin-Lin
 0.000254374 83.0354      Lin-Lin
 0.000280584 79.0621      Lin-Lin
 0.000309494 75.2789      Lin-Lin
 0.000341383 71.6768      Lin-Lin
 0.000376558 68.2469      Lin-Lin
 0.000415358 64.9813      Lin-Lin
 0.000458155 61.8718      Lin-Lin
 0.000505362 58.9112      Lin-Lin
 0.000557433 56.0923      Lin-Lin
 0.000614869 53.4082      Lin-Lin
 0.000678223 50.8525      Lin-Lin
 0.000748105 48.4192      Lin-Lin
 0.000825188 46.1023      Lin-Lin
 0.000910213 43.8962      Lin-Lin
 0.001004    41.7958      Lin-Lin
 0.00110745  39.7958      Lin-Lin
 0.00122155  37.8915      Lin-Lin
 0.00134742  36.0784      Lin-Lin
 0.00148625  34.352       Lin-Lin
 0.00163939  32.7082      Lin-Lin
 0.00180831  31.143       Lin-Lin
 0.00199463  29.6528      Lin-Lin
 0.00220016  28.2339      Lin-Lin
 0.00242685  26.8829      Lin-Lin
 0.00267691  25.5965      Lin-Lin
 0.00295273  24.3716      Lin-Lin
 0.00325697  23.2054      Lin-Lin
 0.00359256  22.095       Lin-Lin
 0.00396272  21.0377      Lin-Lin
 0.00437103  20.031       Lin-Lin
 0.00482141  19.0725      Lin-Lin
 0.00531819  18.1598      Lin-Lin
 0.00586616  17.2908      Lin-Lin
 0.00647059  16.4634      Lin-Lin
 0.0071373   15.6756      Lin-Lin
 0.00787271  14.9255      Lin-Lin
 0.00868389  14.2113      Lin-Lin
 0.00957865  13.5312      Lin-Lin
 0.0105656   12.8837      Lin-Lin
 0.0116543   12.2672      Lin-Lin
 0.0128551   11.6802      Lin-Lin
 0.0141796   11.1214      Lin-Lin
 0.0156406   10.5894      Lin-Lin
