 7.360700+6  0.000000+0 0.000000+0                                            
 7.400000+6 -7.700800-3 3.725100-3                                            
 7.600000+6 -4.590100-2 2.260700-2                                            
 7.800000+6 -8.218700-2 4.116200-2                                            
 8.000000+6 -1.162000-1 5.911900-2                                            
 8.200000+6 -1.475900-1 7.620500-2                                            
 8.400000+6 -1.759900-1 9.214800-2                                            
 8.600000+6 -2.010400-1 1.066700-1                                            
 8.800000+6 -2.224000-1 1.195100-1                                            
 9.000000+6 -2.397100-1 1.303900-1                                            
 9.200000+6 -2.526000-1 1.390300-1                                            
 9.400000+6 -2.607200-1 1.451700-1                                            
 9.600000+6 -2.637100-1 1.485300-1                                            
 9.720000+6 -2.629000-1 1.491000-1                                            
 9.800000+6 -2.614900-1 1.491000-1                                            
 1.000000+7 -2.563400-1 1.491000-1                                            
 1.020000+7 -2.490400-1 1.491000-1                                            
 1.040000+7 -2.398400-1 1.491000-1                                            
 1.060000+7 -2.289600-1 1.491000-1                                            
 1.080000+7 -2.166400-1 1.491000-1                                            
 1.100000+7 -2.030900-1 1.491000-1                                            
 1.120000+7 -1.885500-1 1.491000-1                                            
 1.140000+7 -1.732600-1 1.491000-1                                            
 1.160000+7 -1.574300-1 1.491000-1                                            
 1.180000+7 -1.413100-1 1.491000-1                                            
 1.200000+7 -1.251200-1 1.491000-1                                            
 1.220000+7 -1.090900-1 1.491000-1                                            
 1.240000+7 -9.344800-2 1.491000-1                                            
 1.260000+7 -7.842900-2 1.491000-1                                            
 1.280000+7 -6.426100-2 1.491000-1                                            
 1.300000+7 -5.117400-2 1.491000-1                                            
 1.320000+7 -3.939800-2 1.491000-1                                            
 1.340000+7 -2.916200-2 1.491000-1                                            
 1.360000+7 -2.069700-2 1.491000-1                                            
 1.380000+7 -1.423300-2 1.491000-1                                            
 1.400000+7 -1.000000-2 1.491000-1                                            
 2.000000+7 -1.000000-2 1.491000-1                                            
