1.000000-5  0.000000+0 0.000000+0                                            
 2.200000+5  9.083000-3 4.007000-4                                            
 2.300000+5  2.642000-2 3.876000-2                                            
 2.600000+5  9.536000-2 3.074000-2                                            
 3.500000+5  1.049000-2 1.350000-2                                            
 4.000000+5  1.362000-1 2.109000-2                                            
 4.500000+5  5.951000-2 4.222000-2                                            
 5.500000+5  1.245800-1 7.801600-2                                            
 5.510000+5  1.099800-2 1.351900-1                                            
 5.570000+5  1.406100-1 7.588200-2                                            
 5.600000+5  4.223100-2 1.419000-1                                            
 5.660000+5  1.187200-1 8.232500-2                                            
 5.670000+5  1.848900-1 2.181800-2                                            
 5.680000+5  8.309100-2 9.574500-2                                            
 5.720000+5  1.335300-1 1.028400-1                                            
 5.730000+5  1.714500-1 5.374900-2                                            
 5.740000+5  4.952800-2 1.185200-1                                            
 5.770000+5  1.716500-1 5.702700-2                                            
 5.790000+5  1.091700-1 8.527900-2                                            
 5.900000+5  2.043700-1 9.921200-2                                            
 5.950000+5  2.102700-1 1.177800-1                                            
 5.960000+5  2.542700-1 8.439100-2                                            
 6.000000+5  2.507100-1 1.364800-1-3.775400-3 0.000000+0                      
 6.090000+5  2.325100-1 1.018500-1 1.759700-2 0.000000+0                      
 6.110000+5  2.234700-1 1.012500-1 6.465400-3 0.000000+0                      
 6.380000+5  1.142300-1 1.184800-1 2.829300-4 0.000000+0                      
 6.500000+5  1.132500-1 1.381400-1 1.465200-2 0.000000+0                      
 6.530000+5  1.411700-1 1.301800-1 3.451200-2 0.000000+0                      
 6.570000+5  1.376500-1 1.480500-1 1.848900-2 0.000000+0                      
 6.720000+5  2.136800-1 1.718500-1 3.304400-2 0.000000+0                      
 6.760000+5  1.958100-1 1.735900-1 7.647300-3 0.000000+0                      
 6.820000+5  2.524500-1 2.028500-1 2.099000-2 0.000000+0                      
 6.910000+5  2.735400-1 2.050400-1 8.156000-3 0.000000+0                      
 7.210000+5  4.242700-1 2.121400-1 1.570600-2 0.000000+0                      
 7.230000+5  4.251900-1 2.033600-1 1.761000-2 0.000000+0                      
 7.240000+5  4.436500-1 2.017400-1 3.303800-2 0.000000+0                      
 7.260000+5  4.529300-1 1.924800-1 3.430700-2 0.000000+0                      
 7.290000+5  4.396300-1 1.925100-1 1.379500-2 0.000000+0                      
 7.370000+5  4.293500-1 1.551400-1 7.329600-3 0.000000+0                      
 7.400000+5  4.456700-1 1.465700-1 2.015000-2 0.000000+0                      
 7.410000+5  4.387200-1 1.392400-1 1.899700-2 0.000000+0                      
 7.420000+5  4.405800-1 1.329600-1 2.855400-2 0.000000+0                      
 7.440000+5  4.248100-1 1.194100-1 1.903600-2 0.000000+0                      
 7.450000+5  4.201400-1 1.074000-1 2.887400-2 0.000000+0                      
 7.470000+5  3.960800-1 9.681400-2 1.654700-2 0.000000+0                      
 7.480000+5  3.918900-1 8.630200-2 1.726300-2 0.000000+0                      
 7.490000+5  3.930500-1 7.480700-2 2.679500-2 0.000000+0                      
 7.500000+5  3.917400-1 7.147600-2 1.997700-2 0.000000+0                      
 7.510000+5  3.715500-1 4.634600-2                                            
 7.520000+5  3.644100-1 6.338800-2-2.832800-3 0.000000+0                      
 7.540000+5  3.346800-1 4.445700-2 8.099400-3 0.000000+0                      
 7.550000+5  3.316500-1 3.173100-2 2.232200-2 0.000000+0                      
 7.590000+5  2.860400-1 4.565800-2 7.717700-3 0.000000+0                      
 7.600000+5  2.626000-1 4.377200-2 2.334700-2 0.000000+0                      
 7.620000+5  2.249200-1 6.046000-2 2.087600-2 0.000000+0                      
 7.690000+5  3.478600-1 1.138800-1 3.396300-2 0.000000+0                      
 7.700000+5  3.406400-1 1.228100-1 3.199100-2 0.000000+0                      
 7.710000+5  3.391500-1 1.285100-1 4.300600-2 0.000000+0                      
 7.760000+5  3.622700-1 1.491100-1 3.420500-2 0.000000+0                      
 7.840000+5  3.973600-1 1.637000-1 3.035400-2 0.000000+0                      
 7.860000+5  4.239200-1 1.534200-1 3.974800-2 0.000000+0                      
 7.880000+5  4.152900-1 1.505100-1 3.639500-2 0.000000+0                      
