#LIBRARY    JENDL-4.0
#REACTION   AL-27(N,EL)AL-27-L0,SIG
#NUCLEUS    Al-27
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       15.5555      Lin-Lin
 1.1024E-05  14.8208      Lin-Lin
 1.21504E-05 14.1227      Lin-Lin
 1.33946E-05 13.4567      Lin-Lin
 1.47633E-05 12.8238      Lin-Lin
 1.6275E-05  12.2202      Lin-Lin
 1.79381E-05 11.6467      Lin-Lin
 1.97749E-05 11.0998      Lin-Lin
 2.17956E-05 10.5802      Lin-Lin
 2.40274E-05 10.0847      Lin-Lin
 2.64826E-05 9.61404      Lin-Lin
 2.91943E-05 9.16528      Lin-Lin
 3.21775E-05 8.73914      Lin-Lin
 3.54723E-05 8.33288      Lin-Lin
 3.9097E-05  7.94716      Lin-Lin
 4.31005E-05 7.57954      Lin-Lin
 4.75046E-05 7.23059      Lin-Lin
 5.2369E-05  6.89811      Lin-Lin
 5.77202E-05 6.58262      Lin-Lin
 6.36306E-05 6.2821       Lin-Lin
 7.01326E-05 5.99706      Lin-Lin
 7.73139E-05 5.72567      Lin-Lin
 8.52142E-05 5.46835      Lin-Lin
 9.39398E-05 5.22349      Lin-Lin
 0.000103539 4.99145      Lin-Lin
 0.000114141 4.77076      Lin-Lin
 0.000126314 4.55333      Lin-Lin
 0.000139222 4.35553      Lin-Lin
 0.000153478 4.16762      Lin-Lin
 0.00016916  3.98991      Lin-Lin
 0.000186482 3.82125      Lin-Lin
 0.000205537 3.66189      Lin-Lin
 0.000226584 3.51081      Lin-Lin
 0.000249737 3.36824      Lin-Lin
 0.000275309 3.23326      Lin-Lin
 0.000303441 3.10607      Lin-Lin
 0.000334513 2.98584      Lin-Lin
 0.000373896 2.85701      Lin-Lin
 0.000417916 2.73674      Lin-Lin
 0.000467119 2.62464      Lin-Lin
 0.000522115 2.52028      Lin-Lin
 0.000583585 2.42331      Lin-Lin
 0.000652293 2.33334      Lin-Lin
 0.000729089 2.25004      Lin-Lin
 0.000814928 2.17305      Lin-Lin
 0.000910872 2.10204      Lin-Lin
 0.00103228  2.02898      Lin-Lin
 0.00117009  1.96252      Lin-Lin
 0.00132604  1.90245      Lin-Lin
 0.00150307  1.84815      Lin-Lin
 0.00172744  1.79422      Lin-Lin
 0.0019853   1.74644      Lin-Lin
 0.00231339  1.70035      Lin-Lin
 0.00269622  1.66027      Lin-Lin
 0.00318613  1.6227       Lin-Lin
 0.00381743  1.58829      Lin-Lin
 0.00463834  1.55743      Lin-Lin
 0.0057153   1.53035      Lin-Lin
 0.00723962  1.50576      Lin-Lin
 0.00943107  1.48434      Lin-Lin
 0.0128083   1.46568      Lin-Lin
 0.0183904   1.44986      Lin-Lin
 0.0249642   1.4403       Lin-Lin
 0.0253      1.43995      Lin-Lin
 0.0429267   1.42911      Lin-Lin
 0.0872822   1.42121      Lin-Lin
 0.265649    1.41607      Lin-Lin
 4.23332     1.41363      Lin-Lin
 4768.78     1.31096      Lin-Lin
 5087.92     1.3081       Lin-Lin
 5300.68     1.31182      Lin-Lin
 5424.79     1.32072      Lin-Lin
 5513.44     1.33527      Lin-Lin
 5566.63     1.35118      Lin-Lin
 5606.52     1.3698       Lin-Lin
 5633.12     1.38743      Lin-Lin
 5659.71     1.41149      Lin-Lin
 5679.66     1.43562      Lin-Lin
 5699.6      1.46753      Lin-Lin
 5712.9      1.49477      Lin-Lin
 5726.2      1.52851      Lin-Lin
 5739.5      1.57097      Lin-Lin
 5749.47     1.61043      Lin-Lin
 5759.44     1.65849      Lin-Lin
 5769.42     1.71781      Lin-Lin
 5776.07     1.76539      Lin-Lin
