#LIBRARY    JENDL/HE-2007
#REACTION   AR-40(N,EL)AR-40-L0,SIG
#NUCLEUS    Ar-40
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 1E-05       5.86053      Lin-Lin
 1.1024E-05  5.58467      Lin-Lin
 1.21504E-05 5.32261      Lin-Lin
 1.33946E-05 5.07265      Lin-Lin
 1.47633E-05 4.8352       Lin-Lin
 1.6275E-05  4.60877      Lin-Lin
 1.79381E-05 4.39369      Lin-Lin
 1.97749E-05 4.18862      Lin-Lin
 2.17956E-05 3.99388      Lin-Lin
 2.40274E-05 3.80823      Lin-Lin
 2.64826E-05 3.63197      Lin-Lin
 2.91943E-05 3.46397      Lin-Lin
 3.21775E-05 3.30451      Lin-Lin
 3.54723E-05 3.15258      Lin-Lin
 3.9097E-05  3.00841      Lin-Lin
 4.31005E-05 2.87108      Lin-Lin
 4.75046E-05 2.74083      Lin-Lin
 5.2369E-05  2.61681      Lin-Lin
 5.77202E-05 2.49923      Lin-Lin
 6.36306E-05 2.38734      Lin-Lin
 7.01326E-05 2.28131      Lin-Lin
 7.73139E-05 2.18047      Lin-Lin
 8.52142E-05 2.08498      Lin-Lin
 9.39398E-05 1.99423      Lin-Lin
 0.000103539 1.90836      Lin-Lin
 0.000114141 1.82681      Lin-Lin
 0.000125804 1.74973      Lin-Lin
 0.000138686 1.67661      Lin-Lin
 0.000152858 1.60757      Lin-Lin
 0.00016851  1.54215      Lin-Lin
 0.000185729 1.48046      Lin-Lin
 0.000204747 1.4221       Lin-Lin
 0.000225669 1.36715      Lin-Lin
 0.000252238 1.30815      Lin-Lin
 0.000281935 1.25308      Lin-Lin
 0.000315128 1.20173      Lin-Lin
 0.000352229 1.15394      Lin-Lin
 0.000393698 1.10953      Lin-Lin
 0.000440049 1.06832      Lin-Lin
 0.000491858 1.03017      Lin-Lin
 0.000549766 0.994907     Lin-Lin
 0.000614492 0.962387     Lin-Lin
 0.000696528 0.928871     Lin-Lin
 0.000789364 0.898482     Lin-Lin
 0.000894746 0.870927     Lin-Lin
 0.001014    0.846094     Lin-Lin
 0.00116536  0.821392     Lin-Lin
 0.00133932  0.799505     Lin-Lin
 0.00156096  0.778368     Lin-Lin
 0.00181892  0.760033     Lin-Lin
 0.00214942  0.742822     Lin-Lin
 0.00257581  0.727043     Lin-Lin
 0.00312972  0.712911     Lin-Lin
 0.00385565  0.700514     Lin-Lin
 0.00488493  0.689244     Lin-Lin
 0.00636239  0.679438     Lin-Lin
 0.00864073  0.670888     Lin-Lin
 0.0124065   0.663641     Lin-Lin
 0.0190986   0.657814     Lin-Lin
 0.0250875   0.655235     Lin-Lin
 0.0253      0.655166     Lin-Lin
 0.0486575   0.651248     Lin-Lin
 0.13065     0.648572     Lin-Lin
 1.01011     0.647042     Lin-Lin
 117.612     0.628433     Lin-Lin
 270.442     0.609516     Lin-Lin
 454.326     0.592041     Lin-Lin
 676.623     0.575947     Lin-Lin
 951.892     0.560907     Lin-Lin
 1308.11     0.546394     Lin-Lin
 1770.61     0.53252      Lin-Lin
 2379.09     0.519118     Lin-Lin
 3191.83     0.505863     Lin-Lin
 4326.69     0.491869     Lin-Lin
 6050.33     0.475243     Lin-Lin
 8999.49     0.451746     Lin-Lin
 11101       0.436608     Lin-Lin
 11142       0.437319     Lin-Lin
 11154.3     0.438848     Lin-Lin
 11159.8     0.440724     Lin-Lin
 11163.5     0.443602     Lin-Lin
 11165.2     0.446574     Lin-Lin
 11166.3     0.450675     Lin-Lin
 11167.1     0.455619     Lin-Lin
 11167.6     0.461357     Lin-Lin
 11168.2     0.469852     Lin-Lin
 11168.6     0.477674     Lin-Lin
 11168.9     0.487789     Lin-Lin
 11169.3     0.500814     Lin-Lin
 11169.7     0.51749      Lin-Lin
 11169.9     0.527466     Lin-Lin
 11170.2     0.54788      Lin-Lin
 11170.4     0.566116     Lin-Lin
 11170.7     0.587218     Lin-Lin
 11170.9     0.611554     Lin-Lin
 11171.2     0.639512     Lin-Lin
 11171.4     0.671517     Lin-Lin
 11171.7     0.707976     Lin-Lin
 11171.9     0.74935      Lin-Lin
 11172.1     0.796102     Lin-Lin
 11172.4     0.84872      Lin-Lin
 11172.6     0.89938      Lin-Lin
 11172.8     0.950625     Lin-Lin
 11173       1.00639      Lin-Lin
 11173.2     1.0669       Lin-Lin
 11173.4     1.13234      Lin-Lin
 11173.6     1.22761      Lin-Lin
 11173.9     1.33236      Lin-Lin
 11174.1     1.44688      Lin-Lin
 11174.4     1.57137      Lin-Lin
 11174.7     1.72343      Lin-Lin
 11174.9     1.85971      Lin-Lin
 11175.3     2.05466      Lin-Lin
 11175.5     2.2103       Lin-Lin
 11175.8     2.42945      Lin-Lin
 11176.1     2.66036      Lin-Lin
 11176.6     3.02406      Lin-Lin
 11177.7     3.88991      Lin-Lin
 11178.3     4.28519      Lin-Lin
 11178.8     4.61117      Lin-Lin
 11179.1     4.8027       Lin-Lin
 11179.4     4.99562      Lin-Lin
 11179.8     5.14271      Lin-Lin
 11180.2     5.27176      Lin-Lin
 11180.5     5.34112      Lin-Lin
 11180.8     5.3809       Lin-Lin
 11181       5.386        Lin-Lin
 11181.3     5.36681      Lin-Lin
 11181.7     5.30989      Lin-Lin
 11182       5.22499      Lin-Lin
 11182.4     5.07785      Lin-Lin
 11182.7     4.91998      Lin-Lin
 11183       4.76987      Lin-Lin
 11183.3     4.57055      Lin-Lin
 11183.8     4.23771      Lin-Lin
 11184.3     3.82677      Lin-Lin
 11185.5     2.92464      Lin-Lin
 11186       2.5662       Lin-Lin
 11186.4     2.2852       Lin-Lin
 11186.7     2.07473      Lin-Lin
 11187       1.87845      Lin-Lin
 11187.3     1.74111      Lin-Lin
 11187.5     1.61241      Lin-Lin
 11187.7     1.50417      Lin-Lin
 11188       1.37794      Lin-Lin
 11188.2     1.29056      Lin-Lin
 11188.4     1.20937      Lin-Lin
 11188.6     1.13414      Lin-Lin
 11188.8     1.0647       Lin-Lin
 11189       1.00079      Lin-Lin
 11189.2     0.942231     Lin-Lin
 11189.5     0.8887       Lin-Lin
 11189.7     0.839977     Lin-Lin
 11189.9     0.79329      Lin-Lin
 11190.1     0.746909     Lin-Lin
 11190.4     0.705852     Lin-Lin
 11190.6     0.669693     Lin-Lin
 11190.9     0.637967     Lin-Lin
 11191.1     0.610244     Lin-Lin
 11191.3     0.586104     Lin-Lin
