#LIBRARY    JENDL-4.0
#REACTION   B-10(N,EL)B-10-L0,SIG
#NUCLEUS    B-10
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       38.6431      Lin-Lin
 1.10304E-05 36.7989      Lin-Lin
 1.21669E-05 35.0433      Lin-Lin
 1.34205E-05 33.3719      Lin-Lin
 1.48034E-05 31.7808      Lin-Lin
 1.63287E-05 30.2661      Lin-Lin
 1.80111E-05 28.8241      Lin-Lin
 1.98669E-05 27.4515      Lin-Lin
 2.19139E-05 26.1449      Lin-Lin
 2.41719E-05 24.9012      Lin-Lin
 2.66625E-05 23.7173      Lin-Lin
 2.94097E-05 22.5905      Lin-Lin
 3.244E-05   21.518       Lin-Lin
 3.57825E-05 20.4973      Lin-Lin
 3.94694E-05 19.5258      Lin-Lin
 4.35362E-05 18.6013      Lin-Lin
 4.80221E-05 17.7215      Lin-Lin
 5.29701E-05 16.8844      Lin-Lin
 5.8428E-05  16.0878      Lin-Lin
 6.44483E-05 15.3299      Lin-Lin
 7.10888E-05 14.6089      Lin-Lin
 7.84136E-05 13.923       Lin-Lin
 8.64931E-05 13.2706      Lin-Lin
 9.54051E-05 12.65        Lin-Lin
 0.000105235 12.0599      Lin-Lin
 0.000116078 11.4988      Lin-Lin
 0.000128039 10.9653      Lin-Lin
 0.000141232 10.4581      Lin-Lin
 0.000155784 9.97614      Lin-Lin
 0.000171835 9.5181       Lin-Lin
 0.00018954  9.08292      Lin-Lin
 0.000210545 8.64073      Lin-Lin
 0.000233866 8.22256      Lin-Lin
 0.000259782 7.82685      Lin-Lin
 0.000288556 7.45287      Lin-Lin
 0.000320534 7.09923      Lin-Lin
 0.000356037 6.76528      Lin-Lin
 0.000395492 6.44976      Lin-Lin
 0.000439298 6.15209      Lin-Lin
 0.00048798  5.87115      Lin-Lin
 0.000542031 5.6064       Lin-Lin
 0.000602097 5.35685      Lin-Lin
 0.000668788 5.12202      Lin-Lin
 0.000742901 4.90101      Lin-Lin
 0.000825188 4.69338      Lin-Lin
 0.000916633 4.49832      Lin-Lin
 0.00101816  4.31544      Lin-Lin
 0.00113892  4.13301      Lin-Lin
 0.00127399  3.96307      Lin-Lin
 0.00142508  3.80499      Lin-Lin
 0.0015941   3.65819      Lin-Lin
 0.00178315  3.5221       Lin-Lin
 0.0020087   3.38861      Lin-Lin
 0.00226267  3.26602      Lin-Lin
 0.00254888  3.15363      Lin-Lin
 0.0028914   3.04516      Lin-Lin
 0.00327994  2.94681      Lin-Lin
 0.00374677  2.85327      Lin-Lin
 0.00428024  2.76945      Lin-Lin
 0.00492392  2.69095      Lin-Lin
 0.00570408  2.61833      Lin-Lin
 0.00665446  2.55194      Lin-Lin
 0.00781795  2.492        Lin-Lin
 0.00931399  2.4365       Lin-Lin
