#LIBRARY    JENDL-4.0
#REACTION   CA-40(N,EL)CA-40-L0,SIG
#NUCLEUS    Ca-40
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       27.3723      Lin-Lin
 1.10304E-05 26.0764      Lin-Lin
 1.21669E-05 24.8433      Lin-Lin
 1.34205E-05 23.6698      Lin-Lin
 1.48034E-05 22.5533      Lin-Lin
 1.63287E-05 21.491       Lin-Lin
 1.80111E-05 20.4804      Lin-Lin
 1.98669E-05 19.519       Lin-Lin
 2.19139E-05 18.6046      Lin-Lin
 2.41719E-05 17.7349      Lin-Lin
 2.66625E-05 16.9078      Lin-Lin
 2.94097E-05 16.1213      Lin-Lin
 3.244E-05   15.3736      Lin-Lin
 3.57825E-05 14.6629      Lin-Lin
 3.94694E-05 13.9873      Lin-Lin
 4.35362E-05 13.3454      Lin-Lin
 4.80221E-05 12.7355      Lin-Lin
 5.30231E-05 12.1505      Lin-Lin
 5.8899E-05  11.5624      Lin-Lin
 6.54229E-05 11.0064      Lin-Lin
 7.26729E-05 10.4804      Lin-Lin
 8.07224E-05 9.9835       Lin-Lin
 8.96679E-05 9.51384      Lin-Lin
 9.95998E-05 9.07054      Lin-Lin
 0.000110637 8.65194      Lin-Lin
 0.000122892 8.25723      Lin-Lin
 0.00013651  7.88496      Lin-Lin
 0.000151631 7.53437      Lin-Lin
 0.000168434 7.20418      Lin-Lin
 0.00018709  6.89371      Lin-Lin
 0.000207823 6.60179      Lin-Lin
 0.000230843 6.32781      Lin-Lin
 0.000256424 6.07071      Lin-Lin
 0.000286836 5.81439      Lin-Lin
 0.000320854 5.57562      Lin-Lin
 0.000358907 5.35354      Lin-Lin
 0.000401473 5.14731      Lin-Lin
 0.000449087 4.95615      Lin-Lin
 0.000505867 4.76873      Lin-Lin
 0.000569854 4.5965       Lin-Lin
 0.000641903 4.43874      Lin-Lin
 0.000728162 4.28643      Lin-Lin
 0.000826013 4.14836      Lin-Lin
 0.000943623 4.017        Lin-Lin
 0.00107792  3.8994       Lin-Lin
 0.00124003  3.78923      Lin-Lin
 0.00143657  3.6873       Lin-Lin
 0.00167592  3.59416      Lin-Lin
 0.00196885  3.5101       Lin-Lin
 0.00234573  3.43224      Lin-Lin
 0.00283403  3.36179      Lin-Lin
 0.00347246  3.2994       Lin-Lin
 0.00434497  3.24371      Lin-Lin
 0.00559118  3.1943       Lin-Lin
 0.00745111  3.15128      Lin-Lin
 0.010429    3.11436      Lin-Lin
 0.0155474   3.08395      Lin-Lin
 0.0252545   3.06013      Lin-Lin
 0.0253      3.06006      Lin-Lin
 0.0488745   3.04169      Lin-Lin
 0.13215     3.02926      Lin-Lin
 1.03624     3.02283      Lin-Lin
 2546.79     2.83678      Lin-Lin
 2875.02     2.81432      Lin-Lin
 2880.91     2.81653      Lin-Lin
 4652.09     2.69739      Lin-Lin
 6946.08     2.5576       Lin-Lin
 6951.08     2.56068      Lin-Lin
 6954.36     2.57786      Lin-Lin
 6957.5      2.59869      Lin-Lin
 6958        2.59923      Lin-Lin
 6960.3      2.58863      Lin-Lin
 6963.69     2.56421      Lin-Lin
 6967.65     2.55675      Lin-Lin
 10037       2.38579      Lin-Lin
 10752.9     2.3503       Lin-Lin
 10791.2     2.35411      Lin-Lin
 10804.9     2.36372      Lin-Lin
 10812       2.37994      Lin-Lin
 10814.8     2.39336      Lin-Lin
 10816.9     2.41228      Lin-Lin
 10818.5     2.43912      Lin-Lin
 10819.2     2.46251      Lin-Lin
 10820       2.49887      Lin-Lin
 10820.6     2.53968      Lin-Lin
 10821.2     2.59795      Lin-Lin
 10821.6     2.65001      Lin-Lin
 10822       2.71575      Lin-Lin
 10822.4     2.79842      Lin-Lin
 10822.7     2.88478      Lin-Lin
 10823       2.98863      Lin-Lin
 10823.4     3.11285      Lin-Lin
 10823.7     3.26045      Lin-Lin
 10824       3.38851      Lin-Lin
 10824.2     3.53293      Lin-Lin
 10824.5     3.69519      Lin-Lin
 10824.7     3.8767       Lin-Lin
 10824.9     4.07886      Lin-Lin
 10825.2     4.33096      Lin-Lin
 10825.5     4.62779      Lin-Lin
 10825.8     4.9585       Lin-Lin
 10826.1     5.32466      Lin-Lin
 10826.4     5.72689      Lin-Lin
 10826.7     6.16207      Lin-Lin
 10827       6.62451      Lin-Lin
 10827.3     7.12044      Lin-Lin
 10827.5     7.64839      Lin-Lin
 10827.9     8.39725      Lin-Lin
 10828.4     9.39765      Lin-Lin
 10829.3     11.3039      Lin-Lin
 10829.9     12.6265      Lin-Lin
 10830.4     13.6985      Lin-Lin
 10830.8     14.5898      Lin-Lin
 10831.2     15.1177      Lin-Lin
 10831.5     15.6612      Lin-Lin
 10831.9     16.0699      Lin-Lin
 10832.2     16.4038      Lin-Lin
 10832.6     16.5968      Lin-Lin
 10833       16.6736      Lin-Lin
 10833       16.6744      Lin-Lin
 10833.3     16.6234      Lin-Lin
 10833.6     16.4789      Lin-Lin
 10834       16.2437      Lin-Lin
 10834.2     15.9934      Lin-Lin
 10834.6     15.5064      Lin-Lin
 10834.9     15.0503      Lin-Lin
 10835.3     14.2484      Lin-Lin
 10835.8     13.3185      Lin-Lin
 10836.3     12.2117      Lin-Lin
 10837.5     9.59936      Lin-Lin
 10838       8.53275      Lin-Lin
 10838.4     7.81393      Lin-Lin
 10838.7     7.14061      Lin-Lin
 10839.1     6.51801      Lin-Lin
 10839.4     6.05245      Lin-Lin
 10839.7     5.62354      Lin-Lin
 10840       5.23095      Lin-Lin
 10840.3     4.87445      Lin-Lin
 10840.6     4.5528       Lin-Lin
 10840.8     4.3105       Lin-Lin
 10841.1     4.04895      Lin-Lin
 10841.4     3.81746      Lin-Lin
 10841.7     3.61386      Lin-Lin
 10842       3.43591      Lin-Lin
 10842.3     3.28118      Lin-Lin
 10842.6     3.14746      Lin-Lin
 10842.9     3.03242      Lin-Lin
 10843.2     2.91904      Lin-Lin
 10843.4     2.86317      Lin-Lin
 10843.8     2.76824      Lin-Lin
 10844.2     2.69241      Lin-Lin
 10844.6     2.63216      Lin-Lin
 10845       2.58446      Lin-Lin
 10845.5     2.53105      Lin-Lin
 10846.1     2.49352      Lin-Lin
 10846.9     2.45986      Lin-Lin
 10847.7     2.43795      Lin-Lin
 10849.2     2.41225      Lin-Lin
 10851.8     2.39082      Lin-Lin
 10857.1     2.37047      Lin-Lin
 10867.2     2.35586      Lin-Lin
 10890.5     2.34612      Lin-Lin
 11103.9     2.33065      Lin-Lin
 15243.4     2.12834      Lin-Lin
 17664.1     2.00957      Lin-Lin
 18566.5     1.95612      Lin-Lin
 19091.2     1.91492      Lin-Lin
 19425.3     1.87775      Lin-Lin
 19645.7     1.84218      Lin-Lin
 19783.3     1.8108       Lin-Lin
 19900.2     1.77377      Lin-Lin
 19978.5     1.73984      Lin-Lin
 20051.6     1.697        Lin-Lin
 20092       1.66616      Lin-Lin
 20134.2     1.62589      Lin-Lin
 20164.7     1.58943      Lin-Lin
 20194.4     1.54576      Lin-Lin
 20221.4     1.49598      Lin-Lin
 20239.9     1.45465      Lin-Lin
 20258.9     1.40409      Lin-Lin
 20272.6     1.36046      Lin-Lin
 20285.5     1.31286      Lin-Lin
 20298.4     1.25709      Lin-Lin
 20307       1.21428      Lin-Lin
 20315.6     1.16596      Lin-Lin
 20324.2     1.11104      Lin-Lin
 20330.7     1.06469      Lin-Lin
 20337.1     1.01314      Lin-Lin
 20343.6     0.955493     Lin-Lin
 20350       0.890637     Lin-Lin
 20354.3     0.842789     Lin-Lin
 20358.6     0.790761     Lin-Lin
 20362.9     0.734083     Lin-Lin
 20367.2     0.672263     Lin-Lin
 20370.4     0.622232     Lin-Lin
 20374.3     0.557773     Lin-Lin
 20377.8     0.495294     Lin-Lin
 20380.6     0.44241      Lin-Lin
 20384.1     0.37322      Lin-Lin
 20388.2     0.287183     Lin-Lin
 20391.6     0.216843     Lin-Lin
 20393.2     0.186013     Lin-Lin
 20394.2     0.166358     Lin-Lin
 20395.3     0.147749     Lin-Lin
 20395.9     0.136098     Lin-Lin
 20396.6     0.125198     Lin-Lin
 20397.2     0.116394     Lin-Lin
 20397.8     0.109484     Lin-Lin
 20398.3     0.103249     Lin-Lin
 20398.7     0.0990727    Lin-Lin
 20399       0.0953724    Lin-Lin
 20399.4     0.0925224    Lin-Lin
 20399.7     0.0901244    Lin-Lin
 20400.1     0.0882188    Lin-Lin
 20400.4     0.0868499    Lin-Lin
 20400.7     0.0861302    Lin-Lin
 20401       0.0858932    Lin-Lin
 20401.3     0.086177     Lin-Lin
 20401.6     0.0870225    Lin-Lin
 20401.9     0.0882281    Lin-Lin
 20402.1     0.0899093    Lin-Lin
 20402.4     0.0920984    Lin-Lin
 20402.7     0.0948304    Lin-Lin
 20402.9     0.0978435    Lin-Lin
 20403.1     0.101375     Lin-Lin
 20403.4     0.105458     Lin-Lin
 20403.6     0.110127     Lin-Lin
 20403.9     0.115935     Lin-Lin
 20404.1     0.122539     Lin-Lin
 20404.4     0.130993     Lin-Lin
 20404.6     0.137271     Lin-Lin
 20404.8     0.144096     Lin-Lin
 20405       0.151924     Lin-Lin
 20405.2     0.160902     Lin-Lin
 20405.4     0.170679     Lin-Lin
 20405.6     0.181304     Lin-Lin
 20405.8     0.192236     Lin-Lin
 20406       0.203383     Lin-Lin
 20406.2     0.215349     Lin-Lin
 20406.4     0.228178     Lin-Lin
 20406.6     0.24192      Lin-Lin
 20406.8     0.256627     Lin-Lin
 20407       0.272357     Lin-Lin
 20407.3     0.297992     Lin-Lin
 20407.5     0.31868      Lin-Lin
 20407.7     0.340916     Lin-Lin
 20407.9     0.364803     Lin-Lin
 20408.2     0.390451     Lin-Lin
 20408.4     0.423717     Lin-Lin
 20408.7     0.459906     Lin-Lin
 20408.9     0.499254     Lin-Lin
 20409.2     0.54202      Lin-Lin
 20409.4     0.588481     Lin-Lin
 20409.7     0.638941     Lin-Lin
 20410       0.693726     Lin-Lin
 20410.2     0.753191     Lin-Lin
 20410.4     0.809376     Lin-Lin
 20410.7     0.869687     Lin-Lin
 20410.9     0.934473     Lin-Lin
 20411.1     1.00399      Lin-Lin
 20411.3     1.07864      Lin-Lin
 20411.6     1.16468      Lin-Lin
 20411.8     1.26064      Lin-Lin
 20412.1     1.36435      Lin-Lin
 20412.3     1.47644      Lin-Lin
 20412.6     1.59746      Lin-Lin
 20412.8     1.72698      Lin-Lin
 20413.1     1.86415      Lin-Lin
 20413.3     2.01186      Lin-Lin
 20413.6     2.17083      Lin-Lin
 20413.8     2.34184      Lin-Lin
 20414.1     2.52564      Lin-Lin
 20414.3     2.7546       Lin-Lin
 20414.6     3.00317      Lin-Lin
 20414.9     3.2728       Lin-Lin
 20415.2     3.56488      Lin-Lin
 20415.5     3.8812       Lin-Lin
 20415.7     4.22596      Lin-Lin
 20416       4.6001       Lin-Lin
 20416.3     5.00411      Lin-Lin
 20416.6     5.43981      Lin-Lin
 20416.9     5.90903      Lin-Lin
 20417.2     6.39779      Lin-Lin
 20417.4     6.88768      Lin-Lin
 20417.7     7.40963      Lin-Lin
 20418       8.15772      Lin-Lin
 20418.3     8.75955      Lin-Lin
 20418.6     9.61866      Lin-Lin
 20419       10.5449      Lin-Lin
 20419.3     11.5407      Lin-Lin
 20419.6     12.608       Lin-Lin
 20420       13.7482      Lin-Lin
 20420.3     14.9624      Lin-Lin
 20420.7     16.2509      Lin-Lin
 20421       17.6135      Lin-Lin
 20421.5     19.7937      Lin-Lin
 20422.1     22.131       Lin-Lin
 20422.6     24.614       Lin-Lin
 20423.2     27.7625      Lin-Lin
 20424       31.9021      Lin-Lin
 20425.9     42.4511      Lin-Lin
 20426.7     46.7974      Lin-Lin
 20427.4     50.3363      Lin-Lin
 20428       52.6987      Lin-Lin
 20428.5     54.7893      Lin-Lin
 20429       56.4658      Lin-Lin
 20429.5     57.8007      Lin-Lin
 20430       58.8362      Lin-Lin
 20430.5     59.5283      Lin-Lin
 20431.1     60.0076      Lin-Lin
 20431.3     60.0482      Lin-Lin
 20431.9     59.8651      Lin-Lin
 20432.4     59.268       Lin-Lin
 20433       58.2815      Lin-Lin
 20433.6     56.9388      Lin-Lin
 20434.3     54.7793      Lin-Lin
 20435       52.2045      Lin-Lin
 20435.8     49.0303      Lin-Lin
 20437.1     43.6351      Lin-Lin
 20438.7     36.4964      Lin-Lin
 20439.4     33.6101      Lin-Lin
 20440       30.8795      Lin-Lin
 20440.7     28.3332      Lin-Lin
 20441.4     25.9882      Lin-Lin
 20441.9     24.3662      Lin-Lin
 20442.5     22.8616      Lin-Lin
 20443       21.4722      Lin-Lin
 20443.5     20.1942      Lin-Lin
 20444       18.9478      Lin-Lin
 20444.6     17.8149      Lin-Lin
 20445.1     16.7872      Lin-Lin
 20445.7     15.8564      Lin-Lin
 20446.2     15.0138      Lin-Lin
 20446.8     14.2512      Lin-Lin
 20447.3     13.5606      Lin-Lin
 20447.9     12.9346      Lin-Lin
 20448.5     12.2738      Lin-Lin
 20449.2     11.6822      Lin-Lin
 20449.8     11.1509      Lin-Lin
 20450.5     10.6721      Lin-Lin
 20451.3     10.1037      Lin-Lin
 20452.2     9.60325      Lin-Lin
 20453       9.15963      Lin-Lin
 20453.9     8.76391      Lin-Lin
 20454.8     8.4088       Lin-Lin
 20456.1     7.93964      Lin-Lin
 20457.3     7.53308      Lin-Lin
 20458.6     7.17733      Lin-Lin
 20459.9     6.86341      Lin-Lin
 20461.2     6.58435      Lin-Lin
 20462.7     6.30333      Lin-Lin
 20464.2     6.03992      Lin-Lin
 20465.8     5.8059       Lin-Lin
 20467.8     5.53172      Lin-Lin
 20469.9     5.2931       Lin-Lin
 20472.3     5.05615      Lin-Lin
 20474.6     4.84983      Lin-Lin
 20476.2     4.72651      Lin-Lin
 20479.3     4.50821      Lin-Lin
 20482.5     4.32105      Lin-Lin
 20485.5     4.1625       Lin-Lin
 20488.6     4.02339      Lin-Lin
 20492.7     3.86246      Lin-Lin
 20496.8     3.72421      Lin-Lin
 20500.9     3.60125      Lin-Lin
 20505.2     3.49132      Lin-Lin
 20511.7     3.35086      Lin-Lin
 20516       3.27034      Lin-Lin
 20522.9     3.15884      Lin-Lin
 20529.8     3.06431      Lin-Lin
 20540.1     2.94665      Lin-Lin
 20552.1     2.83664      Lin-Lin
 20565       2.74223      Lin-Lin
 20577.9     2.66544      Lin-Lin
 20595.1     2.58285      Lin-Lin
 20612.3     2.51672      Lin-Lin
 20631.2     2.45768      Lin-Lin
 20660.5     2.38608      Lin-Lin
 20691.4     2.32827      Lin-Lin
 20732.7     2.26992      Lin-Lin
 20772.3     2.22732      Lin-Lin
 20839.4     2.17378      Lin-Lin
 20911.6     2.13242      Lin-Lin
 21021.7     2.08795      Lin-Lin
 21159.3     2.04981      Lin-Lin
 21346.1     2.01418      Lin-Lin
 21632.5     1.97724      Lin-Lin
 22077.4     1.9383       Lin-Lin
 22816.7     1.89307      Lin-Lin
 24107.7     1.83385      Lin-Lin
 26116.9     1.75763      Lin-Lin
 29350.3     1.65092      Lin-Lin
 33228.2     1.53665      Lin-Lin
 37739.8     1.41595      Lin-Lin
 40994.4     1.33108      Lin-Lin
 41559.4     1.31057      Lin-Lin
 41776.7     1.29643      Lin-Lin
 41884.2     1.28331      Lin-Lin
 41935.8     1.27262      Lin-Lin
 41978.6     1.2585       Lin-Lin
 42009.4     1.24207      Lin-Lin
 42027.9     1.22724      Lin-Lin
 42045       1.20713      Lin-Lin
 42056       1.18847      Lin-Lin
 42066.4     1.16387      Lin-Lin
 42073.1     1.14209      Lin-Lin
 42079.1     1.11611      Lin-Lin
 42083.7     1.09058      Lin-Lin
 42086.8     1.06804      Lin-Lin
 42090.2     1.03863      Lin-Lin
 42093.5     1.00174      Lin-Lin
 42096.9     0.957436     Lin-Lin
 42099.8     0.918642     Lin-Lin
 42101       0.905708     Lin-Lin
 42102.3     0.897754     Lin-Lin
 42102.9     0.89649      Lin-Lin
 42103.5     0.897563     Lin-Lin
 42104.4     0.904235     Lin-Lin
 42105.1     0.913994     Lin-Lin
 42105.8     0.928544     Lin-Lin
 42106.5     0.948531     Lin-Lin
 42107.1     0.974583     Lin-Lin
 42107.8     1.00685      Lin-Lin
 42108.5     1.04612      Lin-Lin
 42109.1     1.0928       Lin-Lin
 42109.8     1.14719      Lin-Lin
 42110.5     1.20943      Lin-Lin
 42111.2     1.27951      Lin-Lin
 42111.8     1.35723      Lin-Lin
 42112.5     1.44215      Lin-Lin
 42113.4     1.56422      Lin-Lin
 42114.3     1.69575      Lin-Lin
 42116       1.97622      Lin-Lin
 42117.8     2.25307      Lin-Lin
 42118.9     2.42253      Lin-Lin
 42119.8     2.53822      Lin-Lin
 42120.8     2.64917      Lin-Lin
 42121.5     2.71783      Lin-Lin
 42122.3     2.77885      Lin-Lin
 42123.1     2.82298      Lin-Lin
 42123.9     2.84993      Lin-Lin
 42124.7     2.85996      Lin-Lin
 42125.4     2.85545      Lin-Lin
 42126.4     2.83028      Lin-Lin
 42127.2     2.79411      Lin-Lin
 42128.3     2.72821      Lin-Lin
 42129.6     2.62688      Lin-Lin
 42132.3     2.39257      Lin-Lin
 42134.2     2.23105      Lin-Lin
 42135.8     2.10702      Lin-Lin
 42137.4     1.99983      Lin-Lin
 42138.6     1.92968      Lin-Lin
 42140       1.86232      Lin-Lin
 42141.4     1.80631      Lin-Lin
 42142.8     1.75996      Lin-Lin
 42144.3     1.71791      Lin-Lin
 42146       1.68056      Lin-Lin
 42148.5     1.63699      Lin-Lin
 42150.1     1.61389      Lin-Lin
 42153.8     1.57407      Lin-Lin
 42157.5     1.54421      Lin-Lin
 42162.5     1.51337      Lin-Lin
 42167.6     1.48993      Lin-Lin
 42174.3     1.46609      Lin-Lin
 42184.3     1.44027      Lin-Lin
 42198.4     1.41574      Lin-Lin
 42213.8     1.39752      Lin-Lin
 42238.9     1.378        Lin-Lin
 42273.4     1.36149      Lin-Lin
 42319.3     1.34806      Lin-Lin
 42404.1     1.33385      Lin-Lin
 42574.4     1.31918      Lin-Lin
 42962.4     1.30207      Lin-Lin
 44130       1.27009      Lin-Lin
 46225.3     1.22198      Lin-Lin
 46241       1.22521      Lin-Lin
 46249.8     1.22846      Lin-Lin
 46269.7     1.22124      Lin-Lin
 50867.5     1.12392      Lin-Lin
 52228.1     1.09813      Lin-Lin
 52298.1     1.09773      Lin-Lin
 52396.8     1.0998       Lin-Lin
 52447.9     1.10581      Lin-Lin
 52474.5     1.11435      Lin-Lin
 52491.2     1.12517      Lin-Lin
 52502.3     1.1377       Lin-Lin
 52510.9     1.15319      Lin-Lin
 52517       1.16967      Lin-Lin
 52522.8     1.19276      Lin-Lin
 52527       1.2166       Lin-Lin
