#LIBRARY    JENDL-4.0/HE
#REACTION   CL-35(N,EL)CL-35-L0,SIG
#NUCLEUS    Cl-35
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       199.4        Lin-Lin
 1.10304E-05 189.947      Lin-Lin
 1.21669E-05 180.951      Lin-Lin
 1.34206E-05 172.39       Lin-Lin
 1.48034E-05 164.244      Lin-Lin
 1.63286E-05 156.493      Lin-Lin
 1.80111E-05 149.118      Lin-Lin
 1.98669E-05 142.101      Lin-Lin
 2.19139E-05 135.426      Lin-Lin
 2.41719E-05 129.077      Lin-Lin
 2.66625E-05 123.038      Lin-Lin
 2.94097E-05 117.295      Lin-Lin
 3.244E-05   111.834      Lin-Lin
 3.57825E-05 106.641      Lin-Lin
 3.94694E-05 101.705      Lin-Lin
 4.35362E-05 97.0135      Lin-Lin
 4.80221E-05 92.5549      Lin-Lin
 5.29701E-05 88.3186      Lin-Lin
 5.88402E-05 84.0138      Lin-Lin
 6.53575E-05 79.9425      Lin-Lin
 7.26003E-05 76.0896      Lin-Lin
 8.06417E-05 72.4481      Lin-Lin
 8.95783E-05 69.0042      Lin-Lin
 9.95003E-05 65.7518      Lin-Lin
 0.000110527 62.6784      Lin-Lin
 0.000122769 59.7788      Lin-Lin
 0.000136374 57.0416      Lin-Lin
 0.000151479 54.4619      Lin-Lin
 0.000168266 52.0298      Lin-Lin
 0.000186904 49.7408      Lin-Lin
 0.000207616 47.5861      Lin-Lin
 0.000230612 45.5614      Lin-Lin
 0.000256168 43.6589      Lin-Lin
 0.000284542 41.8747      Lin-Lin
 0.000318288 40.0944      Lin-Lin
 0.000356037 38.4354      Lin-Lin
 0.000398262 36.8918      Lin-Lin
 0.000445496 35.4577      Lin-Lin
 0.000498331 34.1277      Lin-Lin
 0.000561365 32.8226      Lin-Lin
 0.000632341 31.6235      Lin-Lin
 0.000712325 30.5235      Lin-Lin
 0.000808048 29.4614      Lin-Lin
 0.000916633 28.4978      Lin-Lin
 0.00104709  27.5807      Lin-Lin
 0.00119618  26.7585      Lin-Lin
 0.00137607  25.9879      Lin-Lin
 0.0015941   25.2745      Lin-Lin
 0.0018597   24.6219      Lin-Lin
 0.00218485  24.0324      Lin-Lin
 0.00260294  23.4863      Lin-Lin
 0.00314495  22.9916      Lin-Lin
 0.00385323  22.5535      Lin-Lin
 0.00482141  22.1623      Lin-Lin
 0.00620428  21.8149      Lin-Lin
 0.00826856  21.5123      Lin-Lin
 0.0114921   21.2568      Lin-Lin
