#LIBRARY    JENDL-4.0/HE
#REACTION   CR-52(N,EL)CR-52-L0,SIG
#NUCLEUS    Cr-52
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 1E-05       24.2499      Lin-Lin
 1.10304E-05 23.1055      Lin-Lin
 1.21669E-05 22.0166      Lin-Lin
 1.34206E-05 20.9807      Lin-Lin
 1.48034E-05 19.9953      Lin-Lin
 1.63286E-05 19.0579      Lin-Lin
 1.80111E-05 18.1663      Lin-Lin
 1.98669E-05 17.3184      Lin-Lin
 2.19139E-05 16.5122      Lin-Lin
 2.41719E-05 15.7456      Lin-Lin
 2.66625E-05 15.0168      Lin-Lin
 2.94097E-05 14.3242      Lin-Lin
 3.244E-05   13.6659      Lin-Lin
 3.57825E-05 13.0405      Lin-Lin
 3.96846E-05 12.4144      Lin-Lin
 4.40802E-05 11.8129      Lin-Lin
 4.8965E-05  11.2436      Lin-Lin
 5.43886E-05 10.7055      Lin-Lin
 6.04158E-05 10.1967      Lin-Lin
 6.71076E-05 9.71615      Lin-Lin
 7.45444E-05 9.26209      Lin-Lin
 8.28012E-05 8.83366      Lin-Lin
 9.1977E-05  8.42925      Lin-Lin
 0.000102165 8.04811      Lin-Lin
 0.000113486 7.68881      Lin-Lin
 0.000126057 7.35062      Lin-Lin
 0.000140026 7.03228      Lin-Lin
 0.000155536 6.73316      Lin-Lin
 0.000172772 6.45209      Lin-Lin
 0.000191909 6.18851      Lin-Lin
 0.000214669 5.92552      Lin-Lin
 0.000240128 5.68044      Lin-Lin
 0.000268607 5.45241      Lin-Lin
 0.000300463 5.24056      Lin-Lin
 0.000336098 5.04411      Lin-Lin
 0.000378611 4.85133      Lin-Lin
 0.00042648  4.67423      Lin-Lin
 0.000480426 4.51177      Lin-Lin
 0.000544985 4.3549       Lin-Lin
 0.00061822  4.2126       Lin-Lin
 0.000706209 4.07716      Lin-Lin
 0.000806761 3.95574      Lin-Lin
 0.000928085 3.84196      Lin-Lin
 0.00107513  3.73663      Lin-Lin
 0.00125427  3.64029      Lin-Lin
 0.00147357  3.55326      Lin-Lin
 0.00175555  3.47265      Lin-Lin
 0.0021211   3.39965      Lin-Lin
 0.0025988   3.335        Lin-Lin
 0.00325178  3.27728      Lin-Lin
 0.00418446  3.22604      Lin-Lin
 0.0055767   3.18145      Lin-Lin
 0.00775082  3.14385      Lin-Lin
