#LIBRARY    JENDL/HE-2007
#REACTION   CR-53(N,EL)CR-53-L0,SIG
#NUCLEUS    Cr-53
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 1E-05       66.5991      Lin-Lin
 1.1024E-05  63.4751      Lin-Lin
 1.21504E-05 60.5079      Lin-Lin
 1.33946E-05 57.6783      Lin-Lin
 1.47633E-05 54.991       Lin-Lin
 1.6275E-05  52.4289      Lin-Lin
 1.79381E-05 49.9959      Lin-Lin
 1.97749E-05 47.6768      Lin-Lin
 2.17956E-05 45.4753      Lin-Lin
 2.40274E-05 43.3772      Lin-Lin
 2.64826E-05 41.3861      Lin-Lin
 2.91943E-05 39.4891      Lin-Lin
 3.21775E-05 37.6894      Lin-Lin
 3.54723E-05 35.9755      Lin-Lin
 3.9097E-05  34.3501      Lin-Lin
 4.31005E-05 32.8029      Lin-Lin
 4.75046E-05 31.3363      Lin-Lin
 5.2369E-05  29.941       Lin-Lin
 5.77202E-05 28.6193      Lin-Lin
 6.36306E-05 27.3625      Lin-Lin
 7.01326E-05 26.1729      Lin-Lin
 7.73139E-05 25.0427      Lin-Lin
 8.52142E-05 23.9737      Lin-Lin
 9.39398E-05 22.9591      Lin-Lin
 0.000103539 22.0004      Lin-Lin
 0.000114141 21.0915      Lin-Lin
 0.000125804 20.2337      Lin-Lin
 0.000138686 19.4216      Lin-Lin
 0.000152858 18.6562      Lin-Lin
 0.00016851  17.9326      Lin-Lin
 0.000188349 17.1572      Lin-Lin
 0.000210524 16.4333      Lin-Lin
 0.00023531  15.7584      Lin-Lin
 0.000263014 15.1301      Lin-Lin
 0.00029398  14.5461      Lin-Lin
 0.000328591 14.0043      Lin-Lin
 0.000367277 13.5025      Lin-Lin
 0.000410518 13.0386      Lin-Lin
 0.000458849 12.6107      Lin-Lin
 0.000520006 12.1703      Lin-Lin
 0.000589429 11.7697      Lin-Lin
 0.00066799  11.4075      Lin-Lin
 0.000757168 11.0799      Lin-Lin
 0.000870192 10.7546      Lin-Lin
 0.00100009  10.4662      Lin-Lin
 0.00116536  10.188       Lin-Lin
 0.00135821  9.94605      Lin-Lin
 0.001605    9.71916      Lin-Lin
 0.00192302  9.51132      Lin-Lin
 0.00233655  9.32495      Lin-Lin
 0.00287907  9.16131      Lin-Lin
 0.00364694  9.01279      Lin-Lin
 0.00475088  8.88338      Lin-Lin
 0.00645215  8.77065      Lin-Lin
 0.00926411  8.67511      Lin-Lin
 0.0142585   8.59834      Lin-Lin
 0.024875    8.53763      Lin-Lin
 0.0250875   8.53694      Lin-Lin
 0.0253      8.53626      Lin-Lin
 0.0551428   8.49305      Lin-Lin
 0.201124    8.46753      Lin-Lin
 0.48997     8.46399      Lin-Lin
 252.666     10.5842      Lin-Lin
 420.492     12.0688      Lin-Lin
 559.862     13.3852      Lin-Lin
 691.389     14.7182      Lin-Lin
 814.871     16.0687      Lin-Lin
 925.266     17.3769      Lin-Lin
 1034.2      18.7603      Lin-Lin
 1159.71     20.5031      Lin-Lin
 1257.38     21.992       Lin-Lin
 1343.58     23.3991      Lin-Lin
 1429.78     24.9107      Lin-Lin
 1532.64     26.8589      Lin-Lin
 1619.21     28.6478      Lin-Lin
 1701.89     30.495       Lin-Lin
 1784.56     32.4907      Lin-Lin
 1867.23     34.6508      Lin-Lin
