#LIBRARY    JENDL-4.0/HE
#REACTION   F-19(N,EL)F-19-L0,SIG
#NUCLEUS    F-19
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       47.7216      Lin-Lin
 1.10304E-05 45.4497      Lin-Lin
 1.21669E-05 43.2871      Lin-Lin
 1.34206E-05 41.2285      Lin-Lin
 1.48034E-05 39.2691      Lin-Lin
 1.63286E-05 37.4041      Lin-Lin
 1.80111E-05 35.6291      Lin-Lin
 1.98669E-05 33.9398      Lin-Lin
 2.19139E-05 32.332       Lin-Lin
 2.41719E-05 30.802       Lin-Lin
 2.66625E-05 29.3461      Lin-Lin
 2.94097E-05 27.9607      Lin-Lin
 3.244E-05   26.6426      Lin-Lin
 3.57825E-05 25.3885      Lin-Lin
 3.94694E-05 24.1955      Lin-Lin
 4.35362E-05 23.0606      Lin-Lin
 4.80221E-05 21.9812      Lin-Lin
 5.29701E-05 20.9546      Lin-Lin
 5.8428E-05  19.9784      Lin-Lin
 6.44482E-05 19.0502      Lin-Lin
 7.10888E-05 18.1678      Lin-Lin
 7.84136E-05 17.3291      Lin-Lin
 8.64931E-05 16.532       Lin-Lin
 9.54051E-05 15.7746      Lin-Lin
 0.000105978 15.0049      Lin-Lin
 0.000117716 14.277       Lin-Lin
 0.000130761 13.588       Lin-Lin
 0.000145245 12.9368      Lin-Lin
 0.00016134  12.3209      Lin-Lin
 0.000179211 11.7391      Lin-Lin
 0.000199071 11.1894      Lin-Lin
 0.00022112  10.6707      Lin-Lin
 0.000245625 10.1809      Lin-Lin
 0.000272831 9.71934      Lin-Lin
 0.000303065 9.2841       Lin-Lin
 0.000336634 8.87439      Lin-Lin
 0.000373939 8.48865      Lin-Lin
 0.000415358 8.12612      Lin-Lin
 0.000461387 7.7854       Lin-Lin
 0.000512492 7.46581      Lin-Lin
 0.000573273 7.14684      Lin-Lin
 0.000641262 6.84952      Lin-Lin
 0.000717315 6.57278      Lin-Lin
 0.000802387 6.3156       Lin-Lin
 0.00089755  6.07702      Lin-Lin
 0.00101108  5.8428       Lin-Lin
 0.00113892  5.62752      Lin-Lin
 0.00128298  5.42996      Lin-Lin
 0.00145538  5.23908      Lin-Lin
