#LIBRARY    JENDL-4.0
#REACTION   FE-56(N,EL)FE-56-L0,SIG
#NUCLEUS    Fe-56
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       92.6896      Lin-Lin
 1.1024E-05  88.3451      Lin-Lin
 1.21504E-05 84.2189      Lin-Lin
 1.33946E-05 80.2842      Lin-Lin
 1.47633E-05 76.5474      Lin-Lin
 1.6275E-05  72.985       Lin-Lin
 1.79381E-05 69.6024      Lin-Lin
 1.97749E-05 66.3783      Lin-Lin
 2.17956E-05 63.3178      Lin-Lin
 2.40274E-05 60.4013      Lin-Lin
 2.64826E-05 57.6338      Lin-Lin
 2.91943E-05 54.9975      Lin-Lin
 3.21775E-05 52.4965      Lin-Lin
 3.54723E-05 50.1151      Lin-Lin
 3.9097E-05  47.8569      Lin-Lin
 4.31005E-05 45.7076      Lin-Lin
 4.75046E-05 43.6707      Lin-Lin
 5.2369E-05  41.733       Lin-Lin
 5.77202E-05 39.8979      Lin-Lin
 6.36306E-05 38.1534      Lin-Lin
 7.01326E-05 36.5023      Lin-Lin
 7.73139E-05 34.9341      Lin-Lin
 8.52142E-05 33.4513      Lin-Lin
 9.39398E-05 32.0443      Lin-Lin
 0.000103539 30.7152      Lin-Lin
 0.000114141 29.4556      Lin-Lin
 0.000125804 28.2673      Lin-Lin
 0.000138686 27.1426      Lin-Lin
 0.000152858 26.0832      Lin-Lin
 0.000170854 24.945       Lin-Lin
 0.00019097  23.8819      Lin-Lin
 0.000213453 22.8902      Lin-Lin
 0.000238584 21.9664      Lin-Lin
 0.000266673 21.1072      Lin-Lin
 0.000298069 20.3095      Lin-Lin
 0.000333162 19.5701      Lin-Lin
 0.000372387 18.8862      Lin-Lin
 0.000416229 18.2547      Lin-Lin
 0.000471797 17.6032      Lin-Lin
 0.000534679 17.0118      Lin-Lin
 0.00060606  16.4748      Lin-Lin
 0.000686838 15.9902      Lin-Lin
 0.000789364 15.5075      Lin-Lin
 0.000907194 15.0792      Lin-Lin
 0.00104261  14.7006      Lin-Lin
 0.00121515  14.3358      Lin-Lin
 0.00143594  13.9932      Lin-Lin
 0.00169686  13.7012      Lin-Lin
 0.00203307  13.4342      Lin-Lin
 0.00250512  13.1796      Lin-Lin
 0.00312972  12.9605      Lin-Lin
 0.00402038  12.7657      Lin-Lin
 0.00538409  12.5923      Lin-Lin
 0.00751843  12.4472      Lin-Lin
 0.0112563   12.3256      Lin-Lin
 0.0185745   12.2293      Lin-Lin
 0.0250875   12.1908      Lin-Lin
 0.0253      12.1899      Lin-Lin
 0.0566987   12.1295      Lin-Lin
 0.224803    12.0926      Lin-Lin
 87.7554     11.7413      Lin-Lin
 261.915     11.1402      Lin-Lin
 451.956     10.5761      Lin-Lin
 661.569     10.0421      Lin-Lin
 890.862     9.54084      Lin-Lin
 1123.72     9.10506      Lin-Lin
 1137.36     9.09021      Lin-Lin
 1143.54     9.10949      Lin-Lin
 1145.92     9.16222      Lin-Lin
 1146.88     9.22969      Lin-Lin
 1147.4      9.31395      Lin-Lin
 1147.71     9.40298      Lin-Lin
 1148.02     9.54602      Lin-Lin
 1148.26     9.7126       Lin-Lin
 1148.49     9.94856      Lin-Lin
 1148.65     10.1544      Lin-Lin
 1148.81     10.406       Lin-Lin
 1148.97     10.708       Lin-Lin
 1149.13     11.0634      Lin-Lin
 1149.29     11.4725      Lin-Lin
 1149.46     11.9806      Lin-Lin
 1149.64     12.5395      Lin-Lin
 1150.11     14.1637      Lin-Lin
 1150.27     14.6667      Lin-Lin
 1150.44     15.1505      Lin-Lin
 1150.6      15.5016      Lin-Lin
 1150.75     15.7282      Lin-Lin
 1150.89     15.8571      Lin-Lin
 1151        15.8901      Lin-Lin
 1151.13     15.8486      Lin-Lin
 1151.28     15.6886      Lin-Lin
 1151.43     15.4369      Lin-Lin
 1151.59     15.0664      Lin-Lin
 1151.81     14.4179      Lin-Lin
 1152.11     13.4037      Lin-Lin
 1152.43     12.329       Lin-Lin
 1152.66     11.626       Lin-Lin
 1152.87     11.0616      Lin-Lin
 1153.01     10.7392      Lin-Lin
 1153.16     10.4602      Lin-Lin
 1153.32     10.1985      Lin-Lin
 1153.47     9.98335      Lin-Lin
 1153.71     9.73559      Lin-Lin
 1153.95     9.55971      Lin-Lin
 1154.27     9.40485      Lin-Lin
 1154.57     9.31193      Lin-Lin
 1155.01     9.23251      Lin-Lin
 1155.6      9.17514      Lin-Lin
 1157.19     9.10888      Lin-Lin
 1161.15     9.06027      Lin-Lin
 1184.31     9.00009      Lin-Lin
 1450.59     8.57944      Lin-Lin
 1760.88     8.16036      Lin-Lin
 2105.13     7.76235      Lin-Lin
 2472.98     7.39762      Lin-Lin
 2886.18     7.04588      Lin-Lin
 3326.44     6.72214      Lin-Lin
 3835.22     6.39844      Lin-Lin
 4389.73     6.09276      Lin-Lin
 5049.49     5.77823      Lin-Lin
 5789.79     5.47239      Lin-Lin
 6616.41     5.17368      Lin-Lin
 7566.27     4.87143      Lin-Lin
 8686.64     4.55366      Lin-Lin
 10064.2     4.2021       Lin-Lin
 11982.1     3.75214      Lin-Lin
 15066.8     3.04862      Lin-Lin
 16428.2     2.71937      Lin-Lin
 17497.5     2.44193      Lin-Lin
 17740.2     2.37631      Lin-Lin
 17749.7     2.38328      Lin-Lin
 17763.5     2.36978      Lin-Lin
 18499.6     2.16036      Lin-Lin
 19270.3     1.92543      Lin-Lin
 19903.4     1.71796      Lin-Lin
 20293.7     1.5827       Lin-Lin
 20821.9     1.38984      Lin-Lin
 21279.4     1.213        Lin-Lin
 21733.5     1.02917      Lin-Lin
 22148.6     0.853764     Lin-Lin
 22661       0.630519     Lin-Lin
 22768.1     0.583923     Lin-Lin
 22780.8     0.580359     Lin-Lin
 22784.5     0.582057     Lin-Lin
 22786       0.585048     Lin-Lin
 22787.1     0.589493     Lin-Lin
 22788.2     0.597194     Lin-Lin
 22789       0.605002     Lin-Lin
 22789.7     0.615707     Lin-Lin
 22790.5     0.630045     Lin-Lin
 22791.2     0.648774     Lin-Lin
 22791.8     0.666132     Lin-Lin
 22792.3     0.686604     Lin-Lin
 22792.9     0.713432     Lin-Lin
 22793.7     0.751615     Lin-Lin
 22794.5     0.795624     Lin-Lin
 22795.3     0.850531     Lin-Lin
 22797.3     0.991921     Lin-Lin
 22798.1     1.04017      Lin-Lin
 22798.7     1.07321      Lin-Lin
 22799.3     1.10049      Lin-Lin
 22799.9     1.12244      Lin-Lin
 22800.5     1.13373      Lin-Lin
 22801       1.13729      Lin-Lin
 22801.6     1.1329       Lin-Lin
 22802.2     1.11957      Lin-Lin
 22802.7     1.10345      Lin-Lin
 22803.3     1.07698      Lin-Lin
 22804       1.04109      Lin-Lin
 22804.8     0.984245     Lin-Lin
 22806.7     0.856053     Lin-Lin
 22807.6     0.795018     Lin-Lin
 22808.3     0.753887     Lin-Lin
 22809       0.717603     Lin-Lin
 22809.7     0.686468     Lin-Lin
 22810.4     0.660437     Lin-Lin
 22811.2     0.63791      Lin-Lin
 22811.9     0.620191     Lin-Lin
 22812.6     0.606545     Lin-Lin
 22813.4     0.596218     Lin-Lin
 22814.3     0.586908     Lin-Lin
 22815.7     0.578102     Lin-Lin
 22817.1     0.572999     Lin-Lin
 22819.4     0.568458     Lin-Lin
 22825.3     0.562512     Lin-Lin
 22844       0.551855     Lin-Lin
 22948.3     0.504859     Lin-Lin
 23207.6     0.392404     Lin-Lin
 23383.8     0.318212     Lin-Lin
 23507.2     0.267929     Lin-Lin
 23613       0.22634      Lin-Lin
 23701.2     0.192951     Lin-Lin
 23771.7     0.167314     Lin-Lin
 23842.2     0.142737     Lin-Lin
 23895.1     0.125118     Lin-Lin
 23948       0.108216     Lin-Lin
 23992       0.0948023    Lin-Lin
 24027.3     0.0845088    Lin-Lin
 24062.5     0.0746436    Lin-Lin
 24097.8     0.065235     Lin-Lin
 24133.1     0.0562797    Lin-Lin
 24159.5     0.0499204    Lin-Lin
 24185.9     0.0438729    Lin-Lin
 24212.4     0.0381377    Lin-Lin
 24234.4     0.0336181    Lin-Lin
 24252.1     0.0301743    Lin-Lin
 24269.7     0.0268899    Lin-Lin
 24287.3     0.0237697    Lin-Lin
 24304.9     0.020809     Lin-Lin
 24318.2     0.018709     Lin-Lin
 24331.4     0.0167106    Lin-Lin
 24344.6     0.0148151    Lin-Lin
 24357.8     0.0130248    Lin-Lin
 24366.6     0.011891     Lin-Lin
 24377.7     0.0105421    Lin-Lin
 24388.7     0.00927063   Lin-Lin
 24397.5     0.00831018   Lin-Lin
 24406.3     0.00740092   Lin-Lin
 24414       0.00664681   Lin-Lin
 24421.7     0.00593254   Lin-Lin
 24429.4     0.00526073   Lin-Lin
 24435.2     0.00478423   Lin-Lin
 24441.3     0.0043103    Lin-Lin
 24446.8     0.00390214   Lin-Lin
 24452.3     0.00351578   Lin-Lin
 24457.8     0.00315144   Lin-Lin
 24463.3     0.00280931   Lin-Lin
 24467.5     0.00256743   Lin-Lin
 24471.6     0.00233825   Lin-Lin
 24475.7     0.00212178   Lin-Lin
 24479.9     0.00191806   Lin-Lin
