#LIBRARY    ENDF/B-VII.1
#REACTION   GD-157(N,EL)GD-157-L0,SIG
#NUCLEUS    Gd-157
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       3378.75      Lin-Lin
 1.10304E-05 3223.71      Lin-Lin
 1.21669E-05 3076.42      Lin-Lin
 1.35152E-05 2926.77      Lin-Lin
 1.50122E-05 2785.25      Lin-Lin
 1.66758E-05 2651.34      Lin-Lin
 1.85229E-05 2524.79      Lin-Lin
 2.05756E-05 2405.13      Lin-Lin
 2.28546E-05 2292.14      Lin-Lin
 2.53873E-05 2185.39      Lin-Lin
 2.81993E-05 2084.7       Lin-Lin
 3.13242E-05 1989.68      Lin-Lin
 3.47938E-05 1900.14      Lin-Lin
 3.86496E-05 1815.76      Lin-Lin
 4.29306E-05 1736.36      Lin-Lin
 4.7688E-05  1661.66      Lin-Lin
 5.29701E-05 1591.49      Lin-Lin
 5.88402E-05 1525.59      Lin-Lin
 6.58185E-05 1459.82      Lin-Lin
 7.36245E-05 1398.5       Lin-Lin
 8.23563E-05 1341.41      Lin-Lin
 9.21237E-05 1288.33      Lin-Lin
 0.000103049 1239.07      Lin-Lin
 0.000115271 1193.44      Lin-Lin
 0.000129845 1148.75      Lin-Lin
 0.000146269 1107.73      Lin-Lin
 0.000164763 1070.21      Lin-Lin
 0.000186904 1034.04      Lin-Lin
 0.00021202  1001.33      Lin-Lin
 0.000242208 970.294      Lin-Lin
 0.000278632 941.241      Lin-Lin
 0.000320534 915.602      Lin-Lin
 0.00037132  892.05       Lin-Lin
 0.000433187 870.731      Lin-Lin
 0.000512492 850.997      Lin-Lin
 0.000610592 833.908      Lin-Lin
 0.000737698 818.946      Lin-Lin
 0.000910213 806.014      Lin-Lin
 0.00114695  795.671      Lin-Lin
 0.00148625  788.282      Lin-Lin
 0.0020087   784.677      Lin-Lin
 0.00213936  784.565      Lin-Lin
 0.00307947  788.262      Lin-Lin
 0.00485542  804.109      Lin-Lin
 0.0146854   914.504      Lin-Lin
 0.0188974   955.528      Lin-Lin
 0.0226725   985.318      Lin-Lin
 0.0252419   1001.17      Lin-Lin
 0.0253      1001.48      Lin-Lin
 0.0286998   1016.04      Lin-Lin
 0.0321036   1022.79      Lin-Lin
 0.0332487   1023.27      Lin-Lin
 0.0365327   1019.71      Lin-Lin
 0.0400147   1008.26      Lin-Lin
 0.0435236   989.422      Lin-Lin
 0.0473403   961.719      Lin-Lin
 0.0518549   921.21       Lin-Lin
 0.0575985   861.356      Lin-Lin
 0.0736032   680.901      Lin-Lin
 0.0794968   618.636      Lin-Lin
 0.084672    567.9        Lin-Lin
 0.0895523   523.775      Lin-Lin
 0.0940505   486.355      Lin-Lin
 0.0987795   450.293      Lin-Lin
 0.103741    415.886      Lin-Lin
 0.108194    387.795      Lin-Lin
 0.112838    361.085      Lin-Lin
 0.117682    335.799      Lin-Lin
 0.122733    311.954      Lin-Lin
 0.128002    289.547      Lin-Lin
 0.132568    271.946      Lin-Lin
 0.137289    255.334      Lin-Lin
 0.142187    239.637      Lin-Lin
 0.147251    224.871      Lin-Lin
 0.152504    210.961      Lin-Lin
 0.157936    197.909      Lin-Lin
 0.163569    185.643      Lin-Lin
 0.169395    174.157      Lin-Lin
 0.175438    163.381      Lin-Lin
 0.181687    153.306      Lin-Lin
 0.188167    143.867      Lin-Lin
 0.19487     135.053      Lin-Lin
 0.201821    126.802      Lin-Lin
 0.20901     119.103      Lin-Lin
 0.216465    111.9        Lin-Lin
 0.224175    105.183      Lin-Lin
 0.232172    98.901       Lin-Lin
 0.240441    93.0446      Lin-Lin
 0.249018    87.5702      Lin-Lin
 0.257888    82.4652      Lin-Lin
 0.267086    77.69        Lin-Lin
 0.2766      73.2373      Lin-Lin
 0.286466    69.0736      Lin-Lin
 0.29667     65.1887      Lin-Lin
 0.307252    61.5532      Lin-Lin
 0.318196    58.1608      Lin-Lin
 0.329546    54.9856      Lin-Lin
 0.341284    52.0213      Lin-Lin
 0.353458    49.2455      Lin-Lin
 0.36863     46.1545      Lin-Lin
 0.384453    43.3028      Lin-Lin
 0.400956    40.6648      Lin-Lin
 0.418167    38.2248      Lin-Lin
 0.436116    35.9685      Lin-Lin
 0.454836    33.881       Lin-Lin
 0.47436     31.9487      Lin-Lin
 0.494722    30.1589      Lin-Lin
 0.515957    28.5003      Lin-Lin
 0.538104    26.9624      Lin-Lin
 0.561202    25.5355      Lin-Lin
 0.585292    24.2107      Lin-Lin
 0.610415    22.9801      Lin-Lin
 0.641076    21.6541      Lin-Lin
 0.67331     20.4342      Lin-Lin
 0.707131    19.3131      Lin-Lin
 0.742686    18.2807      Lin-Lin
 0.779991    17.3298      Lin-Lin
 0.81921     16.4501      Lin-Lin
 0.860359    15.6394      Lin-Lin
 0.903619    14.8907      Lin-Lin
 0.955702    14.102       Lin-Lin
 1.01079     13.3785      Lin-Lin
 1.06905     12.7141      Lin-Lin
 1.13067     12.1028      Lin-Lin
 1.19584     11.5393      Lin-Lin
 1.27362     10.9564      Lin-Lin
 1.35653     10.4206      Lin-Lin
 1.44477     9.92667      Lin-Lin
 1.5496      9.41908      Lin-Lin
 1.66204     8.94801      Lin-Lin
 1.79521     8.4594       Lin-Lin
 1.96632     7.90296      Lin-Lin
 2.23055     7.08592      Lin-Lin
 2.32629     6.75772      Lin-Lin
 2.3924      6.50114      Lin-Lin
 2.44326     6.2764       Lin-Lin
 2.49509     6.01081      Lin-Lin
 2.53029     5.80109      Lin-Lin
 2.56599     5.55579      Lin-Lin
 2.59314     5.34161      Lin-Lin
 2.61625     5.13708      Lin-Lin
 2.64004     4.90389      Lin-Lin
 2.67898     4.49136      Lin-Lin
 2.69358     4.35033      Lin-Lin
 2.70332     4.27613      Lin-Lin
 2.71062     4.23925      Lin-Lin
 2.71792     4.22647      Lin-Lin
 2.72279     4.23595      Lin-Lin
 2.72912     4.27621      Lin-Lin
 2.7335      4.32675      Lin-Lin
 2.73788     4.39952      Lin-Lin
 2.74177     4.48568      Lin-Lin
 2.74542     4.5872       Lin-Lin
 2.74907     4.71101      Lin-Lin
 2.75272     4.85928      Lin-Lin
 2.75637     5.03409      Lin-Lin
 2.76002     5.2374       Lin-Lin
 2.76367     5.47096      Lin-Lin
 2.76732     5.73619      Lin-Lin
 2.77097     6.03413      Lin-Lin
 2.77462     6.36531      Lin-Lin
 2.77827     6.72973      Lin-Lin
 2.78192     7.12669      Lin-Lin
 2.78558     7.55481      Lin-Lin
 2.79044     8.17029      Lin-Lin
 2.79531     8.83004      Lin-Lin
 2.8031      9.95306      Lin-Lin
 2.81819     12.1857      Lin-Lin
 2.82539     13.176       Lin-Lin
 2.82987     13.7381      Lin-Lin
 2.83473     14.2895      Lin-Lin
 2.8396      14.7696      Lin-Lin
 2.84447     15.1714      Lin-Lin
 2.84934     15.4911      Lin-Lin
 2.85469     15.7467      Lin-Lin
 2.85956     15.8938      Lin-Lin
 2.86442     15.9641      Lin-Lin
 2.86686     15.9724      Lin-Lin
 2.87416     15.9013      Lin-Lin
 2.88146     15.7087      Lin-Lin
 2.88876     15.4248      Lin-Lin
 2.90093     14.8263      Lin-Lin
 2.9204      13.7689      Lin-Lin
 2.935       13.0266      Lin-Lin
 2.9496      12.3754      Lin-Lin
 2.9642      11.8199      Lin-Lin
 2.9788      11.35        Lin-Lin
 2.99341     10.9519      Lin-Lin
 3.00801     10.6123      Lin-Lin
 3.02699     10.2403      Lin-Lin
 3.04402     9.95931      Lin-Lin
 3.06541     9.66074      Lin-Lin
 3.08696     9.40764      Lin-Lin
 3.11951     9.09272      Lin-Lin
 3.15252     8.8341       Lin-Lin
 3.18584     8.618        Lin-Lin
 3.23078     8.37825      Lin-Lin
 3.27636     8.17906      Lin-Lin
 3.34586     7.93416      Lin-Lin
 3.417       7.73371      Lin-Lin
 3.5141      7.51444      Lin-Lin
 3.63927     7.29171      Lin-Lin
 3.79548     7.07317      Lin-Lin
 3.98632     6.86158      Lin-Lin
 4.24562     6.63385      Lin-Lin
 4.55368     6.4185       Lin-Lin
 4.953       6.19397      Lin-Lin
 5.46334     5.96187      Lin-Lin
 6.11129     5.72059      Lin-Lin
 6.98143     5.44993      Lin-Lin
 8.37606     5.07389      Lin-Lin
 10.1197     4.61449      Lin-Lin
 11.0847     4.33159      Lin-Lin
 11.8058     4.09162      Lin-Lin
 12.3994     3.86676      Lin-Lin
 12.841      3.67807      Lin-Lin
 13.2991     3.45709      Lin-Lin
 13.677      3.25102      Lin-Lin
 13.9671     3.07555      Lin-Lin
 14.2641     2.87856      Lin-Lin
 14.5666     2.6595       Lin-Lin
 15.0862     2.25803      Lin-Lin
 15.2455     2.14505      Lin-Lin
 15.3526     2.08118      Lin-Lin
 15.4062     2.05537      Lin-Lin
 15.4861     2.02789      Lin-Lin
 15.546      2.01896      Lin-Lin
 15.5659     2.01882      Lin-Lin
 15.6111     2.02485      Lin-Lin
 15.6562     2.0413       Lin-Lin
 15.7013     2.07062      Lin-Lin
 15.7352     2.10285      Lin-Lin
 15.767      2.14269      Lin-Lin
 15.7979     2.19152      Lin-Lin
 15.8287     2.252        Lin-Lin
 15.8595     2.32598      Lin-Lin
 15.8904     2.4156       Lin-Lin
 15.911      2.48526      Lin-Lin
 15.9361     2.5827       Lin-Lin
 15.9612     2.69566      Lin-Lin
 15.9864     2.82722      Lin-Lin
 16.0052     2.941        Lin-Lin
 16.0206     3.04621      Lin-Lin
 16.0389     3.18888      Lin-Lin
 16.0535     3.32096      Lin-Lin
 16.07       3.49421      Lin-Lin
 16.0837     3.66372      Lin-Lin
 16.0974     3.86152      Lin-Lin
 16.1066     4.01186      Lin-Lin
 16.1157     4.17901      Lin-Lin
 16.1248     4.36467      Lin-Lin
 16.134      4.57047      Lin-Lin
 16.1431     4.79787      Lin-Lin
 16.1523     5.0481       Lin-Lin
 16.1614     5.32212      Lin-Lin
 16.1705     5.62052      Lin-Lin
 16.1797     5.94349      Lin-Lin
 16.1934     6.47357      Lin-Lin
 16.2071     7.0564       Lin-Lin
 16.2208     7.68851      Lin-Lin
 16.237      8.49464      Lin-Lin
 16.2537     9.38353      Lin-Lin
 16.2715     10.3982      Lin-Lin
 16.2894     11.4856      Lin-Lin
 16.3031     12.382       Lin-Lin
 16.3168     13.3449      Lin-Lin
 16.3305     14.3924      Lin-Lin
 16.3433     15.4667      Lin-Lin
 16.3561     16.6578      Lin-Lin
 16.3652     17.595       Lin-Lin
