#LIBRARY    JENDL-4.0
#REACTION   H-1(N,EL)H-1-L0,SIG
#NUCLEUS    H-1
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       1156.94      Lin-Lin
 1.1024E-05  1101.91      Lin-Lin
 1.21504E-05 1049.61      Lin-Lin
 1.33946E-05 999.69       Lin-Lin
 1.47633E-05 952.239      Lin-Lin
 1.6275E-05  906.956      Lin-Lin
 1.79381E-05 863.909      Lin-Lin
 1.97749E-05 822.828      Lin-Lin
 2.17956E-05 783.78       Lin-Lin
 2.40274E-05 746.513      Lin-Lin
 2.64826E-05 711.09       Lin-Lin
 2.91943E-05 677.284      Lin-Lin
 3.21775E-05 645.15       Lin-Lin
 3.54723E-05 614.485      Lin-Lin
 3.9097E-05  585.335      Lin-Lin
 4.31005E-05 557.517      Lin-Lin
 4.75046E-05 531.075      Lin-Lin
 5.21361E-05 506.969      Lin-Lin
 5.74636E-05 482.93       Lin-Lin
 6.33477E-05 459.99       Lin-Lin
 6.98208E-05 438.186      Lin-Lin
 7.69702E-05 417.379      Lin-Lin
 8.48353E-05 397.601      Lin-Lin
 9.35222E-05 378.729      Lin-Lin
 0.000103079 360.791      Lin-Lin
 0.000113634 343.673      Lin-Lin
 0.000125245 327.405      Lin-Lin
 0.00013807  311.881      Lin-Lin
 0.000152178 297.127      Lin-Lin
 0.000167761 283.049      Lin-Lin
 0.000184903 269.67       Lin-Lin
 0.000203837 256.904      Lin-Lin
 0.000224666 244.772      Lin-Lin
 0.000247671 233.197      Lin-Lin
 0.000272979 222.197      Lin-Lin
 0.000300931 211.703      Lin-Lin
 0.000331681 201.732      Lin-Lin
 0.000365644 192.22       Lin-Lin
 0.000403007 183.182      Lin-Lin
 0.000444274 174.56       Lin-Lin
 0.000489671 166.37       Lin-Lin
 0.000539812 158.558      Lin-Lin
 0.000594972 151.137      Lin-Lin
 0.000655895 144.06       Lin-Lin
 0.000722917 137.339      Lin-Lin
 0.000796942 130.93       Lin-Lin
 0.000878376 124.844      Lin-Lin
 0.000968319 119.042      Lin-Lin
 0.00106727  113.534      Lin-Lin
 0.00117655  108.284      Lin-Lin
 0.00129677  103.301      Lin-Lin
 0.00142956  98.5527      Lin-Lin
 0.00157564  94.0475      Lin-Lin
 0.00173698  89.7564      Lin-Lin
 0.00191447  85.6863      Lin-Lin
 0.00211051  81.8111      Lin-Lin
 0.00232617  78.1372      Lin-Lin
 0.00256436  74.641       Lin-Lin
 0.00282639  71.3282      Lin-Lin
 0.00311581  68.1776      Lin-Lin
 0.00343419  65.1942      Lin-Lin
 0.00378584  62.3589      Lin-Lin
 0.00417269  59.6762      Lin-Lin
 0.00459996  57.129       Lin-Lin
 0.00507001  54.7211      Lin-Lin
 0.00558916  52.4371      Lin-Lin
 0.00616028  50.2805      Lin-Lin
 0.00679107  48.2373      Lin-Lin
 0.00748501  46.3108      Lin-Lin
 0.00825145  44.4882      Lin-Lin
 0.00909462  42.7723      Lin-Lin
 0.0101654   40.9299      Lin-Lin
 0.0113622   39.2101      Lin-Lin
 0.0126999   37.6071      Lin-Lin
 0.0141951   36.115       Lin-Lin
 0.0158663   34.7284      Lin-Lin
 0.0177343   33.4421      Lin-Lin
 0.0198222   32.251       Lin-Lin
 0.022156    31.1501      Lin-Lin
 0.0250322   30.041       Lin-Lin
 0.0253      29.949       Lin-Lin
 0.0286776   28.9192      Lin-Lin
 0.0324999   27.9858      Lin-Lin
 0.0368387   27.1396      Lin-Lin
 0.0417487   26.377       Lin-Lin
 0.0479806   25.6183      Lin-Lin
 0.0551428   24.9457      Lin-Lin
 0.0642681   24.2956      Lin-Lin
 0.0748891   23.7308      Lin-Lin
 0.0884965   23.1994      Lin-Lin
 0.106052    22.7106      Lin-Lin
 0.128858    22.2706      Lin-Lin
 0.158746    21.882       Lin-Lin
 0.201124    21.5251      Lin-Lin
 0.261954    21.2103      Lin-Lin
 0.355758    20.9299      Lin-Lin
 0.503795    20.6923      Lin-Lin
 0.764755    20.4889      Lin-Lin
 1.2444      20.3418      Lin-Lin
 2.60162     20.234       Lin-Lin
 8.7273      20.1648      Lin-Lin
 303.183     20.1101      Lin-Lin
 8788.96     19.3304      Lin-Lin
 17975.6     18.3086      Lin-Lin
 23091.1     17.8175      Lin-Lin
 40564.3     16.2552      Lin-Lin
 60846.5     14.8181      Lin-Lin
 81128.7     13.6515      Lin-Lin
 99946.3     12.745       Lin-Lin
 150000      10.9238      Lin-Lin
 200000      9.64353      Lin-Lin
 300000      7.95225      Lin-Lin
 400000      6.8766       Lin-Lin
 499731      6.12747      Lin-Lin
 600000      5.56696      Lin-Lin
 700000      5.13207      Lin-Lin
 800000      4.78162      Lin-Lin
 900000      4.49151      Lin-Lin
 1E+06       4.24615      Lin-Lin
 1.2E+06     3.8505       Lin-Lin
 1.4E+06     3.54178      Lin-Lin
 1.6E+06     3.29134      Lin-Lin
 1.8E+06     3.08221      Lin-Lin
 2.02822E+06 2.88176      Lin-Lin
 2.23104E+06 2.72734      Lin-Lin
 2.43386E+06 2.59131      Lin-Lin
 2.63668E+06 2.47012      Lin-Lin
 2.8395E+06  2.36114      Lin-Lin
 3.04232E+06 2.26236      Lin-Lin
 3.29029E+06 2.15349      Lin-Lin
 3.54526E+06 2.05227      Lin-Lin
 3.85361E+06 1.94265      Lin-Lin
 4.2E+06     1.83279      Lin-Lin
 4.46208E+06 1.7589       Lin-Lin
 4.86772E+06 1.65403      Lin-Lin
 5.14108E+06 1.59163      Lin-Lin
 5.5E+06     1.51356      Lin-Lin
 6E+06       1.41816      Lin-Lin
 6.5E+06     1.33371      Lin-Lin
 7E+06       1.25837      Lin-Lin
 7.60581E+06 1.17776      Lin-Lin
 8.11287E+06 1.11703      Lin-Lin
 8.61992E+06 1.06191      Lin-Lin
 9.12697E+06 1.01164      Lin-Lin
 9.63403E+06 0.965605     Lin-Lin
 1.01411E+07 0.9233       Lin-Lin
 1.06481E+07 0.884287     Lin-Lin
 1.11552E+07 0.8482       Lin-Lin
 1.18245E+07 0.80453      Lin-Lin
 1.26764E+07 0.754554     Lin-Lin
 1.35E+07    0.711186     Lin-Lin
 1.41975E+07 0.678432     Lin-Lin
 1.5E+07     0.64316      Lin-Lin
 1.6E+07     0.604028     Lin-Lin
 1.7E+07     0.568971     Lin-Lin
 1.8E+07     0.537385     Lin-Lin
 1.9E+07     0.508779     Lin-Lin
 2E+07       0.482757     Lin-Lin
 2.01411E+07 0.476529     Lin-Lin
 2.1E+07     0.45479      Lin-Lin
 2.2E+07     0.433121     Lin-Lin
 2.34947E+07 0.405614     Lin-Lin
 2.5E+07     0.380385     Lin-Lin
 2.64953E+07 0.357349     Lin-Lin
 2.8E+07     0.336213     Lin-Lin
 2.94958E+07 0.316949     Lin-Lin
 3.09839E+07 0.299392     Lin-Lin
 3.29848E+07 0.27814      Lin-Lin
 3.49857E+07 0.259153     Lin-Lin
 3.69865E+07 0.242066     Lin-Lin
 3.89872E+07 0.226664     Lin-Lin
 4.09878E+07 0.212848     Lin-Lin
 4.29884E+07 0.200495     Lin-Lin
 4.49889E+07 0.189459     Lin-Lin
 4.69894E+07 0.179593     Lin-Lin
 4.89898E+07 0.170752     Lin-Lin
 5.09902E+07 0.16279      Lin-Lin
 5.29906E+07 0.15556      Lin-Lin
 5.6E+07     0.145756     Lin-Lin
 5.89915E+07 0.136942     Lin-Lin
 6.2E+07     0.128922     Lin-Lin
 6.49923E+07 0.121708     Lin-Lin
 6.8E+07     0.11517      Lin-Lin
 7.0993E+07  0.109318     Lin-Lin
 7.4E+07     0.104023     Lin-Lin
 7.69935E+07 0.0992937    Lin-Lin
 8.09938E+07 0.0936908    Lin-Lin
 8.49941E+07 0.0887869    Lin-Lin
 8.89944E+07 0.0844411    Lin-Lin
 9.4E+07     0.0795776    Lin-Lin
 9.8995E+07  0.0752275    Lin-Lin
 1.02411E+08 0.0726187    Lin-Lin
 1.0741E+08  0.0691634    Lin-Lin
 1.12419E+08 0.0660124    Lin-Lin
 1.2E+08     0.0617493    Lin-Lin
 1.27424E+08 0.0586691    Lin-Lin
 1.36811E+08 0.0552345    Lin-Lin
 1.4E+08     0.0541465    Lin-Lin
 1.5E+08     0.0514551    Lin-Lin
 1.6E+08     0.0490587    Lin-Lin
 1.721E+08   0.0465638    Lin-Lin
 1.8E+08     0.0450633    Lin-Lin
 1.974E+08   0.0424049    Lin-Lin
 2.02822E+08 0.0417127    Lin-Lin
 2.2E+08     0.0397853    Lin-Lin
 2.4E+08     0.0381183    Lin-Lin
 2.70032E+08 0.0362477    Lin-Lin
 2.7011E+08  0.0362952    Lin-Lin
 2.99162E+08 0.0349155    Lin-Lin
 3.32111E+08 0.033607     Lin-Lin
 3.57464E+08 0.0327811    Lin-Lin
 3.82492E+08 0.0320955    Lin-Lin
 4.15784E+08 0.0314626    Lin-Lin
 4.84974E+08 0.0304325    Lin-Lin
 5.95016E+08 0.028324     Lin-Lin
 6.2498E+08  0.0277283    Lin-Lin
 6.44981E+08 0.0274726    Lin-Lin
 6.7E+08     0.027383     Lin-Lin
 6.8E+08     0.0273861    Lin-Lin
 7E+08       0.0272912    Lin-Lin
 7.4E+08     0.0267429    Lin-Lin
 7.58738E+08 0.026903     Lin-Lin
 7.8E+08     0.0273292    Lin-Lin
 8E+08       0.027414     Lin-Lin
 8.2E+08     0.0267468    Lin-Lin
 8.4E+08     0.0258099    Lin-Lin
 8.6E+08     0.0252855    Lin-Lin
 8.7E+08     0.0252845    Lin-Lin
 9E+08       0.0254213    Lin-Lin
 9.3374E+08  0.0251594    Lin-Lin
 9.6E+08     0.0249384    Lin-Lin
 9.8E+08     0.0249993    Lin-Lin
 1E+09       0.0252458    Lin-Lin
 1.22779E+09 0.0268708    Lin-Lin
 1.46975E+09 0.0283969    Lin-Lin
 1.5E+09     0.0285777    Lin-Lin
 1.63459E+09 0.0272398    Lin-Lin
 1.73205E+09 0.0263581    Lin-Lin
 1.86121E+09 0.024883     Lin-Lin
 2E+09       0.0234905    Lin-Lin
 2.10398E+09 0.0222776    Lin-Lin
 2.21336E+09 0.0211274    Lin-Lin
 2.32843E+09 0.0197535    Lin-Lin
 2.44949E+09 0.0184689    Lin-Lin
 2.51236E+09 0.0176709    Lin-Lin
 2.6097E+09  0.016538     Lin-Lin
 2.71081E+09 0.0154777    Lin-Lin
 2.78038E+09 0.0146383    Lin-Lin
 2.85174E+09 0.0138443    Lin-Lin
 2.92493E+09 0.012949     Lin-Lin
 3E+09       0.0121115    Lin-Lin
