#LIBRARY    JENDL-4.0
#REACTION   HE-3(N,EL)HE-3-L0,SIG
#NUCLEUS    He-3
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       102.851      Lin-Lin
 1.1024E-05  97.9619      Lin-Lin
 1.21504E-05 93.3147      Lin-Lin
 1.33946E-05 88.8797      Lin-Lin
 1.47633E-05 84.664       Lin-Lin
 1.6275E-05  80.6411      Lin-Lin
 1.79381E-05 76.817       Lin-Lin
 1.97749E-05 73.1677      Lin-Lin
 2.17956E-05 69.6991      Lin-Lin
 2.40274E-05 66.389       Lin-Lin
 2.64826E-05 63.2429      Lin-Lin
 2.91943E-05 60.2405      Lin-Lin
 3.21775E-05 57.3869      Lin-Lin
 3.54723E-05 54.6639      Lin-Lin
 3.9097E-05  52.0757      Lin-Lin
 4.31005E-05 49.606       Lin-Lin
 4.75046E-05 47.2588      Lin-Lin
 5.2369E-05  45.0191      Lin-Lin
 5.77202E-05 42.8905      Lin-Lin
 6.36306E-05 40.8595      Lin-Lin
 7.01326E-05 38.9293      Lin-Lin
 7.73139E-05 37.0878      Lin-Lin
 8.52142E-05 35.3377      Lin-Lin
 9.39398E-05 33.668       Lin-Lin
 0.000102822 32.1923      Lin-Lin
 0.00011335  30.6734      Lin-Lin
 0.000124933 29.2302      Lin-Lin
 0.000137726 27.8535      Lin-Lin
 0.000151799 26.5456      Lin-Lin
 0.000167343 25.298       Lin-Lin
 0.000184442 24.1129      Lin-Lin
 0.000203329 22.9826      Lin-Lin
 0.000224105 21.9091      Lin-Lin
 0.000247053 20.8854      Lin-Lin
 0.000272298 19.9132      Lin-Lin
 0.000300181 18.9863      Lin-Lin
 0.000330854 18.1063      Lin-Lin
 0.000364733 17.2674      Lin-Lin
 0.000402002 16.4712      Lin-Lin
 0.000443166 15.7124      Lin-Lin
 0.00048845  14.9923      Lin-Lin
 0.000538466 14.3064      Lin-Lin
 0.000593489 13.6556      Lin-Lin
 0.00065426  13.036       Lin-Lin
 0.000721115 12.4484      Lin-Lin
 0.000794955 11.8892      Lin-Lin
 0.000876186 11.3592      Lin-Lin
 0.000965905 10.855       Lin-Lin
 0.0010646   10.3775      Lin-Lin
 0.00117362  9.92352      Lin-Lin
 0.00129354  9.49387      Lin-Lin
 0.001426    9.08578      Lin-Lin
 0.00157171  8.69989      Lin-Lin
 0.00173265  8.33371      Lin-Lin
 0.0019097   7.98782      Lin-Lin
 0.00210524  7.65999      Lin-Lin
 0.00232037  7.3507       Lin-Lin
 0.00255796  7.05796      Lin-Lin
 0.00281935  6.78219      Lin-Lin
 0.00315128  6.48591      Lin-Lin
 0.00352229  6.20914      Lin-Lin
 0.00393698  5.95095      Lin-Lin
 0.00440049  5.71043      Lin-Lin
 0.00491858  5.48671      Lin-Lin
 0.00549766  5.27896      Lin-Lin
 0.00614492  5.08639      Lin-Lin
 0.00686838  4.90823      Lin-Lin
 0.00767702  4.74373      Lin-Lin
 0.00870193  4.57398      Lin-Lin
 0.00986175  4.41985      Lin-Lin
 0.0111783   4.27989      Lin-Lin
 0.0126682   4.15356      Lin-Lin
 0.0145592   4.02769      Lin-Lin
 0.0167325   3.91598      Lin-Lin
 0.0192302   3.8172       Lin-Lin
 0.0224125   3.72196      Lin-Lin
 0.0250014   3.66182      Lin-Lin
 0.0253      3.65565      Lin-Lin
 0.029897    3.57593      Lin-Lin
 0.0358278   3.50287      Lin-Lin
 0.0435323   3.43744      Lin-Lin
 0.0543861   3.37655      Lin-Lin
